Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0802,94.801,73.8913,113.4974,73.6904,5.9076,3.7268,449.0422,2.2089,17.5717,0.9816,36.8
0.12,0.0671,95.4033,71.5449,112.3938,72.6557,5.6746,3.9993,509.1374,2.2997,15.4304,0.9794,36.8
0.16,0.0658,95.4501,72.089,112.9291,71.9026,5.5839,4.0916,462.7159,2.2589,15.7867,0.984,36.8
0.22,0.0671,92.0421,76.6915,111.0864,72.1369,5.755,4.0958,470.6089,2.4197,16.8693,0.9777,36.8
0.26,0.0731,96.0846,72.8377,114.7136,74.9738,5.6064,3.8704,453.1026,2.3696,16.414,0.9801,36.8
0.32,0.0713,93.2359,71.1151,112.7983,72.2257,5.7176,4.0354,403.8602,2.3724,15.8991,0.9834,36.8
0.36,0.0693,93.8709,68.8074,111.6431,73.9743,5.9946,3.7996,431.1124,2.3217,16.1972,0.9802,36.8
0.42,0.0687,92.2563,72.2414,114.3445,73.7237,5.8021,4.1262,399.2886,2.4003,15.8468,0.9796,36.8
0.46,0.069,95.5853,68.5949,112.9688,74.602,5.6778,3.8907,475.1683,2.3479,16.6271,0.9805,36.8
0.52,0.0732,94.4424,73.2685,115.2688,72.3145,5.7849,4.271,427.6374,2.4385,16.8287,0.9801,36.8
0.56,0.0774,93.6711,71.8201,114.0333,71.2712,5.7241,3.9793,487.8792,2.4204,16.3939,0.9795,36.8
0.62,0.0709,93.9528,70.0762,109.9923,75.9025,5.5959,3.6351,457.3407,2.3179,15.7439,0.9812,36.8
0.66,0.0769,91.5328,75.4525,113.5557,74.822,5.8154,3.7638,428.9014,2.3747,16.4294,0.9812,36.8
0.72,0.0722,91.5911,72.4127,113.7707,73.5361,5.6766,4.0112,364.3308,2.1694,16.5388,0.9807,36.8
0.76,0.0729,95.9151,73.6743,112.5527,72.8932,5.6307,3.9893,481.0842,2.2549,16.4678,0.9851,36.8
0.82,0.0707,93.3105,68.6533,114.2444,71.7131,5.5536,3.9678,410.933,2.2032,16.61,0.9819,36.8
0.86,0.0605,95.9481,67.8835,115.5084,73.5608,5.854,3.8791,399.3874,2.0881,15.9781,0.9818,36.8
0.92,0.0696,94.9594,67.8006,113.9923,73.395,5.9024,3.7314,444.7018,2.039,17.5223,0.9789,36.8
0.96,0.0735,94.1718,71.6478,113.3764,71.7358,5.7357,3.805,443.4591,2.0622,15.8803,0.982,36.8
1.02,0.0673,97.7568,76.9018,113.029,72.3732,5.5798,3.9533,438.4541,2.0704,16.6772,0.9783,36.8
1.06,0.07,91.8282,71.9135,112.0053,72.3024,5.6932,3.8764,429.137,2.0653,15.8894,0.98,36.8
1.12,0.068,96.4106,75.4896,116.6452,71.1369,5.769,4.128,495.9501,2.0557,16.3525,0.9823,36.8
1.16,0.0688,91.3668,73.0405,117.4711,71.4458,5.8925,4.1252,480.8115,1.964,17.2647,0.9823,36.8
1.22,0.0726,94.9732,76.8106,114.3359,72.6167,5.6184,4.1376,437.83,1.9438,16.0938,0.9793,36.8
1.26,0.0688,93.4981,73.8268,109.5916,72.4149,5.6447,3.9431,454.0971,1.9798,16.9651,0.9825,36.8
1.32,0.07,95.0264,69.7154,110.7686,72.1607,5.8393,4.064,473.1194,1.995,16.1936,0.9815,36.8
1.36,0.0646,93.9217,73.6386,108.9268,71.6942,5.8496,3.9806,398.5629,2.0307,17.0601,0.9804,36.8
1.42,0.0645,97.3242,72.5462,113.6769,71.3301,5.5944,3.8761,436.2649,1.999,16.3841,0.9823,36.8
1.46,0.071,95.8046,69.9032,111.6805,72.729,6.1441,3.966,407.716,2.0508,15.5263,0.9789,36.8
1.52,0.0655,95.2065,71.48,112.2508,73.5524,5.5942,3.638,446.2763,2.0138,16.899,0.9829,36.8
1.56,0.0737,93.9412,71.7693,116.8127,72.7368,5.6693,3.9875,378.7841,1.905,15.8473,0.9813,36.8
1.62,0.0665,92.7871,73.3844,113.4479,72.9831,5.6228,4.1202,453.0006,2.0006,15.13,0.9803,36.8
1.66,0.0667,97.6359,71.8229,114.0471,73.7548,5.5426,3.7729,425.6348,1.9487,16.3051,0.9796,36.8
1.72,0.0745,95.0466,71.2814,110.773,71.8666,5.6511,3.9438,448.5103,1.962,15.9354,0.9815,36.8
1.76,0.066,92.4835,72.0379,107.7977,72.5153,5.8724,3.6988,450.4119,1.9703,16.4457,0.9799,36.8
1.82,0.0677,96.6203,75.0217,113.783,73.2941,5.7506,3.8745,408.5727,2.0023,16.3611,0.979,36.8
1.86,0.0681,95.2672,69.7714,114.5413,71.8079,5.6871,4.074,442.2418,1.9537,16.7515,0.9857,36.8
1.92,0.0727,91.9994,74.0505,111.0496,74.4623,5.7576,3.8607,523.4659,1.8727,16.319,0.9809,36.8
1.96,0.0691,96.2497,71.8058,114.3639,71.3556,5.5922,3.9828,364.9327,2.0148,16.06,0.98,36.8
2.02,0.0636,94.1059,73.3807,112.9602,72.6376,5.6157,4.0676,448.3445,2.1063,15.9934,0.98,36.8
2.06,0.0714,93.5879,69.8317,113.1487,73.0812,5.7225,3.8184,405.4134,2.0851,16.1654,0.9781,36.8
2.12,0.0647,96.1486,75.2552,108.4994,71.715,5.7744,3.8063,406.2099,1.8541,16.1898,0.9774,36.8
2.16,0.0694,93.819,71.8775,113.1004,73.8441,5.8381,3.9989,456.1792,2.0209,16.2506,0.9815,36.8
2.22,0.0591,94.261,69.024,111.7981,73.743,5.8453,4.1559,465.1617,2.0217,16.0748,0.9818,36.8
2.26,0.0646,92.8427,74.5532,111.1067,73.7497,5.748,3.9223,447.1668,2.012,15.9634,0.9822,36.8
2.32,0.0673,92.8766,77.3957,115.3503,74.2437,5.5627,3.4982,384.6533,1.8786,15.9595,0.9817,36.8
2.36,0.0727,96.1602,71.1997,111.9063,73.0616,5.5768,3.6611,464.4676,2.0092,17.2339,0.9815,36.8
2.42,0.067,95.0126,69.3133,114.0677,72.4074,5.7013,3.7557,474.2683,1.9676,15.6388,0.9821,36.8
2.46,0.0633,95.4335,72.8017,115.9346,73.6177,5.8085,3.7936,468.8313,1.9765,16.7946,0.9807,36.8
2.52,0.0669,91.9579,72.118,108.3604,72.8505,5.6424,3.9865,377.519,1.9625,15.2765,0.9793,36.8
2.56,0.0764,91.9701,71.956,108.6453,72.0239,5.6126,3.8237,405.8283,1.9084,16.8585,0.9802,36.8
2.62,0.071,91.486,74.3413,114.3475,72.9932,5.8532,3.9589,456.3246,1.9584,16.3288,0.982,36.8
2.66,0.0611,93.7961,75.3985,113.5821,70.4839,5.7692,3.8331,458.9912,1.9138,15.9291,0.9818,36.8
2.72,0.0713,93.8342,72.181,112.6548,71.2401,5.5699,3.9338,431.281,1.9892,17.2625,0.9813,36.8
2.76,0.0684,95.6612,73.2624,110.2997,71.4056,5.5932,3.827,411.7079,2.0143,16.2671,0.9823,36.8
2.82,0.0703,92.6763,70.866,116.717,74.8733,5.824,4.093,506.456,1.9988,16.2146,0.9779,36.8
2.86,0.0672,96.1966,71.5732,111.1808,75.1766,5.6281,3.8505,385.9321,2.0332,16.8265,0.9819,36.8
2.92,0.0752,93.5681,74.2042,112.9132,73.7094,5.988,4.1051,294.964,1.9995,16.0882,0.98,36.8
2.96,0.0695,94.7804,72.7877,117.3318,74.396,5.8268,3.9743,439.0263,2.0123,17.218,0.9804,36.8
3.02,0.0693,96.0866,70.2883,111.9682,73.6813,5.6261,3.9954,442.5483,1.9282,16.1453,0.98,36.8
3.06,0.0687,94.0169,70.372,116.4682,72.7616,5.8053,4.0279,434.8752,1.9959,16.3996,0.9847,36.8
3.12,0.0663,94.5919,69.9129,111.5721,72.4681,5.8309,4.0963,396.1466,1.9897,16.3184,0.9805,36.8
3.16,0.0667,91.8336,75.4603,115.7975,75.4231,5.4818,3.9296,365.299,2.0442,15.26,0.9821,36.8
3.22,0.0688,95.2485,76.2005,110.9116,75.7742,5.5461,3.7683,424.9011,2.0119,16.1279,0.9858,36.8
3.26,0.0632,94.0952,73.7512,115.9027,71.5069,5.8223,3.7981,451.6072,2.1622,16.6659,0.9826,36.8
3.32,0.0734,93.054,74.2232,114.8928,72.6255,5.8914,3.5699,431.1172,2.0472,16.0822,0.9799,36.8
3.36,0.0642,94.8083,77.1112,112.3142,74.9288,5.799,4.0062,407.1963,2.121,16.7721,0.9794,36.8
3.42,0.0662,97.6291,70.2647,110.8636,73.8069,5.8001,4.0513,402.5993,2.0796,16.3064,0.9819,36.8
3.46,0.0695,97.4674,72.9067,115.9358,73.8859,5.7995,3.6766,425.0679,2.0532,16.5637,0.9826,36.8
3.52,0.0716,95.4625,70.3852,113.416,74.5112,6.1457,3.9892,402.231,2.211,16.345,0.979,36.8
3.56,0.0795,95.5357,70.6026,113.4817,72.9222,5.6549,3.7061,430.7234,2.2044,16.1946,0.9766,36.8
3.62,0.0706,92.9963,74.9204,112.7876,73.0458,5.8685,4.1337,428.811,2.2681,16.1565,0.9825,36.8
