Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0652,95.2467,72.4276,114.3137,75.0476,5.4867,3.9371,480.5577,2.5656,16.28,0.9791,36.9
0.12,0.0731,96.9747,69.8933,110.9104,74.2072,5.3996,3.7956,419.3622,2.6205,16.1289,0.9794,36.9
0.16,0.0726,92.3882,69.7617,115.1554,74.2478,5.7819,3.5517,525.0976,2.4961,16.9437,0.9798,36.9
0.22,0.0682,96.0603,72.38,116.6176,75.1434,5.7833,3.9657,394.6365,2.5953,17.8217,0.9816,36.9
0.26,0.0708,97.8024,71.9172,116.519,75.2898,5.5231,3.8735,430.879,2.5392,16.2769,0.9781,36.9
0.32,0.0626,95.5512,71.3972,114.062,74.373,5.6922,3.8055,480.5894,2.5263,16.6024,0.9803,36.9
0.36,0.0695,94.1776,72.3556,111.3017,74.5351,5.8372,3.9557,490.4054,2.6754,15.9741,0.9786,36.9
0.42,0.068,95.8207,72.6366,110.1517,74.8219,5.6581,3.963,450.3149,2.63,16.4517,0.98,36.9
0.46,0.0673,95.1644,73.7066,120.8922,73.807,5.8451,4.0063,451.0762,2.6159,16.1772,0.9773,36.9
0.52,0.0632,94.6569,71.001,109.3115,75.6382,5.9697,3.8421,432.1357,2.6241,15.398,0.9824,36.9
0.56,0.0588,96.9637,71.6273,112.9262,74.115,5.6025,4.2302,351.4218,2.5509,15.5878,0.9779,36.9
0.62,0.0591,93.7981,70.0597,111.0216,73.8346,5.6047,4.2161,435.4725,2.4225,15.6151,0.9848,36.9
0.66,0.0689,97.9221,73.5731,114.6153,73.5971,5.7318,4.0214,501.5185,2.3654,16.6528,0.9779,36.9
0.72,0.0647,96.8829,74.5098,117.0977,74.9385,5.7211,3.8418,483.7938,2.3161,17.3993,0.9763,36.9
0.76,0.0679,96.3105,74.3626,116.73,73.9477,5.659,3.925,404.1413,2.4658,15.6132,0.9786,36.9
0.82,0.0703,95.8473,70.9548,115.2452,73.4422,5.6115,4.1155,411.2474,2.2948,16.5474,0.9786,36.9
0.86,0.0597,95.8526,68.4229,115.2686,75.3967,5.7882,4.0891,570.1867,2.2151,14.9621,0.9776,36.9
0.92,0.0624,93.9428,71.3305,119.0113,75.0885,5.7382,4.1509,553.3039,2.3139,14.9679,0.9792,36.9
0.96,0.0648,94.8793,72.8315,114.8448,74.6291,5.6263,4.0362,501.3742,2.1965,15.2774,0.9752,36.9
1.02,0.0736,91.246,74.0882,112.4631,74.8643,5.5444,3.7421,532.0764,2.1989,16.1202,0.9819,36.9
1.06,0.0632,96.2858,72.6293,109.3112,73.2457,5.9222,3.6144,438.9758,2.0621,16.2353,0.9823,36.9
1.12,0.058,93.6644,73.7943,115.5798,76.1655,5.8482,4.0284,447.6785,2.2976,16.2788,0.9766,36.9
1.16,0.0639,97.6728,73.0704,112.0749,74.1762,5.9028,3.3043,424.3701,2.0774,15.5596,0.979,36.9
1.22,0.0757,95.2474,73.9315,114.0611,72.6418,5.9201,3.719,405.6354,2.282,16.4294,0.9801,36.9
1.26,0.0695,94.3329,73.4427,110.9184,73.468,5.6218,4.0558,465.6055,2.1909,15.9974,0.9785,36.9
1.32,0.0691,96.4245,73.8121,114.7389,74.217,5.7496,3.7783,405.9606,2.1558,15.4599,0.9772,36.9
