Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0643,90.1134,76.0431,116.5811,73.1854,5.584,4.4731,386.1092,2.3587,14.8063,0.979,36.8
0.12,0.079,95.2755,72.9267,113.8921,76.6068,5.6512,4.5575,529.2497,2.2513,12.8793,0.9874,36.8
0.16,0.067,93.5983,65.4017,112.5597,68.5978,5.9021,3.6919,436.4534,2.1975,14.0592,0.9804,36.8
0.22,0.0565,90.8494,71.6914,117.609,73.4064,5.3517,3.7157,425.3611,2.2827,14.0872,0.9753,36.8
0.26,0.0779,93.5108,68.7184,112.2814,72.7934,5.9933,4.3038,723.3241,2.0747,13.9359,0.9778,36.8
0.32,0.0599,97.9695,71.2436,111.7975,72.5478,5.4346,4.1181,240.717,2.2389,15.2024,0.984,36.8
0.36,0.066,99.6976,74.087,106.0241,75.0614,6.0597,3.9857,450.9602,2.2341,15.3662,0.9801,36.8
0.42,0.0742,94.1515,71.6927,108.1601,75.1266,5.8877,3.7007,392.2443,2.2512,14.7271,0.9785,36.8
0.46,0.0829,97.4095,63.1206,121.3625,73.3403,5.5764,3.7481,447.7066,2.1562,13.9676,0.9884,36.8
0.52,0.062,95.7031,71.4985,112.6469,67.6516,5.2505,3.6875,375.1776,2.1299,15.8593,0.9798,36.8
0.56,0.0703,91.7792,71.4381,111.0485,76.1821,5.1063,4.0352,442.9594,2.1684,14.4198,0.9793,36.8
0.62,0.0625,94.5205,70.431,107.2885,69.6597,5.9742,4.3367,467.321,2.0535,13.4243,0.9779,36.8
0.66,0.0915,92.5565,78.8375,115.3165,68.289,5.7849,3.885,512.4668,2.2945,14.0958,0.9849,36.8
0.72,0.0685,93.7825,83.8953,108.6533,72.454,5.789,4.0049,481.9226,2.2979,14.818,0.9785,36.8
0.76,0.0786,94.7454,76.5768,115.1863,72.4082,6.2476,4.0393,318.8427,2.3291,13.7458,0.9828,36.8
0.82,0.0536,99.0329,67.6388,116.2985,74.4276,5.4958,4.2128,452.7544,2.3866,15.0415,0.9813,36.8
0.86,0.0629,89.1952,68.6468,116.7287,73.3741,5.4568,4.1725,489.2639,2.2375,12.9223,0.9828,36.8
0.92,0.0541,94.5345,72.0747,114.7574,71.5028,5.6282,3.627,554.7702,2.321,14.5279,0.9837,36.8
0.96,0.0818,95.0847,78.4193,112.7648,75.2532,5.681,3.3457,560.4107,2.2131,13.3493,0.9805,36.8
1.02,0.0696,92.9396,65.5615,109.5897,72.8329,5.7291,3.9783,390.1665,2.3071,13.7031,0.9818,36.8
1.06,0.0848,93.2672,65.8696,117.206,71.3866,5.8851,3.7589,560.6201,2.2236,14.6534,0.988,36.8
1.12,0.0719,98.6311,63.7042,105.4035,73.1126,5.7714,3.8384,466.0601,2.0895,14.3986,0.9854,36.8
1.16,0.0715,95.5742,72.4516,115.8692,71.178,6.0463,3.6427,342.0349,2.5457,14.0366,0.9852,36.8
1.22,0.0635,93.5278,71.3115,111.924,70.1118,5.5575,3.6228,615.8925,2.418,15.0736,0.9784,36.8
1.26,0.0723,88.5528,64.835,110.5931,72.5067,5.671,3.6095,537.7195,2.4689,15.4962,0.9857,36.8
1.32,0.0711,93.4082,69.7604,115.0784,71.8568,5.6287,3.5185,357.1264,2.2857,14.5361,0.9799,36.8
1.36,0.0643,92.4218,70.2505,113.2756,74.5039,6.0976,3.4238,506.5585,2.4339,14.6458,0.9872,36.8
1.42,0.0791,92.3783,73.2424,114.5705,73.7332,5.5723,4.3109,639.1054,2.4261,13.2366,0.9787,36.8
1.46,0.0812,96.8127,74.945,109.3217,74.6715,5.7348,3.7629,427.7488,2.5598,13.0851,0.9767,36.8
1.52,0.0753,97.7378,67.1167,112.5117,72.881,5.881,3.258,334.9519,2.5297,14.4691,0.9816,36.8
1.56,0.0756,94.2009,81.8387,110.0932,71.4656,5.7093,4.2286,402.2764,2.6294,12.5514,0.9763,36.8
1.62,0.0605,96.3184,76.1328,118.8994,72.561,5.9299,3.8261,460.0605,2.5833,14.548,0.9761,36.8
1.66,0.0676,100.2655,68.4255,103.8762,72.3793,5.5558,4.1928,402.8075,2.5928,14.0626,0.9806,36.8
1.72,0.0653,92.7262,67.5563,117.4742,68.9153,5.5389,4.3376,530.3213,2.4836,14.1825,0.9829,36.8
1.76,0.0687,95.7961,77.8227,116.211,70.6477,5.7248,3.9308,561.2557,2.4628,15.6553,0.9808,36.8
1.82,0.0682,89.6156,70.0879,103.5302,78.8844,6.0779,3.9958,503.1183,2.5022,15.3446,0.9776,36.8
1.86,0.0516,95.491,74.1457,110.2562,71.2133,5.2829,3.6821,499.3347,2.5133,15.3807,0.9763,36.8
1.92,0.0695,97.5927,65.0811,118.9819,66.1456,5.5407,4.2563,492.2738,2.6732,14.2248,0.9813,36.8
1.96,0.0667,93.647,71.2975,114.0932,74.9874,5.9079,3.7691,449.489,2.5883,14.0007,0.9812,36.8
2.02,0.0615,94.6059,72.5066,110.8597,76.5221,6.3144,3.8936,590.7453,2.7337,14.1995,0.9758,36.8
2.06,0.0848,96.2959,75.7117,121.0828,76.8603,5.1738,3.924,527.6115,2.6052,13.3815,0.9825,36.8
2.12,0.0733,94.2158,67.2402,123.8793,70.458,5.4392,3.8546,379.2307,2.5966,12.6743,0.9782,36.8
2.16,0.0605,93.5168,74.201,117.3234,75.3753,5.8554,4.0899,617.3161,2.7222,15.4696,0.9781,36.8
2.22,0.0871,96.4121,72.8067,117.0319,71.9272,6.1149,3.5062,281.7328,2.5158,15.1853,0.9849,36.8
2.26,0.073,92.3648,73.5187,109.6931,72.7887,6.396,3.7427,348.9813,2.6661,13.9376,0.9809,36.8
2.32,0.0777,94.3674,72.9685,110.238,75.3236,5.9682,3.6625,459.2498,2.8102,13.6462,0.9677,36.8
