Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0805,95.8193,71.9103,111.6252,73.6086,5.7217,4.0044,615.78,2.0932,18.6436,0.9872,36.8
0.12,0.0664,94.5595,69.8051,125.0804,75.4986,5.4375,4.5628,547.1436,2.1784,19.7043,0.9808,36.8
0.16,0.0658,91.9613,71.8062,108.5327,75.1257,5.6079,3.6882,430.0901,2.163,17.9273,0.9787,36.8
0.22,0.0689,97.4846,71.9995,117.3063,69.0962,5.5319,4.0443,308.4865,2.4023,19.7455,0.982,36.8
0.26,0.0705,95.8156,76.0942,110.1539,73.6587,5.5786,3.7449,491.0372,2.261,19.9583,0.9817,36.8
0.32,0.0835,97.1646,69.6162,113.8161,74.4362,5.1367,3.5275,512.0272,2.3424,20.1178,0.9828,36.8
0.36,0.0579,95.1824,72.7568,119.623,69.8572,5.3314,4.2841,502.3737,2.2999,16.2491,0.9756,36.8
0.42,0.0647,90.7305,80.0193,119.3813,74.4884,5.5102,3.998,280.1283,2.1157,18.169,0.9867,36.8
0.46,0.0771,95.5573,70.962,125.6835,77.5848,6.0577,3.9691,378.5344,2.2355,19.3827,0.9819,36.8
0.52,0.0733,94.7046,76.786,112.2028,75.3961,5.8186,3.8842,505.0679,2.4445,17.9073,0.985,36.8
0.56,0.0624,92.6812,71.6014,111.0258,76.7062,5.7264,3.9213,378.2072,2.227,18.0244,0.9681,36.8
0.62,0.0665,99.8416,69.0738,115.0993,75.1208,5.7841,4.0146,340.0826,2.3048,21.1132,0.982,36.8
0.66,0.0578,91.553,75.4621,123.7968,71.0276,6.1857,3.9147,405.4479,2.353,18.5385,0.9806,36.8
0.72,0.0695,95.5926,74.9571,113.1696,75.5072,5.549,4.2401,408.277,2.2506,18.7765,0.9799,36.8
0.76,0.0619,98.3678,76.5912,111.016,82.0587,6.0778,4.0528,451.5495,2.5192,19.8926,0.9814,36.8
0.82,0.0709,95.7737,78.3055,106.7439,74.9885,6.2557,3.9091,426.8898,2.5603,20.6526,0.9796,36.8
0.86,0.0671,95.3499,74.657,113.5557,70.4515,5.751,3.957,542.1908,2.5628,18.9037,0.9763,36.8
0.92,0.0652,96.2772,80.0857,116.2198,75.2199,5.6487,3.9492,546.5335,2.4744,17.1759,0.9804,36.8
0.96,0.0739,95.502,76.2061,120.2573,73.7779,5.2965,3.608,447.5376,2.4616,17.0046,0.9838,36.8
1.02,0.0776,95.9886,76.0805,117.7491,73.8951,5.6211,4.2362,488.4776,2.4865,19.308,0.9847,36.8
1.06,0.0841,96.8274,76.865,108.4425,76.0193,6.1312,3.8996,487.5113,2.5356,18.6076,0.9754,36.8
1.12,0.075,96.8542,75.0086,122.4242,77.1272,5.4825,3.8291,416.6252,2.5766,17.4839,0.9815,36.8
1.16,0.0743,98.3712,74.4072,119.0254,74.4982,5.8735,3.4788,529.3931,2.5808,15.426,0.9811,36.8
1.22,0.0662,96.7179,78.4594,117.923,73.5205,5.4522,3.7547,506.3774,2.4927,21.1481,0.9817,36.8
1.26,0.0733,95.2105,77.7175,117.605,72.8164,6.2984,3.6979,425.8089,2.5401,19.3262,0.9803,36.8
1.32,0.0621,90.7858,70.0695,117.893,72.8158,5.9649,3.8846,510.4649,2.541,19.0632,0.979,36.8
1.36,0.051,93.7142,68.169,113.012,77.2503,5.3499,3.6856,349.4174,2.2176,17.9671,0.9849,36.8
1.42,0.0609,96.7675,74.3143,111.5026,76.7149,5.7532,3.7995,477.9651,2.2753,17.5118,0.9806,36.8
1.46,0.0874,96.6711,70.9142,116.4038,76.4021,5.6009,4.1494,353.9108,2.2754,18.7056,0.9828,36.8
1.52,0.0815,98.9149,75.0526,110.6877,75.0154,5.7419,3.5248,401.7574,2.4182,19.5681,0.9806,36.8
1.56,0.0807,89.8365,73.0149,113.2839,73.4293,6.1444,4.1913,333.5833,2.1498,17.7697,0.9799,36.8
1.62,0.074,95.6906,74.778,108.5089,69.8803,5.4149,3.4978,393.8983,2.076,17.2472,0.9836,36.8
1.66,0.073,91.2597,72.8714,116.9854,72.6124,5.7012,3.7993,478.5351,2.1881,18.3432,0.983,36.8
