Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0814,93.2875,83.2159,106.8249,74.851,6.0109,3.061,386.5096,2.7521,18.4237,0.9904,36.9
0.12,0.0531,93.6082,71.6063,106.1664,71.1415,5.4965,3.806,388.3144,3.1667,16.8937,0.9755,36.9
0.16,0.0856,101.3699,67.6818,114.8515,71.5326,5.5991,3.8223,600.4339,3.0521,20.3304,0.9892,36.9
0.22,0.0826,87.4936,70.2248,110.0174,75.1364,5.6366,3.0473,427.5194,2.7594,18.8055,0.9844,36.9
0.26,0.0659,83.4216,72.8969,106.3415,74.5935,6.1679,4.2938,442.9349,3.0736,12.4821,0.9774,36.9
0.32,0.092,90.1589,75.8751,112.9636,72.6155,5.3775,3.77,354.8882,2.6809,16.8407,0.9825,36.9
0.36,0.0809,94.9223,74.4754,119.424,76.5714,5.538,4.0244,692.8448,3.2701,17.9833,0.991,36.9
0.42,0.0661,96.3519,77.3559,117.9016,76.7114,5.1749,3.8782,451.5144,2.8145,20.1759,0.9765,36.9
0.46,0.0725,91.2559,67.1841,118.1201,72.2054,6.8539,4.1048,780.9758,2.6467,18.9225,0.9738,36.9
0.52,0.0841,97.585,72.0743,104.9747,73.9266,6.4685,3.7932,596.8419,2.9505,15.927,0.9776,36.9
0.56,0.0687,99.88,72.4084,118.2966,70.2412,5.35,4.1411,-5.0197,2.7077,20.7099,0.9692,36.9
0.62,0.0643,95.0095,72.0468,121.5184,72.9337,5.3655,3.0664,417.3001,3.0356,19.4892,0.9662,36.9
0.66,0.0593,98.5438,77.3146,111.659,76.497,5.4533,3.2449,510.1606,3.011,17.5598,0.987,36.9
0.72,0.0635,89.7788,71.493,112.8516,71.9476,6.4225,4.7364,261.9965,3.0297,17.5762,0.9829,36.9
0.76,0.0698,99.6816,67.0947,102.4697,79.6764,6.272,4.3816,436.8409,2.7269,19.0618,0.9803,36.9
0.82,0.0884,92.2274,67.0815,110.3674,71.38,5.0895,4.249,443.009,2.6311,16.9704,0.9799,36.9
0.86,0.0852,96.1673,66.119,110.4438,73.5384,5.4804,3.7808,414.1617,2.9463,16.001,0.9905,36.9
0.92,0.0774,94.3571,73.2965,119.1634,76.4707,6.0382,4.235,455.2971,2.9593,17.2381,0.9902,36.9
0.96,0.078,95.2222,70.0908,115.0942,78.3194,5.9015,4.0468,313.0031,2.5084,15.9463,0.979,36.9
1.02,0.048,101.4759,69.4815,113.113,73.0234,5.3767,4.4311,548.5406,2.8173,16.097,0.9801,36.9
1.06,0.0577,101.0912,76.4955,118.873,73.438,5.8765,3.2604,637.9798,2.6649,17.421,0.9848,36.9
1.12,0.0771,90.7348,83.2755,122.7644,72.2729,5.224,3.826,478.9358,2.5732,20.9963,0.9804,36.9
1.16,0.0509,95.38,73.2459,115.9202,72.3794,5.9138,3.9999,589.0837,2.5743,14.6825,0.9747,36.9
1.22,0.0525,98.3517,71.7197,109.6296,72.3161,5.948,4.579,728.391,2.553,19.795,0.9925,36.9
1.26,0.0646,98.5949,76.189,124.6365,69.2765,5.9547,4.1543,600.3887,2.547,18.2942,0.9786,36.9
1.32,0.0723,93.3645,64.9855,120.1171,69.0406,5.4144,4.1501,476.5646,2.5824,16.1192,0.9765,36.9
1.36,0.0872,93.5129,63.8111,117.9504,79.5026,6.0032,3.6602,430.0101,2.6394,17.7435,0.9937,36.9
1.42,0.0624,93.7007,76.3627,112.8987,75.1185,5.4604,4.3201,439.9718,2.8097,15.4064,0.991,36.9
1.46,0.0846,89.7424,83.0679,106.9516,70.31,5.238,4.2278,358.7739,2.5239,15.7492,0.9773,36.9
1.52,0.0439,90.1778,78.1899,114.5296,77.0644,6.3076,3.8704,470.2241,2.0958,15.4144,0.9779,36.9
1.56,0.0784,97.6137,72.2588,119.3544,72.6308,6.4775,3.9512,444.1148,2.2847,18.1066,0.9777,36.9
1.62,0.0837,98.1093,68.9226,122.3292,72.7973,6.2701,4.0069,532.0263,2.5304,20.4474,0.9778,36.9
1.66,0.0729,94.0164,71.5465,105.7686,77.003,6.141,3.7513,476.6196,2.5459,17.3786,0.9907,36.9
1.72,0.0463,92.7816,81.4283,111.2463,73.0866,6.0003,4.3974,589.1372,2.4002,17.8667,0.9827,36.9
1.76,0.0666,99.7602,68.2892,118.7943,77.6343,5.9615,3.6295,583.18,2.1291,19.807,0.9896,36.9
1.82,0.0777,95.4507,76.2675,113.8934,76.9282,5.7308,3.8833,526.2913,2.5783,14.1297,0.9836,36.9
1.86,0.0739,93.9286,72.3687,107.0447,70.7658,5.6291,3.9589,559.2631,2.3725,17.91,0.9836,36.9
1.92,0.0604,92.0596,68.0119,107.2535,71.5447,5.5864,4.0777,317.7706,2.4359,22.0379,0.987,36.9
1.96,0.0666,92.0296,81.4542,107.8894,73.5542,5.9659,4.6002,422.6425,2.8145,20.6702,0.9829,36.9
2.02,0.049,90.1473,68.4096,107.398,75.7736,6.3556,4.2577,468.2483,2.5587,17.7518,0.9734,36.9
2.06,0.0716,102.9463,72.5481,113.6791,71.5757,5.7139,3.7206,714.84,2.2937,19.1913,0.9847,36.9
2.12,0.0675,91.5458,69.6344,122.0877,75.182,6.4406,3.0784,595.7252,2.4282,14.5785,0.9808,36.9
2.16,0.0566,98.5039,71.7935,125.7976,75.3991,6.5446,3.9638,132.5747,2.4535,18.44,0.9686,36.9
2.22,0.0656,93.9763,71.065,118.5545,74.9792,5.9748,4.4408,382.5518,2.7235,18.0652,0.9806,36.9
2.26,0.0679,99.7317,68.0589,117.4769,69.4079,5.5819,3.9129,505.3194,2.679,19.1556,0.9895,36.9
2.32,0.081,105.0876,78.1081,109.7353,70.7696,5.5577,3.9363,595.8195,2.5356,15.7735,0.981,36.9
2.36,0.0534,98.429,76.3017,116.098,78.0923,5.9234,4.0011,116.9936,2.8219,19.0929,0.9943,36.9
2.42,0.0794,96.529,70.6509,118.1229,79.3002,6.1723,3.6691,469.8666,2.6059,18.4307,0.9844,36.9
2.46,0.0792,87.2775,55.1456,109.9403,76.2437,5.3099,4.6156,183.1268,2.3337,15.1548,0.9808,36.9
2.52,0.0827,89.7085,72.0295,115.6285,74.9339,5.6186,3.9517,506.7198,2.6108,17.1906,0.9841,36.9
2.56,0.0451,92.5878,79.5395,109.9148,74.1187,6.142,3.4982,377.6344,2.5217,16.5721,0.9872,36.9
2.62,0.0683,99.5715,59.9502,126.9506,75.3413,6.0903,4.4843,499.9643,2.1396,17.619,0.9784,36.9
2.66,0.0755,95.8993,65.8573,107.5959,74.422,6.1417,3.9213,482.3462,2.338,20.5715,0.986,36.9
2.72,0.0795,91.8666,71.5439,112.9377,75.8464,5.8556,4.1941,560.3088,2.6121,18.8421,0.9742,36.9
2.76,0.0595,98.8089,83.9561,114.8006,75.1201,5.6155,4.9368,377.1352,2.8032,17.265,0.9804,36.9
2.82,0.0681,87.7071,83.1884,114.3116,72.4132,5.0151,3.9234,347.9589,2.2957,15.9036,0.9834,36.9
2.86,0.0553,91.8045,64.8341,108.6745,76.1554,5.8635,5.1699,264.982,2.4139,15.1419,0.9748,36.9
2.92,0.0481,93.3955,75.8651,104.5046,70.2684,5.963,5.0885,395.656,2.747,20.8484,0.976,36.9
2.96,0.0694,103.0291,64.9051,107.3432,73.1353,5.793,4.0746,353.4022,2.7405,15.0588,0.9826,36.9
3.02,0.0599,95.8359,76.8069,117.0566,74.3772,6.0911,4.1162,676.6923,2.5008,20.6009,0.9862,36.9
3.06,0.0607,88.0125,67.4172,104.593,75.7401,6.1465,3.1031,94.2119,2.4556,18.4134,0.9811,36.9
3.12,0.0776,94.2581,67.8688,114.8544,76.2645,5.8106,2.7151,263.3788,2.806,16.2158,0.9742,36.9
3.16,0.0691,105.1627,62.3589,111.6899,70.3485,5.6375,4.6526,382.2086,2.8604,23.3555,0.9838,36.9
3.22,0.0492,105.0986,81.0934,114.5394,72.667,5.9754,3.2532,554.7395,2.7789,15.8355,0.9835,36.9
3.26,0.0785,98.8822,77.5896,109.2549,73.9763,6.0712,4.105,443.5107,2.614,15.776,0.9743,36.9
3.32,0.0811,92.2452,67.3931,124.5724,68.3419,5.3739,4.6649,650.1433,2.5878,15.7209,0.974,36.9
3.36,0.0649,94.6313,73.2928,102.148,73.7253,6.0018,4.1622,202.2145,2.7825,17.4629,0.9805,36.9
3.42,0.0527,91.5325,80.7411,115.3141,76.5826,6.039,4.3054,364.6488,2.6654,16.2012,0.9895,36.9
3.46,0.0691,96.3672,79.392,113.1909,72.6467,6.016,4.2426,345.339,2.9397,19.8761,0.9704,36.9
3.52,0.0642,95.4682,81.7128,113.8922,71.0056,5.7579,4.4456,351.2423,2.8422,17.1012,0.9823,36.9
3.56,0.069,96.7867,72.5847,127.8961,75.7005,5.555,3.6725,537.5572,2.9522,15.2042,0.9834,36.9
3.62,0.0747,98.076,73.36,110.0641,74.9843,5.8215,3.9681,505.3331,2.9984,17.6656,0.9852,36.9
3.66,0.0747,96.493,65.3813,111.6733,72.5036,5.8171,4.421,579.7888,2.7748,17.9589,0.9702,36.9
3.72,0.0889,96.6503,76.3821,97.6989,71.5964,5.8214,4.7103,392.6045,2.7865,11.3624,0.9806,36.9
3.76,0.0674,93.7934,63.4181,103.4875,72.5715,5.4373,3.6797,589.9495,2.67,16.6736,0.99,36.9
3.82,0.0558,94.9593,64.3938,116.8451,76.6504,5.1563,3.8711,282.0401,2.9878,17.318,0.9774,36.9
3.86,0.0675,100.5826,68.4209,116.9342,77.319,5.8826,4.0563,378.1861,3.0084,14.3985,0.9848,36.9
3.92,0.0653,97.034,74.4182,117.087,76.6793,6.0893,4.2352,448.1251,2.8377,15.8692,0.9749,36.9
3.96,0.0721,93.7118,76.1462,114.5488,75.27,5.8163,4.3461,432.9671,2.8518,17.1359,0.9848,36.9
4.02,0.0825,92.2125,68.1037,119.6234,78.6475,6.2348,4.3999,223.5416,3.2937,14.5765,0.9842,36.9
4.06,0.0619,91.351,84.5809,114.4334,72.6316,5.5143,4.3506,838.4406,2.9062,16.5774,0.9874,36.9
4.12,0.0494,94.0016,68.9152,115.065,77.4276,6.1175,3.632,255.1756,2.5632,16.7381,0.9779,36.9
4.16,0.0638,101.7526,90.1832,110.1933,74.4215,5.4717,4.3298,437.8351,2.7953,16.6842,0.9947,36.9
4.22,0.0694,94.0022,72.1007,109.9293,75.8037,5.8346,3.4615,409.4363,2.7761,16.2319,0.9867,36.9
4.26,0.059,95.6104,75.3943,102.7185,68.2778,5.5145,4.3293,377.105,2.71,13.8606,0.9705,36.9
4.32,0.0336,97.2489,60.579,119.0806,68.8919,6.2198,4.5347,363.2959,2.7932,17.6517,0.9745,36.9
4.36,0.0686,96.6941,76.6336,117.6627,75.0254,5.9107,3.5521,428.412,2.7096,17.2106,0.9759,36.9
4.42,0.1015,88.7225,68.2315,103.2424,72.0256,5.9875,4.133,385.2586,2.5329,18.4016,0.9807,36.9
4.46,0.0481,93.4084,76.1399,123.0507,71.2902,6.1713,4.0162,252.4614,2.5374,16.4558,0.9742,36.9
4.52,0.0587,96.59,80.5135,119.7196,74.294,5.6173,3.2147,686.3296,2.7412,19.8791,0.9893,36.9
4.56,0.075,91.1812,63.9426,118.5988,73.3375,5.5449,4.2195,358.2181,2.675,17.6686,0.9812,36.9
4.62,0.061,95.302,85.0182,111.9147,71.5855,6.0831,4.2671,266.2213,2.8149,17.5503,0.9737,36.9
4.66,0.0625,91.9735,67.6438,120.0397,73.9667,6.4726,4.2727,416.301,2.6454,16.5274,0.9815,36.9
4.72,0.0667,96.8546,68.6279,112.8925,75.0917,4.9783,4.8189,248.9813,2.2176,17.0514,0.9847,36.9
4.76,0.0815,101.9218,68.7654,126.6711,75.0057,6.3946,3.9838,444.5635,2.4566,18.6499,0.9743,36.9
4.82,0.0676,89.2961,75.57,114.1455,72.8667,5.891,3.9296,221.1064,2.2426,17.5961,0.9818,36.9
4.86,0.056,96.7657,76.4565,122.7134,76.1339,5.946,4.2076,291.5312,2.4837,16.6183,0.9752,36.9
4.92,0.0713,96.3495,71.9195,111.869,71.4227,6.1537,3.8264,471.9174,3.013,17.0116,0.9846,36.9
4.96,0.0734,97.5796,70.1198,111.4606,76.119,6.4572,3.8294,321.8002,2.5666,13.4916,0.9833,36.9
5.02,0.0785,101.3479,76.1747,122.5963,74.6801,6.2785,4.0454,444.0851,2.8665,18.1102,0.9926,36.9
5.06,0.0587,108.5957,68.9956,115.1905,81.3375,6.2524,3.335,692.9464,2.2894,19.1137,0.9807,36.9
5.12,0.1008,98.7969,72.225,115.7553,71.6487,6.4227,4.798,510.8335,2.4855,16.9574,0.9778,36.9
5.16,0.0615,95.2783,77.1984,113.5625,76.8452,6.058,3.8512,321.8522,2.5175,16.5115,0.9888,36.9
5.22,0.0885,90.5778,71.6339,118.4486,72.3324,5.5877,4.1278,371.1117,2.2707,15.6981,0.9806,36.9
5.26,0.0865,101.107,70.6921,112.5232,72.4655,5.8198,4.7799,316.205,2.587,15.6887,0.9779,36.9
5.32,0.0465,99.3151,70.5067,101.216,68.2952,5.7788,2.9832,521.3397,2.1692,19.6675,0.9837,36.9
5.36,0.073,92.7827,69.2473,106.9034,73.8445,5.9456,3.8044,374.2015,2.4756,14.5838,0.9805,36.9
5.42,0.0568,101.3026,65.8642,122.3784,74.3354,5.4121,3.1262,518.092,2.6245,21.4096,0.9878,36.9
5.46,0.0411,101.5846,71.1317,107.8424,77.1384,5.85,4.4836,263.1167,2.3573,14.4147,0.9805,36.9
5.52,0.0589,102.9125,68.3317,111.3378,77.7044,5.6937,4.5226,407.7006,2.4984,15.9013,0.9742,36.9
5.56,0.0631,86.1148,81.0542,117.5165,72.6582,6.1079,3.5437,569.3837,2.2933,16.9434,0.9712,36.9
5.62,0.0658,94.7235,74.1071,116.8938,74.7395,5.3562,4.3556,590.6911,2.3923,16.5249,0.9757,36.9
5.66,0.0497,92.6795,71.5618,115.8711,76.7567,6.4058,3.4787,209.9635,2.4283,20.2097,0.9772,36.9
5.72,0.0772,93.9399,69.8447,123.735,72.3631,5.8799,3.9431,460.6344,2.5522,20.5243,0.9844,36.9
5.76,0.0903,96.7138,78.5259,116.1343,73.4268,6.1737,2.8016,375.7816,2.5459,19.5495,0.9877,36.9
5.82,0.065,103.5927,76.4041,107.9457,73.3747,5.6783,3.9143,580.9611,2.5133,17.2145,0.9837,36.9
5.86,0.0717,93.9167,74.4283,125.324,77.7996,6.5673,3.7794,567.6625,2.688,16.1862,0.9865,36.9
5.92,0.0481,97.8265,73.2333,117.3654,72.7102,5.4145,3.3571,450.759,2.3771,19.2522,0.9837,36.9
5.96,0.0851,87.5218,76.7285,123.3728,69.6075,6.2268,4.5793,495.4484,2.557,19.4879,0.9702,36.9
6.02,0.0679,94.8893,53.1128,112.7425,76.0501,6.3434,3.4869,587.0482,2.5969,16.5001,0.9786,36.9
6.06,0.0644,90.5251,81.8566,116.6841,73.4909,6.1503,3.3128,323.5259,2.3727,17.8947,0.9739,36.9
6.12,0.0654,94.8565,72.4669,113.1397,73.4578,7.0187,3.788,390.5424,2.3967,17.9387,0.983,36.9
6.16,0.0663,96.2415,55.0828,121.1789,72.2459,4.5321,3.3333,438.3135,2.3913,15.6076,0.9773,36.9
6.22,0.0845,99.6936,77.5867,111.6483,73.6574,5.9371,3.6213,212.0832,2.5962,17.6786,0.9821,36.9
6.26,0.0621,96.831,68.1576,107.6544,71.8414,6.2398,4.5948,420.411,2.5959,16.51,0.9727,36.9
6.32,0.0791,100.5303,72.6002,104.9602,74.8771,5.7905,3.2901,716.2993,2.4889,14.8085,0.9887,36.9
6.36,0.0442,96.874,76.4539,110.1977,74.5722,4.9356,4.4898,417.7663,2.7248,14.4357,0.9844,36.9
6.42,0.0751,93.2678,73.9028,113.507,76.3061,5.9849,4.8097,530.2793,2.7002,16.7562,0.9788,36.9
6.46,0.0684,96.7551,69.4705,112.6303,69.5484,5.4051,4.1241,268.5692,2.805,17.1408,0.9855,36.9
6.52,0.0763,95.5429,67.0243,115.7825,74.3172,5.7717,3.7424,409.1738,2.6705,20.2478,0.9798,36.9
6.56,0.0566,90.3744,71.5082,119.9444,72.8352,5.304,3.5178,389.5997,2.8143,16.9801,0.9785,36.9
6.62,0.0511,97.7517,70.6169,110.2616,73.8883,5.9093,3.3435,613.5162,2.7502,17.3341,0.9813,36.9
6.66,0.0621,94.2124,63.7972,100.8964,71.1477,6.2995,4.2751,341.3098,2.5973,13.3072,0.9679,36.9
6.72,0.0777,102.5546,74.5632,112.155,73.854,5.1502,4.5281,265.8613,2.4828,15.8865,0.9774,36.9
6.76,0.0519,92.7516,64.2018,115.5142,79.9336,5.6515,3.6592,312.1658,2.7609,15.3341,0.9853,36.9
6.82,0.0608,100.0338,73.3185,118.7211,76.3788,6.8132,3.8656,498.5446,3.0179,16.3448,0.987,36.9
6.86,0.0602,95.0248,69.8953,111.202,74.0361,4.6843,3.4498,465.9698,2.7526,17.3276,0.9851,36.9
6.92,0.0656,92.9818,66.7462,112.7909,76.0846,6.3149,3.9241,646.4423,2.5391,18.8732,0.9744,36.9
6.96,0.0756,100.3647,85.0209,125.9328,77.2689,6.4137,3.0109,614.5821,2.5926,16.8545,0.9856,36.9
7.02,0.0391,90.914,72.9479,104.479,68.437,5.5911,3.8216,482.6266,2.7741,11.7603,0.9939,36.9
7.06,0.0437,89.2229,70.0654,112.2747,76.3817,4.9672,3.9311,521.0133,2.711,16.1382,0.9614,36.9
7.12,0.0642,96.2204,72.338,109.4556,75.4147,5.9955,4.4925,390.1173,2.8357,18.7262,0.9793,36.9
7.16,0.0833,92.549,79.454,120.1433,68.8799,5.9078,4.42,455.8187,2.9338,21.5211,0.9794,36.9
7.22,0.0487,98.615,69.9504,112.2883,74.1718,5.5983,4.131,359.3676,3.0266,18.6811,0.977,36.9
7.26,0.0559,93.1051,68.9442,118.7659,75.5894,6.4348,3.6276,369.9161,2.952,18.8526,0.9726,36.9
7.32,0.0606,91.2971,72.452,125.8381,76.3621,6.2575,3.943,433.9356,2.9517,18.6984,0.9733,36.9
7.36,0.0751,91.7186,73.8099,119.9847,75.3181,5.8356,4.361,278.9005,2.6589,15.0904,0.9742,36.9
7.42,0.0573,92.299,70.5435,113.5016,75.3344,5.5803,3.8835,594.1648,2.7484,17.7727,0.9775,36.9
7.46,0.0825,94.2996,64.7191,112.3255,69.6191,6.2629,3.168,581.2155,2.8534,16.344,0.984,36.9
7.52,0.0664,90.2297,70.4142,116.285,71.7514,5.6568,3.9235,271.9247,2.6982,17.8744,0.9817,36.9
