Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0609,99.4412,64.112,114.5972,74.4839,5.5652,4.0228,425.4219,2.3603,16.1101,0.9819,36.9
0.12,0.0729,90.8445,67.4359,115.8463,73.0462,5.4255,4.0488,378.7328,2.5294,13.7186,0.9778,36.9
0.16,0.0578,89.8561,72.0735,114.5886,73.236,6.0339,4.1646,462.0194,2.6902,15.0747,0.9742,36.9
0.22,0.0594,95.0022,68.3725,112.2306,75.5494,5.5897,3.5396,480.2109,2.3223,14.4903,0.9803,36.9
0.26,0.0691,93.8314,71.4133,114.0267,75.627,5.7933,3.9288,586.3839,2.5514,14.0959,0.981,36.9
0.32,0.0692,99.9454,72.4586,114.6425,72.9193,5.3792,3.7831,606.7484,2.1505,15.5035,0.9837,36.9
0.36,0.0691,91.7352,79.6251,109.5152,77.5424,6.1764,3.7713,470.1194,2.4324,14.4293,0.9799,36.9
0.42,0.0708,97.2323,63.6006,106.923,71.9897,5.5955,4.1868,624.8638,2.4447,15.1965,0.9822,36.9
0.46,0.0689,98.6328,74.1133,108.7236,70.9533,6.1654,3.9736,571.9957,2.5313,16.5637,0.9732,36.9
0.52,0.0585,96.2746,68.4904,111.3728,75.0404,5.6174,4.0272,513.7376,2.4539,15.8666,0.982,36.9
0.56,0.0573,93.6731,67.7391,110.7992,74.2893,5.8728,3.7291,495.5009,2.3178,13.7096,0.9793,36.9
0.62,0.0563,95.9376,68.6247,106.953,75.4467,5.3905,3.6878,375.018,2.4086,13.4341,0.9786,36.9
0.66,0.068,92.0719,75.9758,115.7176,74.0804,5.8024,3.5918,530.8565,2.3331,15.1716,0.9769,36.9
0.72,0.0557,92.945,64.6556,110.5589,76.7298,5.7931,4.1421,557.8256,2.3438,12.706,0.982,36.9
0.76,0.0725,100.8179,84.0279,117.689,76.8404,5.5091,3.8714,488.3953,2.2402,12.7736,0.9798,36.9
0.82,0.052,100.3884,67.746,112.2313,76.843,5.6802,3.589,443.867,2.3548,15.4882,0.9854,36.9
0.86,0.0582,93.833,66.1003,114.9442,75.8245,6.0799,3.173,443.0369,2.2528,16.2231,0.9837,36.9
0.92,0.0666,93.6926,74.723,116.1863,74.5446,5.6173,3.6356,429.8074,2.3273,16.2083,0.9844,36.9
0.96,0.0631,93.4837,67.3292,105.8675,72.6088,6.0639,4.0122,490.3654,2.3393,15.4843,0.9799,36.9
1.02,0.0643,98.1717,75.926,106.5633,77.8497,5.7132,3.9221,501.7693,2.4945,16.6047,0.9763,36.9
1.06,0.0724,96.5258,70.7393,115.657,74.7558,5.3871,3.6054,591.0365,2.4707,14.3034,0.9698,36.9
1.12,0.0707,96.3625,71.7755,113.5149,75.8538,5.5778,4.2756,397.1262,2.7117,15.1046,0.9713,36.9
1.16,0.0685,93.1329,70.023,116.1543,75.3543,5.8745,4.0316,280.4445,2.5024,15.2993,0.9811,36.9
1.22,0.0724,93.4012,72.2219,116.7466,77.3487,5.7914,3.7781,512.0887,2.3541,13.6221,0.981,36.9
1.26,0.0622,100.1086,68.8733,113.4273,72.6497,5.9755,3.5278,547.5872,2.5687,12.9056,0.9892,36.9
1.32,0.0694,99.1007,71.0635,116.0105,71.8641,5.5658,3.4941,573.2187,2.4063,15.1108,0.9746,36.9
1.36,0.0578,94.5104,77.5228,107.2142,75.508,6.1605,3.7463,550.2552,2.5453,15.5278,0.9747,36.9
1.42,0.0732,90.8946,79.6441,111.2514,74.6013,5.9215,3.689,602.2042,2.379,14.5891,0.9774,36.9
1.46,0.0804,92.1785,68.5641,117.9105,74.1535,5.5885,3.3373,593.5801,2.2555,12.9489,0.9794,36.9
1.52,0.0856,94.9565,71.377,115.8914,77.3435,5.5524,3.5878,774.0502,2.6231,14.8697,0.9758,36.9
1.56,0.0584,95.4524,70.9564,114.064,69.3935,5.9123,3.7904,462.2486,2.5342,14.5708,0.979,36.9
1.62,0.0658,94.1246,78.697,113.5661,76.9134,5.8695,3.8766,508.4298,2.4911,14.6588,0.9775,36.9
1.66,0.0644,92.2384,76.542,120.372,74.0687,5.6701,3.8072,594.4779,2.4922,12.8363,0.9782,36.9
1.72,0.0661,98.3237,75.9882,118.2555,71.4972,6.0431,3.7335,577.0765,2.5996,13.4297,0.9776,36.9
1.76,0.0654,98.1161,63.5686,110.5342,75.0605,5.2569,3.6893,481.7398,2.4617,15.1518,0.9798,36.9
1.82,0.0802,101.429,63.6601,111.36,74.0446,5.8641,3.451,583.7809,2.415,13.8903,0.9817,36.9
1.86,0.0566,88.2545,73.6713,117.3047,74.6574,5.8658,3.9345,373.0641,2.4531,15.9177,0.9713,36.9
1.92,0.0553,92.2851,73.3047,116.8478,77.0395,5.8968,3.8492,459.1371,2.6503,16.7746,0.9796,36.9
1.96,0.0651,92.9974,65.502,115.1007,69.5141,5.3399,4.1233,317.3549,2.5942,13.6621,0.9763,36.9
2.02,0.0429,96.676,72.3752,116.6811,75.3094,5.4243,3.7694,595.0557,2.5455,12.6731,0.9808,36.9
2.06,0.0667,98.2595,71.9115,112.987,74.6721,5.7001,4.6825,616.7549,2.7942,15.0904,0.9758,36.9
2.12,0.063,91.5159,66.2432,109.2115,75.6408,5.7805,4.4758,351.9439,2.4422,13.7386,0.9812,36.9
2.16,0.0765,98.4423,64.7083,114.0374,73.9157,5.9636,4.5061,523.395,2.7205,13.569,0.9774,36.9
2.22,0.0715,92.7142,75.5798,112.0555,74.8439,5.3543,4.1675,638.1868,2.7017,15.7304,0.9784,36.9
2.26,0.0643,100.5692,71.8513,110.7456,74.8809,6.2398,3.6895,582.237,3.1033,14.4205,0.9785,36.9
2.32,0.0595,97.2562,69.0135,111.8568,78.1475,5.9241,4.2498,575.3122,2.5048,16.0395,0.98,36.9
2.36,0.061,96.3298,79.2834,118.4575,72.0872,5.8106,4.4819,600.1847,2.6111,14.399,0.9809,36.9
2.42,0.0762,101.1891,68.3981,108.2177,70.1556,5.6487,3.4704,467.1696,2.8467,14.1702,0.9788,36.9
2.46,0.0634,87.3732,77.8704,118.3509,73.5284,5.819,3.385,610.0853,2.8287,13.4953,0.9781,36.9
2.52,0.0568,92.3038,77.3003,112.765,75.7244,5.9758,3.6424,601.5208,2.8265,13.924,0.9811,36.9
2.56,0.0596,98.4913,75.1999,112.7047,73.5107,5.6704,4.0313,621.851,2.9101,13.3556,0.9827,36.9
2.62,0.0574,98.4419,76.0781,116.6136,72.1284,5.6644,4.0188,504.8693,3.0728,13.4368,0.9758,36.9
2.66,0.0884,100.7453,71.1663,116.7397,73.7865,5.9277,3.4221,582.3387,2.7018,12.7718,0.9762,36.9
2.72,0.0485,90.9297,77.345,116.5206,74.4896,5.9877,3.8655,508.8264,2.9598,13.0729,0.9879,36.9
2.76,0.0644,93.2086,71.6939,110.9654,74.2656,6.1034,3.8006,544.1609,2.8736,13.9142,0.9764,36.9
2.82,0.0731,103.7776,75.6064,112.4151,75.4363,5.7378,3.8369,748.6429,3.2299,16.0951,0.9841,36.9
