Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0596,97.3964,80.9311,120.1243,74.8514,6.8771,4.1494,603.1234,3.0034,16.9457,0.9747,36.9
0.12,0.0621,97.1238,88.1222,110.8643,78.5296,6.75,3.3911,415.9026,2.7372,14.7283,0.98,36.9
0.16,0.0481,97.2881,89.7627,110.5887,76.3508,6.5523,3.7602,583.3799,3.0675,15.6462,0.978,36.9
0.22,0.0536,89.8308,77.6974,115.4056,75.0114,6.7709,4.0604,496.4955,2.9486,16.0524,0.989,36.9
0.26,0.0505,99.9601,80.5634,114.02,73.6794,7.1032,3.7284,540.2071,3.1258,16.4694,0.9732,36.9
0.32,0.0538,93.9798,85.6358,114.3935,73.8422,7.333,3.9363,458.4532,2.9396,14.8025,0.9787,36.9
0.36,0.0523,94.0792,83.4309,122.6522,76.6745,6.6738,3.8955,566.5776,2.9788,15.6132,0.9802,36.9
0.42,0.0606,97.8136,77.2273,114.4913,74.723,6.815,3.5175,495.7591,3.0449,16.0906,0.9812,36.9
0.46,0.0556,90.9472,88.7195,108.261,74.3231,6.4273,3.4731,299.7594,3.1718,15.3317,0.9829,36.9
0.52,0.0642,94.5018,82.7799,119.8802,73.424,6.8438,3.9337,549.6666,3.1047,15.2559,0.9907,36.9
0.56,0.0477,100.0674,91.823,108.3784,73.0977,6.7171,3.9105,723.0375,3.2136,15.8007,0.9783,36.9
0.62,0.0534,95.1849,88.978,115.0468,74.3693,6.848,3.964,597.3531,3.188,16.0639,0.9802,36.9
0.66,0.0514,91.7733,84.3443,108.7812,75.402,6.8398,3.8441,603.7869,3.2377,17.0223,0.9753,36.9
0.72,0.0512,94.8547,86.8938,114.371,74.7311,7.2698,4.2056,636.2395,3.1165,13.6643,0.9691,36.9
0.76,0.0535,91.619,84.9278,120.2042,74.4208,6.9043,4.2541,683.5519,3.1113,17.0352,0.9759,36.9
0.82,0.049,92.2414,81.0644,114.6273,72.7338,6.6915,3.3704,507.9111,3.3561,14.2751,0.9777,36.9
0.86,0.0582,97.6816,84.2559,110.2833,71.3324,6.4359,4.097,628.557,3.0114,16.2332,0.9836,36.9
0.92,0.0453,97.6802,76.5595,115.1323,70.9203,7.216,4.134,481.7212,3.1521,16.5436,0.9798,36.9
0.96,0.0491,95.3138,81.6251,107.0868,76.9963,6.4758,3.7439,553.5034,3.1905,16.613,0.9844,36.9
1.02,0.0613,95.2463,81.2729,115.7187,74.0028,7.0321,3.9115,731.6068,3.172,16.4069,0.97,36.9
