Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0655,94.6819,74.1877,114.4251,74.9832,5.592,4.0408,629.0056,2.3562,16.2931,0.9767,36.9
0.12,0.0671,94.1946,73.6467,117.6378,74.2248,5.6753,4.085,444.2598,2.3857,16.0144,0.974,36.9
0.16,0.0646,94.9799,74.6444,112.7749,73.1095,5.731,4.2063,480.5731,2.4398,16.0341,0.9756,36.9
0.22,0.0744,94.7886,73.6726,114.1472,74.4319,5.7019,4.2124,485.8868,2.4196,16.7085,0.9746,36.9
0.26,0.073,92.4436,71.8527,115.2403,74.7292,5.5347,4.2453,524.7073,2.3489,16.4863,0.978,36.9
0.32,0.0633,96.267,69.4917,112.9055,75.7758,5.8375,3.7763,549.8765,2.3833,15.8302,0.9787,36.9
0.36,0.0663,95.2389,71.1032,108.2371,74.4883,5.8188,3.7273,400.8738,2.3066,15.3886,0.9742,36.9
0.42,0.0687,95.1587,74.7858,109.4201,77.0365,5.5862,3.6412,350.1093,2.4894,15.7952,0.9753,36.9
0.46,0.0633,95.2938,70.5174,114.2953,75.0114,5.743,4.0353,448.8136,2.3463,16.1395,0.9809,36.9
0.52,0.0732,96.465,74.2637,111.0837,73.6653,5.7796,3.9145,552.7199,2.4165,15.5564,0.9781,36.9
0.56,0.0589,94.5507,73.368,112.9372,73.0795,5.5665,4.0392,481.2378,2.3642,15.8768,0.9785,36.9
0.62,0.0615,95.6345,74.7454,113.1833,73.6458,5.673,3.7848,468.2133,2.4379,17.1476,0.9755,36.9
0.66,0.0585,97.8569,67.8397,109.5998,73.7342,5.8006,3.8035,499.3355,2.4927,16.0658,0.981,36.9
0.72,0.0611,95.3984,74.0502,108.5055,73.2431,5.6783,4.0676,438.8323,2.3958,16.2912,0.9747,36.9
0.76,0.0641,95.5258,74.5816,112.9766,73.9802,5.8736,4.066,478.9081,2.2913,15.4713,0.9793,36.9
0.82,0.0736,95.2138,75.1333,114.6082,73.3172,5.7001,3.8962,477.1513,2.3531,16.0906,0.9788,36.9
0.86,0.0768,99.3164,73.2499,118.5129,75.2158,5.755,3.998,467.9319,2.3155,16.8439,0.9788,36.9
0.92,0.0645,95.1618,72.5298,112.4806,74.1534,5.6372,3.9618,453.9565,2.3143,15.9584,0.9739,36.9
0.96,0.0696,95.6156,71.9819,116.917,74.7777,5.6645,3.912,420.7138,2.3176,17.3505,0.9769,36.9
1.02,0.067,94.5893,73.6023,111.4989,74.6945,5.5314,3.9189,518.8622,2.3202,16.4957,0.9792,36.9
1.06,0.0685,93.5464,72.3277,112.9072,74.5424,5.6049,3.9402,574.7968,2.4488,15.8834,0.9775,36.9
1.12,0.0574,94.9897,70.7727,114.3301,74.5148,5.7286,4.0773,512.5563,2.4163,16.9872,0.9804,36.9
1.16,0.0669,95.9172,74.3341,113.1619,73.9261,5.7939,4.0007,428.7529,2.5502,16.431,0.9762,36.9
1.22,0.0669,94.1515,70.1582,112.3706,73.5219,5.6806,3.7736,482.5347,2.3318,16.5249,0.9819,36.9
1.26,0.0648,92.519,75.5587,111.6197,74.3507,5.5858,3.9921,488.6075,2.517,15.7293,0.9748,36.9
1.32,0.0592,94.2855,70.0924,116.5675,74.8581,5.6929,3.7187,464.0892,2.4137,17.2504,0.9829,36.9
1.36,0.0681,94.3493,70.7081,112.5186,75.5171,5.6072,3.87,513.8658,2.5103,16.9197,0.9799,36.9
1.42,0.068,94.3248,75.2194,112.042,73.3548,5.6978,3.8085,421.6094,2.5827,16.3716,0.9784,36.9
1.46,0.0683,93.4174,73.1796,114.0902,73.0914,5.7675,3.794,516.2819,2.5325,17.3818,0.976,36.9
1.52,0.0718,95.9372,71.4201,113.5767,75.3439,6.0548,3.8466,530.7306,2.5759,17.0386,0.9803,36.9
1.56,0.0745,95.5218,74.5051,114.8686,73.2882,5.9438,3.6928,467.4225,2.6274,17.0481,0.9749,36.9
1.62,0.068,94.048,74.4293,115.0866,73.426,5.641,4.0749,481.5971,2.65,16.3892,0.9743,36.9
1.66,0.0665,93.5024,77.7191,113.0204,74.2063,5.8691,3.94,542.2242,2.6202,16.6937,0.9833,36.9
1.72,0.0694,94.6465,71.2415,117.6233,74.4578,5.8222,3.7972,460.0591,2.7495,16.6268,0.9758,36.9
1.76,0.0653,96.3968,66.9225,113.9674,74.2265,5.9117,3.6753,393.7227,2.7646,17.0579,0.9748,36.9
1.82,0.0645,93.4273,72.1593,114.8442,74.6869,5.9821,4.0443,492.3452,2.7911,17.3228,0.9798,36.9
1.86,0.0765,94.7264,76.0196,116.054,74.9317,5.7256,4.0615,455.1548,2.6837,16.553,0.9773,36.9
1.92,0.0661,95.3118,70.7181,112.056,75.5796,5.7822,4.0815,433.2162,2.7215,16.3831,0.9806,36.9
1.96,0.0717,96.7457,75.0244,112.8227,74.5815,5.7509,3.9025,500.5825,2.8859,16.8697,0.975,36.9
2.02,0.0622,97.3412,74.1249,112.6288,74.2573,5.9508,3.6822,586.9271,2.8246,16.8366,0.9757,36.9
2.06,0.0709,95.2983,72.4068,113.3034,73.2515,5.9294,3.9619,383.8694,2.778,17.0055,0.9763,36.9
2.12,0.0674,97.096,72.2505,110.1211,75.7179,6.1084,3.6639,446.2409,2.8564,16.3296,0.9749,36.9
2.16,0.0667,96.504,71.82,114.4823,74.4757,5.7329,3.9614,532.399,2.9919,16.4631,0.9789,36.9
2.22,0.0704,97.9354,72.621,110.2022,74.9065,5.8416,3.5199,461.0144,2.8799,16.862,0.9823,36.9
2.26,0.0592,95.5737,73.8785,115.7734,75.2626,5.961,3.9718,438.7585,2.7982,16.2902,0.9799,36.9
2.32,0.0639,93.8477,72.2462,110.2606,74.1276,5.7295,4.1353,480.2368,2.7888,16.039,0.9769,36.9
2.36,0.0626,94.9035,70.4651,106.9312,74.8894,5.7829,3.7656,484.4694,2.825,16.3417,0.9774,36.9
2.42,0.0693,95.2908,71.4409,113.5622,76.099,5.7926,4.1209,489.0555,2.8287,16.1294,0.9785,36.9
2.46,0.0649,94.8138,75.8768,110.9349,74.6424,6.0617,3.8295,450.9498,2.7782,17.1631,0.9806,36.9
2.52,0.0668,94.6298,72.1193,112.3508,74.6075,5.7855,3.4886,509.6668,2.7108,15.8897,0.9786,36.9
2.56,0.059,96.4989,71.5222,108.3274,75.0629,5.8505,4.1015,493.8099,2.5401,16.1011,0.9752,36.9
2.62,0.0641,95.9398,71.0789,112.6,74.2819,5.8668,4.0827,471.4503,2.6094,17.3007,0.9823,36.9
2.66,0.0719,93.1724,72.6053,112.5174,72.475,5.8756,4.1701,532.8996,2.5188,16.6196,0.9788,36.9
2.72,0.0639,93.7166,73.7318,110.7553,74.4716,5.7537,4.1663,437.0453,2.5794,15.8811,0.9741,36.9
2.76,0.0714,96.405,72.8217,115.4896,74.9868,5.7307,4.0701,487.1586,2.5013,17.1821,0.9779,36.9
2.82,0.0627,92.7235,71.6531,111.7671,73.2735,5.5923,3.8705,501.9862,2.5634,16.363,0.9781,36.9
2.86,0.0617,97.3726,70.0891,113.6872,74.8599,5.7623,3.6832,468.6233,2.5035,16.9071,0.9821,36.9
2.92,0.0582,96.0125,73.8484,112.2669,73.321,5.9298,3.7741,437.1175,2.5441,16.7296,0.9764,36.9
2.96,0.0614,94.8953,73.8693,113.6619,72.6755,5.8813,3.8159,466.1276,2.4537,16.6637,0.9765,36.9
3.02,0.0656,95.202,72.2234,113.8524,74.5187,5.8735,3.9436,486.9175,2.4193,17.2966,0.9828,36.9
3.06,0.0689,95.5855,75.3279,117.8122,73.9156,5.6828,3.8429,506.7936,2.4902,16.7267,0.9759,36.9
3.12,0.0718,93.2594,70.2891,114.433,73.2117,5.8632,3.7531,496.7364,2.4401,16.4006,0.9723,36.9
3.16,0.0689,94.4946,72.4505,114.1534,73.1808,6.1305,3.7588,551.3356,2.4413,16.4408,0.9774,36.9
3.22,0.0638,96.0728,76.7636,109.9126,74.1698,5.706,4.0593,540.8389,2.3733,16.3853,0.9738,36.9
3.26,0.0647,95.9323,71.4934,112.2307,74.9051,5.8068,4.1932,548.2803,2.5368,16.1115,0.981,36.9
3.32,0.0724,95.2643,76.6913,112.1454,74.0734,5.9455,3.809,558.0778,2.3409,15.4408,0.978,36.9
3.36,0.0647,93.6257,71.6846,113.3052,76.0523,5.9184,3.9917,501.9858,2.3719,16.7644,0.9848,36.9
3.42,0.0655,92.7801,71.7192,114.2236,73.9588,5.6054,4.0801,539.7079,2.3611,16.0141,0.9761,36.9
3.46,0.0716,96.0336,69.6081,115.0961,73.9283,5.9215,4.048,474.7832,2.3987,16.4841,0.9777,36.9
3.52,0.065,94.884,73.6165,115.198,74.2116,5.4825,3.8941,544.6093,2.4226,17.7471,0.9764,36.9
3.56,0.0686,93.7676,71.8854,114.0302,74.2272,5.6454,4.0891,468.3745,2.4437,16.6174,0.9783,36.9
3.62,0.0579,94.8258,73.4481,113.2233,73.6476,5.426,4.0814,548.1915,2.5191,15.9851,0.9777,36.9
3.66,0.0636,96.1022,69.853,113.3259,72.9353,5.947,3.6785,403.0,2.4324,15.9944,0.9773,36.9
3.72,0.0638,96.8603,70.6426,111.1368,75.9473,5.9892,3.8431,436.0955,2.4167,15.979,0.9777,36.9
3.76,0.0658,95.7315,70.9899,110.3761,75.1654,5.7217,3.3316,544.5892,2.4444,16.3835,0.9792,36.9
3.82,0.067,100.1016,73.447,113.7743,73.1437,5.8794,4.1067,430.9058,2.3378,15.8682,0.9755,36.9
3.86,0.0604,94.2267,70.5498,111.972,75.4547,5.7632,3.716,456.9699,2.2698,16.3148,0.9797,36.9
3.92,0.0635,96.153,71.0338,111.9021,73.9048,5.7826,3.7388,435.4901,2.5284,16.5398,0.9764,36.9
3.96,0.0615,92.1066,72.1926,117.1107,73.6044,5.8815,4.0646,578.9147,2.346,16.2483,0.9765,36.9
4.02,0.0656,93.8334,74.088,111.9511,74.9258,5.924,4.0976,535.04,2.5116,17.1969,0.9796,36.9
4.06,0.0594,95.6572,70.7177,113.8418,74.0791,5.8334,3.8289,530.5918,2.3411,16.8695,0.9816,36.9
