Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.1155,94.3486,47.4175,109.7542,73.7801,4.1748,3.9435,443.5416,2.9111,12.8664,0.9732,37.0
0.12,0.1034,96.4508,50.846,105.6278,74.0761,4.089,3.4723,645.1933,2.7296,12.8244,0.9818,37.0
0.16,0.0979,95.741,47.3187,111.4621,71.1173,3.9557,3.9957,428.1344,2.4581,12.4243,0.9747,37.0
0.22,0.0971,88.3151,54.1464,116.3421,76.2015,4.0951,3.3537,618.1164,2.6334,13.3377,0.9765,37.0
0.26,0.1078,93.8981,43.0582,111.8739,76.4712,3.939,4.1755,347.5489,2.5817,11.9388,0.9777,37.0
0.32,0.0734,92.3249,51.7393,111.7773,75.2095,3.9467,4.1019,547.1291,2.5663,13.0025,0.9773,37.0
0.36,0.108,91.164,47.6953,117.9715,74.7022,3.9655,4.4668,433.217,2.5507,11.8524,0.9743,37.0
0.42,0.1048,100.8121,46.107,118.8389,69.6349,4.1782,3.936,466.8331,2.6869,12.3806,0.9701,37.0
0.46,0.1091,90.0809,46.5753,110.4941,75.01,3.9797,4.1056,771.5015,2.5145,13.3892,0.9781,37.0
0.52,0.1135,94.7397,50.9701,111.5131,74.4473,3.8978,3.8425,644.3531,2.5839,12.3701,0.9749,37.0
0.56,0.1013,99.3428,48.9104,111.2965,73.8255,3.8158,4.135,730.9846,2.7041,11.679,0.975,37.0
0.62,0.1216,93.0888,47.3609,112.8424,71.8073,3.7398,4.8016,736.5192,2.9447,10.5249,0.9742,37.0
0.66,0.0932,95.1947,45.8275,105.6971,71.4086,4.095,3.7487,340.8291,2.4209,12.5721,0.9755,37.0
0.72,0.1057,93.1003,52.758,114.4737,74.7954,4.0885,4.6318,444.2366,2.5265,12.1742,0.9817,37.0
0.76,0.0955,93.1254,45.7152,108.2713,74.0668,4.0852,3.7307,667.3967,2.593,12.0481,0.9816,37.0
