Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0612,94.4009,73.3951,112.9076,74.9472,5.6475,4.056,437.1028,2.4918,14.6818,0.9777,36.9
0.12,0.0645,96.6086,74.0714,116.2424,72.7504,6.1499,4.444,586.3394,2.7928,16.4799,0.9944,36.9
0.16,0.0739,94.8919,74.6015,113.2678,75.2028,6.1086,3.9961,502.7267,3.0724,16.9666,0.9767,36.9
0.22,0.0696,98.6545,72.4138,112.7246,75.3333,5.2154,4.0566,258.7333,2.5968,15.3938,0.9803,36.9
0.26,0.068,91.8429,74.7603,116.5929,74.8889,6.1253,4.0441,416.8809,2.7757,16.0285,0.9846,36.9
0.32,0.0667,96.3966,69.2395,110.5586,72.3255,5.6035,4.3292,592.2554,2.4887,16.2686,0.9835,36.9
0.36,0.0571,95.4623,60.0966,113.5157,77.7922,5.9521,3.6802,608.4325,2.8261,17.4219,0.9787,36.9
0.42,0.0663,97.5736,72.8013,112.0156,72.1812,6.0118,3.9786,493.6697,2.7968,16.7458,0.9826,36.9
0.46,0.0629,98.6135,69.2044,120.5257,70.7178,5.6211,3.9295,534.2792,2.736,17.1383,0.9793,36.9
0.52,0.0698,96.3285,70.7818,112.4345,74.1251,5.6762,3.4931,420.0843,3.0104,16.0836,0.9824,36.9
0.56,0.0789,93.6184,71.8612,111.5049,75.6406,6.0777,4.4518,578.6797,2.9322,15.5045,0.9772,36.9
0.62,0.069,96.8234,73.1894,118.9091,73.0964,5.7325,3.781,479.2997,2.8751,15.5846,0.9744,36.9
0.66,0.0706,92.8891,67.8472,115.5404,76.2147,5.4797,3.9346,425.7271,3.1535,13.0943,0.9776,36.9
0.72,0.0554,96.4176,78.617,113.1595,75.3118,6.0339,4.0927,518.953,3.1506,15.8182,0.9824,36.9
0.76,0.0674,96.5219,66.1964,113.4146,72.5004,5.6841,3.8312,462.7326,2.9861,16.9228,0.9859,36.9
0.82,0.0649,95.997,75.7056,114.0903,76.897,5.8381,3.3863,538.0624,3.1138,16.1706,0.9792,36.9
0.86,0.0632,98.4133,70.3311,116.1379,76.8025,6.2274,4.0148,572.8691,2.9013,16.2899,0.9801,36.9
0.92,0.0749,97.3799,72.9886,117.9989,74.4532,5.363,4.1011,515.7505,2.9133,17.1655,0.9854,36.9
0.96,0.0703,97.6465,66.4789,107.5071,73.3158,6.2524,4.3097,420.2803,2.8975,17.0074,0.9641,36.9
1.02,0.0703,100.3316,71.5514,115.5989,74.1754,5.5885,3.772,633.2869,3.1521,15.8239,0.9778,36.9
1.06,0.0649,100.8823,70.3373,108.0081,77.9881,5.6709,4.0455,498.5239,3.0153,16.37,0.9816,36.9
1.12,0.0584,93.2448,71.9583,114.9032,74.1942,6.2068,3.8603,563.8358,3.0413,15.4128,0.9744,36.9
