Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0405,103.9581,105.4703,118.127,79.6338,8.8018,4.1856,523.7249,2.5359,14.7388,0.9813,36.9
0.12,0.0431,103.7487,107.3511,115.8289,81.0823,8.6807,4.1374,547.6336,2.6101,13.6953,0.9801,36.9
0.16,0.0425,102.0375,115.2549,124.2225,81.016,8.3069,3.9076,460.8869,2.439,15.3092,0.9789,36.9
0.22,0.0369,102.3655,110.3409,121.7505,80.4013,9.0242,3.91,653.3124,2.5371,14.4099,0.986,36.9
0.26,0.0397,100.9561,113.6986,122.3409,80.9602,8.7768,4.1923,572.4565,2.6646,14.5298,0.9813,36.9
0.32,0.0407,104.0427,115.8795,120.0057,81.2445,9.6503,4.3126,460.6827,2.645,15.0772,0.9831,36.9
0.36,0.0397,102.7497,109.3877,120.7512,81.5088,8.6697,3.905,472.9373,2.5639,14.7976,0.9817,36.9
0.42,0.0408,103.2546,108.8724,121.2734,79.7447,8.7975,3.9607,574.5303,2.6568,15.3984,0.9764,36.9
0.46,0.0359,102.4224,108.3378,119.424,81.4779,8.2346,4.2761,557.6135,2.6629,14.6161,0.9801,36.9
0.52,0.0384,101.5404,107.678,121.7496,79.0448,9.2568,3.9537,512.3797,2.5315,14.8555,0.9789,36.9
0.56,0.0437,102.4458,113.4577,120.9333,79.9559,8.8601,4.2893,530.9788,2.5903,14.6903,0.9806,36.9
0.62,0.0387,103.6238,108.7568,119.8058,81.8233,8.7935,3.9081,627.1896,2.5855,14.9533,0.98,36.9
0.66,0.0404,103.6368,109.0066,122.5522,80.3023,8.8141,4.0288,634.3234,2.6093,14.5956,0.9763,36.9
0.72,0.0405,103.9288,108.4078,122.6523,81.4577,9.1407,4.1901,517.5294,2.5516,13.9874,0.9762,36.9
0.76,0.0439,100.2246,111.8457,123.9763,79.358,9.0031,4.3456,510.9542,2.6522,15.0368,0.9751,36.9
