Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0604,91.5093,69.8364,122.6784,75.1313,4.8845,4.0099,763.7012,2.96,10.247,0.9682,36.9
0.12,0.0664,93.3974,80.4066,117.4592,80.1252,5.8094,3.2616,451.1549,2.644,13.9741,0.9666,36.9
0.16,0.0564,99.0373,72.1948,114.5754,68.576,5.4031,4.4594,727.4889,2.8933,11.4424,0.9821,36.9
0.22,0.0686,98.2513,65.5525,113.2107,76.756,5.1834,3.3714,715.3932,3.3592,12.1819,0.9805,36.9
0.26,0.0521,95.2441,66.7453,110.8692,72.0209,5.9802,3.314,449.2285,2.2844,11.2165,0.9718,36.9
0.32,0.0487,92.4125,73.0493,118.4936,74.8588,4.8137,4.0641,341.0846,2.6553,13.9999,0.9774,36.9
0.36,0.0435,98.19,69.5059,121.1736,69.4248,6.0364,3.9462,972.0584,2.6228,14.5208,0.9785,36.9
0.42,0.0549,97.685,63.0348,120.7915,79.3576,5.818,4.2652,793.0426,2.7633,11.3328,0.9788,36.9
0.46,0.0715,91.4182,62.7124,117.4385,75.6997,5.848,3.7804,639.7383,2.5909,15.1938,0.9812,36.9
0.52,0.0649,98.6393,69.4579,107.3587,72.6803,5.9538,3.9881,824.0453,2.8361,12.7197,0.9858,36.9
0.56,0.0619,97.7503,75.8355,114.0305,76.8206,4.8836,3.2459,739.1207,3.0566,10.2932,0.9739,36.9
0.62,0.0778,102.3067,79.3539,117.9776,73.3521,6.1157,3.9925,272.4572,2.1706,14.8034,0.9852,36.9
0.66,0.0739,90.007,68.1268,111.4689,77.2588,5.4358,3.7009,642.3757,2.9634,11.6548,0.9762,36.9
0.72,0.0641,90.0226,68.6681,107.591,70.83,5.1885,4.0405,451.9381,2.9289,12.429,0.9855,36.9
0.76,0.0677,99.0592,75.5317,108.395,76.2269,5.7641,4.0083,515.4462,2.7764,12.7665,0.9826,36.9
0.82,0.0557,88.5747,73.0982,95.6418,74.4007,5.7971,4.1113,664.4189,2.9201,13.4184,0.9812,36.9
0.86,0.0747,92.7913,73.9368,122.445,76.5943,6.6227,4.1772,982.2515,3.0197,14.5763,0.9846,36.9
0.92,0.0603,92.8964,72.0448,116.734,81.2832,5.009,3.5272,820.9425,2.8509,11.9385,0.9773,36.9
0.96,0.0899,94.6773,74.0117,107.1748,75.009,5.719,3.6093,632.2779,3.0069,11.3085,0.9799,36.9
1.02,0.0547,89.4638,75.6981,118.2598,70.9506,6.1073,3.6278,591.0607,3.1631,11.5554,0.9766,36.9
1.06,0.0867,93.0359,69.2837,120.6325,74.9833,6.4075,3.685,564.5448,2.9151,10.8544,0.9764,36.9
1.12,0.0585,89.8327,68.3168,109.8458,72.1092,5.5117,3.6123,695.4789,3.4252,11.4245,0.9862,36.9
1.16,0.0796,95.1115,72.1946,117.1378,64.1431,5.8219,4.7438,742.8457,2.8374,13.6175,0.968,36.9
1.22,0.0591,87.8608,66.9198,118.206,77.6131,5.9846,3.4528,419.0612,3.0124,11.8366,0.9711,36.9
1.26,0.0958,93.2229,72.7364,109.7108,72.7233,6.3727,3.4209,547.1074,3.1519,11.4554,0.9807,36.9
1.32,0.0702,96.2414,63.8135,108.3724,73.5875,5.9332,3.9636,513.5971,3.4264,10.967,0.9831,36.9
1.36,0.079,87.2553,80.4614,119.6089,77.5216,5.7564,3.7188,649.0288,3.3208,14.0579,0.9706,36.9
1.42,0.0623,96.8226,76.7784,118.4304,77.2697,5.9449,3.2218,755.2986,3.2522,12.7269,0.976,36.9
1.46,0.0616,99.8922,78.6896,121.0578,72.445,5.2727,3.3279,637.1154,3.1638,11.3023,0.9868,36.9
1.52,0.0532,92.7297,82.1819,112.8353,74.6301,6.8852,4.0473,768.2672,3.3741,12.0895,0.9738,36.9
1.56,0.0798,96.4205,76.724,116.7291,82.1536,5.1523,3.3895,833.5405,3.4521,11.995,0.9866,36.9
1.62,0.0463,101.9035,63.3832,127.3061,73.6655,5.9258,4.2148,682.6568,3.1061,12.2832,0.9768,36.9
1.66,0.0764,93.6197,69.1272,120.6676,71.6214,5.2516,3.782,615.8139,3.5482,12.9495,0.9839,36.9
