Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0607,95.9352,70.428,107.412,77.9853,6.1534,3.4302,620.9428,2.8328,15.9857,0.9727,36.9
0.12,0.0685,92.9132,72.8091,107.6441,79.4745,6.2159,4.6431,854.1455,2.9394,17.6718,0.9955,36.9
0.16,0.079,95.6338,67.255,115.3685,76.8569,5.7541,3.5614,479.5584,2.6797,14.5734,0.9689,36.9
0.22,0.0594,91.9371,71.4724,107.8549,72.4663,5.8079,3.7398,841.8311,2.5162,16.2274,0.9933,36.9
0.26,0.0664,94.7958,65.9944,116.805,71.6874,5.6882,3.6003,643.0652,2.8168,14.0415,0.9917,36.9
0.32,0.0678,93.2546,70.182,108.2613,77.4477,6.1994,4.1673,247.6046,2.7727,17.1395,0.9773,36.9
0.36,0.0727,98.3751,65.5769,117.7731,73.5442,5.5258,4.0366,566.4636,2.767,14.9012,0.9721,36.9
0.42,0.0777,95.0997,71.1023,116.079,73.148,6.5477,3.5206,510.8352,2.8225,15.3658,0.992,36.9
0.46,0.0704,89.9489,76.219,114.2184,72.1981,6.4067,4.0242,448.5891,2.6879,14.5516,0.9794,36.9
0.52,0.0618,102.3468,65.6218,123.2442,72.5877,5.6684,3.6128,528.9227,2.8235,15.8002,0.9877,36.9
0.56,0.053,86.5159,71.0846,114.0931,73.25,6.0215,3.5005,466.2182,2.809,11.2849,0.9881,36.9
0.62,0.0603,96.2746,71.055,110.5279,78.4806,5.7748,3.6338,501.5112,3.0425,17.1462,0.9756,36.9
0.66,0.0757,94.2427,74.8555,121.1635,77.0404,5.4259,4.1658,345.8252,3.1681,16.5331,0.9784,36.9
0.72,0.0654,94.0909,73.1205,116.5302,71.3175,5.8539,3.9252,514.1104,3.1979,15.1013,0.9722,36.9
0.76,0.0726,97.9581,73.994,99.4387,77.0346,5.8898,3.6707,489.4149,2.9521,16.1421,0.9742,36.9
0.82,0.0727,91.7959,71.2043,118.8415,77.5285,6.2608,3.5908,533.7489,2.8685,16.2921,0.9806,36.9
0.86,0.0559,89.8351,80.0075,117.8911,72.9181,5.5029,3.6791,539.6868,3.1485,16.3193,0.9877,36.9
0.92,0.0671,90.7095,70.3583,110.5089,73.2719,5.3621,3.6899,326.8206,2.8191,15.3609,0.9848,36.9
0.96,0.0735,99.7845,64.8205,120.432,71.6356,6.205,3.6364,417.5754,2.9752,16.9666,0.9744,36.9
1.02,0.0733,92.5759,78.676,117.8447,73.9493,5.0186,3.8748,517.1859,2.9911,14.7569,0.9688,36.9
1.06,0.0524,102.0863,80.8989,121.3607,76.3504,6.1554,3.5944,446.4222,3.2696,16.2119,0.9859,36.9
