Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0406,95.4958,119.2244,114.4408,76.7898,9.2515,4.1549,388.0385,3.1335,16.8071,0.9857,36.9
0.12,0.0406,96.2639,97.0545,114.2379,70.7648,9.3778,3.5832,463.0743,2.9887,18.8913,0.9838,36.9
0.16,0.0407,97.7889,108.4117,116.1926,72.2724,8.5008,4.5966,649.5842,3.123,18.1108,0.9705,36.9
0.22,0.0353,91.5323,98.5461,115.1097,73.8294,8.5241,3.8889,563.6628,2.945,19.5648,0.9853,36.9
0.26,0.0453,91.2034,101.0913,118.2113,74.8205,9.5027,4.0555,443.329,3.1172,18.2811,0.969,36.9
0.32,0.0395,93.7473,115.5449,117.9154,73.4044,8.2496,3.989,311.9402,2.9165,18.0499,0.9796,36.9
0.36,0.0392,98.0426,103.0117,118.7855,72.9208,9.0433,4.3496,449.4637,3.0453,21.1323,0.9838,36.9
0.42,0.0478,100.1524,125.6375,117.7949,72.9882,9.1384,4.0511,267.6848,3.1341,19.5897,0.9863,36.9
0.46,0.0365,97.4037,116.6113,114.7815,75.8081,9.565,3.5798,461.2118,2.9138,21.3197,0.9813,36.9
0.52,0.0412,96.7131,116.719,111.9336,73.3156,9.4848,3.8004,546.0075,2.8517,19.1584,0.9659,36.9
0.56,0.0427,93.1028,122.5493,112.3263,75.4645,8.9605,3.4986,372.6261,2.6933,19.1585,0.9876,36.9
0.62,0.0389,98.7711,114.3765,109.3045,76.1309,7.376,3.9871,420.8138,2.6503,19.9919,0.9826,36.9
0.66,0.0477,96.9555,106.0277,109.4812,73.5159,8.3401,4.2707,371.6663,2.7191,18.5921,0.9827,36.9
0.72,0.0375,96.824,114.4238,109.9659,72.8226,8.4425,4.4363,571.9402,2.8243,19.388,0.9849,36.9
