Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0717,99.9563,79.8196,104.8725,76.6412,5.777,3.4523,522.937,2.4707,15.2807,0.9836,36.8
0.12,0.0769,97.2881,74.2414,118.3623,74.0871,5.5168,4.054,370.7497,2.4588,15.3828,0.9814,36.8
0.16,0.0622,89.0468,75.0932,108.6672,71.8283,5.9482,3.8471,398.5593,2.4809,16.1148,0.9789,36.8
0.22,0.0651,98.6389,71.2868,107.6088,72.9657,5.2559,3.7447,453.5156,2.4634,16.9724,0.986,36.8
0.26,0.0743,94.0797,68.6814,110.4623,74.4472,5.4157,3.8378,630.5329,2.5578,17.7628,0.981,36.8
0.32,0.0712,89.5423,72.7659,117.3239,72.7477,5.8945,3.5645,471.4652,2.473,15.9321,0.9932,36.8
0.36,0.0717,102.4298,74.225,121.7248,73.4533,5.9702,3.7273,337.2401,2.5874,18.8765,0.9821,36.8
0.42,0.0651,94.239,75.8396,113.5274,70.9642,5.6411,4.1493,365.4762,2.6295,13.8888,0.9807,36.8
0.46,0.0758,89.1831,78.3667,108.5789,78.3455,5.2769,3.8475,496.2456,2.5692,16.4135,0.9885,36.8
0.52,0.0665,96.9885,72.3538,109.1794,75.3605,5.3527,3.6576,605.2111,2.6113,17.2363,0.9811,36.8
0.56,0.0614,90.4885,67.8248,112.7692,73.7049,5.2669,4.1956,500.2547,2.6042,16.0362,0.9768,36.8
0.62,0.0674,99.2844,76.2144,119.3398,75.3086,6.099,4.6522,372.1093,2.6502,16.747,0.9843,36.8
0.66,0.0725,97.6285,75.3605,116.2576,69.1067,5.651,3.9743,492.5462,2.5868,15.5551,0.9729,36.8
0.72,0.0755,99.4277,68.278,110.8843,73.3418,5.5331,3.9372,476.6053,2.6771,16.0027,0.9817,36.8
0.76,0.0711,93.282,77.4455,109.1042,73.977,6.1016,4.1286,513.0365,2.8443,14.7866,0.9771,36.8
0.82,0.0737,92.3959,66.9747,110.356,74.2954,6.1313,3.8579,434.9938,2.5389,14.4393,0.9763,36.8
0.86,0.0783,95.6131,73.6126,117.0908,78.1681,5.8059,3.6366,647.1669,2.6856,14.3701,0.9854,36.8
0.92,0.0711,91.8444,78.807,113.1835,71.5702,5.8229,4.1127,463.3984,2.3256,13.684,0.9849,36.8
0.96,0.0566,95.3724,69.6682,115.1914,74.8385,5.7522,3.3859,285.7987,2.5887,17.1989,0.9844,36.8
1.02,0.0751,94.5469,71.6794,115.6199,75.2177,5.6227,4.245,490.4716,2.4305,15.3871,0.9815,36.8
1.06,0.0619,93.5441,65.6388,114.2046,74.6751,5.8575,3.4938,442.5913,2.3539,16.1864,0.9744,36.8
1.12,0.0575,102.3248,78.3399,115.0796,69.6522,5.6643,3.9282,451.3424,2.2748,15.4341,0.9825,36.8
