Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0667,94.4098,69.9209,118.1139,76.9076,6.0196,3.4993,494.0175,2.4564,17.0954,0.9686,36.9
0.12,0.0617,99.1164,72.6343,120.1294,76.3801,5.7595,3.8635,479.3434,2.7192,14.2522,0.9734,36.9
0.16,0.073,98.7103,68.1002,114.0679,75.8259,5.9315,3.7584,538.2033,2.5431,17.4413,0.9732,36.9
0.22,0.0731,92.6231,72.3992,110.3355,74.2915,5.3043,4.1594,431.3051,2.7522,15.4627,0.9817,36.9
0.26,0.0715,97.355,74.9122,122.437,73.4751,6.2943,3.9521,644.2858,2.8201,16.4206,0.9787,36.9
0.32,0.0706,94.9829,70.8924,112.8602,77.6414,5.9413,3.6524,689.5741,2.7294,16.2569,0.9757,36.9
0.36,0.0824,96.3248,71.21,118.1388,74.0122,5.9185,3.5681,656.1376,2.7189,15.1222,0.982,36.9
0.42,0.0647,91.1083,73.0425,108.4262,72.9021,5.7741,3.8662,559.3598,2.7197,14.6935,0.9819,36.9
0.46,0.0756,97.9351,69.7518,113.6769,74.4721,5.5483,3.7019,593.7492,2.7129,14.9659,0.9736,36.9
0.52,0.0652,96.9312,68.2245,122.8062,73.8846,5.6346,4.2344,657.368,2.8228,15.2761,0.9832,36.9
0.56,0.0597,97.4856,76.4743,117.8979,75.7314,5.8508,3.9643,584.4541,2.8739,15.8545,0.9827,36.9
0.62,0.0793,95.1607,72.7973,105.1622,75.0872,5.2442,4.0162,579.0957,2.9755,15.293,0.9813,36.9
0.66,0.0779,96.6204,70.6171,122.605,74.3667,5.2229,4.2725,517.692,3.0605,16.3574,0.9742,36.9
0.72,0.0699,93.442,73.1261,123.7766,73.7436,5.2315,3.8549,579.6116,2.9281,14.4918,0.9821,36.9
0.76,0.076,92.0028,71.2095,118.8768,73.6838,5.6953,3.8618,508.5243,2.9866,16.8401,0.9673,36.9
0.82,0.0666,94.9856,67.2714,115.95,73.9124,5.9576,3.9796,498.2245,3.1563,15.1746,0.9802,36.9
0.86,0.0655,93.864,75.7266,109.3598,76.4393,5.9587,3.7496,477.8136,2.9112,15.765,0.9727,36.9
0.92,0.0655,95.2743,69.226,113.0184,75.315,5.8896,3.7606,546.6802,2.936,15.3453,0.9797,36.9
0.96,0.0684,99.6051,69.2484,113.4791,76.1695,5.3588,4.2891,318.2787,2.9492,14.4497,0.9774,36.9
1.02,0.0758,92.9316,69.2558,114.1103,73.7154,5.9239,3.85,456.8165,3.0411,14.3616,0.9719,36.9
1.06,0.0685,98.8409,86.3005,114.5512,72.4721,5.5814,3.655,538.1761,3.116,16.0457,0.978,36.9
