Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0707,94.7808,71.5041,113.3884,72.907,5.5855,3.9755,411.3337,2.2467,16.6049,0.981,36.8
0.12,0.07,93.7834,72.4569,112.1178,74.3982,5.6513,3.8475,422.997,2.3455,16.2072,0.9812,36.8
0.16,0.067,92.7038,75.2484,113.5013,72.0224,5.8003,3.7298,420.5151,2.6137,16.3779,0.9811,36.8
0.22,0.0683,95.4044,71.1779,112.9563,74.7735,5.6461,3.8667,442.3933,2.2708,16.1327,0.9797,36.8
0.26,0.0679,92.2497,74.1306,109.7365,73.1892,5.8359,3.9437,448.2895,1.9958,16.5245,0.9803,36.8
0.32,0.0678,94.9587,70.9465,112.8319,74.6453,5.5796,3.9566,418.0425,2.1816,16.3537,0.9818,36.8
0.36,0.0697,97.3255,73.3434,117.4899,72.8905,5.438,3.6526,400.4477,2.4359,16.4472,0.9802,36.8
0.42,0.0712,94.6975,74.7971,114.7818,74.2726,5.859,3.5189,461.7842,2.5884,16.2464,0.9812,36.8
0.46,0.0679,96.7367,69.326,114.9945,74.1174,5.9353,3.8261,422.6145,2.5375,16.2413,0.9799,36.8
0.52,0.0704,94.3348,70.7419,112.8962,74.4203,5.6737,3.8246,435.9859,2.4843,16.3985,0.9816,36.8
0.56,0.0688,94.2785,70.6857,115.9045,73.0297,5.6783,3.7032,425.0703,2.6652,16.3036,0.9795,36.8
0.62,0.0715,94.3639,70.2041,113.7232,71.9726,5.769,3.74,432.3723,2.3065,16.3426,0.9815,36.8
0.66,0.065,94.3843,74.9378,113.174,72.2824,5.6065,3.8009,451.7535,2.3195,16.1231,0.9802,36.8
0.72,0.0738,94.4802,71.4354,106.0026,72.9379,5.5668,3.9803,441.2173,2.2548,16.0975,0.9822,36.8
0.76,0.0732,94.5335,73.0151,113.5428,71.8218,5.7942,4.1333,446.2762,2.0713,16.0051,0.9814,36.8
0.82,0.0664,94.9626,71.3142,114.8171,73.3482,5.8444,4.0775,422.0664,2.0022,16.1094,0.9813,36.8
0.86,0.0661,93.7603,72.1096,116.321,72.9554,5.7292,3.7094,432.128,2.3658,16.0731,0.9809,36.8
0.92,0.0666,94.8449,70.7018,112.1287,74.3835,5.5375,3.8656,410.1244,2.2538,15.9406,0.9817,36.8
0.96,0.0641,93.6981,71.9569,112.0871,72.9628,5.6887,3.8831,417.6627,1.9279,16.0696,0.9815,36.8
1.02,0.0627,95.9689,74.3912,111.7562,71.9084,5.9132,3.9675,423.3877,2.1487,16.3283,0.9795,36.8
