Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0669,95.4762,71.8453,112.7915,74.4201,5.7256,3.8686,470.365,2.5608,16.2665,0.9789,36.9
0.12,0.0664,95.9876,72.9201,112.5303,74.9057,5.7317,3.8757,469.3271,2.5505,16.3287,0.9795,36.9
0.16,0.0666,96.0442,72.9912,112.6411,74.7122,5.7754,3.7849,474.9942,2.5211,16.2629,0.9795,36.9
0.22,0.0658,95.0532,71.9048,111.5467,74.6342,5.6991,3.8319,481.2299,2.5524,16.2376,0.979,36.9
0.26,0.067,94.8493,71.8291,114.3152,74.5894,5.6699,3.8713,479.5477,2.5041,16.34,0.9787,36.9
0.32,0.0648,95.8653,71.92,112.2015,74.2847,5.7721,3.9476,477.8579,2.519,16.3097,0.9787,36.9
0.36,0.0657,95.6452,72.4436,112.3984,74.8244,5.6936,3.8663,469.7441,2.6223,16.2352,0.9795,36.9
0.42,0.0665,95.2399,72.9048,113.3994,74.7923,5.7757,4.0337,475.3316,2.6087,16.4076,0.9788,36.9
0.46,0.0667,94.9968,72.0271,112.1201,74.455,5.8269,3.9203,476.8927,2.5678,16.3528,0.9788,36.9
0.52,0.067,95.4963,72.3954,113.2262,74.9607,5.8166,4.0007,478.9143,2.5909,16.2952,0.9793,36.9
0.56,0.0661,95.7236,72.2818,112.6243,74.7811,5.7313,3.907,480.8274,2.493,16.3298,0.9789,36.9
0.62,0.0657,95.8698,71.66,112.1162,75.3207,5.6752,4.0286,476.8962,2.5969,16.4129,0.9788,36.9
0.66,0.0673,95.5671,71.3891,112.282,74.4479,5.715,3.9825,473.6728,2.3862,16.3513,0.9792,36.9
0.72,0.0669,95.1439,72.263,113.0991,75.1469,5.6254,3.8644,466.4239,2.4062,16.3422,0.9791,36.9
0.76,0.0672,95.6762,72.1297,113.3689,74.9681,5.7668,3.9,478.35,2.3309,16.2569,0.9792,36.9
0.82,0.0678,95.7253,72.1395,112.4111,75.0847,5.6581,3.964,472.3023,2.2782,16.2928,0.9792,36.9
0.86,0.0672,95.3977,73.1044,112.9529,74.9923,5.7287,3.8316,475.9026,2.2266,16.3048,0.9792,36.9
0.92,0.0671,95.6298,71.4131,112.7512,74.5188,5.6132,4.0281,474.7685,2.2766,16.3393,0.9789,36.9
0.96,0.0673,95.0408,72.4639,112.9996,73.9195,5.8319,3.7411,480.8598,2.1655,16.3914,0.979,36.9
1.02,0.0663,96.2031,71.8303,113.4035,75.316,5.7747,3.8917,464.9289,2.3083,16.2808,0.9792,36.9
1.06,0.0665,96.2599,72.7183,114.3853,74.6262,5.6217,3.9023,470.7754,2.1446,16.4377,0.9789,36.9
1.12,0.067,95.3926,72.2356,114.6121,74.6639,5.7727,3.8905,470.362,2.1773,16.3081,0.9792,36.9
1.16,0.0658,95.6042,72.4795,114.0401,74.6913,5.7866,3.8938,475.1873,2.1761,16.3461,0.9787,36.9
1.22,0.0663,96.2392,72.7444,114.2705,74.6267,5.8045,3.9348,481.4271,2.1462,16.258,0.9786,36.9
1.26,0.069,95.7625,73.0553,114.717,74.3288,5.7218,3.972,476.4821,2.103,16.3229,0.9792,36.9
1.32,0.067,96.9225,72.524,114.4111,74.9889,5.7745,3.9943,469.6241,2.2582,16.3531,0.979,36.9
1.36,0.0686,95.8696,72.8845,113.9466,74.4614,5.7164,3.9749,469.5438,2.167,16.3348,0.9795,36.9
1.42,0.0653,94.7669,72.7284,113.0143,74.762,5.8367,3.9497,474.2595,2.1901,16.4063,0.9792,36.9
1.46,0.0666,95.171,72.2131,115.2233,74.7033,5.7251,3.9297,483.001,2.1535,16.3773,0.9788,36.9
1.52,0.0672,94.9577,71.603,113.9888,74.692,5.7345,3.9859,481.35,2.2347,16.2526,0.9791,36.9
1.56,0.0662,94.7862,72.8091,113.6076,73.991,5.6994,4.0209,473.8286,2.1738,16.2663,0.979,36.9
1.62,0.0664,94.8629,71.9298,113.7564,74.9148,5.681,3.928,489.3962,2.1749,16.2666,0.9793,36.9
1.66,0.0682,95.0659,71.766,113.2992,74.7035,5.805,3.9438,482.5748,2.2264,16.3521,0.9789,36.9
1.72,0.0677,95.7026,73.0408,114.0508,73.9735,5.8218,3.7825,465.8838,2.2156,16.3748,0.979,36.9
1.76,0.0663,95.858,71.9531,113.7845,74.755,5.7472,3.7733,468.4227,2.1578,16.3305,0.9792,36.9
1.82,0.0649,96.1201,72.8491,114.4435,74.4879,5.7401,3.8967,479.9451,2.196,16.3994,0.9788,36.9
1.86,0.066,95.2206,72.4953,113.5871,74.2372,5.8875,3.7573,471.2974,2.107,16.2423,0.9787,36.9
1.92,0.0674,95.6141,72.5863,114.7636,74.6477,5.7529,3.9313,476.7844,2.2585,16.1932,0.9789,36.9
1.96,0.0665,95.4162,72.2208,113.7729,74.7095,5.7829,3.8405,467.8504,2.1276,16.3809,0.9792,36.9
2.02,0.067,95.7252,72.5245,115.7803,73.6258,5.8152,3.8886,479.3267,2.1528,16.3886,0.9789,36.9
2.06,0.0659,96.0312,71.2651,113.8832,74.2613,5.8622,3.9478,473.8819,2.1108,16.15,0.9788,36.9
2.12,0.0675,95.0736,72.8319,113.7778,74.5148,5.7085,3.9822,477.5822,2.0371,16.3858,0.9787,36.9
2.16,0.0667,95.2079,71.6926,113.3846,74.3663,5.776,3.854,481.7866,2.0915,16.419,0.9791,36.9
2.22,0.0666,95.1592,72.3388,114.1598,75.1311,5.7035,4.0447,478.5749,2.1458,16.306,0.979,36.9
2.26,0.0665,95.5297,72.8754,113.6728,74.523,5.7474,3.9293,467.3595,2.2452,16.4128,0.9791,36.9
2.32,0.0665,94.9554,71.9707,114.1012,75.1064,5.7136,3.8977,475.4578,2.1969,16.3346,0.9789,36.9
2.36,0.068,94.9027,73.324,113.8543,74.524,5.637,3.9564,469.2411,2.1933,16.341,0.979,36.9
2.42,0.0652,94.9519,72.6209,113.5451,75.0633,5.7287,3.938,472.6371,2.0442,16.1947,0.9793,36.9
2.46,0.067,94.9698,73.0344,114.8866,73.8878,5.8155,3.9135,475.3406,2.1233,16.391,0.9791,36.9
2.52,0.0671,96.4565,72.89,113.7599,73.9384,5.818,3.957,478.6427,2.239,16.3403,0.9791,36.9
2.56,0.0669,95.1085,73.39,113.6872,74.8593,5.8007,3.8894,470.9551,2.0728,16.3095,0.9793,36.9
2.62,0.0675,96.3631,72.3076,114.8547,74.973,5.8151,3.8546,473.5222,2.0479,16.3906,0.979,36.9
2.66,0.0666,95.1028,73.0555,113.3698,74.4288,5.8015,3.899,464.7815,2.1349,16.3634,0.9791,36.9
2.72,0.0654,95.2978,72.3278,113.8116,74.7299,5.8058,3.8273,477.9035,2.0795,16.2689,0.9792,36.9
2.76,0.0663,95.1694,72.9587,114.5441,74.2342,5.7616,3.8562,475.3041,2.2005,16.3239,0.9791,36.9
2.82,0.0653,95.612,72.2184,112.819,75.4622,5.715,3.9555,466.5164,2.1061,16.3762,0.9788,36.9
2.86,0.0667,95.0171,72.5687,115.0849,74.8544,5.7558,3.9375,470.6189,2.0589,16.2512,0.9787,36.9
2.92,0.0655,96.1551,72.5676,113.4801,74.1675,5.8268,3.8764,474.8563,2.174,16.2874,0.9788,36.9
2.96,0.0671,95.1529,72.0162,113.4869,74.8592,5.8772,3.845,477.0099,2.0482,16.1981,0.979,36.9
3.02,0.0665,96.0467,71.857,113.6102,74.58,5.8263,3.9634,477.0027,2.1951,16.3482,0.979,36.9
3.06,0.067,95.3946,70.8394,113.8704,75.1568,5.7931,4.0437,474.5717,2.1356,16.348,0.9792,36.9
3.12,0.0669,94.9313,72.3461,113.722,75.1921,5.7972,4.0294,477.0401,2.1932,16.3113,0.9783,36.9
3.16,0.0654,94.5015,73.1162,113.9439,74.3871,5.7774,4.0229,471.7763,2.2752,16.3556,0.9791,36.9
3.22,0.0683,95.9252,72.9944,113.8295,74.5518,5.7069,4.0264,480.1296,2.2352,16.2881,0.9794,36.9
3.26,0.0678,95.547,72.0113,113.7407,74.389,5.8411,3.8858,473.3762,2.26,16.2653,0.9787,36.9
3.32,0.0667,96.1915,72.1544,113.8801,74.7531,5.7737,3.9878,477.0654,2.3529,16.2377,0.9792,36.9
3.36,0.0655,94.7118,72.4865,113.025,74.9888,5.8152,3.908,479.7285,2.3909,16.2323,0.9787,36.9
3.42,0.0646,94.6279,71.6186,115.3514,74.6277,5.6502,3.8753,465.2485,2.3612,16.2708,0.9788,36.9
3.46,0.0654,95.3143,72.804,114.2078,74.5271,5.8732,3.8322,470.0625,2.3882,16.1746,0.9784,36.9
3.52,0.0657,94.9407,71.2034,114.5536,74.6016,5.8001,3.942,487.601,2.487,16.2289,0.9793,36.9
3.56,0.0668,95.7067,73.1695,114.2473,74.2201,5.7898,3.8665,482.1391,2.4444,16.4685,0.979,36.9
3.62,0.0684,95.3132,72.3053,114.9367,74.827,5.8006,3.8811,464.6061,2.4833,16.2409,0.9795,36.9
3.66,0.0666,95.2528,72.7426,114.526,74.5845,5.7494,3.9054,489.6611,2.4925,16.2449,0.9787,36.9
3.72,0.069,95.036,72.3263,114.6778,74.6654,5.738,3.9947,473.8126,2.4928,16.3852,0.9791,36.9
3.76,0.068,95.6402,71.6266,114.5671,74.0978,5.7861,3.993,472.7396,2.6319,16.2939,0.9789,36.9
3.82,0.0671,95.6579,72.1578,114.8521,74.628,5.7823,4.0241,472.9507,2.5352,16.5202,0.9799,36.9
3.86,0.0674,95.4388,71.6814,114.7597,75.2483,5.8194,4.0758,471.0018,2.5216,16.2288,0.9788,36.9
3.92,0.0669,95.9743,72.4296,115.5186,74.9337,5.7963,3.797,467.2991,2.6029,16.333,0.9791,36.9
3.96,0.0675,95.3459,72.3294,113.7969,74.8145,5.7542,3.9768,473.7777,2.6197,16.1759,0.979,36.9
4.02,0.0662,95.3492,72.3593,114.8346,75.091,5.8077,4.0095,473.6429,2.6415,16.4632,0.9785,36.9
4.06,0.0653,94.8074,72.1933,114.0162,75.0912,5.8536,3.954,474.1236,2.6022,16.3322,0.9792,36.9
4.12,0.0648,95.9233,73.6684,113.3621,74.7267,5.7254,3.9725,478.6047,2.7584,16.3587,0.9789,36.9
4.16,0.0662,95.8875,72.1604,113.0617,74.7082,5.8352,3.8835,472.2225,2.6375,16.2252,0.9789,36.9
4.22,0.067,95.9158,71.8131,115.0298,74.1405,5.6905,3.875,478.9076,2.451,16.3383,0.9791,36.9
4.26,0.068,94.0682,72.5006,113.6843,74.4849,5.7862,3.9595,479.4371,2.5608,16.2674,0.9792,36.9
4.32,0.0666,95.9631,72.6578,113.6642,74.6692,5.7372,3.8378,476.7841,2.3823,16.5473,0.9791,36.9
4.36,0.0668,96.0564,72.3961,114.5468,74.5583,5.8063,3.8572,474.7397,2.3606,16.3,0.9787,36.9
4.42,0.0654,95.3881,71.3904,113.8095,74.9001,5.7878,3.9443,473.33,2.3207,16.2859,0.979,36.9
4.46,0.0663,95.1981,71.5583,113.0365,74.506,5.7864,3.7294,471.2208,2.4061,16.3091,0.9789,36.9
4.52,0.0674,95.4954,71.865,113.9054,74.3776,5.8375,3.8091,476.5818,2.2409,16.2767,0.979,36.9
4.56,0.0674,96.0636,71.5905,113.2955,74.6188,5.8381,3.948,466.0503,2.287,16.3654,0.9794,36.9
4.62,0.0663,94.9514,72.7877,115.1366,74.5514,5.7364,3.8313,471.6797,2.2237,16.2178,0.9792,36.9
