Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0694,94.3496,71.5059,112.6406,73.419,5.5651,3.9737,464.283,2.1717,14.2727,0.98,36.8
0.12,0.0705,94.4603,72.8262,112.9781,73.6045,5.618,3.8849,469.1786,2.2821,14.3038,0.9799,36.8
0.16,0.0701,94.6002,71.6515,113.2302,73.0301,5.7246,3.9307,462.4785,2.1257,14.2452,0.9801,36.8
0.22,0.0692,94.3922,71.9875,111.8584,72.8539,5.6667,3.8965,463.2244,2.3143,14.266,0.9799,36.8
0.26,0.0708,94.2632,71.9117,111.9239,72.4015,5.6932,3.9175,461.8232,2.254,14.2276,0.9801,36.8
0.32,0.0689,94.9415,70.0156,112.4359,72.9573,5.7417,3.8327,468.1497,2.1589,14.287,0.98,36.8
0.36,0.0701,94.8016,72.5377,112.4484,73.6199,5.822,3.8475,463.0806,2.2525,14.2579,0.9798,36.8
0.42,0.0683,94.2031,72.2294,113.359,73.5049,5.6733,3.8203,465.5719,2.2041,14.3716,0.9801,36.8
0.46,0.071,95.381,72.1468,113.4401,72.877,5.5657,3.7939,467.1388,2.209,14.2424,0.98,36.8
0.52,0.069,93.6516,72.0317,113.4122,73.0405,5.741,3.8609,464.0088,2.1888,14.2878,0.9801,36.8
0.56,0.0685,93.8332,72.6424,113.899,73.3352,5.6942,3.7918,463.9127,2.2302,14.3249,0.9799,36.8
0.62,0.0693,95.2616,72.5563,112.1974,73.9524,5.5862,3.8498,470.715,2.1599,14.2702,0.98,36.8
0.66,0.0708,94.5818,73.9921,112.1324,73.1958,5.7332,3.9279,470.7562,2.1429,14.279,0.9799,36.8
0.72,0.0681,94.5623,71.4393,115.4144,72.8484,5.7305,3.9166,462.3529,2.1973,14.2831,0.9801,36.8
0.76,0.0688,95.8018,69.5052,113.0751,73.2348,5.656,4.0619,463.8564,2.0261,14.3183,0.9798,36.8
0.82,0.069,94.6863,72.9261,113.4344,74.1307,5.7102,3.9742,467.2791,2.2085,14.3176,0.98,36.8
