Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0709,94.4687,71.5442,113.5222,73.9199,5.5794,3.8988,413.3525,2.2268,18.6385,0.9802,36.8
0.12,0.0723,94.7329,71.7865,113.7668,72.998,5.5437,3.9007,393.8206,2.0972,18.5361,0.9798,36.8
0.16,0.0713,94.7608,71.8798,113.3612,73.2814,5.617,3.8777,399.4101,2.175,18.5413,0.9802,36.8
0.22,0.0716,94.4835,71.0065,113.4864,73.5695,5.5999,3.6718,404.6095,2.2831,18.6918,0.98,36.8
0.26,0.0691,94.6375,72.52,113.7827,73.6884,5.5176,3.89,411.5212,2.2605,18.6517,0.9799,36.8
0.32,0.0709,96.1706,72.1384,113.8895,73.8421,5.6712,3.8658,401.3201,2.2949,18.439,0.9801,36.8
0.36,0.0702,94.7391,74.9156,113.7528,74.3333,5.8287,3.8685,402.168,2.2813,18.5576,0.9801,36.8
0.42,0.0709,95.3845,74.1096,114.2942,74.3287,5.8345,3.8346,405.7343,2.342,18.5445,0.9797,36.8
0.46,0.0718,94.7481,73.3638,114.0722,73.8316,5.8004,3.7958,396.6691,2.3583,18.8025,0.9797,36.8
0.52,0.0707,94.3753,74.0588,113.9779,74.6981,5.8102,3.6751,405.1138,2.3706,18.7719,0.9804,36.8
0.56,0.0689,95.4957,75.141,113.8593,74.7188,5.805,4.0023,408.4196,2.3816,18.6951,0.9804,36.8
0.62,0.0705,95.3266,73.0528,113.7762,73.7371,5.7666,3.9871,406.1066,2.3372,18.6724,0.9801,36.8
0.66,0.0695,94.4111,72.2319,114.282,74.1093,5.697,4.0055,394.2296,2.4181,18.5754,0.9799,36.8
0.72,0.0697,95.4232,74.4858,114.9916,73.9329,5.8054,4.0015,404.156,2.4884,18.5518,0.9802,36.8
0.76,0.0705,94.7967,72.7104,114.3822,74.8204,5.7463,3.9558,398.325,2.413,18.8111,0.9794,36.8
0.82,0.0714,95.7765,72.2944,114.1422,73.9125,5.6975,3.8516,385.9799,2.5459,18.5228,0.9796,36.8
0.86,0.0689,95.9929,73.1889,114.8167,73.9574,5.7281,3.9502,412.5354,2.5074,18.8664,0.9797,36.8
0.92,0.0716,94.7492,73.4832,113.9793,74.248,5.8322,3.9045,404.9575,2.5318,18.7219,0.9798,36.8
0.96,0.0698,95.5907,74.9088,115.0874,74.4065,5.7454,3.8012,415.9213,2.5142,18.4062,0.9794,36.8
1.02,0.0693,94.9846,73.5056,113.0497,74.6775,5.7583,3.9097,411.6998,2.5285,18.732,0.9802,36.8
1.06,0.0714,94.17,73.9683,114.0493,74.8536,5.7814,3.8795,408.3406,2.5932,18.7091,0.9803,36.8
1.12,0.069,95.356,73.6629,114.2765,74.8743,5.7,3.7613,404.534,2.56,18.5887,0.9796,36.8
1.16,0.0695,95.003,72.6083,112.4948,73.5728,5.5303,3.7863,397.3797,2.5461,18.456,0.9803,36.8
1.22,0.0695,94.6737,74.1046,112.8648,73.2443,5.6932,3.7407,400.9701,2.5704,18.5211,0.9804,36.8
1.26,0.0705,94.836,72.16,115.1077,74.2583,5.7947,3.831,411.8806,2.4927,18.7355,0.9795,36.8
1.32,0.0717,94.1177,72.3719,114.3113,72.4541,5.6541,3.8039,402.5855,2.3906,18.6044,0.9803,36.8
1.36,0.071,94.4137,70.4982,114.5064,73.6634,5.7279,3.8432,404.943,2.2707,18.6172,0.9802,36.8
1.42,0.0707,94.7526,71.5155,113.7188,73.9934,5.68,3.9016,404.1029,2.2461,18.5336,0.9798,36.8
1.46,0.0713,94.4188,72.8003,112.3567,73.2243,5.6717,4.0416,399.5256,2.1468,18.6911,0.9803,36.8
1.52,0.071,95.589,73.7196,113.1867,73.4905,5.7207,3.8612,419.6351,2.2777,18.7093,0.9797,36.8
1.56,0.0675,94.7793,73.5242,113.3243,72.8255,5.7575,3.9402,418.6547,2.1861,18.5779,0.9797,36.8
1.62,0.0712,94.4822,73.3233,113.4313,73.3543,5.6341,4.0321,391.5609,2.2442,18.657,0.9801,36.8
1.66,0.0721,95.8278,72.7358,113.6722,74.1413,5.7596,3.9295,410.6094,2.1963,18.4409,0.9798,36.8
1.72,0.0694,93.8866,72.766,113.4751,73.9652,5.5986,3.842,405.2936,2.128,18.4455,0.9797,36.8
1.76,0.0733,95.3938,72.1455,113.9788,73.1154,5.6958,3.7832,403.4819,2.2113,18.67,0.9799,36.8
1.82,0.0711,94.6617,73.0731,113.708,73.4532,5.6403,3.9467,397.9853,2.1924,18.6573,0.9797,36.8
1.86,0.0724,94.8153,74.1056,114.5152,73.2583,5.6638,3.81,399.6751,2.26,18.7833,0.9798,36.8
1.92,0.0704,94.3449,73.2403,113.9659,73.7808,5.7228,3.7818,392.5239,2.1442,18.6768,0.9806,36.8
1.96,0.0733,94.7611,70.0558,113.7103,73.1065,5.7365,3.9036,412.3456,2.1712,18.6539,0.9797,36.8
2.02,0.0699,95.0869,72.3296,114.2466,73.3974,5.706,3.6991,398.804,2.1168,18.6404,0.9799,36.8
2.06,0.0717,94.6695,71.7112,113.4175,73.0168,5.5895,3.8487,398.5388,2.0999,18.4805,0.9802,36.8
2.12,0.0703,94.1638,72.666,111.8878,73.2889,5.646,3.9248,411.9852,2.0821,18.6908,0.9794,36.8
