Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0704,95.2065,71.5288,114.9996,73.8825,5.8685,3.9036,447.7658,2.8071,17.5666,0.9811,36.9
0.12,0.0682,95.1481,71.6175,114.1993,73.788,5.8197,3.9464,441.7685,2.8079,17.5585,0.9808,36.9
0.16,0.0687,94.4884,72.0157,112.2749,74.3862,5.8252,3.9661,438.5355,2.793,17.631,0.9808,36.9
0.22,0.0686,94.5016,71.7295,113.6824,74.0339,5.7869,3.9933,435.3626,2.8001,17.6049,0.9811,36.9
0.26,0.0703,95.1287,70.3322,114.5957,73.822,5.8148,3.9611,433.3372,2.9232,17.5732,0.9808,36.9
0.32,0.0674,95.5629,71.6148,113.8375,73.8088,5.7832,3.9985,443.589,2.901,17.5738,0.9815,36.9
0.36,0.07,94.8636,71.5364,113.3582,73.841,5.8173,3.9227,430.3165,2.8778,17.4934,0.981,36.9
0.42,0.0686,94.0774,71.0539,114.7864,74.3081,5.8303,3.9985,445.0035,2.9166,17.64,0.9813,36.9
0.46,0.0658,94.4509,71.7203,113.9591,74.0908,5.7303,4.0577,441.1077,2.8675,17.6631,0.9815,36.9
0.52,0.0685,95.5712,71.5096,114.4336,73.7941,5.8556,3.9727,440.3092,2.89,17.6143,0.9809,36.9
0.56,0.0687,94.9982,71.6934,114.2301,73.5496,5.8075,3.9783,432.2698,2.9411,17.5372,0.9809,36.9
0.62,0.0676,95.5044,71.3783,115.0896,73.9216,5.7578,3.9144,445.5423,2.9535,17.445,0.9809,36.9
0.66,0.0695,94.5731,70.9039,113.3832,73.4833,5.7597,3.9533,442.3729,2.932,17.4997,0.9811,36.9
0.72,0.0684,94.5608,72.1457,113.5966,73.7949,5.7352,3.9885,437.0746,2.7972,17.7153,0.9809,36.9
0.76,0.0675,94.7712,72.9489,113.5401,74.3736,5.8657,4.0359,435.2136,2.7179,17.6515,0.981,36.9
0.82,0.0651,95.7296,72.6146,114.833,73.5094,5.8082,3.9061,438.2083,2.725,17.5036,0.9807,36.9
0.86,0.0658,95.6178,72.5059,114.3567,73.5252,5.8317,3.9426,435.147,2.6027,17.6184,0.981,36.9
0.92,0.0674,95.042,70.3828,114.9204,73.3939,5.8523,3.9048,436.0267,2.7503,17.6571,0.9809,36.9
0.96,0.0703,95.2455,71.6312,113.552,73.5248,5.8374,4.002,434.1591,2.6004,17.5856,0.9808,36.9
1.02,0.0671,94.161,71.1901,113.648,73.7958,5.8315,3.9436,449.9873,2.6938,17.6001,0.9811,36.9
1.06,0.068,96.095,71.4237,113.8069,73.915,5.8162,4.0316,443.9057,2.5509,17.5394,0.9811,36.9
1.12,0.07,95.7352,72.3008,113.1849,73.9128,5.761,4.0398,442.203,2.6646,17.6338,0.9811,36.9
1.16,0.0681,94.1504,71.9963,113.7197,73.718,5.8582,3.998,436.1538,2.5372,17.5668,0.9813,36.9
1.22,0.0681,94.9894,70.5817,114.0292,73.6792,5.8453,4.0916,446.9314,2.4728,17.476,0.9811,36.9
1.26,0.0685,95.2086,71.666,113.2593,73.9212,5.867,4.0221,442.8751,2.5872,17.4756,0.9813,36.9
1.32,0.0667,95.0588,72.1429,114.7014,73.8625,5.8126,4.0947,439.1596,2.5318,17.5858,0.9809,36.9
1.36,0.0669,94.9849,72.1158,113.4055,73.9732,5.6908,4.0072,448.7298,2.5446,17.565,0.9811,36.9
1.42,0.0662,94.5339,71.8535,114.1123,73.5333,5.6928,4.0962,443.4746,2.4921,17.3633,0.9808,36.9
1.46,0.0675,96.1319,72.5301,113.3712,73.7361,5.7521,4.0277,437.7703,2.6025,17.6022,0.9809,36.9
1.52,0.0694,95.2734,72.4933,114.6358,73.3571,5.7628,3.8465,443.1884,2.5112,17.5802,0.9811,36.9
1.56,0.0676,94.8042,72.6284,114.3554,73.6733,5.7477,3.955,441.3829,2.6338,17.5035,0.9809,36.9
1.62,0.0662,94.7663,72.5217,114.603,73.2426,5.7417,3.988,441.6046,2.4274,17.5664,0.9811,36.9
1.66,0.0672,95.3281,73.0903,113.9423,74.1519,5.7521,4.0402,451.9745,2.4749,17.5883,0.9812,36.9
1.72,0.069,95.1244,72.3377,114.0794,73.9343,5.7307,3.9468,436.297,2.5396,17.4724,0.9814,36.9
1.76,0.0681,94.4642,72.5876,112.5893,73.6116,5.8201,3.8382,443.4591,2.4355,17.5479,0.9808,36.9
1.82,0.0668,94.8534,72.6476,113.2402,74.2324,5.8193,3.9227,450.3852,2.5577,17.4621,0.9814,36.9
1.86,0.0674,95.4704,73.026,114.6819,74.0161,5.7687,3.9662,451.2705,2.515,17.5025,0.9807,36.9
1.92,0.0676,95.2768,72.2582,113.338,74.2369,5.7936,3.9429,439.3275,2.6073,17.5468,0.9812,36.9
1.96,0.0696,95.8607,71.734,114.7061,74.2911,5.8838,4.0601,444.1394,2.4713,17.4329,0.9808,36.9
2.02,0.0682,95.2302,72.94,113.7347,74.1739,5.8482,3.9134,436.5563,2.4891,17.4979,0.9811,36.9
2.06,0.0685,94.5544,72.0143,114.5957,74.5683,5.7594,3.977,438.0629,2.4341,17.5208,0.9814,36.9
2.12,0.0681,95.3201,71.9937,113.2258,73.5153,5.8376,3.9553,442.6589,2.5129,17.6447,0.9812,36.9
2.16,0.0683,94.1564,71.2049,113.2616,74.2032,5.9012,3.9712,438.0364,2.5063,17.4307,0.9808,36.9
2.22,0.0663,94.7713,72.7491,114.4954,73.485,5.7912,3.9378,436.0518,2.4573,17.5578,0.9813,36.9
2.26,0.0676,95.192,72.3616,113.7302,74.0499,5.8365,3.9904,439.2797,2.6297,17.5209,0.9809,36.9
2.32,0.0651,94.8574,72.6078,114.1808,74.6469,5.8471,3.8234,445.831,2.6323,17.4447,0.9809,36.9
2.36,0.0685,94.7979,71.8048,115.661,74.305,5.9196,3.9806,445.0693,2.4919,17.5105,0.9813,36.9
2.42,0.0686,94.7718,73.3009,113.7345,74.0334,5.955,3.9504,434.7436,2.626,17.5661,0.9809,36.9
2.46,0.067,93.9322,73.1796,115.426,74.0766,5.8921,3.8906,423.057,2.47,17.4253,0.9809,36.9
2.52,0.0677,96.2675,72.2123,113.0429,73.4132,5.7854,3.932,441.0647,2.4688,17.3748,0.981,36.9
2.56,0.0669,94.3469,71.603,113.0039,74.1565,5.8875,3.9711,444.5121,2.448,17.694,0.9811,36.9
2.62,0.0688,94.9374,72.1076,113.3452,74.0911,5.8072,3.8659,449.0559,2.5334,17.5376,0.981,36.9
2.66,0.0666,95.3405,72.48,114.1965,73.5821,5.972,3.8755,446.7915,2.5784,17.5837,0.9811,36.9
2.72,0.0693,94.9644,70.4051,114.4777,73.2355,5.7978,3.8855,441.3577,2.6482,17.6134,0.9808,36.9
2.76,0.0674,95.2697,72.052,114.8056,73.2469,5.8478,3.9766,434.8783,2.5348,17.5129,0.9814,36.9
2.82,0.0686,94.447,72.2136,114.8896,73.7476,5.8553,4.0909,439.796,2.519,17.4717,0.981,36.9
2.86,0.0684,94.1225,72.2677,113.2614,73.776,5.8328,3.9593,444.3757,2.5154,17.5922,0.9813,36.9
2.92,0.0688,95.0118,71.8359,113.5353,73.4714,5.954,4.0701,446.9282,2.4989,17.621,0.9807,36.9
2.96,0.0679,94.6126,72.2496,113.4575,74.0966,5.8241,4.041,444.4547,2.5142,17.5766,0.9813,36.9
3.02,0.0684,95.1292,71.3203,113.6049,74.5096,5.7942,3.9681,447.4302,2.5695,17.5924,0.9809,36.9
3.06,0.0688,95.1022,71.8037,114.4383,73.2782,5.8165,3.8699,438.301,2.5568,17.6651,0.9812,36.9
3.12,0.0665,94.8217,71.9363,116.0062,73.8897,5.8563,4.0059,432.9624,2.6465,17.6348,0.9809,36.9
3.16,0.0672,95.5082,71.7735,113.8458,74.6328,5.8405,3.9247,439.1445,2.5869,17.6366,0.9813,36.9
3.22,0.0683,94.7759,72.6469,113.9644,73.2241,5.8229,3.9644,444.7227,2.6596,17.5273,0.9806,36.9
3.26,0.0675,95.2764,70.9107,114.2547,74.0313,5.8155,3.8835,443.7249,2.641,17.4115,0.9809,36.9
3.32,0.0662,95.4498,72.3171,114.4739,74.0217,5.8634,3.9075,435.8705,2.675,17.5664,0.9805,36.9
3.36,0.0684,94.7412,72.1678,112.8578,73.428,5.8884,3.9585,439.3887,2.6397,17.6004,0.981,36.9
