Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0661,95.5441,72.4477,112.1083,74.6,5.8326,4.0647,518.6871,2.5815,14.5051,0.9788,36.9
0.12,0.0672,94.1485,69.0565,113.2268,74.6878,5.6303,4.0951,522.3782,2.5984,14.4686,0.979,36.9
0.16,0.0684,95.8984,74.119,112.3914,74.4732,5.9023,3.3149,526.3428,2.4676,14.5402,0.9792,36.9
0.22,0.0702,95.3537,69.4577,112.5943,75.1553,5.8358,3.8611,532.4366,2.3711,14.4897,0.9789,36.9
0.26,0.0734,95.7899,71.1075,111.8278,73.4464,5.6479,3.898,524.7309,2.2848,14.4505,0.9785,36.9
0.32,0.061,95.5339,69.6386,112.0018,74.6852,5.8845,4.2518,521.1444,2.7176,14.4813,0.9804,36.9
0.36,0.0711,95.7425,71.1285,113.8361,75.9227,5.6113,3.8053,528.4655,2.3916,14.5121,0.9779,36.9
0.42,0.0703,97.7941,73.082,114.5386,76.074,5.6429,3.7895,552.9663,2.6911,14.3833,0.9786,36.9
0.46,0.0654,95.878,71.8147,113.7429,76.1722,5.8754,3.965,503.4969,2.4181,14.4219,0.9789,36.9
0.52,0.0676,93.2379,73.224,114.4757,75.9038,5.5383,4.2191,546.5984,2.208,14.4708,0.9806,36.9
0.56,0.067,94.438,73.9858,114.435,73.6615,5.8039,3.8861,501.9423,2.6963,14.3544,0.9787,36.9
0.62,0.0662,95.5023,68.372,114.7472,74.3524,5.4926,3.8437,495.1353,2.3751,14.5586,0.9788,36.9
0.66,0.0696,95.0719,77.227,114.1545,75.7116,5.8167,4.0653,510.2119,2.4774,14.5077,0.9787,36.9
0.72,0.067,93.4741,72.6564,111.6881,73.8322,5.8672,3.678,514.3469,2.6718,14.5267,0.9797,36.9
0.76,0.0669,95.7294,72.2118,112.6688,76.5305,5.8385,4.0906,549.0799,2.8093,14.6728,0.9806,36.9
0.82,0.0684,95.3519,72.055,113.1558,72.4869,5.8568,3.8633,529.8658,2.1641,14.3711,0.9797,36.9
0.86,0.0658,94.3319,74.8714,116.5357,74.5237,5.7031,3.8628,513.8373,2.5845,14.4667,0.9784,36.9
0.92,0.0713,96.2622,76.5005,111.4101,73.6932,5.6849,4.114,507.6896,2.6609,14.4841,0.98,36.9
0.96,0.0666,97.2684,73.8607,112.6483,75.0176,5.7806,3.6374,516.0935,2.4251,14.5496,0.9789,36.9
1.02,0.0669,94.1419,72.1712,113.7096,73.4015,5.6811,3.7314,546.9964,1.8935,14.304,0.9787,36.9
1.06,0.0668,94.0629,72.914,110.5792,74.2122,5.8306,3.8294,526.6373,2.2621,14.5859,0.9794,36.9
1.12,0.0598,96.3776,73.991,114.5649,74.756,5.9273,3.8631,536.8474,2.2413,14.5458,0.9787,36.9
1.16,0.0643,97.6226,71.6512,112.8787,76.8178,5.7613,3.6579,506.5126,2.6017,14.5296,0.9778,36.9
1.22,0.0693,96.8868,70.4953,114.1164,74.6703,5.7138,3.894,530.1523,2.6688,14.5119,0.98,36.9
1.26,0.0704,94.7806,75.2068,112.1723,74.4352,5.5965,4.152,518.8936,2.5357,14.4806,0.979,36.9
1.32,0.0665,94.4895,71.8079,111.2059,74.969,5.8642,4.1322,533.8153,2.3756,14.5923,0.9787,36.9
1.36,0.0659,94.4164,72.8531,114.6834,75.0609,5.5754,3.8758,494.2458,2.4061,14.5654,0.9783,36.9
1.42,0.0682,95.5719,71.996,113.315,73.6447,5.8693,3.652,539.6151,2.4397,14.5023,0.9799,36.9
1.46,0.065,96.1615,73.2867,113.6405,71.8478,5.7688,4.0753,558.6795,2.4957,14.4386,0.9779,36.9
1.52,0.0611,94.6528,70.4474,114.6206,75.4669,5.8029,4.0147,547.9736,2.5143,14.4837,0.978,36.9
1.56,0.0669,94.7452,70.4907,112.2954,74.861,5.6824,3.8189,527.9207,2.0832,14.414,0.9778,36.9
1.62,0.0701,94.7622,72.9849,112.9142,73.3344,5.7834,3.827,554.597,2.3932,14.5838,0.9782,36.9
1.66,0.0653,95.8222,74.2863,110.6365,74.8196,5.709,3.8725,516.3285,2.6714,14.3015,0.9788,36.9
1.72,0.0667,94.3947,73.1836,116.4799,73.3057,5.9792,3.9814,543.4314,2.4063,14.57,0.9777,36.9
1.76,0.0656,95.7589,76.5175,110.0157,73.8562,5.8759,3.8814,518.0836,2.8532,14.3796,0.9794,36.9
1.82,0.0667,95.9657,73.3718,116.7903,73.917,5.9547,4.0425,529.9015,2.6995,14.5831,0.9791,36.9
1.86,0.0668,94.4061,70.5624,113.2699,74.9275,5.8213,3.7345,535.406,2.4036,14.6271,0.9793,36.9
1.92,0.0635,96.0019,72.6588,114.9343,74.643,6.1879,3.8795,529.4929,2.4811,14.3065,0.9786,36.9
1.96,0.0716,94.6493,70.8784,112.5688,73.8993,5.848,3.8097,518.2974,2.4438,14.4291,0.9784,36.9
2.02,0.0648,92.8728,71.8564,114.4636,75.9625,5.8983,3.9652,531.2125,2.8398,14.5003,0.9801,36.9
2.06,0.0691,95.5244,70.9726,114.1194,74.0667,5.8505,3.8527,530.6938,2.7853,14.3565,0.9777,36.9
2.12,0.0645,95.6833,73.2219,113.271,74.2592,6.0077,4.1705,540.5648,2.8777,14.5842,0.9794,36.9
2.16,0.0672,95.4179,73.5515,115.5847,74.1057,5.8494,3.7725,543.9174,2.4425,14.4812,0.9796,36.9
2.22,0.063,94.7947,71.4326,111.8453,74.4558,5.711,3.9257,526.5499,2.5777,14.6737,0.978,36.9
2.26,0.0698,95.4952,71.9073,116.447,74.0331,5.9738,4.282,544.2134,2.9997,14.3496,0.9788,36.9
2.32,0.0656,96.0617,74.3903,113.5819,74.2486,5.647,3.527,520.9354,2.8541,14.5597,0.9794,36.9
2.36,0.0659,94.3435,70.3957,116.6313,75.0788,5.7762,3.7167,510.1093,2.7358,14.6974,0.9787,36.9
2.42,0.0687,95.3121,72.3649,114.1987,74.1614,5.61,4.0549,500.6979,2.5818,14.4765,0.9794,36.9
2.46,0.066,93.5132,72.252,111.401,73.6514,5.8477,4.1324,509.2722,3.0857,14.4627,0.9779,36.9
2.52,0.0674,95.574,72.5288,117.7146,74.1605,5.8493,3.7918,537.1155,2.7582,14.384,0.9792,36.9
2.56,0.0675,96.0722,73.4612,112.9139,74.52,5.6212,3.6224,500.3622,3.3203,14.6352,0.9795,36.9
2.62,0.064,93.0199,75.2624,115.231,74.5268,5.7946,3.9562,542.016,2.8197,14.5729,0.9783,36.9
2.66,0.0707,97.0924,76.0456,112.0528,76.3623,5.7951,3.7262,504.1464,2.862,14.5448,0.979,36.9
2.72,0.0639,97.422,77.414,113.2957,75.3308,5.7378,3.9082,540.4249,2.9313,14.3562,0.9793,36.9
2.76,0.0645,93.2602,71.3818,116.2289,74.1839,6.0994,3.949,511.2503,3.0336,14.6003,0.9783,36.9
2.82,0.0683,95.7158,74.0343,111.0553,75.1471,5.8726,3.9155,509.0867,3.1272,14.3915,0.978,36.9
2.86,0.072,96.3368,71.8042,112.5977,73.8012,5.9988,3.8218,514.9434,2.8739,14.3082,0.9792,36.9
2.92,0.0707,96.7794,72.5997,114.1378,75.0409,6.0237,3.8267,520.0664,3.0502,14.6115,0.979,36.9
2.96,0.0662,94.0791,68.4542,112.5673,75.0336,5.859,3.9454,527.3918,3.0109,14.4514,0.9789,36.9
3.02,0.0665,94.8674,72.4844,114.4938,74.8878,5.734,3.6758,520.4379,2.683,14.5529,0.9796,36.9
3.06,0.0668,94.2032,72.6225,112.828,73.874,5.8353,4.0439,522.4071,2.835,14.4344,0.9789,36.9
3.12,0.0655,95.1585,74.9321,116.2268,75.0282,5.6405,3.9165,515.4511,2.9443,14.5376,0.9782,36.9
3.16,0.0666,97.2296,72.0222,113.0254,74.4584,5.913,4.0592,504.4815,2.7814,14.4918,0.9786,36.9
3.22,0.0679,96.8745,71.2133,113.8504,73.0556,5.7463,4.255,535.7058,2.5642,14.4667,0.9792,36.9
3.26,0.0665,95.461,75.825,114.4308,73.3858,5.7542,4.0704,508.2305,2.4363,14.3539,0.9787,36.9
3.32,0.067,97.5636,72.1578,115.9613,75.3598,5.8686,3.839,523.7659,2.4696,14.5003,0.98,36.9
3.36,0.0669,95.5207,75.5962,117.2184,71.4846,5.9673,3.8794,525.8524,2.7026,14.5028,0.9787,36.9
3.42,0.06,95.8192,71.7613,113.8819,76.7786,5.6152,3.8671,502.0414,2.7581,14.4679,0.9792,36.9
3.46,0.0742,95.1265,69.1963,111.7761,73.3322,5.9249,4.0457,506.8284,2.634,14.4104,0.9778,36.9
3.52,0.0639,95.0379,75.2957,115.5962,74.1005,5.723,3.555,525.452,2.5487,14.394,0.9791,36.9
3.56,0.0645,95.1225,74.9205,111.1582,74.339,5.6056,3.8366,521.3798,2.324,14.5105,0.9792,36.9
3.62,0.0651,94.9558,72.6202,115.8938,73.7868,5.6906,3.9751,530.8344,2.5605,14.5113,0.9794,36.9
3.66,0.0699,95.7134,73.3772,115.5336,73.8923,5.717,3.7347,558.563,2.6172,14.5235,0.9801,36.9
3.72,0.0672,96.5089,69.5533,113.1198,73.51,6.0738,3.8396,550.7415,2.3346,14.5384,0.9788,36.9
3.76,0.0644,95.9376,72.7326,113.7207,74.5943,5.9604,4.2456,529.8409,2.5309,14.4657,0.9782,36.9
3.82,0.0677,95.5073,73.3153,115.4456,73.809,5.6426,4.3806,515.3216,2.6382,14.533,0.9801,36.9
3.86,0.0661,96.3854,73.3535,112.6296,76.422,5.8674,4.0763,540.3445,2.2807,14.5424,0.9791,36.9
3.92,0.0663,95.6221,74.8985,113.9957,74.8259,5.7776,4.1072,518.3398,2.1547,14.2152,0.9794,36.9
3.96,0.0701,94.7127,73.1377,114.4157,77.0379,5.6458,3.7501,528.593,2.2276,14.5574,0.9784,36.9
4.02,0.0671,95.4492,69.2779,115.1618,74.7165,5.8509,4.1828,524.3658,2.3809,14.5555,0.9796,36.9
