Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0543,94.873,84.5063,112.6317,74.6283,6.722,3.9546,537.8612,2.8231,16.1512,0.9792,36.9
0.12,0.0548,95.9703,84.2914,113.3715,74.4319,6.751,3.9412,530.9091,2.7763,16.1657,0.9797,36.9
0.16,0.0537,95.321,85.102,114.3352,74.9053,6.8027,3.9198,534.332,2.8814,16.2344,0.9794,36.9
0.22,0.0549,95.1632,83.1694,113.0333,74.3155,6.7865,3.9211,528.867,2.815,16.253,0.9791,36.9
0.26,0.0544,95.0327,83.1443,113.3329,74.6682,6.7827,3.9443,526.0791,2.8692,16.1546,0.9794,36.9
0.32,0.0551,95.325,84.1025,115.0297,74.0455,6.6711,3.9886,524.3208,2.9913,16.1704,0.9786,36.9
0.36,0.0539,95.2751,83.8227,113.5033,74.0672,6.788,3.9329,532.312,2.876,16.155,0.9789,36.9
0.42,0.054,96.051,84.8135,114.1358,74.5351,6.6937,3.9468,533.172,2.9378,16.2395,0.9793,36.9
0.46,0.0541,95.0347,84.6653,113.8448,74.9671,6.8148,3.9486,539.5542,3.0322,16.2534,0.9787,36.9
0.52,0.0533,95.372,84.5747,114.3978,73.7998,6.7355,3.9598,535.3215,2.9793,16.1761,0.9796,36.9
0.56,0.0547,95.3253,83.7731,114.5594,74.2823,6.8333,3.9384,532.4325,3.0509,16.2009,0.9792,36.9
0.62,0.0539,95.3468,83.6944,115.4982,74.5179,6.7907,3.9789,533.7586,2.9708,16.2702,0.9789,36.9
0.66,0.056,95.317,83.8203,114.0193,74.1816,6.758,4.0827,525.1154,3.034,16.2737,0.9794,36.9
0.72,0.0538,95.5903,84.4057,113.5363,74.4637,6.8417,3.9866,535.739,3.18,16.2708,0.9784,36.9
0.76,0.0542,94.9705,83.574,114.3382,74.09,6.7156,3.9125,527.73,2.9575,16.2572,0.9788,36.9
0.82,0.0551,94.2899,83.1912,114.2761,74.3898,6.7406,3.8843,535.5689,3.0446,16.1912,0.9786,36.9
0.86,0.0558,95.4864,84.0851,112.8203,74.9997,6.7304,3.8414,543.2985,3.0558,16.0609,0.9791,36.9
0.92,0.0561,95.4988,83.4079,114.2025,74.3949,6.8831,3.8834,531.805,3.0932,16.1831,0.979,36.9
0.96,0.0541,95.105,84.3656,113.8764,74.4551,6.738,3.8675,534.1572,3.0593,16.2526,0.9788,36.9
1.02,0.0547,94.9057,84.0634,115.3143,74.1654,6.7488,3.9682,538.6892,3.0467,16.1752,0.9792,36.9
1.06,0.0551,96.4939,83.9129,114.4291,74.7325,6.8307,3.7806,522.1062,2.9077,16.1065,0.9788,36.9
1.12,0.0533,96.4065,85.5308,114.7388,74.138,6.7941,4.0243,535.3939,2.8549,16.2154,0.979,36.9
1.16,0.0544,95.2833,83.3042,113.8382,74.5735,6.7843,3.9069,535.1591,2.803,16.2099,0.9792,36.9
1.22,0.0529,95.2319,85.0653,114.3692,74.9946,6.7622,3.942,525.4595,2.9001,16.3438,0.9787,36.9
1.26,0.0544,95.4248,84.3926,114.1751,74.3168,6.8091,4.0245,524.1931,2.7894,16.3389,0.9787,36.9
1.32,0.0555,94.8956,84.313,114.7087,74.3913,6.7206,3.9738,532.661,2.7544,16.3119,0.9794,36.9
1.36,0.0541,95.3298,85.2337,115.5793,74.4244,6.7578,4.0166,538.4856,2.6108,16.1795,0.9791,36.9
1.42,0.0532,95.9408,84.1063,115.0943,74.7532,6.8252,3.9979,535.7783,2.684,16.2903,0.9785,36.9
1.46,0.0542,95.4929,84.9096,114.823,74.1592,6.7599,4.0325,524.3026,2.6423,16.2018,0.9791,36.9
1.52,0.0546,95.4255,84.5948,115.4485,74.1473,6.8528,3.851,535.9555,2.6715,16.2464,0.9786,36.9
1.56,0.0537,94.2187,84.3473,115.9571,74.7693,6.7304,3.9351,524.6099,2.6921,16.1707,0.9791,36.9
1.62,0.0532,95.7014,83.5992,114.5581,74.5789,6.7232,3.9276,537.099,2.5696,16.1492,0.9792,36.9
1.66,0.0542,95.9681,84.3599,115.0999,73.764,6.7781,3.9062,544.0743,2.5831,16.2017,0.9791,36.9
1.72,0.054,94.76,84.2513,114.3394,74.6191,6.818,3.8336,533.4539,2.6105,16.3457,0.979,36.9
1.76,0.0533,95.3883,84.8399,115.059,74.8729,6.6893,3.9014,529.1853,2.6246,16.2557,0.9794,36.9
1.82,0.0545,94.9045,83.5807,114.8019,74.6663,6.8228,3.9678,531.4293,2.6321,16.3593,0.9788,36.9
1.86,0.0534,95.4779,84.959,115.733,74.1622,6.8936,3.9017,533.6535,2.6476,16.2775,0.9786,36.9
1.92,0.0539,94.7755,84.2213,114.9752,74.0149,6.8057,3.95,536.3224,2.5903,16.1961,0.9788,36.9
1.96,0.0539,94.9431,84.5115,115.6594,74.2983,6.7802,3.9286,529.4477,2.5669,16.3391,0.9789,36.9
2.02,0.0539,96.1464,84.5351,114.7683,74.2152,6.7918,4.145,527.0419,2.6525,16.2565,0.9795,36.9
2.06,0.0557,94.8541,84.5374,115.0719,74.5957,6.7905,3.9752,532.0396,2.5861,16.2878,0.9794,36.9
2.12,0.0536,95.3929,83.9282,114.6563,74.567,6.682,4.0613,532.6206,2.4702,16.1849,0.9784,36.9
2.16,0.053,96.2378,83.5449,114.1945,73.7357,6.8273,3.9193,539.431,2.5677,16.1791,0.979,36.9
2.22,0.0537,95.8314,84.0419,115.6942,74.3944,6.7844,3.9502,529.6811,2.636,16.1285,0.9792,36.9
2.26,0.0542,95.3607,83.844,114.664,74.6731,6.8507,3.8944,541.9166,2.608,16.3406,0.9792,36.9
2.32,0.055,95.0606,83.996,114.5007,74.4595,6.8446,3.8294,522.5883,2.6125,16.1762,0.9793,36.9
2.36,0.053,95.2559,84.4655,115.0279,74.6512,6.7852,3.9075,536.6488,2.6108,16.2243,0.9793,36.9
2.42,0.0547,95.6674,84.2512,116.0249,74.4272,6.8057,3.9779,532.8613,2.6246,16.2401,0.9787,36.9
2.46,0.0543,95.4597,83.6528,114.7877,74.6404,6.7259,3.9907,532.5884,2.7003,16.1935,0.9792,36.9
2.52,0.0528,96.373,84.6819,115.3883,74.4611,6.6964,4.0623,533.5932,2.6195,16.235,0.9793,36.9
2.56,0.0534,95.3036,84.5707,114.9195,74.4828,6.8048,4.0457,540.446,2.6618,16.3062,0.9793,36.9
2.62,0.0545,94.6527,84.4489,114.5626,74.3048,6.751,4.0441,526.4279,2.6021,16.2552,0.9789,36.9
2.66,0.0531,95.6637,84.1329,115.3873,74.2797,6.7807,4.0285,538.0503,2.5553,16.2618,0.9788,36.9
2.72,0.0533,96.0832,85.321,114.5185,74.5054,6.8385,4.0218,535.9204,2.4911,16.1648,0.9791,36.9
2.76,0.0529,95.7523,85.1668,114.3709,73.9859,6.7875,3.8712,533.6425,2.585,16.1195,0.9791,36.9
2.82,0.0555,95.0347,83.9452,114.857,74.544,6.8246,4.0648,527.0516,2.6194,16.1367,0.9789,36.9
2.86,0.0548,94.7807,84.4155,115.0486,73.5616,6.7735,4.1069,528.9069,2.6226,16.2378,0.9792,36.9
2.92,0.0544,96.0224,83.8952,114.5417,74.7155,6.758,3.9401,531.8047,2.6516,16.1735,0.9788,36.9
2.96,0.0556,95.9161,84.0945,115.2498,73.945,6.7813,3.8509,538.3701,2.4815,16.2746,0.9788,36.9
3.02,0.0551,95.4294,83.5965,113.1843,74.0376,6.7918,3.8945,537.0312,2.5321,16.2489,0.9784,36.9
3.06,0.0546,95.8177,83.9967,113.6718,74.2737,6.736,3.9849,530.3507,2.5535,16.2194,0.9788,36.9
3.12,0.055,95.4532,85.4998,115.0595,73.9776,6.9352,3.8619,523.5548,2.5967,16.1659,0.9787,36.9
3.16,0.054,95.8284,83.2166,114.4969,74.7693,6.8536,3.9625,532.0323,2.5924,16.0163,0.9786,36.9
3.22,0.0552,95.5024,84.9241,116.1083,74.447,6.7842,3.9276,527.3891,2.6257,16.2869,0.9791,36.9
3.26,0.054,95.2083,84.1539,114.8635,75.0477,6.8528,3.9264,530.9628,2.7473,16.1579,0.9788,36.9
3.32,0.0533,95.2258,83.6318,115.6378,74.7009,6.7954,4.0697,537.6367,2.6544,16.2401,0.9786,36.9
3.36,0.0542,95.7769,84.2312,114.5398,74.3418,6.7606,4.0066,530.7644,2.5737,16.182,0.9786,36.9
3.42,0.0538,95.6562,84.4965,114.6993,74.331,6.7001,3.9635,535.2254,2.6111,16.0295,0.979,36.9
3.46,0.0547,95.8188,83.672,114.8798,74.0775,6.9383,4.0799,529.9911,2.6991,16.2509,0.9792,36.9
3.52,0.0546,95.1528,84.989,115.2208,74.1078,6.7069,3.9795,532.8811,2.6107,16.1986,0.9789,36.9
3.56,0.0551,95.7237,83.5288,114.6745,74.5079,6.7663,3.9823,527.3394,2.74,16.1712,0.9789,36.9
3.62,0.0536,95.0656,85.2492,114.5562,74.7004,6.7775,3.8932,530.036,2.7867,16.163,0.979,36.9
3.66,0.0561,95.6136,83.9884,115.4368,74.1741,6.7796,4.035,539.7023,2.7554,16.2615,0.979,36.9
3.72,0.0538,95.1588,83.9461,114.6926,74.7812,6.7331,3.9473,534.407,2.8344,16.1726,0.9789,36.9
3.76,0.0559,95.6247,84.3072,114.5028,74.6445,6.7929,3.8784,535.7036,2.7827,16.1401,0.9793,36.9
3.82,0.0532,95.761,84.2539,114.1663,74.3508,6.7555,3.9209,545.3717,2.7781,16.2131,0.9788,36.9
3.86,0.0538,95.6106,84.0072,114.765,74.6668,6.802,3.9184,528.7382,2.8543,16.2352,0.9789,36.9
3.92,0.0545,95.2397,85.178,115.5135,74.7437,6.7369,3.9172,538.4428,2.8477,16.1518,0.9784,36.9
3.96,0.0545,96.0751,84.0353,115.8218,74.3715,6.8534,3.9712,518.9736,2.8545,16.1889,0.979,36.9
4.02,0.0549,95.8114,85.0583,115.615,74.2861,6.8022,3.9268,527.044,2.6664,16.2334,0.9788,36.9
