Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0691,97.1996,75.854,113.8508,72.9205,5.8444,3.9639,473.5602,2.2845,16.4747,0.9773,36.9
0.12,0.0644,94.075,72.8098,113.9518,75.6068,5.9006,3.9886,474.834,2.2439,16.3945,0.9787,36.9
0.16,0.0642,94.6233,71.9296,115.0445,74.9607,5.648,4.121,496.6105,2.6812,16.8608,0.9776,36.9
0.22,0.0641,96.5944,76.823,111.9724,73.5394,5.9267,4.0165,478.8827,2.4978,16.6965,0.9788,36.9
0.26,0.0697,95.071,73.6425,116.4308,75.0806,5.8673,3.8498,512.3461,2.1856,16.3315,0.9779,36.9
0.32,0.0686,93.008,71.5091,112.9757,75.1994,5.5572,4.157,494.7374,2.2107,16.5668,0.978,36.9
0.36,0.0676,94.448,75.3514,111.4679,74.0033,5.7325,3.9866,487.0018,2.5013,16.7261,0.9778,36.9
0.42,0.0698,95.6144,71.9076,112.1218,75.5577,5.6757,3.8423,510.5474,2.4042,16.3696,0.978,36.9
0.46,0.0691,94.9084,72.1862,114.4501,74.1227,5.6397,4.0559,482.7963,2.3881,16.7493,0.9776,36.9
0.52,0.0606,97.1834,72.5634,110.3301,76.5841,5.8197,4.232,484.0334,2.102,16.499,0.9777,36.9
0.56,0.0717,96.0235,69.672,114.7104,75.4344,5.7384,3.7745,486.8814,2.4648,16.4917,0.9786,36.9
0.62,0.0649,95.1104,74.1397,115.0351,74.4007,5.9026,3.9158,469.1442,2.0939,16.4019,0.9782,36.9
0.66,0.0656,94.7784,75.3773,113.6129,76.3945,5.6171,3.9063,493.3233,2.6082,16.997,0.9777,36.9
0.72,0.0706,94.0609,77.1512,114.7273,74.1662,5.7649,3.917,479.4499,2.1507,16.5261,0.9771,36.9
0.76,0.0652,96.8979,70.2886,114.3984,74.5791,5.7312,3.8315,489.4408,2.2745,16.6295,0.9781,36.9
0.82,0.0694,97.3086,71.9487,109.0594,74.3845,5.9244,3.8037,490.1932,2.4659,16.4007,0.9766,36.9
0.86,0.0623,96.282,72.8198,110.7368,74.5719,5.8275,4.0321,458.5325,2.2045,16.4461,0.9771,36.9
0.92,0.0658,96.2034,70.3858,112.4235,74.2562,5.8555,4.2481,480.3481,2.1986,16.5324,0.9783,36.9
0.96,0.0631,92.6119,71.8997,112.0305,75.2377,5.6651,3.9904,485.7202,2.2909,16.7148,0.9782,36.9
1.02,0.0634,94.5124,71.3107,109.5267,74.6452,5.8571,3.915,511.2196,2.4664,16.683,0.9791,36.9
1.06,0.0606,95.0999,71.0785,113.4461,76.5837,6.1307,4.0569,457.4752,2.5048,16.4181,0.9777,36.9
1.12,0.0665,95.2368,73.0795,114.942,74.6469,5.9691,3.9882,482.2766,2.5074,16.3027,0.9775,36.9
1.16,0.0681,97.0421,66.6825,113.1226,75.7297,5.6383,3.8037,464.3717,2.2882,16.3143,0.9777,36.9
1.22,0.0685,94.3962,74.4931,114.5622,74.6635,5.3946,3.9443,488.0814,2.4496,16.6449,0.9786,36.9
1.26,0.0684,92.8294,72.6583,115.7392,74.066,5.6261,3.9379,488.8986,2.5657,16.6519,0.9784,36.9
1.32,0.0681,95.2288,75.1258,115.0971,75.1625,5.7893,3.9092,467.9264,2.2584,16.5671,0.9794,36.9
1.36,0.0706,96.7311,69.1474,112.5887,75.9978,5.8701,4.0091,463.0723,2.319,16.5849,0.9789,36.9
1.42,0.0647,94.746,72.52,113.9768,74.1385,5.5128,3.8634,487.8679,2.9281,16.3838,0.9779,36.9
1.46,0.0704,95.0031,74.7138,116.9723,74.4413,5.6752,3.8157,488.0261,2.5881,16.556,0.9772,36.9
1.52,0.0662,94.8909,71.9793,111.6151,74.5283,5.5932,3.8595,508.9018,2.8351,16.8074,0.9789,36.9
1.56,0.0661,97.0473,72.0415,111.9822,75.4487,5.795,3.7903,471.969,2.4935,16.316,0.9766,36.9
1.62,0.0665,92.8374,75.065,114.106,74.9913,5.9889,3.6128,480.53,2.6293,16.6506,0.9763,36.9
1.66,0.0635,95.119,73.6917,116.83,74.695,5.7201,3.9361,473.1834,3.0882,16.4711,0.9764,36.9
1.72,0.0692,95.4655,71.8914,113.844,73.5751,5.6498,3.9267,505.3721,2.533,16.6258,0.9775,36.9
1.76,0.0686,95.4925,72.5222,113.8019,72.944,6.1081,4.1452,488.9929,2.8861,16.7862,0.9774,36.9
1.82,0.0709,93.266,71.6886,108.8418,73.393,5.9009,4.0307,473.6202,3.0092,16.5017,0.9787,36.9
1.86,0.0703,93.7626,69.0058,114.8739,74.3948,5.9252,3.8796,479.2632,2.7533,16.8712,0.977,36.9
1.92,0.069,95.883,73.7438,113.1461,75.0892,5.859,3.7223,476.9644,2.7592,16.5372,0.979,36.9
1.96,0.0667,95.9247,70.9741,114.7156,73.582,5.6582,3.8876,485.9869,2.4844,16.5744,0.978,36.9
2.02,0.0689,98.3978,78.0395,110.9901,75.1627,5.9446,3.8709,488.6952,3.0813,16.3376,0.9785,36.9
2.06,0.0645,93.9354,75.3328,108.9561,76.1912,5.7287,3.9943,493.6589,2.9568,16.947,0.9779,36.9
2.12,0.064,98.3508,76.8247,117.34,75.0004,5.883,3.7079,487.4657,2.9241,16.3562,0.9784,36.9
2.16,0.0701,94.7137,72.4897,115.85,74.5791,5.8703,3.8374,507.6881,2.79,16.7646,0.9787,36.9
2.22,0.0686,96.4311,71.2515,114.0839,75.8293,5.7931,3.8931,455.2586,2.7536,16.8535,0.9778,36.9
2.26,0.0697,95.7082,71.7049,111.0497,75.383,5.831,3.8107,471.0044,2.8407,16.5615,0.9779,36.9
2.32,0.0652,96.8376,74.2552,110.6501,74.8467,5.7417,3.8902,468.8304,3.0484,16.6484,0.9788,36.9
2.36,0.071,94.5277,71.5474,114.0356,75.0536,5.5666,3.9108,470.6891,3.1367,16.6565,0.9773,36.9
2.42,0.0691,94.218,76.0703,111.9021,74.5475,5.8185,3.9354,509.5364,3.0161,16.5463,0.9788,36.9
2.46,0.0629,93.9987,72.4845,113.5145,74.5181,5.5739,3.9324,481.1083,2.542,16.3019,0.9778,36.9
2.52,0.0648,94.4411,73.8632,113.7071,74.0014,5.8751,3.7372,481.3646,2.6999,16.5678,0.9779,36.9
2.56,0.0592,95.9128,74.3815,114.7799,76.3549,5.7367,3.6727,458.651,2.5541,16.4536,0.9774,36.9
2.62,0.0687,93.3938,70.6624,114.6932,73.5941,5.7299,4.0336,452.1576,2.5359,16.5676,0.9795,36.9
2.66,0.065,93.6711,71.6948,110.3992,75.7619,5.7278,3.7433,501.1738,2.6447,16.3959,0.978,36.9
