Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0622,98.3819,70.1514,114.5776,73.3783,5.8417,3.7659,559.6684,2.7941,15.7044,0.9784,37.0785
0.12,0.0661,94.8884,75.1854,115.1335,72.8929,5.6256,4.5252,537.5915,2.4426,15.8508,0.9781,36.9904
0.16,0.0639,96.073,70.5589,114.3196,74.5267,5.5524,3.9689,552.5874,2.753,15.7774,0.9782,36.9864
0.22,0.0688,95.1412,73.0307,113.6555,74.9292,5.8985,3.9239,544.762,2.7078,16.1405,0.978,36.9789
0.26,0.0664,96.0573,72.5395,113.7121,74.5683,6.0033,4.034,555.0171,2.9012,15.611,0.9782,36.9857
0.32,0.0663,95.6568,70.461,116.7931,74.4981,5.8459,4.0151,524.1374,2.7605,16.0888,0.9775,37.0257
0.36,0.0664,93.244,69.0544,115.8612,74.029,5.8808,4.1039,524.1149,2.6858,16.0678,0.9783,36.9877
0.42,0.0646,94.6467,69.9936,116.0026,73.7712,5.8541,3.8236,525.3769,2.5334,15.824,0.9781,37.0159
0.46,0.0626,94.8206,72.2908,115.8529,74.215,5.8632,4.0582,525.3626,2.886,15.7491,0.9785,37.0847
0.52,0.0677,95.0292,73.1761,119.7188,73.56,5.6657,4.0085,509.9659,2.4717,16.3067,0.978,37.0059
0.56,0.0605,95.3792,69.3539,112.5885,73.6645,6.0077,3.967,579.5879,2.6633,15.9428,0.9778,37.013
0.62,0.0617,94.8203,73.0547,117.2078,74.6306,5.5679,4.0651,528.7788,2.2922,15.7311,0.9776,37.0237
0.66,0.066,96.6199,67.847,112.1208,73.5286,5.9809,3.7506,534.154,2.7264,15.6725,0.9782,36.9715
0.72,0.0703,97.4577,72.1907,114.2656,73.6722,5.746,3.9099,532.765,2.5665,15.822,0.9783,36.9584
0.76,0.0649,95.9818,70.4635,115.999,72.8759,5.9977,3.8981,531.7112,2.3653,16.1728,0.9777,37.0841
0.82,0.0678,95.521,68.9417,118.0136,75.6854,5.8548,4.0371,532.967,2.7719,15.7156,0.9775,37.0255
0.86,0.0723,94.0103,71.6671,114.0184,74.0681,5.7775,3.8626,543.2745,2.6789,16.0653,0.9774,36.9884
0.92,0.0692,95.8235,68.9921,117.4114,74.1087,6.1881,3.6648,549.9712,2.8498,15.9953,0.978,37.0501
0.96,0.0657,94.3127,71.4398,116.1244,74.4011,5.9347,3.9596,544.3972,2.4181,15.8756,0.9781,36.9807
1.02,0.0669,96.6263,70.7689,118.5445,72.7945,5.5093,4.0733,504.7689,2.4478,16.0393,0.9779,36.9893
1.06,0.0594,94.9062,73.6358,117.6175,72.7053,5.9108,3.8451,540.1055,2.6723,15.8585,0.9778,37.0528
1.12,0.0667,95.0039,76.0867,115.0271,73.6814,5.8532,3.8113,551.854,2.823,15.9045,0.9781,37.0191
1.16,0.0638,97.9961,73.9708,116.2897,73.3626,5.77,4.0607,576.6272,2.9933,16.0503,0.9778,37.0047
