Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0442,74.988,108.6244,89.2,60.4625,8.0712,3.1623,518.9359,3.0311,17.6703,0.9799,36.9
0.12,0.0448,75.3401,107.7632,89.4784,60.5637,7.8916,3.0948,519.1046,3.0652,17.563,0.9802,36.9
0.16,0.0444,76.1794,108.7168,90.0815,59.3974,8.0245,3.0818,518.8255,3.0233,17.7038,0.9799,36.9
0.22,0.045,75.6349,110.0534,89.8457,60.2423,8.0126,3.0738,533.1773,3.1339,17.7933,0.9804,36.9
0.26,0.0446,75.347,108.8621,89.9889,59.9788,7.9729,3.0716,523.5629,3.1191,17.5049,0.9798,36.9
0.32,0.0449,75.6509,108.834,89.7575,60.1079,7.9009,3.0973,521.7837,3.0716,17.6634,0.9801,36.9
0.36,0.045,75.917,108.7072,90.5344,60.3,7.9067,3.124,528.4995,3.2355,17.5997,0.9802,36.9
0.42,0.0429,75.4296,108.7566,89.385,60.3307,7.8856,3.047,521.4757,3.1445,17.727,0.9799,36.9
0.46,0.0434,75.6275,110.9391,89.8059,59.9473,7.9046,3.2009,512.8003,3.2718,17.7234,0.98,36.9
0.52,0.0455,75.7681,110.0085,89.4492,60.2122,8.043,3.1359,533.2073,3.334,17.5854,0.9797,36.9
0.56,0.0445,75.3331,109.8243,90.3041,60.5009,7.89,3.1447,522.9785,3.2095,17.6424,0.9803,36.9
0.62,0.0454,75.2966,108.7911,91.1423,59.5988,7.9335,3.1294,533.6513,3.273,17.5897,0.98,36.9
0.66,0.0445,75.4729,108.2613,89.352,60.7508,8.0412,3.1196,514.9314,3.3491,17.7528,0.9797,36.9
0.72,0.044,75.5456,107.6067,90.6823,60.1504,7.8161,3.0881,508.443,3.286,17.6978,0.9805,36.9
