Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.1071,94.1626,50.5232,111.2008,73.7948,4.014,4.051,609.1529,2.4665,12.3855,0.977,37.0
0.12,0.1054,93.859,50.2279,112.601,73.5841,4.056,4.1453,614.5159,2.5194,12.3898,0.977,37.0
0.16,0.1072,94.5634,49.3201,112.7976,73.2461,4.0019,3.8439,623.8912,2.4403,12.4018,0.977,37.0
0.22,0.1087,93.6618,50.7525,109.9929,73.2492,3.9943,4.165,618.8818,2.719,12.4235,0.977,37.0
0.26,0.1055,94.7539,49.3827,113.2228,73.3157,4.027,4.1424,620.1113,2.5327,12.4098,0.977,37.0
0.32,0.1075,94.9145,50.2273,112.5343,72.755,4.0438,3.9821,612.6895,2.7583,12.4578,0.977,37.0
0.36,0.1047,96.1607,50.2112,112.9134,73.6601,4.1115,4.1472,626.924,2.6897,12.4169,0.977,37.0
0.42,0.1052,94.914,49.6304,111.6799,73.13,4.0358,4.2334,613.4141,2.7508,12.379,0.977,37.0
0.46,0.1112,94.7018,51.2327,113.9631,73.542,4.0618,4.1265,616.8749,2.6149,12.3974,0.977,37.0
0.52,0.108,94.1464,50.1734,113.4648,73.343,4.08,3.91,622.3852,2.5894,12.4299,0.977,37.0
0.56,0.1101,93.8338,50.2225,112.4769,73.0524,4.0466,3.9924,619.7954,2.5118,12.4041,0.977,37.0
0.62,0.1055,94.6519,50.6944,113.4564,73.4535,4.0657,3.9831,630.6452,2.444,12.3937,0.977,37.0
0.66,0.105,95.4629,48.8978,112.0752,73.7491,4.0169,3.9926,612.7943,2.7378,12.4056,0.977,37.0
0.72,0.1081,93.7171,50.194,113.3034,73.6316,4.0341,3.9486,624.2931,2.4008,12.4764,0.977,37.0
0.76,0.1082,93.873,50.9454,112.8516,72.8077,4.1137,4.1019,633.4518,2.6548,12.3948,0.977,37.0
0.82,0.1061,94.5896,50.6085,113.2166,72.9319,4.0953,4.1729,631.1395,2.4539,12.3792,0.977,37.0
0.86,0.103,93.9445,50.7269,112.6434,73.6349,4.0072,4.0533,625.6901,2.7762,12.3982,0.977,37.0
0.92,0.1078,94.5178,50.0697,114.1631,73.7122,4.0068,3.9372,624.8701,2.5306,12.394,0.977,37.0
0.96,0.104,94.5768,51.2104,112.426,73.4039,4.0811,3.936,616.2904,2.7709,12.3852,0.977,37.0
1.02,0.1026,94.5478,49.2361,113.9342,72.9474,4.0242,4.0655,618.2288,2.5815,12.4089,0.977,37.0
1.06,0.1038,94.7249,49.8896,112.6144,73.3062,4.0679,4.0724,619.8581,2.6161,12.3976,0.977,37.0
1.12,0.1076,94.1257,49.3156,113.4299,72.963,4.0207,4.1665,627.4963,2.4988,12.3891,0.977,37.0
1.16,0.1048,94.8802,50.025,112.8836,73.7299,3.9628,3.8954,626.119,2.7333,12.3587,0.977,37.0
1.22,0.105,95.4664,49.8316,112.257,73.4903,4.1474,4.0195,612.2198,2.5722,12.3828,0.977,37.0
1.26,0.1069,95.075,51.4127,115.8233,73.642,4.0093,4.0465,620.0876,2.5665,12.4633,0.977,37.0
1.32,0.104,94.3731,49.334,112.4418,72.2314,3.9973,4.0027,622.0203,2.7734,12.4124,0.977,37.0
1.36,0.1057,94.401,50.6067,111.8204,73.4426,4.0184,3.8852,618.4124,2.5922,12.4472,0.977,37.0
1.42,0.1048,94.8075,50.3115,111.376,73.2569,4.0674,4.0644,625.3237,2.2899,12.3529,0.977,37.0
1.46,0.1074,94.6896,49.3985,114.2702,72.8124,4.0928,4.0846,622.0275,2.4996,12.4076,0.977,37.0
1.52,0.1075,95.4052,48.821,113.6768,73.1615,4.1028,4.0684,623.7771,2.7079,12.3632,0.977,37.0
1.56,0.1063,94.8306,50.6703,113.4583,73.5406,4.0611,4.1286,614.5954,2.5626,12.3743,0.977,37.0
1.62,0.1052,94.8303,50.5682,112.211,73.4406,4.0475,4.0857,615.61,2.7264,12.3469,0.977,37.0
1.66,0.1024,95.6451,50.4374,114.5445,73.767,4.1234,4.0456,624.0095,2.8744,12.4096,0.977,37.0
1.72,0.1073,94.5876,49.6183,114.1524,73.3925,4.0373,4.1083,611.6692,2.3916,12.431,0.977,37.0
1.76,0.1086,93.8902,49.1935,113.2131,73.2235,4.0126,4.0617,612.2667,2.678,12.3985,0.977,37.0
1.82,0.1054,94.5435,49.564,113.4703,73.0326,4.1574,3.8992,614.737,2.5944,12.4384,0.977,37.0
1.86,0.1105,94.7363,50.0315,113.5531,73.133,4.0077,4.1145,618.1069,2.7909,12.4727,0.977,37.0
1.92,0.1027,94.7294,51.4204,111.5283,73.354,4.1158,3.9657,613.622,2.7904,12.4082,0.977,37.0
1.96,0.101,94.8519,50.3003,114.587,73.6247,4.1234,4.0747,619.4152,2.7444,12.3716,0.977,37.0
2.02,0.1082,94.6671,50.6496,112.1035,73.2047,4.0113,4.0112,609.2053,2.6677,12.393,0.977,37.0
2.06,0.1047,93.8455,49.3082,114.5883,73.0983,3.9528,3.8809,621.5968,2.6178,12.4361,0.977,37.0
2.12,0.1068,94.4295,49.4649,113.3218,73.0686,4.1033,4.0539,625.4807,2.8251,12.4174,0.977,37.0
2.16,0.1071,95.1724,49.9369,114.5638,73.2016,4.0797,3.9939,620.0625,2.7127,12.3761,0.977,37.0
2.22,0.1059,95.2772,49.8983,114.3507,73.8108,4.0291,3.7869,617.8986,2.6627,12.417,0.977,37.0
2.26,0.104,94.4774,49.7605,113.1671,72.7602,4.054,4.0011,618.1386,2.9478,12.3842,0.977,37.0
2.32,0.1103,94.6279,49.6428,112.7971,73.3083,4.0856,4.0777,623.569,2.9603,12.4029,0.977,37.0
2.36,0.104,93.2143,49.4813,114.0353,72.9145,4.0937,4.1145,627.3809,2.8369,12.3707,0.977,37.0
2.42,0.1049,94.2238,50.4784,114.6596,72.6679,4.0898,4.1116,613.9665,2.9931,12.4266,0.977,37.0
2.46,0.1042,94.7588,48.9524,113.6631,73.3998,4.0374,3.9904,612.3525,3.0453,12.3839,0.977,37.0
2.52,0.1093,94.6259,50.2079,114.8293,73.0542,4.0887,3.9281,614.6331,3.0247,12.4772,0.977,37.0
2.56,0.113,94.4782,49.7384,114.0075,73.4911,4.0613,4.0379,609.6492,3.2419,12.3767,0.977,37.0
2.62,0.1095,95.1149,50.5513,113.4073,72.7676,4.0608,4.109,614.7384,3.1754,12.4216,0.977,37.0
2.66,0.1054,95.0683,51.4247,116.0124,73.3552,4.1001,4.1826,617.8505,3.075,12.415,0.977,37.0
2.72,0.1093,93.4444,49.8357,113.4125,73.2011,4.0773,4.0133,615.5319,2.9313,12.447,0.977,37.0
2.76,0.1077,94.7053,50.7175,114.8388,73.1732,4.1018,4.1387,625.2923,3.0894,12.4224,0.977,37.0
2.82,0.1015,93.8135,50.8202,112.783,73.4852,4.0492,4.0474,619.1605,3.1201,12.3968,0.977,37.0
2.86,0.1052,94.6993,49.0176,113.4839,73.4799,4.044,3.9502,618.246,2.961,12.4083,0.977,37.0
2.92,0.107,95.3619,49.1047,115.9898,73.3891,4.0454,4.1549,621.3168,3.1686,12.41,0.977,37.0
2.96,0.1054,95.0425,50.4678,113.785,72.952,4.1128,4.0701,619.8313,3.1631,12.3938,0.977,37.0
3.02,0.1045,94.3872,49.4537,114.0067,73.2429,4.145,4.0211,629.3447,2.9429,12.374,0.977,37.0
3.06,0.1041,94.472,50.5158,113.7874,73.1111,4.0031,4.0443,609.3091,3.466,12.4465,0.977,37.0
3.12,0.1085,93.9968,50.0628,112.6134,73.8647,4.0292,4.0717,610.3713,3.163,12.4132,0.977,37.0
3.16,0.1016,94.4328,50.7743,112.78,73.0762,4.1413,3.9379,609.658,3.4183,12.4229,0.977,37.0
3.22,0.1073,94.5586,50.2371,114.3402,72.8104,4.1414,4.2853,620.8209,3.1749,12.4389,0.977,37.0
3.26,0.107,94.7872,50.9893,114.4774,72.9194,4.1146,3.9838,623.1513,3.3141,12.4767,0.977,37.0
3.32,0.1066,94.0794,49.6714,114.8355,73.2808,4.0443,3.7032,621.6502,3.1792,12.4388,0.977,37.0
3.36,0.1066,94.5778,50.6822,114.3575,73.19,4.1133,4.0139,625.8329,2.9868,12.4436,0.977,37.0
3.42,0.1081,95.1934,49.5343,114.0655,73.3472,4.0342,3.8304,623.6581,3.2918,12.4227,0.977,37.0
3.46,0.1041,94.6709,49.5712,114.7679,72.5666,3.9766,3.9367,625.3116,3.0123,12.4714,0.977,37.0
3.52,0.1037,95.0952,49.4839,112.8508,73.1103,4.013,4.0351,617.0856,3.0529,12.419,0.977,37.0
3.56,0.1109,94.2088,49.1303,113.3604,73.1168,4.0943,3.8357,615.7268,3.0332,12.4324,0.977,37.0
3.62,0.1026,94.709,50.1538,113.6074,74.1299,4.1024,3.8519,619.6606,2.7988,12.4055,0.977,37.0
3.66,0.1024,95.1722,50.5185,113.1615,73.2546,4.0876,4.1081,622.3958,2.8058,12.4375,0.977,37.0
3.72,0.1083,94.9662,50.7023,114.3208,73.0997,4.1054,4.054,621.4132,2.8475,12.3909,0.977,37.0
3.76,0.106,94.2424,50.5259,114.0769,73.1715,4.0899,4.0363,617.0209,2.6755,12.4179,0.977,37.0
3.82,0.1064,94.9201,51.2046,113.9074,73.0524,4.0853,4.0774,615.3809,2.7809,12.4555,0.977,37.0
3.86,0.1038,94.9456,50.3522,114.3181,73.4185,4.1007,4.0158,617.1119,2.7318,12.3689,0.977,37.0
3.92,0.1054,94.2245,49.9012,114.2796,73.2066,4.0436,4.0493,619.5911,2.4934,12.4307,0.977,37.0
3.96,0.1042,94.5205,50.6219,115.4208,73.0775,3.9986,3.9501,633.5613,2.6088,12.3632,0.977,37.0
4.02,0.1039,94.8228,49.6031,113.5275,72.3334,4.073,4.1303,623.0738,2.7915,12.4245,0.977,37.0
4.06,0.1032,94.4183,49.9197,115.3859,73.4008,4.0593,3.9805,620.9244,2.5631,12.3393,0.977,37.0
4.12,0.106,95.0757,50.0169,113.3513,73.4932,4.0781,4.0321,622.6849,2.5964,12.4635,0.977,37.0
4.16,0.1076,94.6226,50.3999,114.72,73.6813,4.0657,3.9661,626.3855,2.6391,12.3847,0.977,37.0
4.22,0.1063,94.259,50.4407,114.0765,73.7045,4.0485,3.9768,613.6141,2.6948,12.4103,0.977,37.0
4.26,0.1085,94.347,51.0424,115.8347,73.301,4.0892,3.9276,622.0179,2.3071,12.444,0.977,37.0
4.32,0.1053,94.1994,50.4652,114.9213,73.406,4.0885,4.0185,619.9936,2.6915,12.425,0.977,37.0
4.36,0.1053,94.9012,49.8464,115.3289,72.8224,3.9997,4.1511,619.4437,2.782,12.3743,0.977,37.0
4.42,0.1023,94.9927,51.1507,112.801,73.2905,4.0211,3.8253,634.8285,2.8958,12.4235,0.977,37.0
4.46,0.1088,94.3325,50.7018,111.9746,72.9133,4.0721,4.034,625.0849,2.5325,12.4378,0.977,37.0
4.52,0.108,95.1615,50.9759,115.2477,73.5596,4.0985,4.0214,625.5263,2.6861,12.3388,0.977,37.0
4.56,0.104,94.0889,51.404,115.1621,73.1013,4.0199,4.0012,630.4734,2.5699,12.4206,0.977,37.0
4.62,0.1092,94.1214,50.1741,115.7403,73.4674,4.0863,3.9261,611.814,2.6506,12.3738,0.977,37.0
4.66,0.1062,95.1332,50.1909,113.2159,72.469,4.0774,3.9293,622.785,2.7362,12.404,0.977,37.0
4.72,0.1072,95.1999,50.3419,114.5866,73.7348,4.0085,3.9935,626.5455,2.546,12.3625,0.977,37.0
4.76,0.1058,94.6171,49.5233,113.5638,72.9952,4.1139,3.8757,634.5291,2.5094,12.4413,0.977,37.0
4.82,0.1068,95.1538,49.7827,115.2909,73.1082,4.0015,4.1606,626.6576,2.5544,12.3999,0.977,37.0
4.86,0.1069,94.3531,50.5162,114.3543,73.776,4.022,3.9558,614.7422,2.641,12.4139,0.977,37.0
4.92,0.1072,94.6378,50.5107,114.3976,73.6295,4.1133,4.0242,628.6146,2.8927,12.3872,0.977,37.0
4.96,0.1028,94.6539,50.6886,114.8386,73.1043,4.0937,4.0293,614.2709,2.7752,12.4063,0.977,37.0
5.02,0.1112,94.5923,50.952,113.939,74.0212,3.9918,3.9676,623.8575,2.6907,12.4481,0.977,37.0
5.06,0.1053,95.0763,50.4371,114.1954,73.1796,4.0205,4.0681,617.7834,2.5044,12.362,0.977,37.0
5.12,0.1036,94.353,50.1275,113.027,73.4472,4.0391,3.8425,620.505,2.4726,12.4153,0.977,37.0
5.16,0.1074,94.0861,50.1544,114.0981,73.0403,4.0559,4.1493,617.2873,2.473,12.4214,0.977,37.0
5.22,0.1041,94.6591,50.4174,113.3178,73.1279,4.0504,4.1355,624.8862,2.8108,12.4499,0.977,37.0
5.26,0.1055,95.1189,50.0121,112.7146,72.5689,3.9675,3.9498,624.8109,2.5441,12.3795,0.977,37.0
5.32,0.1067,94.1264,51.1009,113.9506,73.4031,4.0563,4.0576,613.2956,2.5305,12.3619,0.977,37.0
5.36,0.1073,94.8951,50.3272,113.2283,73.5806,4.0363,4.0655,610.7351,2.3962,12.4454,0.977,37.0
5.42,0.1072,94.7433,50.7996,114.1429,72.8997,4.1111,4.0029,630.0591,2.5075,12.3788,0.977,37.0
5.46,0.1064,94.0945,49.3003,115.5221,73.1079,4.0914,3.9847,622.5236,2.8428,12.4161,0.977,37.0
5.52,0.1047,94.528,50.5363,115.2675,73.4102,4.1041,4.0178,621.7237,2.7413,12.4002,0.977,37.0
5.56,0.1074,93.9997,50.4379,114.0665,73.1261,4.0425,3.94,625.9401,2.6466,12.3493,0.977,37.0
5.62,0.1075,95.7441,49.8347,112.9667,73.8102,4.0375,3.8281,626.1733,2.3011,12.4951,0.977,37.0
5.66,0.1111,94.0098,50.515,113.5883,73.5954,4.0238,3.9842,622.4312,2.5794,12.3899,0.977,37.0
5.72,0.1065,93.5999,50.2838,116.1544,72.8544,4.0554,4.1126,621.9694,2.5196,12.3691,0.977,37.0
5.76,0.1054,94.641,50.1239,114.3008,73.701,4.0833,3.8554,631.5322,2.5984,12.396,0.977,37.0
5.82,0.1099,95.2557,50.1573,114.2589,73.402,4.0802,3.9156,624.6153,2.337,12.4052,0.977,37.0
5.86,0.1084,93.5511,49.8594,114.2251,73.4162,4.0437,3.8906,621.2103,2.5618,12.392,0.977,37.0
5.92,0.1054,93.857,49.6591,114.6301,73.2064,4.0717,4.0265,619.7087,2.8799,12.3761,0.977,37.0
5.96,0.1066,95.5068,49.3348,115.3787,73.2958,4.0956,3.9425,622.1422,2.624,12.4502,0.977,37.0
6.02,0.1078,95.5229,50.0695,114.07,73.5626,4.072,4.0461,621.8326,2.5519,12.3888,0.977,37.0
6.06,0.1044,94.203,49.6265,114.3632,73.1166,4.0651,3.9277,633.5269,2.6672,12.3409,0.977,37.0
