Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0674,96.2126,72.5167,114.8068,74.4984,5.717,4.0519,634.8425,2.5835,12.3461,0.979,36.9
0.12,0.0658,96.2461,72.3763,115.0578,74.3142,5.8671,3.9642,636.6328,2.6302,12.3338,0.9792,36.9
0.16,0.0669,95.6262,72.1692,114.8831,74.5233,5.7258,4.0477,633.943,2.5212,12.3477,0.9791,36.9
0.22,0.0665,95.497,72.7633,114.3628,74.8731,5.7806,3.8511,631.521,2.5443,12.3531,0.979,36.9
0.26,0.0673,95.9853,71.2304,114.2962,75.2914,5.7659,3.9675,624.8972,2.6716,12.3415,0.9792,36.9
0.32,0.0652,96.0905,71.7206,115.3451,74.5307,5.7825,3.8667,633.7034,2.7135,12.3344,0.979,36.9
0.36,0.068,96.2677,71.3779,115.411,74.6223,5.8446,3.8815,635.4084,2.7367,12.3525,0.9793,36.9
0.42,0.067,96.4819,71.9526,115.1475,74.6356,5.7364,3.9605,632.6644,2.7416,12.3352,0.9791,36.9
0.46,0.0661,95.634,71.4571,113.9246,74.7863,5.8189,3.8649,634.8867,2.8281,12.3498,0.9789,36.9
0.52,0.0665,95.2352,72.3031,114.3747,74.0874,5.7481,3.8806,630.433,2.7215,12.3514,0.979,36.9
0.56,0.0656,95.9154,71.5162,115.3092,74.4284,5.8222,3.8183,632.5278,2.7454,12.333,0.9791,36.9
0.62,0.0668,95.9573,72.3808,115.702,74.7429,5.7383,3.8818,632.7208,2.735,12.3504,0.9788,36.9
0.66,0.0664,95.7825,71.1311,114.7484,74.2056,5.81,3.8933,627.238,2.7025,12.3467,0.979,36.9
0.72,0.0669,95.4794,72.1795,114.3016,74.3627,5.8776,3.9917,636.0382,2.9033,12.3592,0.9789,36.9
0.76,0.0672,95.8523,71.273,116.1066,74.2654,5.8358,3.9296,629.4485,2.9092,12.3506,0.9789,36.9
0.82,0.0654,95.8425,72.4141,114.5186,74.423,5.8169,4.0089,624.8501,2.8686,12.3485,0.9789,36.9
0.86,0.0657,96.2987,71.6068,115.4659,74.1396,5.8783,4.012,631.8512,3.0481,12.3547,0.9788,36.9
0.92,0.0676,95.2931,70.3739,114.975,74.3113,5.7905,3.9698,637.4989,3.0174,12.3508,0.979,36.9
