Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0666,95.9592,70.1707,115.2855,74.6097,5.7396,3.9879,516.4525,2.6165,15.8321,0.979,36.9
0.12,0.0663,96.4204,72.1438,114.7563,74.4862,5.7511,3.9455,515.3602,2.5519,15.9468,0.9789,36.9
0.16,0.065,96.4561,73.1491,114.9477,74.6347,5.7728,3.9369,507.1055,2.66,15.9073,0.9789,36.9
0.22,0.0648,95.2129,72.0464,115.2267,74.9562,5.7476,3.9341,514.1642,2.5951,15.9298,0.979,36.9
0.26,0.0656,95.9761,71.7396,114.8759,75.0432,5.7592,4.0043,506.5091,2.8067,15.992,0.9789,36.9
0.32,0.0644,96.3909,70.3951,115.1967,74.811,5.8253,3.9455,507.4311,2.7973,15.9834,0.979,36.9
0.36,0.0663,95.9513,72.5234,114.786,75.2499,5.7645,3.9282,501.589,2.6844,15.968,0.979,36.9
0.42,0.0668,95.2509,71.9887,116.4281,73.6029,5.8227,3.9259,518.4234,2.7309,15.8858,0.979,36.9
0.46,0.0665,95.9761,71.44,115.3265,74.0931,5.711,3.9564,504.4578,2.8086,15.9337,0.9788,36.9
0.52,0.0664,94.9607,71.5628,115.0606,74.2902,5.7486,3.9011,517.0467,2.8719,15.8596,0.9788,36.9
0.56,0.0664,95.1787,71.3783,115.3892,74.7811,5.8178,4.0227,514.5589,2.8218,16.0123,0.9787,36.9
0.62,0.067,96.4267,72.0848,114.5733,74.8872,5.7716,3.8802,506.7783,2.8191,15.9432,0.9792,36.9
0.66,0.0657,96.1225,72.2988,114.8701,74.6966,5.7597,3.8027,513.3958,2.9436,16.0175,0.9791,36.9
0.72,0.0657,96.2995,72.4246,116.2515,73.9849,5.7893,3.847,516.9364,2.9335,15.9437,0.9791,36.9
0.76,0.0655,95.9696,73.5801,115.1535,74.1174,5.8184,3.9264,511.7402,2.8549,16.0229,0.9788,36.9
0.82,0.067,96.6475,72.3434,115.9412,75.3044,5.7191,3.97,516.203,2.973,16.0388,0.9791,36.9
0.86,0.0675,96.3022,72.81,114.6168,75.0555,5.7301,3.9407,507.0384,3.0366,15.9328,0.9789,36.9
0.92,0.0674,96.1741,71.2491,115.4721,74.7439,5.7832,3.944,522.7112,3.1264,16.0104,0.979,36.9
0.96,0.0653,96.2324,72.7532,115.2664,75.077,5.7615,3.8631,514.1578,3.0012,15.9711,0.9792,36.9
1.02,0.066,95.9017,70.6673,115.5345,73.7438,5.8152,4.1345,516.864,3.0076,16.0193,0.9791,36.9
1.06,0.0664,96.352,72.0387,115.0669,74.6277,5.7479,4.0476,514.7114,3.033,15.9108,0.979,36.9
1.12,0.0658,95.7697,72.0214,114.4732,74.1556,5.7639,3.9393,521.1274,3.0961,16.0038,0.9787,36.9
1.16,0.0679,95.8632,72.394,115.6738,74.6927,5.7646,3.9756,504.328,3.1998,15.926,0.9792,36.9
1.22,0.0654,95.2702,72.1436,114.6668,74.2719,5.79,4.0016,513.5044,3.1553,15.9102,0.9789,36.9
1.26,0.0686,95.9633,72.5345,114.7302,75.1011,5.7823,3.9187,516.7195,3.0826,15.971,0.9789,36.9
1.32,0.067,95.9923,72.7874,115.6547,74.5013,5.7703,4.0366,516.3763,3.0319,15.9306,0.979,36.9
1.36,0.0668,95.717,71.9179,114.6009,74.3895,5.7126,3.8578,513.7476,3.08,15.9612,0.979,36.9
1.42,0.0672,96.1443,70.8971,114.6685,74.9013,5.7927,3.9081,522.3423,3.0327,15.9212,0.9789,36.9
1.46,0.0654,95.4132,71.7594,113.9467,74.3732,5.7299,3.9519,508.0196,2.7892,15.9188,0.9791,36.9
1.52,0.0647,96.1749,72.4409,115.9555,74.9184,5.8757,3.7913,519.6599,2.8667,15.8204,0.979,36.9
1.56,0.0674,95.6739,72.155,115.1994,74.0817,5.7603,3.9525,514.4695,2.9699,15.9654,0.9786,36.9
1.62,0.0674,96.1171,72.1965,114.2629,74.2593,5.8007,3.8715,512.6107,2.8322,15.9526,0.9789,36.9
1.66,0.0665,96.0131,72.6797,115.5381,74.3287,5.7894,3.9051,499.1862,2.8052,15.9409,0.9788,36.9
1.72,0.0664,95.5625,72.5606,114.3481,74.877,5.8284,4.0046,513.2507,2.7486,15.9981,0.9789,36.9
1.76,0.066,96.0292,72.1759,113.546,74.2832,5.7565,4.0127,520.8839,2.6445,15.9911,0.979,36.9
1.82,0.0671,96.0417,72.9615,115.1161,74.9979,5.9149,3.961,523.6111,2.6886,15.9658,0.9791,36.9
1.86,0.066,95.2019,73.683,114.5296,74.5635,5.8658,4.03,515.8338,2.7252,15.963,0.9791,36.9
1.92,0.0685,96.947,72.9035,114.1331,74.0644,5.7732,4.0228,513.0758,2.53,16.035,0.9789,36.9
1.96,0.0665,95.6118,72.4214,114.5391,73.914,5.8409,3.9349,516.0996,2.7192,16.0041,0.979,36.9
2.02,0.0669,96.2082,72.2193,115.0342,74.5351,5.7699,3.9571,525.5625,2.6856,15.9776,0.9786,36.9
2.06,0.0672,95.8054,72.8865,115.0429,74.2001,5.8757,3.9807,521.8238,2.7128,15.9614,0.9791,36.9
2.12,0.0674,95.3115,73.231,114.3326,74.3388,5.8401,3.943,520.4098,2.5273,15.9771,0.9789,36.9
2.16,0.0664,96.5255,72.4758,114.5606,73.9567,5.8238,3.9395,514.37,2.5786,15.8849,0.9791,36.9
2.22,0.0663,96.1013,71.6347,114.5501,74.6753,5.8714,3.9021,519.3654,2.5814,16.009,0.9789,36.9
2.26,0.0668,96.1456,73.5373,114.4769,74.1776,5.8803,3.8806,521.7987,2.6149,15.9537,0.9788,36.9
2.32,0.0662,96.0027,72.3797,115.5383,74.6005,5.7569,3.9148,506.3571,2.6247,15.9669,0.979,36.9
2.36,0.0669,96.1962,73.6536,114.8399,74.1927,5.8225,4.0056,516.9773,2.5625,15.971,0.9789,36.9
2.42,0.066,96.9974,72.4416,114.6359,74.3754,5.7256,3.8692,516.5246,2.6527,15.948,0.979,36.9
2.46,0.0666,95.3146,72.5057,113.9432,74.6079,5.8328,3.9177,509.8053,2.5688,15.9696,0.9789,36.9
2.52,0.0662,95.2758,72.4223,115.5401,74.694,5.8247,3.923,516.5296,2.6456,15.8814,0.979,36.9
2.56,0.0671,95.9041,72.25,114.9034,74.2315,5.8259,3.9517,519.0662,2.5318,15.9733,0.9791,36.9
2.62,0.0664,95.9275,71.0392,114.5208,74.1467,5.7861,4.0673,510.9831,2.5528,15.9428,0.9789,36.9
2.66,0.0679,95.8267,73.4667,116.2624,75.1519,5.7135,3.9229,516.2147,2.6763,16.0766,0.979,36.9
2.72,0.066,95.4336,70.88,115.6266,74.9664,5.7573,4.0207,513.3515,2.5665,15.8694,0.9789,36.9
2.76,0.0681,96.5271,71.5988,115.4409,74.9092,5.7727,4.072,515.7115,2.517,15.9449,0.9791,36.9
2.82,0.0671,95.9649,73.3815,114.8577,74.2947,5.7979,3.9443,508.4051,2.5993,15.9808,0.9792,36.9
2.86,0.067,96.48,72.5231,114.8886,74.2952,5.7978,3.9813,513.905,2.5869,16.0252,0.9789,36.9
2.92,0.0674,95.7109,70.5505,115.2348,74.0353,5.8813,3.9637,513.2167,2.5447,15.9706,0.979,36.9
2.96,0.0679,96.6179,73.0853,116.2393,74.5137,5.8359,3.9215,514.4448,2.5663,15.9605,0.979,36.9
3.02,0.0657,95.9197,71.671,116.9427,73.9245,5.8306,3.8364,520.4704,2.5531,16.0635,0.9789,36.9
3.06,0.0675,95.8936,74.3847,114.3966,74.5068,5.7906,3.9591,520.421,2.578,16.042,0.9789,36.9
