Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0438,95.6997,112.1826,118.0764,75.2757,9.3437,3.8695,436.6409,2.9957,19.5031,0.9801,36.9
0.12,0.039,93.1451,111.3905,114.259,74.6875,8.5223,3.8247,472.1897,3.1243,18.9601,0.9794,36.9
0.16,0.0403,94.2187,103.1121,116.3723,71.0958,8.5097,3.9469,445.5481,3.1962,19.3698,0.9817,36.9
0.22,0.0393,97.3418,105.936,113.9223,72.8936,8.626,3.7305,466.229,3.0792,19.2551,0.9808,36.9
0.26,0.0439,94.529,107.5821,117.4078,77.0563,9.0764,3.9416,460.156,2.9388,19.2811,0.9791,36.9
0.32,0.0412,94.7755,116.2332,117.4367,77.2535,8.9273,4.3685,458.4185,2.976,19.1704,0.9775,36.9
0.36,0.0422,95.1055,108.7131,118.1774,73.3044,8.9723,4.1312,413.0687,2.9843,18.8618,0.9805,36.9
0.42,0.0429,98.3351,109.7789,115.16,74.5978,8.5863,4.1177,449.7843,2.783,18.6025,0.9796,36.9
0.46,0.0382,94.0391,112.1736,114.867,72.4621,8.5941,3.9352,473.2399,2.9126,19.6775,0.9783,36.9
0.52,0.0386,95.1522,104.8495,117.2256,72.7521,8.6453,3.7918,455.7084,2.8556,19.1438,0.9804,36.9
0.56,0.0409,96.7559,106.3639,116.9649,75.1408,8.8999,3.9084,456.9819,2.7269,18.5739,0.9795,36.9
0.62,0.0374,95.6372,103.833,113.2585,73.1188,8.8103,3.8667,448.9226,2.877,19.1098,0.9799,36.9
0.66,0.0405,97.1214,109.4646,118.3874,75.4148,8.3924,3.9422,457.2446,2.8658,19.056,0.9793,36.9
0.72,0.0413,95.4976,106.8985,113.5944,72.7918,8.7743,3.8839,436.0257,2.7555,18.5734,0.9817,36.9
0.76,0.0376,97.4226,104.7478,116.7914,71.0235,8.8205,4.4362,443.5458,2.8336,18.8641,0.9786,36.9
0.82,0.0467,97.5996,101.9018,116.7389,75.5669,8.8489,3.6932,411.1846,2.7164,19.3789,0.9795,36.9
0.86,0.0356,96.0055,110.2503,117.5419,72.7255,8.788,3.9402,481.4356,2.4702,19.0476,0.9787,36.9
0.92,0.0395,97.4857,103.1286,114.5313,75.4741,8.591,4.0026,418.567,2.6051,18.978,0.98,36.9
0.96,0.0399,96.9852,107.3128,115.0256,75.093,8.9795,3.9633,408.8782,2.4774,18.9363,0.9817,36.9
1.02,0.0369,96.0939,105.5752,113.5492,74.1126,8.4706,3.9228,448.751,2.6325,18.663,0.9815,36.9
1.06,0.0393,95.0707,107.1799,118.875,75.0095,8.771,4.0603,439.2795,2.1826,19.0429,0.9808,36.9
1.12,0.0406,93.8543,115.9326,114.6152,73.6226,8.7128,3.9768,460.4219,2.6995,18.9285,0.9808,36.9
1.16,0.0414,93.9187,106.7615,114.919,75.5419,8.6504,4.1307,476.6419,2.3982,18.8333,0.9821,36.9
1.22,0.0433,96.0586,102.4747,114.2703,72.3873,8.8865,3.6137,471.0598,2.1294,19.297,0.9778,36.9
1.26,0.0491,95.1482,111.7213,116.7902,74.3583,9.0771,3.8364,471.6196,2.4592,19.1724,0.9832,36.9
1.32,0.0409,95.7336,105.1686,115.1368,76.5136,9.05,3.7822,442.1643,2.6476,18.3318,0.9778,36.9
1.36,0.0417,96.5871,109.5191,116.8694,73.6074,9.0622,4.141,452.1843,2.833,19.0256,0.981,36.9
1.42,0.0426,94.4561,106.7399,115.3633,75.4227,8.4847,4.0448,414.1821,2.5569,19.2461,0.9809,36.9
1.46,0.041,94.2741,105.8173,117.5236,74.4265,8.506,4.0638,397.193,2.7966,18.9952,0.9815,36.9
1.52,0.038,96.6516,110.7744,114.7296,73.9103,8.7665,4.0754,446.7885,2.3677,18.808,0.9798,36.9
1.56,0.0419,94.9533,112.8511,117.1402,74.4569,9.0226,3.8288,444.2466,2.4749,19.1046,0.9784,36.9
1.62,0.0431,99.1618,114.8601,117.3016,76.9882,8.7259,3.7417,460.968,2.6532,19.1428,0.979,36.9
1.66,0.0389,94.912,106.0913,114.1816,75.544,8.6892,4.1681,499.3498,2.6791,18.9848,0.9794,36.9
1.72,0.0427,97.5506,114.295,116.4659,74.7142,8.8577,3.9395,442.0752,2.6912,19.1528,0.9826,36.9
1.76,0.0395,98.2625,111.164,113.9906,72.6561,8.6916,3.7368,474.3607,2.6288,18.7058,0.9802,36.9
1.82,0.0376,93.3324,108.1188,113.9187,76.8678,9.3129,3.8066,435.6922,2.463,18.3476,0.9797,36.9
1.86,0.041,95.786,118.4583,113.7932,72.9565,8.4733,3.9838,454.9579,2.9639,18.8223,0.9808,36.9
1.92,0.0446,95.3741,108.5384,109.9376,76.1575,9.0314,4.1135,438.091,2.7027,18.3786,0.9816,36.9
1.96,0.0409,95.1228,105.0113,118.2949,76.265,9.2447,3.5328,434.745,2.7257,18.7801,0.9783,36.9
2.02,0.0413,96.8826,109.3135,117.6734,73.348,8.5683,3.7246,448.822,2.577,19.1335,0.9768,36.9
2.06,0.0406,95.6987,100.6395,115.0865,72.8592,8.7874,3.9461,441.1556,2.7376,18.933,0.9811,36.9
2.12,0.0377,97.1529,106.6889,115.1153,74.1202,9.3748,3.7661,441.4946,2.8074,18.9111,0.9798,36.9
2.16,0.0414,96.2759,111.716,113.0857,74.8772,8.8215,3.7221,444.9139,2.7491,18.8166,0.9816,36.9
2.22,0.0361,97.6651,104.3333,113.3122,73.6457,9.2364,4.2612,463.3199,2.6506,18.9962,0.9804,36.9
2.26,0.0432,95.1782,107.6383,115.5894,73.3471,8.9745,4.1788,432.0751,2.6179,19.3191,0.9792,36.9
2.32,0.0382,97.1641,101.8912,112.893,73.7081,8.9998,3.6629,433.8565,2.7367,19.5046,0.9794,36.9
2.36,0.0435,95.6256,108.5988,116.7758,74.4186,8.8484,4.0391,465.2342,2.7416,18.6375,0.9793,36.9
2.42,0.0428,98.3321,110.4561,117.21,74.0256,8.6569,3.914,434.383,2.7592,18.7262,0.9798,36.9
2.46,0.0416,95.7766,102.0577,116.3705,74.2841,9.0848,3.9524,448.1299,2.8662,18.9848,0.9795,36.9
2.52,0.0384,96.2495,110.4548,115.4382,73.4345,8.7335,4.0225,433.9486,2.7973,19.1989,0.9778,36.9
2.56,0.0387,93.1571,108.0293,112.9498,72.9464,9.1004,3.8924,426.5243,2.6868,19.1649,0.9804,36.9
2.62,0.0426,95.1406,112.0851,120.0716,75.5733,8.8822,3.8296,447.1053,2.5271,18.6955,0.9827,36.9
2.66,0.0416,96.6659,104.2827,115.9188,74.742,8.9936,3.8241,429.5065,2.9067,19.2311,0.98,36.9
2.72,0.0426,96.5588,109.2982,118.0539,72.714,8.8115,3.8269,394.974,2.6238,19.6112,0.9792,36.9
2.76,0.0421,93.2393,112.6357,113.4174,72.6071,9.1728,4.0419,477.6,2.7358,19.1574,0.9801,36.9
2.82,0.0387,93.8366,110.5445,112.0391,75.7477,8.8963,4.1063,443.6032,2.8661,18.8904,0.9787,36.9
2.86,0.0426,95.2285,101.3523,119.2308,73.7793,8.949,3.9061,432.1758,3.1232,19.3911,0.9794,36.9
2.92,0.04,93.8893,106.9183,113.0966,73.7969,8.8835,4.0084,407.1351,2.8381,19.2134,0.9821,36.9
2.96,0.0403,95.4508,103.6294,119.2702,73.9911,8.9156,3.8956,464.0011,2.7224,19.7047,0.9809,36.9
3.02,0.041,95.4579,105.8402,115.9496,74.4774,8.683,4.0486,423.1635,2.8095,19.3218,0.9795,36.9
3.06,0.0403,95.4478,109.57,117.0642,75.1472,8.5892,4.1099,441.11,2.9521,18.8825,0.9804,36.9
3.12,0.0374,98.7096,110.8531,115.3884,75.7213,8.4113,3.9808,492.6864,2.9161,19.3183,0.9793,36.9
3.16,0.0379,95.7902,103.7183,111.5501,75.9784,9.1252,3.8908,448.8686,3.0675,19.0263,0.9813,36.9
3.22,0.0393,94.4603,105.2122,118.6921,74.748,9.0762,3.8274,468.3545,2.865,18.7951,0.9802,36.9
3.26,0.0397,96.2558,106.8367,114.2472,71.9912,8.5332,3.6713,448.255,3.1614,18.7399,0.9803,36.9
3.32,0.037,97.5337,106.8651,114.0841,74.8768,9.0467,3.7359,441.5552,2.7684,19.3491,0.9789,36.9
3.36,0.0402,100.2805,106.0566,117.4371,73.7024,8.4991,3.5711,441.0404,3.0162,18.6677,0.9793,36.9
3.42,0.04,97.8295,114.3873,116.0383,74.5578,9.0422,3.6104,455.5044,3.182,19.5398,0.98,36.9
3.46,0.0389,94.9243,111.2529,114.0645,74.938,8.8356,3.7688,456.6737,2.9828,19.0573,0.9779,36.9
3.52,0.0381,97.4077,107.0969,112.318,74.1722,8.6766,4.3154,421.4015,3.0901,19.1011,0.9809,36.9
3.56,0.0383,97.0323,112.0256,116.7378,74.6588,8.866,4.2245,457.6504,3.0963,19.5548,0.9817,36.9
3.62,0.0413,95.6937,101.3809,112.5763,73.3649,9.45,3.8878,436.2847,2.7218,19.114,0.9798,36.9
3.66,0.0377,96.2328,110.7017,113.7233,73.5794,8.8642,4.2687,419.8628,2.6722,19.093,0.9795,36.9
3.72,0.041,94.9087,112.5233,115.0364,74.6736,8.8226,3.9446,470.4264,2.6993,19.6668,0.9792,36.9
3.76,0.0426,98.6716,106.0523,111.6498,74.1327,8.3483,3.8524,405.0346,2.6609,19.2353,0.9813,36.9
3.82,0.0337,96.0017,109.4392,114.2157,75.3519,9.1824,3.5746,454.0664,2.7696,19.1268,0.979,36.9
3.86,0.0393,96.2242,108.1359,112.6199,74.8004,9.0531,4.0887,451.473,2.6249,18.9906,0.9822,36.9
3.92,0.0429,92.8257,106.2969,113.1632,73.1264,8.6077,3.5643,399.2703,2.6939,19.364,0.979,36.9
3.96,0.0418,97.3121,105.9967,114.5726,74.8247,9.053,3.9656,482.1161,2.7381,19.3624,0.9812,36.9
4.02,0.0358,97.5802,112.0919,115.2389,75.4302,8.8813,4.1248,458.1869,2.7872,19.1237,0.9811,36.9
4.06,0.0414,96.9204,111.2823,110.5138,74.4077,8.985,3.9235,453.6434,2.4699,19.1163,0.9789,36.9
4.12,0.043,95.1026,108.7513,118.5596,75.0013,8.558,4.0383,429.7757,2.5221,19.0865,0.9788,36.9
4.16,0.0395,92.9396,106.6862,117.1378,74.2141,8.7823,4.2586,433.66,2.6884,18.8276,0.9812,36.9
4.22,0.0407,97.6806,110.0513,118.6087,73.7321,9.052,4.0074,428.721,2.7329,19.1347,0.9797,36.9
4.26,0.045,95.9579,107.1903,114.126,73.6287,9.1453,3.913,426.008,2.796,18.7151,0.9788,36.9
4.32,0.0394,96.2776,111.8481,113.6921,74.8652,8.9601,3.953,474.1444,2.5924,19.0782,0.9796,36.9
4.36,0.0368,96.344,108.1126,113.135,74.3826,8.8851,3.8374,453.4887,2.5717,19.2908,0.9798,36.9
4.42,0.0383,93.8225,109.5565,115.8488,73.8611,9.3665,3.8844,434.0466,2.3724,19.5398,0.9805,36.9
4.46,0.0423,97.0433,106.7977,118.5816,73.126,8.6981,4.0011,425.2343,2.6102,19.3057,0.9796,36.9
4.52,0.0381,94.8623,112.8542,116.2807,74.3459,8.5319,4.0457,428.1279,2.5127,19.556,0.9801,36.9
4.56,0.0413,96.4941,117.9768,115.4779,74.7552,8.7603,3.6888,471.417,2.7772,18.9745,0.9803,36.9
4.62,0.0371,94.4105,109.2205,115.3629,74.286,8.7377,4.1022,444.4892,2.9337,19.3621,0.9797,36.9
4.66,0.0398,94.8047,113.1186,114.3963,73.964,9.4504,3.721,424.6079,2.4026,19.0512,0.9818,36.9
