Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0686,94.5451,72.0363,112.4523,73.791,5.7073,3.8271,426.6027,2.4164,16.0693,0.9804,36.8
0.12,0.0678,95.4897,72.9957,113.349,73.9292,5.6502,3.7865,435.1202,2.4888,16.2851,0.9806,36.8
0.16,0.0667,94.1808,72.1913,112.0838,74.4704,6.0079,3.7033,434.0279,2.4309,16.0756,0.9813,36.8
0.22,0.0713,94.324,70.7605,112.5003,74.3009,5.5902,3.8163,430.9688,2.4509,16.1503,0.9807,36.8
0.26,0.0697,94.6429,71.525,112.0094,74.2519,5.7011,3.6733,427.7186,2.5779,15.9397,0.9804,36.8
0.32,0.0703,93.8761,71.8327,114.0084,72.0679,5.7789,4.0213,435.6846,2.5612,16.1397,0.9815,36.8
0.36,0.0717,94.5854,71.2806,113.4967,73.6308,5.6264,4.0893,428.2923,2.4516,16.136,0.9808,36.8
0.42,0.0686,95.1274,73.1294,112.151,73.9908,5.761,3.8463,423.3289,2.4429,16.0288,0.9808,36.8
0.46,0.0681,94.279,72.2164,111.96,74.6246,5.6714,4.0076,431.913,2.6216,16.0714,0.9811,36.8
0.52,0.0732,95.9457,73.0955,112.373,74.9819,5.4733,3.9663,422.8395,2.822,16.3301,0.9812,36.8
0.56,0.0683,93.893,71.0216,113.9034,73.4794,5.6137,3.7779,433.7898,2.4621,16.2237,0.9803,36.8
0.62,0.0673,94.1014,71.2041,112.2169,73.7808,5.6117,3.9185,427.7331,2.5876,16.2851,0.9812,36.8
0.66,0.0722,94.4518,71.6764,113.4807,73.6494,5.6704,3.8334,420.9296,2.7158,16.0353,0.9809,36.8
0.72,0.0691,95.7901,73.1197,113.5752,71.4146,5.769,3.8767,436.5603,2.7497,16.0925,0.9803,36.8
0.76,0.0702,96.3886,70.5292,109.5414,74.5102,5.6563,3.9175,429.6319,2.7288,16.3515,0.9802,36.8
0.82,0.07,95.6989,72.0522,112.5318,74.3719,5.6832,3.9677,432.5578,2.6197,16.2447,0.9813,36.8
0.86,0.0702,93.7464,73.447,112.5321,72.6895,5.67,3.9633,432.7402,2.4476,16.1495,0.9802,36.8
0.92,0.0676,95.0819,72.6816,112.6096,73.3581,5.7254,3.9571,444.0952,2.5134,16.0958,0.9808,36.8
0.96,0.0693,94.7816,73.5756,111.6377,72.848,5.6992,3.7176,432.4449,2.7165,16.11,0.9808,36.8
1.02,0.0731,93.1565,72.5564,113.4784,74.5894,5.646,4.0436,429.7451,2.3588,16.3715,0.9813,36.8
1.06,0.0691,95.1072,74.1788,114.2591,74.0411,5.715,3.7965,435.594,2.4323,16.107,0.9799,36.8
1.12,0.0735,95.1944,72.0994,111.3946,72.2087,5.7511,4.0292,425.4855,2.5287,16.4483,0.9818,36.8
1.16,0.0707,93.0258,71.3667,111.3143,73.1494,5.6065,3.7524,432.0975,2.4056,16.0486,0.9809,36.8
1.22,0.0681,94.5635,73.2228,111.8522,74.5526,5.6696,4.0098,418.5746,2.2691,16.1244,0.9812,36.8
1.26,0.066,95.0701,72.2403,113.5552,75.1613,5.7619,4.0802,428.3686,2.3402,15.9699,0.9809,36.8
1.32,0.0689,94.4506,71.664,113.8405,74.0875,5.8657,4.0289,434.4656,2.2248,16.0846,0.9807,36.8
1.36,0.0754,92.935,74.7912,114.4013,73.6442,5.5839,3.7121,441.7681,2.3207,15.9285,0.9811,36.8
1.42,0.0684,94.2602,71.8008,112.1301,73.7592,5.7496,3.9691,423.6924,2.1143,15.9394,0.9811,36.8
1.46,0.0722,95.127,72.2047,114.1317,73.4689,5.6854,3.8715,429.1813,2.456,16.1864,0.9806,36.8
1.52,0.0686,93.7245,73.7799,111.4776,73.6738,5.8327,4.2138,429.703,2.0649,16.3841,0.9809,36.8
1.56,0.0718,95.7234,70.816,111.5898,75.784,5.7122,3.946,431.2848,2.3257,16.2367,0.9812,36.8
1.62,0.0706,93.7486,73.088,113.9393,73.8309,5.6366,4.0159,422.0496,2.3126,16.2336,0.981,36.8
1.66,0.0675,96.6715,74.4835,113.285,73.3206,5.7584,3.9549,421.9051,2.1593,16.0047,0.9811,36.8
1.72,0.0697,94.3506,71.8524,114.0101,74.0609,5.8536,4.0891,429.9698,2.2816,16.0389,0.9809,36.8
1.76,0.0702,95.4748,73.9015,112.9306,74.6926,5.5113,3.6383,445.1794,2.2727,16.1563,0.9808,36.8
1.82,0.0689,93.2271,72.0286,113.7691,74.4979,5.641,3.9331,442.1256,2.2275,16.1864,0.9816,36.8
1.86,0.0739,95.764,71.3136,114.2711,74.5124,5.629,3.9491,404.1501,2.1981,16.2213,0.9804,36.8
