Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0672,95.4261,71.4681,113.4775,74.6722,5.6915,3.9283,511.5606,2.8015,15.993,0.9789,36.9
0.12,0.0657,96.226,73.9873,115.7388,74.728,5.8397,3.9443,514.2208,2.591,15.9976,0.9788,36.9
0.16,0.0675,96.2941,69.8479,115.4726,74.1887,5.6232,3.7943,518.2493,2.5273,15.9125,0.9791,36.9
0.22,0.0673,95.4751,69.8862,114.6268,75.0357,5.697,4.0441,513.49,2.6953,15.7245,0.9792,36.9
0.26,0.066,95.4887,69.8198,114.7656,74.0417,5.7097,3.9635,501.5296,2.6573,15.934,0.9791,36.9
0.32,0.0661,95.8348,71.0626,112.8204,73.6175,5.7148,3.7166,503.3562,2.8076,15.9239,0.979,36.9
0.36,0.0681,94.6884,72.9204,116.7782,74.7228,5.7796,3.9397,533.7018,2.8571,15.9499,0.9791,36.9
0.42,0.0659,96.2323,72.0966,115.2485,75.1684,5.7888,4.0184,516.9188,2.5126,15.9327,0.9787,36.9
0.46,0.0685,97.0569,74.0013,113.9121,75.6376,5.8058,3.9154,525.5019,2.899,15.9945,0.9789,36.9
0.52,0.0658,95.4625,73.6611,113.6008,75.6901,5.6629,3.8692,502.6319,2.9923,16.1046,0.9792,36.9
0.56,0.0669,96.5314,71.751,113.6514,74.7332,5.6438,3.9638,526.7911,2.9157,15.9303,0.9793,36.9
0.62,0.0673,95.9225,70.5072,113.7787,73.6994,5.6009,3.9895,512.2846,2.8951,16.1004,0.9789,36.9
0.66,0.0698,95.7872,71.2739,115.2931,74.4509,5.6587,3.9865,508.3323,3.0367,15.8722,0.9791,36.9
0.72,0.0646,95.0188,73.6144,113.4037,73.9421,5.8989,3.8528,504.5452,3.0168,15.8824,0.979,36.9
0.76,0.0662,95.4348,72.4128,116.1769,74.1214,5.8133,3.9986,514.0704,3.0633,15.7957,0.9788,36.9
0.82,0.0667,95.1597,69.8992,116.1745,75.108,5.6986,4.1243,506.5518,2.9224,15.8863,0.979,36.9
0.86,0.0659,95.5,71.254,114.3876,75.4474,5.8205,3.8003,530.375,3.1233,16.0164,0.9791,36.9
0.92,0.0645,94.9348,71.685,114.264,74.5753,5.9526,3.7503,524.5064,2.9658,16.076,0.9793,36.9
0.96,0.0672,96.412,71.9769,113.7907,74.855,5.6361,4.0179,502.0307,3.1432,15.8623,0.979,36.9
