Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0684,95.6346,70.0125,111.2707,74.5652,5.9202,3.6111,397.5585,2.3623,16.0752,0.9815,36.8
0.12,0.0703,92.1981,71.7139,112.6916,73.5689,5.9657,3.6197,508.2715,2.2365,16.0442,0.9846,36.8
0.16,0.0718,91.8422,71.4771,115.4185,73.4188,5.6709,3.8324,405.7004,2.2967,16.319,0.9819,36.8
0.22,0.0719,95.362,73.1853,114.0033,72.82,5.7779,3.9473,452.743,2.3284,16.5445,0.9799,36.8
0.26,0.0714,94.4293,76.3597,114.4615,74.7925,5.6616,3.8725,407.2874,2.265,15.7776,0.9818,36.8
0.32,0.0694,92.633,71.2586,116.6654,74.2416,5.4046,3.9891,386.1648,2.4578,16.7244,0.9814,36.8
0.36,0.0673,94.1345,74.3977,109.1408,73.0188,5.6432,3.9222,380.7842,2.314,15.9752,0.981,36.8
0.42,0.0639,94.1601,71.1913,112.6507,72.0893,5.57,3.8179,416.872,2.4866,16.3914,0.9815,36.8
0.46,0.0698,93.08,70.5642,113.9784,71.9637,5.7581,4.0602,447.5511,2.4114,16.2634,0.9806,36.8
0.52,0.069,96.2094,75.2252,115.7907,72.7141,5.5751,4.063,425.6069,2.4468,16.6104,0.9821,36.8
0.56,0.0703,97.2418,76.9454,109.9386,73.7589,5.3289,3.9701,384.0181,2.408,15.9046,0.9804,36.8
0.62,0.0738,94.8358,73.4887,115.914,73.4823,5.7861,3.889,459.1419,2.3347,16.0119,0.9803,36.8
0.66,0.0706,93.6067,72.3331,112.9478,70.6867,5.5113,3.7896,477.9436,2.4135,15.9349,0.9822,36.8
0.72,0.0681,95.428,75.0952,115.7949,71.1616,5.4656,3.8983,441.2699,2.2827,16.6367,0.9801,36.8
0.76,0.0738,93.4247,75.4294,111.7668,74.4482,5.7438,3.9425,442.9794,2.293,16.4687,0.98,36.8
0.82,0.0709,91.8157,70.8681,112.933,72.7167,6.0721,3.5557,431.4376,2.2278,15.5651,0.9777,36.8
0.86,0.0673,93.5748,74.7752,112.0445,75.4076,5.6169,3.8317,434.8286,2.048,15.806,0.9817,36.8
0.92,0.0687,93.7782,71.8219,114.484,73.0717,6.0127,3.7036,471.8152,2.2881,16.488,0.9836,36.8
0.96,0.0704,94.0078,74.0939,113.292,75.2671,5.5019,3.9197,437.1261,2.0087,16.7552,0.9803,36.8
1.02,0.0703,93.0324,67.6686,115.0628,74.6262,5.4337,3.8717,415.686,2.0513,16.3466,0.9804,36.8
1.06,0.0712,94.0549,74.3774,118.5795,71.3983,5.5815,3.7149,462.0594,1.8927,15.8936,0.9822,36.8
1.12,0.0649,93.5642,74.2775,112.9664,73.5395,5.8572,4.2064,438.1883,1.9496,16.2011,0.9821,36.8
1.16,0.0694,92.3727,72.1216,114.5617,72.531,5.6342,4.196,500.2885,2.1732,16.4253,0.981,36.8
1.22,0.0715,94.4068,69.8226,114.5116,74.2316,5.9169,3.738,433.3851,1.9649,16.645,0.9814,36.8
