Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0689,95.7511,71.3002,113.0761,74.8205,5.6152,3.8425,488.6997,2.5017,16.4711,0.9774,36.9
0.12,0.066,94.9901,69.5334,111.8768,74.1771,5.8734,3.8689,462.5966,2.434,16.6986,0.9787,36.9
0.16,0.0693,94.7993,71.4641,112.3319,74.1446,5.8024,3.9771,478.9027,2.4277,16.4872,0.9793,36.9
0.22,0.0684,95.5714,70.7077,111.4663,74.185,5.6423,4.0281,474.65,2.5793,16.3737,0.9794,36.9
0.26,0.0639,95.4211,74.4913,113.446,72.8027,5.703,3.9872,487.0665,2.6387,16.0711,0.9804,36.9
0.32,0.0709,95.2191,73.1656,112.6415,74.8674,5.7197,3.8517,480.153,2.5569,16.27,0.98,36.9
0.36,0.0692,95.0645,71.2604,113.6483,74.7876,5.6815,3.8108,455.8564,2.5966,15.9892,0.9794,36.9
0.42,0.0658,95.8601,71.6433,113.8919,75.4698,5.5868,3.8681,484.066,2.6582,16.6909,0.9794,36.9
0.46,0.0669,95.8888,72.2114,110.9888,73.628,5.8656,3.9977,481.488,2.5694,16.0815,0.9805,36.9
0.52,0.0675,95.6642,70.4115,113.0954,75.9553,5.7401,4.1147,465.5568,2.5978,15.9695,0.9789,36.9
0.56,0.0659,95.6418,70.7437,112.8069,74.8548,5.6771,3.9928,470.1363,2.394,15.9279,0.9789,36.9
0.62,0.0658,95.3878,72.2563,112.6569,75.3737,5.7041,3.9098,460.0605,2.3822,16.3343,0.9793,36.9
0.66,0.0639,94.6714,73.6118,112.256,74.2859,5.6657,3.973,488.3794,2.4709,16.2212,0.9779,36.9
0.72,0.0683,95.7202,70.8228,112.8638,74.0399,5.7643,3.9814,500.7576,2.36,16.2971,0.9793,36.9
0.76,0.0686,94.3661,72.4289,114.2529,74.2873,5.6165,4.0847,468.6353,2.3618,16.8364,0.9787,36.9
0.82,0.0666,94.5073,71.7531,112.7088,73.8954,5.7874,3.8664,501.4448,2.2539,16.1711,0.9785,36.9
0.86,0.0679,93.841,72.8592,111.6616,74.3314,5.7476,3.7518,492.2278,2.2368,16.3616,0.9791,36.9
0.92,0.069,95.3497,72.0151,114.7775,74.42,5.6764,3.8682,495.5475,2.2443,16.7609,0.9795,36.9
0.96,0.0656,93.7352,72.7248,112.4995,74.1973,5.7967,3.8676,463.8401,2.2698,15.9141,0.9803,36.9
1.02,0.0664,96.3613,73.7025,113.8198,74.369,5.789,3.9294,478.6968,2.1459,16.2323,0.9787,36.9
1.06,0.065,95.8809,72.85,113.2359,74.6404,5.6615,4.1541,494.0104,2.3275,16.5603,0.9786,36.9
1.12,0.0673,96.2559,73.3112,116.3953,74.0052,5.7119,3.7442,489.7339,2.0752,16.054,0.9794,36.9
1.16,0.0662,93.8707,73.3298,113.1098,75.0993,5.8843,3.9117,469.278,2.1943,16.6858,0.9791,36.9
1.22,0.0682,96.8131,73.6099,114.2751,74.0432,5.8621,3.8421,494.4048,2.0565,16.1669,0.9796,36.9
1.26,0.0676,96.6621,71.4758,115.3721,74.2733,5.8267,4.1632,446.8688,2.1878,16.6632,0.9797,36.9
1.32,0.0698,95.0952,73.1476,112.6182,75.0465,5.7114,3.9895,453.7406,2.0974,16.1495,0.9786,36.9
1.36,0.0665,96.0232,72.7852,115.9529,74.2881,5.534,4.0523,516.3055,2.2367,16.3533,0.9779,36.9
1.42,0.064,96.5618,70.6939,114.5865,75.2492,5.6854,3.7632,468.4538,2.1657,16.0592,0.9776,36.9
1.46,0.0654,95.4687,73.3502,115.6075,75.0995,5.8514,3.9994,494.2474,2.0982,16.5915,0.9781,36.9
1.52,0.0677,95.2829,73.5303,116.1201,74.9919,5.6901,3.9646,470.3319,2.1334,15.9865,0.9781,36.9
1.56,0.0685,96.6057,72.2098,113.1994,74.619,5.8098,4.0532,465.9137,2.1254,16.5216,0.9776,36.9
1.62,0.0647,94.6335,72.3572,113.6751,73.5477,5.8144,3.8736,463.1957,2.1452,16.1964,0.9791,36.9
1.66,0.0653,96.0739,72.984,111.4874,75.2879,5.8259,3.7356,435.1123,2.0847,16.25,0.9802,36.9
1.72,0.0658,95.537,73.5461,116.2562,73.3156,5.807,4.0859,495.3517,2.2057,16.3876,0.9799,36.9
1.76,0.0664,96.7687,72.8052,112.5258,74.5605,5.8583,3.6678,480.5566,2.1948,16.3913,0.9784,36.9
1.82,0.0661,95.4223,72.7677,114.5341,74.6473,5.7951,3.9084,469.1668,2.0798,16.4451,0.9773,36.9
1.86,0.0666,95.6792,72.442,113.5959,75.0379,5.8216,3.8895,495.6806,2.1069,16.3516,0.9811,36.9
1.92,0.0669,95.8104,72.2724,112.9992,75.2443,5.7173,4.0069,465.001,2.2545,16.254,0.9796,36.9
1.96,0.0662,95.19,71.7015,114.5917,74.8259,5.8101,4.0336,488.5737,2.1301,16.5614,0.9796,36.9
2.02,0.0694,95.0303,74.5728,112.8185,74.3136,5.6677,3.9936,468.1455,2.0961,16.539,0.9789,36.9
2.06,0.0664,94.5545,72.4779,115.7945,74.1565,5.7122,4.0309,499.675,2.1236,16.2222,0.9787,36.9
2.12,0.0639,96.2205,71.839,113.9484,73.2384,5.74,3.9221,470.5667,2.2402,16.2495,0.9785,36.9
2.16,0.0674,94.3439,72.713,113.2958,74.7143,5.831,4.0622,467.5907,2.0055,16.3494,0.9777,36.9
2.22,0.0671,96.1905,73.6842,114.4369,74.0278,5.7525,4.0331,472.0771,2.2157,16.3457,0.9802,36.9
2.26,0.0667,96.4075,73.3774,114.3027,72.9267,5.6233,4.0691,468.6669,2.2185,16.3855,0.9789,36.9
2.32,0.0653,95.7047,74.7309,114.1895,74.857,5.7841,3.8237,469.2875,2.1559,16.6611,0.9784,36.9
2.36,0.0666,94.5798,72.0342,111.792,75.0543,5.7755,3.9506,454.7741,2.0883,16.4333,0.9787,36.9
2.42,0.0699,94.0538,71.8296,113.0635,74.5001,5.8423,3.8721,488.3388,2.1128,16.1626,0.9791,36.9
2.46,0.0664,95.2778,72.5895,116.6444,74.7769,5.7402,3.8325,459.5251,2.1577,16.194,0.9791,36.9
2.52,0.0662,93.997,72.5074,112.2337,74.9327,5.7657,3.7745,500.3529,2.087,16.2516,0.9803,36.9
2.56,0.0685,94.475,71.9,114.5631,75.3266,5.7612,3.9044,492.3624,2.1562,15.9648,0.9789,36.9
2.62,0.0688,94.4034,72.8292,114.6166,75.2211,5.8677,4.0595,501.9055,2.0807,16.2585,0.9793,36.9
2.66,0.0658,96.3476,71.5039,112.4826,74.0216,5.9134,3.8088,498.6144,2.1017,16.5781,0.9797,36.9
2.72,0.0656,95.5869,73.1192,114.4093,74.3018,5.8842,3.8257,490.6585,2.0969,16.5961,0.9794,36.9
2.76,0.07,94.9653,72.1616,113.0181,74.2697,5.795,3.7652,451.2025,2.2372,16.4045,0.9802,36.9
2.82,0.0711,94.0319,72.4127,114.5836,75.4968,5.8582,3.836,476.51,2.2081,16.2902,0.9797,36.9
2.86,0.0695,95.5621,70.3923,114.2983,74.457,5.8316,3.9072,491.8741,2.02,16.0125,0.9792,36.9
2.92,0.0679,93.2569,72.201,113.8009,74.4418,5.6779,3.8068,493.9183,2.154,16.1335,0.9794,36.9
2.96,0.0681,92.9802,74.9835,112.2718,74.2647,5.8238,3.9171,482.9652,2.0505,16.198,0.9799,36.9
3.02,0.0683,94.1679,71.6272,116.3282,74.3212,5.7427,4.0939,511.9712,2.2592,16.3191,0.9783,36.9
3.06,0.0661,94.6911,70.5833,111.5641,74.5279,5.6736,4.0281,491.0137,2.189,16.513,0.9798,36.9
3.12,0.066,94.1288,72.236,115.5835,74.5919,5.6841,3.9327,466.3086,2.2874,16.1787,0.9801,36.9
3.16,0.0635,96.2889,70.5414,112.4476,73.8717,5.6562,4.0449,456.9396,2.2251,16.4008,0.9784,36.9
3.22,0.0703,95.9689,69.7128,114.6671,74.1808,5.909,3.8115,458.4998,2.2843,15.9645,0.9789,36.9
3.26,0.0693,94.8246,72.7872,116.2339,75.1397,5.7942,4.094,433.8496,2.3641,15.928,0.9786,36.9
3.32,0.0696,94.1827,71.9091,113.7714,74.8912,5.6206,3.8308,500.1066,2.3314,16.4989,0.9788,36.9
3.36,0.071,94.9467,71.2633,114.6467,74.8787,5.7897,4.0384,491.468,2.3907,16.0236,0.9793,36.9
3.42,0.0701,95.3996,71.52,113.7002,74.0947,5.6891,3.7979,476.3415,2.3784,16.4348,0.9799,36.9
3.46,0.0667,95.1718,73.6558,115.3848,74.5389,5.7825,3.8002,468.2831,2.3737,16.5372,0.9789,36.9
3.52,0.0672,94.9358,69.9206,115.8112,74.7345,5.7898,3.8544,502.3846,2.4199,15.9984,0.9793,36.9
3.56,0.0676,95.5367,72.719,113.9732,74.9465,5.8293,3.8857,448.4062,2.4394,16.5207,0.9782,36.9
3.62,0.0673,94.937,73.5072,114.725,75.4136,5.8674,4.0438,466.7782,2.3927,16.35,0.9798,36.9
3.66,0.0674,95.9131,72.9248,113.1182,74.785,5.8283,3.6091,502.1049,2.4459,16.4362,0.9788,36.9
3.72,0.066,94.548,73.8446,112.638,74.2581,5.6344,4.0307,490.1919,2.6052,15.8021,0.979,36.9
3.76,0.0665,95.1525,72.7111,114.2083,74.1597,5.7573,3.8334,482.807,2.508,16.4342,0.9801,36.9
3.82,0.0652,95.9694,71.9664,113.6113,74.7405,5.7369,3.9248,491.977,2.5997,16.5159,0.9795,36.9
3.86,0.0631,95.2719,72.3659,112.7616,75.1743,5.6271,3.8464,495.275,2.572,16.2983,0.979,36.9
3.92,0.0666,94.8503,72.8035,116.6602,73.7038,5.9311,3.8608,450.2701,2.4854,16.3844,0.9788,36.9
3.96,0.0657,95.5084,71.7743,114.0743,74.3847,5.807,3.9642,468.7338,2.5501,16.1267,0.9786,36.9
4.02,0.0692,95.6294,73.6739,115.0228,73.7877,5.8731,3.9172,483.0926,2.5526,16.4209,0.9798,36.9
4.06,0.0671,94.3672,71.7491,113.6673,74.8478,5.6446,3.9497,463.157,2.591,16.0484,0.979,36.9
4.12,0.0678,95.5414,73.148,111.3044,74.803,5.7221,3.8659,488.6738,2.6246,16.0312,0.9802,36.9
4.16,0.0632,94.7416,72.3275,114.8054,74.3732,5.6605,4.0104,455.0991,2.585,16.4641,0.9785,36.9
4.22,0.0658,94.0817,73.8158,114.0723,74.8186,5.8012,3.8958,488.0929,2.6447,16.6705,0.9781,36.9
4.26,0.0668,94.5789,73.1076,110.752,74.6016,5.8513,3.9616,493.879,2.6021,16.523,0.98,36.9
4.32,0.0642,94.0613,72.0233,112.9997,75.3621,5.6216,3.8673,440.1321,2.346,16.2498,0.9801,36.9
