Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0581,93.8528,72.4199,111.5463,71.8565,5.9877,3.9246,474.5953,2.2753,14.0557,0.9809,36.8
0.12,0.0661,93.3623,69.6464,110.5447,70.9221,5.6144,4.05,458.3936,1.7191,13.857,0.9784,36.8
0.16,0.0649,96.3763,79.7625,111.6614,71.6955,5.6803,3.861,443.0353,2.0473,14.5658,0.9811,36.8
0.22,0.0778,94.1897,70.0959,110.9115,70.8775,5.7059,4.2737,497.4865,2.4201,13.7847,0.9808,36.8
0.26,0.0679,94.644,79.7532,114.7393,73.197,5.7699,3.4494,452.8858,1.902,14.176,0.9809,36.8
0.32,0.0656,97.3854,80.0014,115.7019,74.1772,5.8986,4.1403,399.338,2.0579,14.2552,0.9781,36.8
0.36,0.0695,92.48,73.4902,111.5435,76.6331,5.5149,3.6328,471.4678,2.1621,14.1032,0.9803,36.8
0.42,0.0742,89.7416,74.8751,113.7977,75.1469,5.5469,3.237,433.1172,2.2641,14.4834,0.9805,36.8
0.46,0.0774,92.5442,73.5883,117.8742,75.514,6.137,4.353,420.512,2.198,14.1726,0.9789,36.8
0.52,0.0714,97.2543,65.9766,116.312,73.4931,6.0691,3.462,450.9761,2.0564,14.5598,0.9831,36.8
0.56,0.0631,94.844,67.8749,104.8323,70.6488,4.9322,4.2093,501.608,2.3658,13.9852,0.9821,36.8
0.62,0.0763,97.5589,73.7338,112.64,75.7613,5.8134,3.4288,490.5597,2.1877,14.1394,0.9787,36.8
0.66,0.0654,93.1174,71.8677,115.4706,75.4924,5.6246,3.6676,428.5228,2.2546,14.1026,0.9791,36.8
0.72,0.0674,94.5241,75.5667,108.5549,74.0213,6.0505,3.8237,512.4541,2.233,14.0441,0.9807,36.8
0.76,0.0795,92.7193,74.8429,119.5297,71.2599,5.6358,3.8665,437.0403,2.4761,14.2743,0.9787,36.8
0.82,0.0752,94.2417,67.2256,111.1693,74.4743,5.9207,3.6724,386.55,2.3906,14.3718,0.9798,36.8
0.86,0.0641,93.7801,61.5726,106.6213,71.0906,5.8314,3.8621,402.7717,2.2102,13.8068,0.9799,36.8
0.92,0.0582,92.5519,71.2733,113.6845,72.7203,5.8551,4.1474,417.2807,1.9586,14.575,0.979,36.8
0.96,0.0795,95.4159,82.1173,114.5007,70.6559,5.8572,3.958,379.6056,2.3355,14.4705,0.9803,36.8
1.02,0.0721,92.8958,77.8059,114.0695,73.3368,5.2804,4.1228,468.5158,2.0913,14.0961,0.9795,36.8
1.06,0.0645,95.1261,69.7011,112.8256,75.2849,5.4091,3.89,411.1771,2.3275,14.4693,0.9753,36.8
1.12,0.0637,98.9735,74.809,111.7968,72.2707,5.8837,3.9402,458.7839,2.3063,14.1345,0.9795,36.8
1.16,0.068,91.7488,72.633,112.4115,74.1669,5.728,3.4343,426.9622,2.1461,14.3292,0.9804,36.8
1.22,0.0673,94.413,70.4238,112.9042,72.7878,5.9777,3.7203,505.0877,2.4183,14.0529,0.9793,36.8
1.26,0.0727,91.9562,69.7124,112.7321,69.1327,5.6079,4.3164,401.7005,2.4998,14.5281,0.9802,36.8
1.32,0.0756,87.3502,75.5966,112.9449,76.3059,6.0811,4.0706,473.2466,2.2694,14.4098,0.9822,36.8
1.36,0.0715,93.926,72.7539,107.8629,77.6256,6.0928,3.5577,443.1249,2.4446,14.1665,0.9784,36.8
1.42,0.0687,94.9512,75.5246,109.9643,72.672,6.0205,4.1827,496.908,2.181,14.2312,0.9817,36.8
1.46,0.0686,96.9795,75.8141,114.5106,73.8881,5.8916,3.8938,474.6499,2.3425,14.0531,0.9779,36.8
1.52,0.0726,92.889,72.2046,120.6438,71.2745,5.8599,4.0202,444.3632,2.8294,13.9927,0.9776,36.8
1.56,0.073,93.5198,70.784,119.1496,73.4322,5.6085,3.859,506.1523,2.3205,14.5077,0.9801,36.8
1.62,0.0695,94.7432,68.1843,112.6808,74.2109,5.7881,3.9012,477.7331,2.5582,14.3965,0.9808,36.8
1.66,0.0667,93.6096,67.0843,107.5359,71.7356,5.8948,3.7862,535.2997,2.4694,14.2285,0.9797,36.8
1.72,0.0687,95.1832,68.4292,115.0721,73.7538,5.7265,3.9051,550.7821,2.7422,14.4531,0.9795,36.8
1.76,0.0693,90.8736,76.4952,115.8155,75.629,6.1053,3.9489,499.6946,2.6225,14.2253,0.9818,36.8
1.82,0.066,94.9814,70.9634,107.8334,74.7794,5.4246,4.2077,409.269,2.6542,14.2585,0.9787,36.8
1.86,0.0803,92.0253,77.5119,109.8866,75.8441,5.8895,4.1921,359.9481,2.3459,14.5509,0.9795,36.8
1.92,0.0569,92.4592,74.4121,104.0258,75.4027,5.6319,3.9629,445.4459,2.4778,14.6182,0.984,36.8
1.96,0.0665,90.6392,71.6382,111.9228,74.2114,5.8912,3.8245,449.5966,2.7019,14.6921,0.9783,36.8
2.02,0.0772,94.9338,73.6883,116.0112,70.2239,5.8089,3.7758,407.9547,2.4331,14.2984,0.9805,36.8
2.06,0.0697,95.4417,70.5601,110.8443,69.9431,5.8466,3.5057,461.1343,2.809,13.9118,0.9806,36.8
2.12,0.0679,91.6575,69.9067,113.65,75.3125,5.512,4.0195,507.0692,2.4057,14.4923,0.9803,36.8
2.16,0.0676,92.217,76.3037,112.9817,74.0941,5.7255,3.6489,482.0519,2.6968,14.4745,0.9792,36.8
2.22,0.0716,95.3135,73.7127,111.6855,71.664,6.3109,3.5253,472.9699,2.9528,14.165,0.9802,36.8
2.26,0.072,97.5492,71.6341,110.025,74.2765,6.093,3.8446,410.3239,2.6746,14.1464,0.9808,36.8
2.32,0.0621,93.7377,70.9748,115.3502,69.5915,5.7791,3.5739,460.4451,2.4324,14.306,0.9796,36.8
2.36,0.0742,95.7523,68.4696,114.0158,70.8752,5.75,3.38,483.2618,2.8868,14.7346,0.9804,36.8
2.42,0.0639,93.5179,72.4677,117.303,73.2623,5.4451,4.528,449.3721,2.562,14.4418,0.9784,36.8
2.46,0.0606,90.3108,76.2236,115.2828,76.0212,5.7198,4.0737,451.3891,2.4351,13.72,0.981,36.8
2.52,0.0712,97.5402,76.4358,116.029,76.6232,5.2885,4.5315,512.2211,2.3402,13.9701,0.9797,36.8
2.56,0.0712,97.4741,69.0998,111.8255,74.2835,6.0417,4.0461,427.6773,2.6097,14.3436,0.9832,36.8
2.62,0.0766,91.3949,77.9986,114.3127,75.3142,5.8226,4.0913,469.5617,2.6359,14.3832,0.9799,36.8
2.66,0.0742,92.5782,73.6002,112.467,75.5405,5.8035,4.6351,469.0906,2.0342,14.4223,0.9797,36.8
2.72,0.0627,93.5828,76.3659,117.7828,74.3325,5.25,3.7435,401.2676,1.9232,15.0308,0.9785,36.8
2.76,0.0733,89.791,74.232,104.4311,75.4078,5.1457,3.6254,387.5359,1.915,14.2483,0.9789,36.8
2.82,0.078,99.0813,73.5807,111.7578,75.0378,5.5608,3.5692,470.812,2.3649,14.3766,0.98,36.8
2.86,0.0715,89.9879,75.4837,114.7695,72.4373,5.3264,3.5765,539.9394,2.3207,14.4223,0.9772,36.8
2.92,0.0756,95.1318,81.7491,113.6364,73.2691,6.0354,3.5545,400.7026,2.2119,14.4847,0.9787,36.8
2.96,0.0722,93.7689,68.5347,109.7275,75.1654,5.4526,4.069,457.4686,2.2195,14.0222,0.9782,36.8
3.02,0.0647,99.3137,73.11,114.3822,73.2119,5.7762,4.3202,408.5745,2.1562,13.9293,0.9796,36.8
3.06,0.08,93.7712,70.3553,115.7093,74.4441,5.1856,3.8579,511.5136,2.0107,13.8185,0.9817,36.8
3.12,0.07,93.8937,66.5304,110.0962,74.4402,5.5688,4.0262,447.3439,2.1689,14.3208,0.9807,36.8
3.16,0.0633,94.1403,69.9146,109.464,73.5382,5.8712,4.1045,470.9818,2.112,14.3544,0.9791,36.8
3.22,0.0653,93.5863,71.8957,113.0118,73.6896,5.5868,3.8987,449.2907,2.1859,14.6775,0.9798,36.8
3.26,0.0696,97.7073,70.2751,108.9207,72.8415,5.859,4.0798,368.2698,2.2845,14.3569,0.9795,36.8
3.32,0.061,94.1471,73.1391,109.6553,74.6973,5.6403,4.0752,454.1485,2.1997,14.1534,0.979,36.8
3.36,0.0762,98.3393,67.3269,115.4524,74.716,5.694,3.5731,407.9431,2.1507,14.1626,0.9808,36.8
3.42,0.0753,93.2211,66.7107,109.5736,74.2991,6.0012,3.9342,402.3161,2.035,14.5928,0.9817,36.8
3.46,0.0648,94.5214,66.9681,106.715,74.7053,5.383,3.832,546.158,2.3544,14.8989,0.98,36.8
