Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0691,96.1801,72.1799,112.6077,73.6472,5.7124,3.8845,392.1994,2.251,17.7033,0.9803,36.9
0.12,0.0701,96.2989,72.6578,113.3257,73.4777,5.6902,3.9205,387.9446,2.2674,17.9887,0.9801,36.9
0.16,0.0723,93.9488,72.3972,114.8342,74.7424,5.5974,3.8595,392.5139,2.2477,17.7659,0.9785,36.9
0.22,0.0687,95.4383,71.7621,114.5794,74.7277,5.6973,3.9625,358.1677,2.2631,18.1925,0.9778,36.9
0.26,0.0711,93.8491,72.3932,112.5543,74.5305,5.6263,3.905,378.4188,2.2417,17.8155,0.9777,36.9
0.32,0.0706,96.129,70.6912,113.5713,74.5762,5.6716,3.9993,397.1164,2.2262,18.1085,0.9786,36.9
0.36,0.0723,94.0339,72.3926,112.7403,74.0783,5.6275,4.2052,383.6813,2.1746,17.9725,0.9791,36.9
0.42,0.0681,97.4152,70.7198,112.3315,73.519,5.7939,3.8876,370.9767,2.2181,17.6491,0.9794,36.9
0.46,0.0703,94.2153,70.9206,112.5039,74.5413,5.7689,3.9183,386.8983,2.1838,17.7471,0.9794,36.9
0.52,0.0696,95.7608,73.1269,111.5168,73.4806,5.6521,3.8397,375.0642,2.2634,18.2622,0.9798,36.9
0.56,0.0719,94.1504,72.6352,114.5991,73.9363,5.7826,3.9637,383.1132,2.2665,18.1709,0.9788,36.9
0.62,0.0725,94.6121,71.9357,113.7083,74.3239,5.7116,3.6506,370.7644,2.2632,18.2824,0.9798,36.9
0.66,0.0739,95.4728,71.9392,110.8355,73.5711,5.6292,3.9882,385.7329,2.2746,18.4635,0.9796,36.9
0.72,0.0666,94.3257,71.1147,112.5952,73.4709,5.5922,3.8134,385.3502,2.2905,18.1342,0.979,36.9
0.76,0.0651,94.4044,72.7448,113.7431,75.4327,5.6301,3.8647,390.7938,2.2177,18.0343,0.9794,36.9
0.82,0.067,95.7053,74.3139,112.9089,74.6809,5.576,3.9205,404.611,2.1918,18.523,0.9793,36.9
0.86,0.0713,95.0598,70.7855,111.3134,74.6215,5.6117,3.8779,391.7384,2.2573,18.1252,0.9797,36.9
0.92,0.0673,96.0665,70.9525,110.8302,73.6005,5.7526,3.9458,393.3457,2.2501,17.887,0.9792,36.9
0.96,0.0695,96.3142,72.5917,114.3369,74.7792,5.6322,3.8343,356.977,2.3472,18.1556,0.9804,36.9
1.02,0.0679,95.7029,71.2765,114.7442,74.1956,5.6254,4.0329,377.9843,2.2893,18.1545,0.9784,36.9
1.06,0.0705,96.4116,73.1378,117.6308,74.9342,5.7512,3.979,377.01,2.3805,18.1371,0.9796,36.9
1.12,0.07,95.0869,70.8357,111.5071,74.8522,5.6288,3.8886,397.4672,2.2667,17.9034,0.9781,36.9
1.16,0.0722,95.2577,70.5984,114.5359,74.4641,5.6017,4.0274,391.0844,2.2512,17.6054,0.9795,36.9
1.22,0.0697,95.2687,73.7827,116.0571,75.3403,5.6213,3.9695,362.9375,2.4537,18.0061,0.98,36.9
1.26,0.0698,94.0107,72.2341,113.4544,75.2667,5.6408,3.8161,393.1099,2.5369,18.0612,0.9791,36.9
1.32,0.0688,94.961,72.5429,110.8806,73.249,5.7649,3.86,376.7237,2.4091,18.2861,0.9799,36.9
1.36,0.0724,95.9503,72.5716,112.1982,72.9821,5.6274,3.5742,373.7854,2.4805,18.5951,0.9807,36.9
1.42,0.0697,94.8677,73.7657,111.8874,73.242,5.592,3.9877,386.3866,2.5444,18.5498,0.9796,36.9
1.46,0.0747,95.383,72.5837,115.3354,74.9839,5.9073,3.9814,396.923,2.4762,17.8968,0.9789,36.9
1.52,0.0748,97.2421,72.8771,113.8596,74.4677,5.7981,3.8936,398.3766,2.4726,18.2276,0.9795,36.9
1.56,0.0709,95.4239,72.6056,112.0984,74.8756,5.6262,3.7956,403.0888,2.5302,18.2964,0.9777,36.9
1.62,0.0728,95.3098,74.0942,111.8185,74.0473,5.7237,3.7859,427.879,2.5153,17.9507,0.9778,36.9
1.66,0.0707,94.6212,71.0562,111.1558,74.6392,5.7508,3.9512,399.0363,2.5986,18.0751,0.9801,36.9
1.72,0.0697,96.2674,73.1962,110.8736,73.8257,5.6402,3.7839,403.6043,2.6442,17.9866,0.9793,36.9
1.76,0.0716,94.5066,72.5966,115.9777,74.018,5.5892,3.9618,374.0516,2.6391,18.1271,0.978,36.9
1.82,0.0703,94.8093,71.3639,113.3874,74.9933,5.6373,3.8519,391.6754,2.6565,17.7125,0.9792,36.9
1.86,0.0712,95.1005,72.5487,114.6112,74.2932,5.6755,3.9539,380.4127,2.5603,18.1664,0.9798,36.9
1.92,0.0691,95.6676,71.5468,113.4139,74.5463,5.7022,4.0012,379.6977,2.5544,18.0981,0.9789,36.9
1.96,0.0712,93.4957,71.745,112.2951,75.1232,5.6971,4.041,368.5296,2.6377,17.8702,0.9787,36.9
2.02,0.0701,95.0811,74.3172,110.6519,73.9918,5.6723,4.0097,371.2352,2.5678,17.8735,0.9797,36.9
2.06,0.0687,95.0865,73.034,112.4314,74.5916,5.7838,3.8823,382.0936,2.53,17.8918,0.9774,36.9
2.12,0.0701,96.3203,70.5698,112.9224,74.7064,5.7668,3.9811,378.1905,2.4913,17.6983,0.9793,36.9
2.16,0.0718,93.9117,68.9974,112.2652,73.4697,5.5493,3.9695,391.9671,2.446,18.089,0.9787,36.9
2.22,0.0662,96.2458,72.1557,113.4766,73.9601,5.8573,4.0554,391.9419,2.4685,18.0382,0.9796,36.9
2.26,0.0697,96.0755,73.0655,111.7662,73.9638,5.5579,4.0232,371.2024,2.3472,18.0485,0.9795,36.9
2.32,0.0706,94.1931,72.5386,113.108,73.0099,5.7868,3.9178,392.7978,2.3853,18.3526,0.9794,36.9
2.36,0.0656,93.5672,72.1137,112.9357,75.3656,5.6918,3.7739,377.7283,2.3806,18.4378,0.9799,36.9
2.42,0.0736,95.7227,70.2174,111.5325,74.7949,5.7806,3.8248,385.6387,2.3342,17.9613,0.9795,36.9
2.46,0.0724,94.8603,71.5001,113.1218,74.3409,5.8466,3.8965,415.3763,2.3242,18.1476,0.9782,36.9
2.52,0.067,95.9699,71.2782,111.4854,75.1247,5.6541,3.9299,378.8812,2.227,18.1071,0.9798,36.9
2.56,0.0724,94.8187,72.259,115.1427,74.6629,5.6201,3.9333,370.4143,2.2004,18.1951,0.9797,36.9
2.62,0.0702,95.7131,73.9965,113.6071,74.2811,5.7765,3.9283,377.8944,2.2957,17.9222,0.9788,36.9
2.66,0.0687,94.4021,73.4639,110.634,74.6075,5.8169,3.9208,384.7289,2.1956,17.9941,0.9781,36.9
2.72,0.0682,95.8951,73.4127,113.2911,73.7155,5.6515,4.1074,400.9299,2.3191,18.0751,0.9787,36.9
2.76,0.0711,94.2772,72.0232,114.7688,74.278,5.6728,3.8671,398.3877,2.2867,17.9816,0.9784,36.9
2.82,0.0682,94.8046,67.8052,112.3514,73.9172,5.676,3.9365,370.4826,2.3031,18.0601,0.9794,36.9
2.86,0.0698,95.4376,71.3109,113.8713,73.9634,5.821,3.9169,336.5876,2.2793,18.1689,0.9795,36.9
2.92,0.0708,94.8046,70.9574,113.0837,74.4873,5.6228,3.9576,395.2965,2.2167,17.7637,0.9792,36.9
2.96,0.0705,94.2526,72.3544,112.0768,74.1978,5.6949,4.0559,379.6817,2.2932,17.8526,0.9798,36.9
3.02,0.0714,94.8793,70.7942,112.4276,74.2131,5.696,3.8393,404.8627,2.2947,18.1449,0.9782,36.9
3.06,0.068,94.5426,72.8966,113.3273,74.3837,5.8755,3.9116,370.8283,2.2112,17.8398,0.9782,36.9
3.12,0.0703,95.4905,69.7527,113.933,73.6785,5.698,3.9671,392.1648,2.2322,18.4665,0.9781,36.9
3.16,0.0715,96.7987,72.6603,113.1093,75.1412,5.6186,3.7594,380.2972,2.2647,17.9592,0.9795,36.9
3.22,0.0737,94.0228,72.8873,112.3395,73.3999,5.7132,3.8069,393.508,2.1732,18.3794,0.9777,36.9
3.26,0.0697,95.1242,72.0905,113.0184,73.7439,5.7692,3.7521,383.4095,2.2873,18.1275,0.9787,36.9
3.32,0.0695,96.6129,73.3156,111.7083,75.2318,5.499,3.8682,366.1935,2.2203,17.7877,0.9793,36.9
3.36,0.0703,94.6264,71.9127,113.4958,74.3033,5.7225,3.8376,386.8144,2.3422,17.9641,0.9777,36.9
3.42,0.0726,95.1515,71.1326,111.6841,75.7398,5.6973,4.0066,358.4084,2.1554,17.7951,0.9795,36.9
3.46,0.0694,95.6504,73.7732,114.0572,74.6971,5.7151,4.0101,398.9372,2.2216,18.5766,0.98,36.9
3.52,0.0674,96.4425,72.8493,113.8081,74.6465,5.7047,4.0281,357.9286,2.221,18.1051,0.9788,36.9
3.56,0.0725,94.7643,72.6002,114.1946,73.5095,5.6444,3.8859,359.9999,2.2544,17.8181,0.9782,36.9
3.62,0.0674,94.1257,74.2787,111.8852,73.9924,5.8213,3.8936,366.4038,2.3335,18.6349,0.9793,36.9
3.66,0.0675,95.2319,72.7154,113.2605,74.3245,5.8647,3.9443,370.6432,2.0996,18.3262,0.9786,36.9
3.72,0.0704,94.7424,73.2725,114.9062,73.2291,5.5346,4.1216,394.7885,2.2786,17.7401,0.9787,36.9
3.76,0.0722,96.8734,70.5885,112.5503,74.0214,5.6226,3.9056,387.1216,2.184,18.0175,0.9802,36.9
3.82,0.0665,95.688,73.2624,112.65,74.4125,5.6925,3.757,410.4348,2.2002,18.2721,0.9794,36.9
3.86,0.0697,95.39,71.7636,112.2221,74.6184,5.7559,3.8508,389.9343,2.2656,18.0607,0.9782,36.9
3.92,0.0675,94.2221,72.9304,113.0608,73.8403,5.6885,3.8324,372.7152,2.1893,18.3047,0.9798,36.9
3.96,0.0718,94.992,71.8368,112.4807,74.2825,5.608,3.7301,370.1598,2.2464,18.1536,0.9791,36.9
4.02,0.0645,95.681,72.4918,112.9827,74.8465,5.6554,3.9902,383.925,2.2195,17.8358,0.9787,36.9
4.06,0.0688,96.2844,74.4895,113.5447,74.8902,5.6266,4.029,385.4874,2.1679,17.8826,0.9796,36.9
4.12,0.0694,96.1373,71.9438,112.9458,75.112,5.7816,3.8347,375.4052,2.1803,18.3581,0.9794,36.9
4.16,0.0718,95.8325,72.5828,111.7394,74.4671,5.5649,3.9585,409.3727,2.2817,18.029,0.9774,36.9
4.22,0.0697,96.2696,71.9734,111.8521,75.1144,5.6684,3.9447,369.4259,2.2546,18.2907,0.9777,36.9
4.26,0.07,93.3912,71.5113,110.7669,74.1629,5.6358,3.9328,380.168,2.1852,18.388,0.9789,36.9
4.32,0.0703,93.9254,72.3764,113.3998,75.1286,5.6443,3.8359,395.6366,2.2566,17.9871,0.9803,36.9
4.36,0.0718,95.6125,72.5323,110.5131,75.3339,5.7638,3.8612,355.3164,2.201,17.9501,0.9793,36.9
4.42,0.0716,94.9259,71.1872,112.5924,73.6866,5.6604,3.9845,390.7675,2.3151,18.073,0.979,36.9
4.46,0.0693,96.5519,73.9884,113.4493,74.8566,5.7074,3.9164,384.6975,2.2378,17.966,0.9791,36.9
4.52,0.0721,94.9492,72.9362,113.5405,74.4525,5.7474,3.9792,412.8125,2.3906,18.0881,0.9791,36.9
4.56,0.0692,96.116,73.3275,114.2971,74.5722,5.7101,3.8848,381.7144,2.354,17.9354,0.9792,36.9
4.62,0.0703,93.6934,71.7788,113.0858,74.4907,5.7163,3.7266,371.8764,2.4298,17.986,0.9788,36.9
4.66,0.0739,94.5478,71.6135,110.3387,73.9139,5.8294,3.7986,384.0555,2.4473,18.167,0.9794,36.9
4.72,0.0718,95.2424,70.5894,114.1476,74.6808,5.8284,3.9131,397.656,2.4574,18.3374,0.9793,36.9
4.76,0.0717,95.6497,69.1906,113.3407,74.2677,5.615,3.9086,396.3814,2.5563,18.3043,0.9794,36.9
4.82,0.0706,93.7114,72.9944,113.8711,75.5291,5.6196,3.9509,407.0094,2.4463,18.0654,0.9788,36.9
4.86,0.0681,95.5971,72.4435,113.9647,74.3515,5.8161,3.971,371.8053,2.5229,18.1344,0.9787,36.9
4.92,0.0702,95.1392,72.0546,112.8726,73.31,5.6993,3.827,388.1859,2.5263,18.0091,0.9789,36.9
4.96,0.0716,95.2151,72.7123,113.6221,74.5254,5.6644,3.7625,395.9372,2.5756,18.0117,0.9793,36.9
5.02,0.0678,95.5263,72.2972,112.0816,73.8535,5.7265,3.8529,382.7855,2.7011,17.7412,0.978,36.9
5.06,0.0676,95.2721,72.5482,112.6631,73.7818,5.7812,3.7723,409.4668,2.517,18.177,0.9801,36.9
5.12,0.0735,95.5815,71.9961,112.5875,74.7664,5.7649,3.9044,404.1892,2.659,17.7113,0.9794,36.9
5.16,0.0706,93.6279,71.5096,112.3544,74.9281,5.8082,3.8003,380.0001,2.5434,18.1877,0.9793,36.9
5.22,0.0727,93.9717,71.9949,113.9515,73.6824,5.6708,3.9116,384.5576,2.5708,17.8352,0.9794,36.9
5.26,0.0734,95.2461,71.6207,114.4691,73.8436,5.6792,3.8854,392.003,2.6464,17.6394,0.9791,36.9
5.32,0.0708,95.6594,71.9903,114.3892,74.0652,5.8829,4.1983,380.189,2.6601,18.3534,0.9789,36.9
