Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0648,91.6737,73.0989,116.1145,72.6838,5.6831,4.1857,504.5426,2.7603,17.3272,0.9793,36.9
0.12,0.0713,93.8704,72.5447,115.5595,73.4933,6.0219,4.1467,429.8265,2.8528,17.5589,0.9802,36.9
0.16,0.0713,91.6388,65.8034,116.2979,74.8697,5.6034,4.0072,441.0476,2.8362,18.5518,0.9809,36.9
0.22,0.0645,93.0122,72.7757,114.4553,73.7431,5.7824,4.0817,461.4037,2.9754,17.0369,0.9818,36.9
0.26,0.0663,95.1192,73.1429,116.328,74.7955,5.8713,4.1078,422.18,2.8359,17.7612,0.9807,36.9
0.32,0.0673,95.2546,71.4446,116.5844,75.5781,5.5881,3.9929,326.8485,2.7788,17.7394,0.9795,36.9
0.36,0.0641,95.2489,70.0598,110.7761,74.7763,5.9909,3.952,421.8618,2.7364,17.6397,0.9813,36.9
0.42,0.0723,95.129,72.4089,113.9686,73.1299,5.972,4.0534,384.0634,3.0717,18.0337,0.979,36.9
0.46,0.0674,94.6325,71.1113,110.2188,69.7684,5.4866,4.1952,452.6192,2.979,17.8885,0.9811,36.9
0.52,0.0662,95.5301,72.5562,115.0037,73.5994,5.8721,3.9609,432.3196,3.0302,17.9319,0.981,36.9
0.56,0.0729,90.7199,68.9438,111.3761,74.3592,6.0743,3.928,388.8977,3.0434,17.6232,0.982,36.9
0.62,0.0647,96.145,70.6456,113.021,73.1808,5.539,3.6218,440.1819,2.9729,17.4487,0.983,36.9
0.66,0.0727,95.2288,68.3308,116.0066,73.674,5.5184,4.0253,474.6937,2.9571,17.9418,0.9798,36.9
0.72,0.0686,94.5537,73.2165,114.7176,72.4896,5.6758,3.8578,451.5315,2.659,17.6105,0.9805,36.9
