Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0681,96.2156,73.5178,110.664,75.0397,5.9723,4.0856,518.6703,2.3852,14.5937,0.9785,36.9
0.12,0.0651,96.4731,70.4023,113.8569,74.4911,5.5263,3.7993,527.8926,2.2735,14.4203,0.979,36.9
0.16,0.0674,95.6194,71.3956,109.8376,75.1164,5.6384,3.7914,543.9141,2.486,14.6083,0.9794,36.9
0.22,0.0671,96.1228,70.4681,112.7092,73.6966,5.8977,3.9436,531.8702,2.4011,14.8697,0.9793,36.9
0.26,0.0676,95.3087,68.8266,110.4532,74.8325,5.7341,3.9798,532.4231,2.4354,14.3496,0.9791,36.9
0.32,0.0691,95.6456,71.9894,113.3263,73.7364,5.7527,3.8217,542.5644,2.5449,14.5911,0.98,36.9
0.36,0.0669,93.5696,71.6634,116.751,74.4728,5.6535,3.8862,522.7373,2.4631,14.3236,0.9779,36.9
0.42,0.0697,96.2181,70.4044,113.8663,73.5944,5.8168,3.8519,505.6287,2.4531,14.4676,0.9784,36.9
0.46,0.0694,96.5353,73.7384,113.4659,74.0152,5.8383,4.1954,533.1286,2.3537,14.5578,0.9794,36.9
0.52,0.066,94.8401,70.5905,113.6414,74.5842,5.8435,4.0129,515.7337,2.2655,14.4882,0.9794,36.9
0.56,0.0659,94.3197,72.2868,112.9359,74.4373,5.7449,4.0317,513.7369,2.3319,14.5864,0.9795,36.9
0.62,0.0684,96.1127,69.1006,111.7463,75.3675,5.8236,3.8723,539.6672,2.4881,14.5234,0.979,36.9
0.66,0.0668,95.9125,70.565,113.5718,74.1138,5.8228,4.0432,528.8566,2.389,14.4263,0.9792,36.9
0.72,0.0665,95.313,70.8093,113.5742,74.8529,5.7819,3.9974,520.2655,2.399,14.2879,0.9787,36.9
0.76,0.0638,94.7926,72.4607,112.0861,74.8258,5.869,3.7737,517.8115,2.4326,14.4382,0.979,36.9
0.82,0.0677,95.0145,75.3841,116.4268,74.7753,5.7719,3.9174,516.4886,2.4266,14.5748,0.9789,36.9
0.86,0.0697,95.8106,73.3522,113.8357,75.0879,5.5228,3.9827,545.6805,2.4545,14.4491,0.98,36.9
0.92,0.0682,94.9988,73.1463,114.142,74.5691,5.7213,3.9525,539.06,2.4875,14.3854,0.9787,36.9
0.96,0.0666,96.1228,71.2878,111.1075,74.9278,5.8998,3.8223,542.2608,2.4489,14.5476,0.9793,36.9
1.02,0.0667,94.9041,73.6008,114.0989,75.2551,5.8319,3.9556,529.7229,2.4557,14.2363,0.9791,36.9
1.06,0.0669,95.7335,71.6606,114.5708,73.5141,5.7526,3.9406,528.4631,2.443,14.6349,0.9787,36.9
1.12,0.0654,96.2601,71.6463,112.5248,73.7651,5.758,3.7927,542.6858,2.4293,14.463,0.9783,36.9
1.16,0.0626,94.0325,71.2479,113.4885,73.9873,5.8652,3.9606,542.8884,2.3462,14.3674,0.9796,36.9
1.22,0.068,94.5317,71.5128,115.692,74.9203,5.9787,3.8998,536.558,2.3677,14.5113,0.9786,36.9
1.26,0.0651,96.0115,72.5559,113.7246,74.6482,5.8649,3.7902,501.9469,2.4225,14.7202,0.9787,36.9
1.32,0.0641,95.6841,70.1743,113.5264,74.3234,5.7937,3.7867,521.4627,2.4505,14.372,0.979,36.9
1.36,0.0697,96.6062,72.4386,112.4147,75.4191,5.6529,3.9665,527.0417,2.4437,14.4009,0.9791,36.9
1.42,0.0651,94.1992,70.0112,115.6897,74.1018,5.7006,4.0456,517.2572,2.4694,14.3876,0.9793,36.9
1.46,0.0675,95.4653,72.8863,114.0936,75.5331,5.7671,4.0143,500.7412,2.4443,14.3948,0.9781,36.9
1.52,0.0662,94.6669,73.5699,113.0391,73.9565,5.7704,3.9332,541.1702,2.5228,14.4383,0.9793,36.9
1.56,0.0695,95.6367,73.8093,113.3097,75.0482,5.7686,4.0571,542.4783,2.4945,14.3355,0.979,36.9
1.62,0.0678,95.566,73.4329,113.1057,74.6367,5.8079,4.002,519.9825,2.3948,14.3751,0.9794,36.9
1.66,0.0635,95.9159,74.1059,113.4243,73.6385,5.7763,3.9456,512.0025,2.4741,14.7297,0.9789,36.9
1.72,0.0686,94.8923,73.309,114.0938,74.8341,5.8732,3.8052,553.5233,2.5593,14.6864,0.9786,36.9
1.76,0.0633,96.5307,71.9174,115.6559,76.0529,5.766,3.9383,509.4117,2.5832,14.4717,0.9793,36.9
1.82,0.0658,95.4464,71.3502,113.613,74.7535,5.8613,3.8214,528.548,2.5372,14.3125,0.9788,36.9
1.86,0.0683,95.3351,71.5225,114.8749,75.1343,5.8171,4.0703,528.6979,2.6339,14.4747,0.9802,36.9
1.92,0.0662,94.8072,73.1799,115.4373,74.7902,5.7748,3.912,552.6192,2.7219,14.548,0.9794,36.9
1.96,0.0689,95.4888,72.1376,113.9901,74.429,5.762,3.7247,517.5337,2.6314,14.4995,0.9788,36.9
2.02,0.0695,95.0417,74.3356,112.9521,75.2758,5.8415,3.8129,526.7451,2.7245,14.5544,0.9797,36.9
2.06,0.0659,93.7978,73.7226,114.8108,74.3199,5.6186,3.9283,540.4455,2.5939,14.4117,0.9795,36.9
2.12,0.0649,95.7968,69.4535,115.4708,74.9482,5.6839,3.9244,524.3016,2.8524,14.1276,0.9789,36.9
2.16,0.0702,96.6208,74.1431,113.4966,75.117,5.8352,4.1011,543.158,2.6532,14.6087,0.9793,36.9
2.22,0.0689,95.8184,72.0846,111.8917,74.8852,5.7821,3.9001,518.9335,2.7365,14.5114,0.9794,36.9
2.26,0.0663,95.1887,73.0802,114.3375,74.7194,5.8346,4.0034,531.509,2.7175,14.391,0.9782,36.9
2.32,0.0642,94.1176,69.6034,113.1963,75.2287,5.7843,3.926,519.7741,2.6857,14.668,0.979,36.9
2.36,0.0695,96.4701,70.7802,115.5538,74.4206,5.6799,3.8527,523.9631,2.8561,14.4346,0.979,36.9
2.42,0.0689,94.3006,72.3681,115.6219,73.6621,5.8085,3.7874,516.604,2.7287,14.4632,0.9788,36.9
2.46,0.0688,93.8714,70.9464,112.9395,73.9626,5.7189,4.0406,534.169,2.8776,14.8567,0.9785,36.9
2.52,0.0682,94.5473,73.5035,114.3255,74.1818,5.8544,3.956,518.0944,2.8553,14.528,0.9789,36.9
2.56,0.0638,94.7847,73.4246,114.7454,74.0791,5.6704,3.8323,538.4656,2.9605,14.4594,0.9788,36.9
2.62,0.0655,94.9188,70.9554,113.4952,74.4409,5.7146,3.9069,531.8999,2.8389,14.5234,0.9785,36.9
2.66,0.0687,94.3614,70.6524,112.9294,75.0143,5.8239,3.7857,529.3309,2.8629,14.4232,0.9791,36.9
2.72,0.0684,95.1487,70.944,114.7464,74.7859,5.6798,3.8105,516.8157,2.8218,14.5243,0.9796,36.9
2.76,0.0656,95.2891,71.7749,115.2467,73.9452,5.6643,3.7573,529.566,2.8701,14.7386,0.9782,36.9
2.82,0.0659,95.1405,71.1169,113.1904,74.0271,5.82,3.8862,550.713,2.8279,14.4965,0.9781,36.9
2.86,0.0651,94.3608,72.9117,115.0285,75.0696,5.7025,3.8747,518.7583,2.9533,14.6887,0.9788,36.9
2.92,0.0646,94.7116,72.555,112.1945,74.5239,5.8217,3.7824,537.3008,2.8611,14.3198,0.9797,36.9
2.96,0.0619,94.8104,74.3557,114.3289,74.6882,5.69,3.8508,521.0031,2.8095,14.578,0.9789,36.9
3.02,0.0692,95.1845,72.6842,115.8214,75.5139,5.8726,3.9644,547.7909,2.627,14.592,0.9791,36.9
3.06,0.0624,94.5126,73.1294,112.7668,73.8517,5.9098,3.9469,527.1754,2.72,14.5737,0.9788,36.9
3.12,0.0651,95.8089,71.8109,114.5912,74.1498,5.6802,3.9072,521.0672,2.6294,14.4932,0.98,36.9
3.16,0.0677,94.1488,72.1417,111.73,74.4343,5.7602,3.8499,539.7357,2.731,14.223,0.9797,36.9
3.22,0.068,94.4008,72.0856,115.2441,74.4808,5.8593,3.6871,514.5037,2.5461,14.4134,0.9793,36.9
