Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0535,96.3268,83.9336,114.9818,74.5095,6.7852,3.7314,519.4752,2.6701,16.5102,0.9808,36.9
0.12,0.0584,97.5519,86.8791,114.6448,73.6391,6.6848,4.1927,505.3074,2.7984,15.8484,0.9816,36.9
0.16,0.0528,96.7044,83.2174,117.1477,75.7173,6.8441,3.8315,547.1492,2.9449,16.057,0.9778,36.9
0.22,0.0564,95.1913,84.4045,116.8484,74.0358,7.0032,4.2183,563.4522,2.9126,16.1946,0.9833,36.9
0.26,0.0501,96.9047,80.8107,113.249,73.0328,6.7883,3.539,586.273,2.9359,16.0756,0.9778,36.9
0.32,0.0536,96.7916,84.5785,114.2539,73.1398,6.8804,3.8077,548.2183,3.0119,15.7844,0.9778,36.9
0.36,0.0481,96.6455,86.885,116.4023,74.1157,6.6044,3.9816,529.3965,2.9647,16.0753,0.9777,36.9
0.42,0.0519,92.6683,84.8598,114.4888,75.2075,7.112,3.763,571.0117,3.0566,15.8771,0.9782,36.9
0.46,0.0476,94.389,84.4248,115.5297,73.6672,6.6676,3.9357,499.7027,3.0173,16.1301,0.9766,36.9
0.52,0.0504,94.0141,80.3793,112.4301,73.7683,6.7772,3.783,462.1024,3.1821,17.2407,0.9804,36.9
0.56,0.0514,95.3073,84.2429,114.4295,75.5325,7.0663,3.7907,560.4551,2.9483,15.944,0.9773,36.9
0.62,0.0548,91.4417,88.3086,119.714,74.2144,6.7988,3.9998,518.31,3.0954,16.3805,0.9784,36.9
0.66,0.0588,96.2196,83.6981,115.6937,75.5262,6.7746,3.7434,469.319,3.1793,16.1516,0.9787,36.9
0.72,0.0556,95.9762,84.971,114.4168,74.4364,7.0453,4.1074,535.6396,3.2729,15.1185,0.9794,36.9
0.76,0.0596,96.1427,85.0776,109.7758,72.8427,6.7207,4.1097,576.1164,3.0593,16.6445,0.9751,36.9
0.82,0.0489,94.3492,81.4174,115.7501,73.7609,6.5115,3.9006,552.3441,3.0171,16.5551,0.979,36.9
0.86,0.0559,92.7822,86.3566,114.6843,74.0228,6.7027,3.9149,453.8581,3.146,16.459,0.9798,36.9
0.92,0.0542,95.3834,85.541,113.8547,72.9487,6.6207,4.0441,488.8911,3.0192,16.1745,0.9764,36.9
0.96,0.0568,95.4018,80.6635,117.1394,72.5393,6.4556,3.9685,537.7676,3.1392,16.449,0.9778,36.9
1.02,0.0588,98.2031,81.2995,112.634,74.4164,6.9279,4.0221,565.3621,2.9552,16.0891,0.9796,36.9
1.06,0.0541,96.2957,88.0285,117.6976,74.7145,6.6995,4.1294,552.2098,2.9727,16.3095,0.9793,36.9
1.12,0.056,94.3715,85.8823,117.2837,72.1088,6.7291,3.9368,607.5749,2.9639,15.762,0.9792,36.9
1.16,0.0543,92.5025,83.5483,113.8568,74.2859,6.9314,3.9625,539.9911,2.7144,16.3841,0.9787,36.9
1.22,0.0584,95.1126,84.9579,115.166,74.0077,7.25,3.9738,534.3498,2.8385,16.1656,0.9799,36.9
1.26,0.0576,93.7132,85.3135,115.9103,75.1321,6.8154,3.8971,521.7306,2.7698,15.9653,0.9776,36.9
1.32,0.0511,93.8278,86.6299,115.4354,73.4498,7.0894,4.08,539.2802,2.6256,15.8298,0.9779,36.9
1.36,0.0528,95.7976,81.1795,117.0714,74.4667,6.81,3.9938,573.3536,2.7268,16.3087,0.9794,36.9
1.42,0.0551,95.8638,85.3284,115.4431,73.497,6.7744,4.0951,526.6532,2.6079,15.4878,0.9817,36.9
1.46,0.0522,98.2046,84.4308,114.9538,77.5139,6.5226,3.9421,542.4204,2.514,16.1271,0.9769,36.9
1.52,0.0533,94.9826,85.7966,114.0934,73.3066,6.7806,4.1525,508.5951,2.3509,16.2676,0.98,36.9
1.56,0.0554,95.7647,83.6913,115.5996,73.3452,6.7851,3.8125,537.0764,2.5737,15.8867,0.9778,36.9
1.62,0.0534,94.9592,88.4951,115.895,75.2366,6.839,3.9311,558.8089,2.5433,15.8242,0.9789,36.9
1.66,0.0543,95.5397,84.5436,117.1102,73.6162,6.7398,3.7913,558.6497,2.7049,16.177,0.9781,36.9
1.72,0.0498,96.4505,86.8578,113.9171,74.9649,6.7951,4.0125,531.41,2.6326,16.28,0.9783,36.9
1.76,0.0541,96.9512,84.7102,112.0458,74.5672,6.6269,3.7814,533.9843,2.7705,16.4116,0.9782,36.9
1.82,0.0492,95.3533,84.3349,114.3455,74.7736,7.1875,4.1612,545.2846,2.6846,15.8927,0.9821,36.9
1.86,0.0533,95.3148,79.7491,116.4505,74.9297,6.7904,3.9471,483.5207,2.5816,16.1369,0.9801,36.9
1.92,0.0565,96.4595,85.3418,118.7986,76.0834,7.0443,3.994,508.7667,2.4628,16.0801,0.9784,36.9
1.96,0.0468,96.926,85.5129,117.0399,74.4091,6.8729,3.9467,584.1055,2.6483,15.9792,0.9806,36.9
2.02,0.0548,98.3057,83.827,114.8027,72.8763,6.7185,3.9198,568.3058,2.8092,16.6292,0.9812,36.9
2.06,0.0532,97.1225,81.7355,114.1379,74.7565,6.7146,3.9222,568.6639,2.6018,16.4766,0.98,36.9
2.12,0.0512,96.5598,86.3726,113.7482,73.3095,6.6334,3.9011,562.9113,2.7851,16.5076,0.9813,36.9
2.16,0.0536,96.9567,82.592,112.5282,74.7211,6.7477,3.5502,506.5442,2.6074,16.3758,0.9828,36.9
2.22,0.0558,98.5119,86.7837,114.3567,73.8223,6.7586,3.8774,593.2609,2.5328,16.8086,0.9801,36.9
2.26,0.0473,94.1891,88.0277,107.4317,74.4432,6.6768,3.7742,612.5172,2.4943,16.0223,0.9799,36.9
2.32,0.0522,94.0979,79.6193,116.4972,75.0288,6.9353,4.1818,504.9872,2.5395,14.9306,0.9796,36.9
2.36,0.0511,95.2121,84.9595,115.394,74.5847,6.5663,3.7853,540.1111,2.6972,16.1233,0.9811,36.9
2.42,0.0514,93.0064,84.9111,111.1481,73.4926,6.9866,3.9348,485.9262,2.6322,16.0918,0.9802,36.9
