Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0649,96.0618,77.6473,110.5903,74.6798,5.1726,4.2304,557.1759,2.4206,16.8875,0.98,36.9
0.12,0.0695,94.5465,71.2113,112.2233,72.7061,5.5995,3.7168,515.3203,2.542,16.8408,0.9784,36.9
0.16,0.0636,96.7363,75.1707,110.7259,76.1544,5.5279,4.0662,554.0638,2.2284,15.5781,0.9813,36.9
0.22,0.0595,92.3863,73.9577,116.1478,75.3682,5.9638,3.9604,569.9626,2.4099,15.8046,0.9782,36.9
0.26,0.0687,95.5104,75.6271,111.9883,76.1168,5.9164,4.4863,626.3194,2.2362,16.5403,0.9789,36.9
0.32,0.068,92.82,68.3896,105.8052,73.9852,5.7057,3.9346,455.8854,2.1982,17.0958,0.9746,36.9
0.36,0.0746,98.9219,72.9391,117.1093,76.6056,5.7693,3.8556,522.002,2.5896,16.2721,0.9797,36.9
0.42,0.063,96.5482,72.3969,118.1597,73.9886,5.8868,3.6918,492.0011,2.6356,16.6731,0.9764,36.9
0.46,0.0665,96.4282,74.2564,112.8966,75.4569,5.9692,3.9674,405.5311,2.2198,16.7917,0.9774,36.9
0.52,0.0602,96.5039,72.5336,117.9308,73.5996,5.5481,3.5808,468.5991,2.1612,16.3849,0.9827,36.9
0.56,0.0574,93.6232,75.2036,105.2446,73.0549,5.7399,3.9319,522.4224,2.0795,16.4145,0.9763,36.9
0.62,0.0736,94.3489,68.2256,110.1602,75.3534,5.9861,4.7936,461.3073,2.245,15.8637,0.9795,36.9
0.66,0.0655,93.6931,72.7535,114.4896,73.6106,5.8078,3.8045,504.6598,2.271,16.2954,0.9792,36.9
0.72,0.0589,95.9636,79.2075,110.685,75.4487,5.8676,3.7823,457.4566,2.2359,17.0084,0.9797,36.9
0.76,0.0722,92.7578,78.1379,118.3198,76.6813,5.5211,3.8198,527.3338,2.4237,17.1357,0.9766,36.9
0.82,0.0745,92.4613,77.5265,114.031,73.8168,5.9281,4.2315,452.0756,2.5811,16.3306,0.9772,36.9
0.86,0.0748,91.8606,72.6015,112.3035,73.994,5.6688,3.8259,444.0836,2.4516,16.3378,0.9731,36.9
0.92,0.0646,95.9653,70.0566,107.4078,73.3542,5.805,4.323,504.9588,2.6054,15.9204,0.9765,36.9
0.96,0.0566,94.8778,70.5926,109.8949,77.3062,6.1205,3.3313,438.4828,2.4775,16.8096,0.9775,36.9
1.02,0.0784,98.8836,72.4797,112.9588,73.161,5.162,4.3379,490.3469,2.3555,16.2918,0.9764,36.9
1.06,0.072,91.1347,69.7184,121.5704,74.8856,5.5806,3.7488,575.2143,2.1792,16.9539,0.9794,36.9
1.12,0.0527,94.4901,74.147,113.3115,74.4807,6.1179,4.119,563.8599,2.3763,16.1562,0.9749,36.9
1.16,0.0583,93.2925,64.6769,107.7391,73.8053,5.3654,4.2544,494.921,2.7589,16.0982,0.9761,36.9
1.22,0.0698,95.9089,72.2607,116.9975,73.8732,5.6413,3.8056,470.7463,2.341,16.1144,0.976,36.9
1.26,0.0646,96.7208,71.0016,113.6021,74.6459,6.0477,3.6063,497.9606,2.5529,16.8458,0.9752,36.9
1.32,0.0715,93.1108,70.1089,116.507,73.9394,5.9295,3.7787,432.7352,2.3153,16.7317,0.9783,36.9
1.36,0.0588,88.7923,75.1427,112.4448,72.0402,5.4791,3.5662,522.8844,2.5001,17.4399,0.9821,36.9
1.42,0.0597,97.2265,67.5858,116.4942,73.9932,5.4794,3.9809,447.5362,2.5262,15.8948,0.9802,36.9
1.46,0.0699,89.7284,72.5882,108.4478,72.1244,6.0788,3.6974,478.7677,2.8887,17.0919,0.9765,36.9
1.52,0.0702,95.4332,70.471,114.2526,74.7362,5.7067,4.028,504.814,2.3612,16.4513,0.9805,36.9
1.56,0.0739,98.724,72.7985,111.1071,72.7086,6.1432,4.204,468.5893,2.6766,16.0741,0.9761,36.9
1.62,0.0592,94.3969,72.6828,115.5654,75.5803,6.0778,3.9891,557.8185,2.6982,14.8589,0.9785,36.9
1.66,0.0569,96.1873,76.0742,112.8289,74.7627,5.7198,3.6686,488.8579,2.3174,16.2607,0.9822,36.9
1.72,0.0631,91.2539,72.5266,111.1452,74.7397,5.2814,3.7787,531.1602,2.4586,16.5,0.9777,36.9
1.76,0.0706,95.8555,74.1874,114.6763,73.867,5.7589,4.3567,478.8492,2.8562,16.3099,0.9735,36.9
1.82,0.0724,98.0967,72.714,114.3383,74.5752,6.0264,4.4937,508.648,2.8672,17.0243,0.9811,36.9
1.86,0.0623,92.9633,68.7229,110.6034,74.3735,6.2477,3.8986,549.967,2.8214,16.207,0.9793,36.9
1.92,0.0645,99.9952,79.1922,115.3143,76.0658,5.3309,3.785,478.067,3.019,16.7457,0.978,36.9
1.96,0.0736,98.4387,71.5476,112.1434,75.4,6.0699,3.7675,439.1477,2.7073,17.7114,0.9809,36.9
2.02,0.0684,92.9219,73.0245,112.2565,75.1165,5.2784,3.7752,486.8995,2.5585,16.2188,0.9757,36.9
2.06,0.0658,95.1741,70.3133,116.025,75.6239,5.9515,3.5648,519.1375,3.0504,16.7097,0.9805,36.9
2.12,0.0838,95.0269,73.9124,114.6444,73.4588,5.5935,4.3602,447.781,2.8307,16.4794,0.9762,36.9
2.16,0.0734,101.6907,71.7488,117.5788,76.1968,5.5596,3.6137,354.0924,2.7,16.2928,0.9748,36.9
2.22,0.0776,99.7262,62.4364,113.2973,76.6241,6.2768,3.9359,392.4024,2.954,15.6981,0.9777,36.9
2.26,0.0649,99.759,67.1846,110.4793,74.107,6.092,4.0663,492.1272,3.0402,16.7182,0.9781,36.9
2.32,0.0565,97.118,77.8615,119.1619,74.7577,5.743,3.0614,523.7098,2.7752,16.5069,0.9812,36.9
2.36,0.0533,92.9693,72.3585,112.9701,74.9486,5.7776,3.7279,524.9027,3.1055,16.1205,0.9775,36.9
