Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0682,95.2144,70.8577,117.2459,74.9612,5.8113,3.7437,552.9854,2.9101,16.1756,0.9783,37.0
0.12,0.0667,95.2463,71.9756,114.441,73.8691,6.0234,3.9932,522.9021,2.764,16.3025,0.9784,37.0
0.16,0.0667,96.4376,71.146,115.2876,74.2836,5.8088,4.0582,530.0786,2.6961,16.0838,0.9772,37.0
0.22,0.0689,94.8586,72.5615,114.6508,74.6391,5.9495,3.9847,544.8674,2.6507,15.8435,0.9774,37.0
0.26,0.0655,96.7123,70.7054,115.3724,74.8873,5.794,3.9,530.8844,2.7397,15.8758,0.9771,37.0
0.32,0.0672,96.241,71.6357,115.4478,73.5345,5.7302,4.0143,583.3826,2.6968,16.0632,0.979,37.0
0.36,0.0664,95.5856,71.538,114.9523,74.3771,5.7848,4.0722,545.3192,2.8566,15.6742,0.978,37.0
0.42,0.0643,95.6138,72.0518,115.1351,73.5774,5.8051,4.2757,524.1476,2.598,16.2581,0.9777,37.0
0.46,0.0686,96.5516,73.6947,115.9886,73.9879,5.6718,3.8531,525.7673,2.6594,15.7936,0.9778,37.0
0.52,0.0685,95.2608,71.9768,114.1487,74.0501,5.9253,3.9956,531.7447,2.7014,15.9805,0.9773,37.0
0.56,0.068,93.9147,72.7597,114.2715,73.7942,5.9474,4.1067,550.5608,2.6499,15.9895,0.9777,37.0
0.62,0.0641,95.0368,71.938,114.5501,73.3351,5.6825,3.9046,560.5501,2.6632,15.4744,0.9781,37.0
0.66,0.0641,94.3217,73.4643,114.6638,73.468,5.8189,4.0424,500.9279,2.7718,15.9512,0.9773,37.0
0.72,0.0635,96.4005,72.7146,115.2196,73.5629,5.7895,3.9084,538.8262,2.7411,15.6287,0.9774,37.0
0.76,0.0675,95.1491,71.979,116.0732,74.3884,5.8594,3.946,519.6321,2.6783,16.0573,0.9781,37.0
0.82,0.062,93.7897,72.4614,115.0944,74.3622,5.7689,3.8904,525.0466,2.5934,16.2289,0.9782,37.0
0.86,0.066,95.2099,72.566,114.2474,74.1613,5.7019,3.8579,544.9044,2.7582,16.1537,0.9772,37.0
0.92,0.0696,96.8648,72.9517,113.748,74.812,5.8909,3.9405,536.3125,2.678,15.4695,0.9783,37.0
0.96,0.0666,94.8152,70.424,115.3701,73.8321,5.8097,4.1356,579.362,2.9117,15.8787,0.9783,37.0
1.02,0.0672,96.7036,73.3823,115.7016,74.023,5.8649,3.9232,543.045,2.6963,15.6497,0.9781,37.0
1.06,0.0641,94.4443,72.6584,117.5735,74.8779,5.8022,3.951,525.3421,2.6328,16.0096,0.9778,37.0
1.12,0.0681,97.1951,74.3015,114.5447,73.732,5.849,4.0948,552.3707,2.76,15.8944,0.9774,37.0
1.16,0.0675,96.4678,71.457,116.3193,73.8784,5.6934,4.0026,535.1579,2.6182,15.9935,0.9774,37.0
1.22,0.0645,95.2496,71.7995,116.8585,74.5484,6.0239,4.0005,551.3981,2.7,15.9482,0.9766,37.0
1.26,0.066,94.7236,73.6172,116.4415,73.7065,5.6818,3.986,516.299,2.7743,16.1421,0.9791,37.0
1.32,0.0629,95.7142,70.579,115.3042,73.555,5.8731,4.0374,584.1786,2.8141,15.8515,0.9779,37.0
1.36,0.0655,95.3408,73.8769,114.6713,73.8311,5.8988,4.1063,532.4229,2.8125,16.1098,0.9786,37.0
1.42,0.0647,95.3901,72.902,115.4379,73.8579,5.987,3.9716,553.0793,2.8463,15.8684,0.9783,37.0
1.46,0.0635,96.6101,74.0141,114.8964,73.8681,5.8735,3.9589,552.3149,2.8791,15.9645,0.9783,37.0
1.52,0.069,95.0706,72.3195,114.4166,75.3752,5.8623,3.9246,514.3534,2.9392,15.9832,0.9774,37.0
1.56,0.0726,96.3254,72.7146,112.9345,74.5093,5.8126,3.9016,518.1056,2.791,16.2337,0.9774,37.0
1.62,0.0639,96.6775,74.9602,115.5798,74.1632,5.7139,4.0932,553.6149,2.9315,16.0393,0.9784,37.0
1.66,0.0648,95.9184,74.3051,114.7918,74.0003,5.8068,3.9618,547.6195,2.8542,16.1963,0.9776,37.0
1.72,0.0661,95.9852,70.2524,114.0975,73.9921,5.9403,3.9426,537.022,3.0714,15.9676,0.9777,37.0
1.76,0.0663,95.5208,72.5401,117.9222,74.0435,5.7523,3.9646,549.2276,2.9596,15.8362,0.9783,37.0
1.82,0.0639,96.6352,71.9419,115.2305,75.4063,5.8835,3.915,541.2052,3.0185,15.6425,0.9781,37.0
1.86,0.0642,96.1292,73.9998,113.4431,73.2595,5.9161,3.8805,553.7068,3.0788,16.1862,0.9778,37.0
1.92,0.0684,95.4541,71.0824,113.3771,74.2772,5.9179,4.0601,528.7369,3.15,15.808,0.9773,37.0
1.96,0.0654,94.2172,75.2318,115.2119,74.7145,5.8219,4.0393,553.4151,3.0785,15.9954,0.979,37.0
2.02,0.0692,96.567,70.2549,114.7474,73.7644,5.8974,3.9418,551.5252,3.1311,16.1924,0.9789,37.0
2.06,0.0691,95.2518,72.337,114.9088,73.8297,5.8867,3.9826,543.9095,3.0572,15.7887,0.9791,37.0
