Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0525,72.8456,93.3705,93.4923,59.5865,6.6026,3.2959,617.5468,2.6212,14.2212,0.9803,36.9
0.12,0.053,76.954,93.7664,82.3777,58.6393,7.1328,3.3296,624.537,3.1444,14.0278,0.9805,36.9
0.16,0.0455,77.6573,89.2522,88.5494,59.9999,6.6512,3.0903,522.8693,3.1029,13.5951,0.9777,36.9
0.22,0.0482,74.6325,95.5427,96.3669,59.6512,6.7039,2.7751,551.9457,2.694,13.5593,0.9804,36.9
0.26,0.0617,79.6813,89.465,93.4267,59.2407,6.6795,3.1463,629.1703,2.7485,14.1812,0.9814,36.9
0.32,0.056,77.6168,90.6428,89.0774,61.7847,7.18,2.9183,685.8956,2.881,13.8378,0.9772,36.9
0.36,0.0601,78.1884,94.9105,89.2839,59.7276,7.1136,3.0845,653.7293,2.7795,14.1165,0.9797,36.9
0.42,0.0568,77.4587,90.3185,91.7548,59.4669,6.4961,2.9961,589.8463,3.328,13.1868,0.9814,36.9
0.46,0.0514,75.3357,90.8126,92.0085,61.3893,6.4877,3.1411,594.5393,2.5538,14.3431,0.9807,36.9
0.52,0.056,77.419,96.8595,94.177,59.9578,7.195,3.1162,547.6187,2.7437,12.953,0.9803,36.9
0.56,0.0571,75.4321,92.3662,91.9787,59.6004,7.2719,2.6414,669.1782,2.9727,13.608,0.9791,36.9
0.62,0.0461,75.2057,92.4264,91.4989,61.4962,6.8174,2.9086,538.9059,2.9669,14.3527,0.9797,36.9
0.66,0.0525,75.4823,93.3059,94.215,58.1277,7.0746,3.2734,615.1847,2.957,13.8428,0.9809,36.9
0.72,0.0503,71.2693,99.6851,92.4693,59.6973,6.8584,3.0704,645.2898,2.4364,13.721,0.9816,36.9
0.76,0.051,77.0327,92.2445,87.1194,59.6986,6.5499,2.7673,644.6493,2.7445,13.6164,0.9803,36.9
0.82,0.0559,76.7222,97.7464,86.6322,58.7914,6.7153,3.1354,645.7774,2.753,13.9151,0.9794,36.9
0.86,0.0602,76.3451,89.8057,89.8525,59.3936,7.2206,2.9145,625.7859,2.9228,13.8714,0.9794,36.9
0.92,0.0497,77.7055,95.0666,90.785,58.3102,6.8015,2.6733,642.5149,2.8063,14.353,0.9805,36.9
0.96,0.049,75.4291,95.345,85.4902,59.6208,7.0728,3.0967,722.9839,2.7202,14.1218,0.9807,36.9
1.02,0.0443,73.9244,93.979,88.419,59.9574,6.9671,3.0259,544.1759,2.7105,13.5074,0.9804,36.9
1.06,0.0533,75.4701,96.4643,86.285,58.344,7.0465,3.075,675.0564,2.9218,14.006,0.9797,36.9
1.12,0.0604,75.3856,95.0162,90.4065,60.5191,6.7288,3.1299,563.2212,2.9022,13.4536,0.9805,36.9
1.16,0.0545,76.9052,93.7547,88.3283,59.2116,6.9361,3.1174,598.2064,2.5969,13.6641,0.9787,36.9
1.22,0.0492,73.2329,94.9198,88.6825,59.7919,6.6354,2.8565,666.2465,2.7407,13.8456,0.978,36.9
1.26,0.0584,73.8227,96.3032,90.5388,58.9801,6.2542,3.266,559.2816,2.7663,13.6778,0.9799,36.9
1.32,0.0471,74.6987,93.5553,88.4659,58.421,6.7599,3.1806,662.3624,2.9279,14.4994,0.9777,36.9
1.36,0.0541,77.4392,93.5017,89.7157,59.6518,6.7723,2.8989,584.1909,2.7359,13.1403,0.9799,36.9
1.42,0.0546,75.266,90.8793,86.9518,59.2837,6.5925,3.4654,624.4163,3.4506,14.2944,0.983,36.9
1.46,0.0546,73.7307,94.9818,88.8106,58.9736,6.7735,3.229,594.3509,2.4962,13.5082,0.9788,36.9
1.52,0.0572,72.1499,91.2249,92.9847,58.9274,7.8698,3.0555,691.1359,2.6454,13.9262,0.9814,36.9
1.56,0.0547,77.9067,88.9832,83.8879,58.4245,6.5724,3.0878,610.0569,2.7009,13.886,0.9796,36.9
1.62,0.0544,75.3299,85.338,89.4272,59.1727,6.8825,3.0131,669.5891,2.7313,13.3611,0.9805,36.9
1.66,0.0469,78.3522,95.2442,86.0098,58.0501,6.4871,2.848,593.945,3.1146,14.2182,0.9804,36.9
1.72,0.0511,72.8224,93.1148,89.7614,57.7988,6.8922,3.0841,595.8405,2.8804,12.7599,0.98,36.9
1.76,0.0502,74.7674,87.6706,88.831,60.432,6.5584,3.2384,616.0425,2.546,13.6413,0.9764,36.9
1.82,0.0488,77.6253,90.5637,89.5484,60.1805,6.8759,3.2105,683.407,2.5884,13.6058,0.9789,36.9
1.86,0.0536,78.1547,92.5419,89.5046,58.6294,6.7637,3.4261,585.0933,2.9729,13.9063,0.9781,36.9
