Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.1015,94.3546,50.456,112.7511,73.8353,3.9702,3.9409,631.4702,2.6548,12.2452,0.9771,37.0
0.12,0.1083,95.5288,50.4733,112.4218,73.4373,3.9941,3.9642,613.7624,2.5691,12.4706,0.9768,37.0
0.16,0.106,94.8568,48.9901,113.3238,72.7521,4.0331,3.9883,621.8193,2.5399,12.2967,0.9768,37.0
0.22,0.106,94.6388,50.2835,114.6446,73.518,4.0943,3.9804,622.0467,2.6199,12.2328,0.9772,37.0
0.26,0.112,95.1568,50.4563,112.9784,74.1755,3.9858,4.1747,607.5201,2.5647,12.4937,0.9766,37.0
0.32,0.1103,94.3049,49.8054,114.5917,73.7912,4.0221,4.1439,633.959,2.6384,12.4979,0.9777,37.0
0.36,0.1106,94.0807,49.2462,112.1819,73.6397,4.0749,3.9892,605.2021,2.7029,12.2952,0.977,37.0
0.42,0.1084,95.2847,49.0744,115.0511,73.2191,4.0491,4.08,608.1233,2.7371,12.427,0.9764,37.0
0.46,0.1058,94.0613,48.1969,113.1483,73.0669,3.9879,3.9554,613.5202,2.5465,12.553,0.9768,37.0
0.52,0.1101,94.2779,51.0616,112.2901,72.9639,4.0521,3.9915,614.8735,2.4812,12.3949,0.9772,37.0
0.56,0.1094,94.0656,50.3298,112.4326,73.73,4.0042,4.0027,634.7995,2.5329,12.3897,0.9773,37.0
0.62,0.1064,93.9858,49.4423,113.1853,74.0222,4.1132,3.9274,605.8087,2.7183,12.305,0.9773,37.0
0.66,0.1059,94.0546,50.8229,112.6368,73.252,4.1141,4.1056,608.7469,2.5814,12.33,0.9773,37.0
0.72,0.1067,94.7393,51.0914,112.5391,73.5775,4.1155,3.9527,625.547,2.5172,12.4725,0.9774,37.0
0.76,0.1047,95.3811,49.9845,113.155,72.7081,4.0701,3.9961,633.0129,2.5507,12.3701,0.9771,37.0
0.82,0.1118,93.6051,51.1094,112.2297,73.5891,4.0431,3.9691,633.0964,2.515,12.189,0.9769,37.0
0.86,0.1099,93.9181,48.6996,112.637,73.6425,4.0871,3.94,594.7607,2.608,12.353,0.9766,37.0
0.92,0.1035,95.7327,50.5046,112.9308,73.215,4.0617,3.9698,630.667,2.528,12.4519,0.9771,37.0
0.96,0.1121,94.8513,50.5432,113.3387,72.9782,4.16,3.9417,598.8732,2.5232,12.3965,0.977,37.0
1.02,0.1046,95.9083,50.914,112.3152,73.19,4.0275,3.9331,635.9836,2.6128,12.4332,0.9773,37.0
1.06,0.1057,95.5266,48.741,111.9381,72.8712,4.1391,4.053,633.6024,2.6618,12.4816,0.9775,37.0
1.12,0.1012,95.5566,49.4134,111.0897,73.3373,4.0868,4.0629,640.4226,2.4908,12.5067,0.9774,37.0
1.16,0.1122,93.3981,48.9509,114.2608,72.824,4.1171,3.9825,612.9629,2.6998,12.383,0.9773,37.0
1.22,0.1063,95.1396,49.9097,113.8266,72.7604,4.1472,3.9779,624.5278,2.57,12.3517,0.9774,37.0
1.26,0.1097,94.7962,50.98,112.7057,73.0203,4.1302,3.9095,618.7244,2.4733,12.44,0.9767,37.0
1.32,0.1087,94.6762,50.823,112.2977,73.1441,3.9625,4.259,632.1554,2.5841,12.4208,0.9769,37.0
1.36,0.1092,95.283,50.3108,113.0693,73.1651,4.1046,3.9287,613.5222,2.7746,12.4162,0.9769,37.0
1.42,0.1009,94.4015,48.8735,114.2339,73.1397,4.141,4.0239,631.5583,2.6432,12.4452,0.9773,37.0
1.46,0.1025,94.5048,49.8865,113.3926,73.7587,3.9538,4.0792,633.5469,2.6851,12.2984,0.9768,37.0
1.52,0.1074,94.093,49.0974,112.984,73.0889,4.0696,4.1749,617.3989,2.462,12.3088,0.977,37.0
1.56,0.1059,93.5596,50.1935,112.6291,73.6854,4.0202,4.1055,649.5169,2.4735,12.2987,0.9768,37.0
