Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.071,95.2037,70.6972,111.7022,74.6735,6.0121,4.4578,642.5714,2.4128,12.3367,0.9771,36.9
0.12,0.0685,94.9236,73.1604,118.1106,75.0899,5.8313,4.0599,622.0406,2.6694,12.4278,0.978,36.9
0.16,0.0656,94.9543,67.9467,118.2328,72.9206,5.718,4.0859,593.3247,2.4601,12.2086,0.979,36.9
0.22,0.0601,94.4716,69.8007,112.6835,74.8823,5.8919,3.7104,625.7275,2.4136,12.1386,0.9789,36.9
0.26,0.0698,96.1617,69.0901,116.423,74.4584,5.755,3.9021,603.1509,2.6862,12.3377,0.9783,36.9
0.32,0.0658,96.2883,75.5594,114.3977,73.5357,5.767,3.81,655.7248,2.7603,12.0736,0.9791,36.9
0.36,0.0626,93.8683,71.7097,116.2379,71.9074,6.032,4.0634,628.3009,2.535,12.4533,0.9782,36.9
0.42,0.0673,95.0645,74.6038,119.2266,74.6726,5.816,3.8847,639.7816,2.6048,12.3221,0.9781,36.9
0.46,0.068,94.9506,70.7115,114.7338,73.9831,5.6069,3.7446,659.766,3.2262,12.4748,0.9784,36.9
0.52,0.0633,95.8012,71.9293,117.7813,75.0585,5.4042,4.0109,643.7117,2.7493,12.429,0.9786,36.9
0.56,0.0684,95.1297,69.2665,114.1395,75.6061,5.5927,4.0039,614.06,2.7338,12.3873,0.9786,36.9
0.62,0.0611,97.8062,79.6151,115.609,74.3622,5.8031,3.8105,566.3566,2.7682,12.2205,0.9792,36.9
0.66,0.0689,96.307,74.0097,113.2851,73.9197,5.4657,3.8142,574.1029,2.9094,12.2302,0.9798,36.9
0.72,0.065,95.7595,74.2704,114.5147,74.1659,5.6097,3.9655,604.0947,2.7789,12.0698,0.9783,36.9
0.76,0.0653,96.4207,69.3819,114.429,73.8671,5.9622,3.9954,660.829,2.823,12.2833,0.9799,36.9
0.82,0.0665,93.2174,70.7651,112.4421,74.5831,5.7626,3.5484,652.9838,3.1335,12.3068,0.9787,36.9
0.86,0.0618,95.2463,68.8197,113.7791,72.6087,5.6189,4.1805,694.8297,3.1234,12.5088,0.9783,36.9
0.92,0.0671,96.0192,76.2988,117.0112,76.7722,5.9116,3.9226,632.5477,3.0214,12.4516,0.9789,36.9
0.96,0.0683,99.4643,70.5921,114.5387,74.6917,5.7828,3.8429,659.9799,3.0553,12.376,0.9787,36.9
1.02,0.0692,98.1789,74.0454,112.5654,76.4756,5.6561,4.021,685.8362,2.9647,12.5733,0.9784,36.9
1.06,0.071,95.2284,72.6729,112.0784,74.7209,5.917,3.8407,595.1478,3.2877,12.0395,0.9786,36.9
1.12,0.0642,97.1915,71.9328,116.2773,76.3711,5.3708,3.7712,690.499,2.9356,12.1114,0.9796,36.9
1.16,0.0696,96.3903,68.4175,114.024,74.6709,5.7624,3.9814,620.0508,3.1922,12.2326,0.9787,36.9
1.22,0.0668,96.9716,70.7591,113.7091,73.8861,5.7521,3.4662,638.6347,2.8701,12.1274,0.9794,36.9
1.26,0.0691,97.4011,71.5209,118.7783,75.203,5.8268,3.9108,648.707,3.1933,12.176,0.9779,36.9
1.32,0.0628,99.2588,72.5276,113.0615,74.5914,5.7681,4.2609,638.4687,2.991,12.2439,0.9777,36.9
1.36,0.0692,95.7877,72.6743,120.7977,73.8852,5.761,3.8643,609.3106,3.1588,12.2672,0.9788,36.9
1.42,0.0672,94.8284,70.5392,115.4123,74.7253,5.8417,3.9376,629.7692,3.1813,12.3689,0.978,36.9
1.46,0.0666,97.0275,74.1709,115.4109,75.0951,5.7398,3.9937,586.1414,3.3149,12.4112,0.9794,36.9
1.52,0.0656,97.2183,69.0164,110.7006,74.2572,5.9754,4.1051,631.8027,3.5572,12.2748,0.9793,36.9
1.56,0.0679,97.0074,73.3786,114.8003,75.2139,5.6749,4.1129,626.0088,3.0585,12.4185,0.9804,36.9
1.62,0.0717,96.8397,73.9403,116.4471,74.1992,5.6722,3.9244,593.601,3.1603,12.4922,0.9782,36.9
1.66,0.0667,95.7926,72.8423,116.9026,74.9778,5.7476,3.895,626.2422,3.3232,12.6319,0.979,36.9
1.72,0.0679,95.4949,77.047,114.0069,74.2342,5.7489,3.7901,630.4848,2.9789,12.3113,0.9772,36.9
1.76,0.0723,97.648,73.4933,115.2005,73.4581,5.2713,3.749,637.4684,3.3561,12.2702,0.9791,36.9
1.82,0.0625,96.3408,71.6401,115.0964,76.1107,5.6479,3.9486,615.196,3.52,12.6818,0.9788,36.9
1.86,0.0672,94.7849,73.0667,115.4761,72.8551,5.8475,3.7696,642.5317,2.7567,11.9633,0.9782,36.9
1.92,0.0697,93.6083,70.7019,116.101,73.5898,6.021,3.9782,629.8937,3.2141,12.4895,0.9798,36.9
1.96,0.0656,96.6354,71.6899,116.0714,73.402,5.8475,4.1261,597.2262,2.9358,12.5757,0.9803,36.9
2.02,0.0683,97.9989,74.0513,115.8438,75.5397,5.7437,3.9404,648.1849,3.0576,12.2164,0.9781,36.9
2.06,0.0611,95.4641,71.6187,113.3106,75.1941,5.9424,3.7289,583.5633,2.9194,12.5095,0.9783,36.9
2.12,0.0702,97.3537,72.324,117.1143,75.0659,5.7743,3.9243,628.6104,2.644,12.3934,0.9786,36.9
2.16,0.063,95.4691,74.5406,113.0669,75.3823,6.1927,4.1155,676.6971,2.8603,12.7358,0.9784,36.9
2.22,0.0742,95.941,68.3098,113.5015,74.4491,5.4713,3.9713,624.5767,2.7051,12.2908,0.9797,36.9
2.26,0.0687,96.9295,77.6944,115.1549,75.364,5.6984,3.9625,653.6085,2.5547,12.3104,0.9781,36.9
2.32,0.0662,96.5824,71.6909,116.9621,74.4564,5.7724,3.9886,610.1744,2.8088,12.253,0.9791,36.9
2.36,0.073,96.7959,75.1948,112.0866,75.5757,6.0765,4.0937,635.373,2.5638,12.2994,0.978,36.9
2.42,0.0657,95.4418,72.4792,115.0716,71.9764,5.5212,4.0403,621.7898,2.6695,12.0868,0.9783,36.9
2.46,0.0659,98.6541,70.3607,114.6221,74.7203,5.6116,4.015,642.9952,2.5307,12.4032,0.9785,36.9
2.52,0.0695,98.9481,74.7654,113.5009,75.1946,5.7436,4.0094,603.1465,2.6262,12.239,0.9787,36.9
2.56,0.073,97.492,72.7765,113.5922,75.839,5.3835,3.9,585.6192,2.4526,12.3781,0.978,36.9
2.62,0.068,96.5315,71.0285,113.075,73.6437,5.8727,3.7139,714.5942,2.6905,12.7628,0.9782,36.9
2.66,0.0641,96.4057,66.3111,114.2647,73.5452,5.7251,3.9235,638.3162,2.7772,12.5165,0.9798,36.9
2.72,0.0663,93.4849,73.045,117.3063,76.0318,5.6949,3.9419,608.9566,2.7095,12.3408,0.9792,36.9
2.76,0.059,97.0929,72.5556,113.4167,75.2661,5.6266,4.1257,612.5904,2.2491,12.4418,0.9782,36.9
2.82,0.0604,95.972,73.6416,115.9934,74.6538,5.6009,3.9041,603.0482,2.8706,12.48,0.979,36.9
2.86,0.0627,95.9556,74.0605,114.922,74.5772,5.9839,4.1994,669.5759,2.6862,12.292,0.9783,36.9
2.92,0.0665,96.4943,71.1451,111.2668,75.9621,5.9635,4.0367,600.223,2.4621,12.4896,0.9784,36.9
2.96,0.0697,95.7641,74.8357,113.4353,77.186,5.6399,3.8324,654.0374,2.4208,12.1249,0.9774,36.9
3.02,0.0709,95.0125,68.8477,112.9511,73.3302,5.6764,3.809,600.8784,2.5203,12.3376,0.9793,36.9
3.06,0.0649,94.9381,72.6997,116.098,74.9674,5.7659,3.5337,631.3546,2.4194,12.4356,0.9783,36.9
3.12,0.062,98.7599,73.4031,117.4222,74.3279,5.7419,3.894,652.0799,2.4948,12.2527,0.9803,36.9
3.16,0.072,96.038,79.1996,116.9289,74.3152,5.425,3.8257,635.1752,2.7044,12.5747,0.9802,36.9
3.22,0.069,95.2375,75.9974,112.8112,76.3107,5.9909,3.7771,606.5213,2.5238,12.2588,0.9798,36.9
3.26,0.0696,95.4079,74.4248,113.5735,74.1589,5.7342,4.1377,605.6482,2.7427,12.5808,0.9801,36.9
3.32,0.0666,97.7235,71.8961,116.1523,75.7002,5.6108,3.9743,571.5337,2.7571,12.2423,0.9791,36.9
3.36,0.0683,96.4664,72.6608,112.7783,72.61,5.8721,3.7425,635.0352,2.5304,12.2077,0.9771,36.9
3.42,0.0701,96.4261,73.5776,113.773,75.9794,5.7343,4.0479,621.3928,2.5521,12.464,0.9782,36.9
3.46,0.0669,95.6527,72.0832,118.8799,73.0037,5.8182,4.1596,581.4534,2.5817,12.5777,0.9787,36.9
3.52,0.0609,92.9803,71.3616,113.5091,74.7673,6.0083,3.8702,650.4552,2.6907,12.337,0.9802,36.9
3.56,0.0688,98.085,70.6415,117.5546,71.8912,5.8031,4.2263,614.304,2.4325,12.4862,0.9792,36.9
3.62,0.063,95.0589,72.1369,115.6284,74.4857,5.9809,3.7533,663.5416,2.605,12.4746,0.9799,36.9
3.66,0.0653,96.8689,71.9039,113.396,74.5186,5.7003,3.9362,654.2401,2.4809,12.358,0.9787,36.9
3.72,0.0646,94.4846,73.4882,115.4168,75.6907,5.6472,3.904,695.0156,2.5918,12.4183,0.9803,36.9
3.76,0.0705,95.1665,73.0684,112.4971,74.5617,5.9265,4.0739,598.72,2.7855,12.2721,0.9806,36.9
3.82,0.0636,95.5745,71.5165,113.4187,75.3916,5.4784,3.8833,648.7507,2.8592,12.4271,0.9783,36.9
3.86,0.0637,94.6493,71.427,116.4121,73.8617,6.0623,3.8693,610.2339,2.4803,12.2957,0.9794,36.9
3.92,0.0664,95.8315,74.0117,116.5973,72.4202,5.6422,4.0069,638.2602,2.8231,12.2976,0.979,36.9
3.96,0.0677,97.8004,71.5398,112.3956,75.1614,5.4113,3.8226,594.2231,2.5881,12.3712,0.9803,36.9
4.02,0.0627,96.4393,70.9758,115.2053,75.8994,5.9404,3.6069,678.1453,2.5099,12.1738,0.9794,36.9
4.06,0.066,97.5159,73.2514,119.1343,76.4252,5.8339,3.882,608.2795,2.4221,12.2424,0.9786,36.9
4.12,0.067,97.7762,72.6874,117.2983,75.6941,6.1163,4.0309,594.9572,2.7829,12.6192,0.9795,36.9
4.16,0.0636,94.4777,75.6463,117.1498,74.1996,6.0606,3.9659,562.314,2.7466,12.5009,0.98,36.9
4.22,0.06,96.7906,72.8131,111.9556,72.4584,5.659,3.9175,615.9128,2.5422,12.5636,0.9797,36.9
4.26,0.0588,97.2617,72.4441,112.202,74.5996,6.1161,4.1119,641.0338,2.5634,12.1644,0.98,36.9
4.32,0.0616,93.6172,77.0412,116.4225,75.8232,5.79,4.0078,623.3571,2.5466,12.1939,0.979,36.9
4.36,0.0655,98.2194,75.2238,111.3213,73.837,5.9127,3.7004,631.9343,2.6832,12.3533,0.9786,36.9
4.42,0.0703,95.1123,72.1983,117.7003,74.279,5.8944,3.8923,625.9589,2.3724,12.2742,0.9792,36.9
4.46,0.0697,94.6797,74.1079,115.3447,73.4465,5.9406,3.4086,631.1647,2.4144,12.4228,0.9799,36.9
4.52,0.0695,97.7262,70.7333,114.7493,74.261,5.8926,4.0253,650.8592,2.7686,12.1688,0.9792,36.9
4.56,0.0696,95.7801,67.1878,117.2567,73.4274,5.6531,3.7389,618.4547,2.4983,12.1706,0.977,36.9
4.62,0.0695,94.1695,69.5317,118.7513,74.0924,5.6043,3.907,636.0208,2.7231,12.1624,0.9787,36.9
4.66,0.0598,93.9538,69.3496,117.8188,74.0106,5.8135,3.7888,676.6655,2.3987,12.2744,0.979,36.9
4.72,0.0666,95.6295,72.6836,119.7481,73.1829,5.752,3.9259,636.754,2.5647,12.0505,0.9789,36.9
4.76,0.0644,94.7899,70.722,114.4309,73.9153,6.04,3.7347,643.8335,2.6095,12.6443,0.979,36.9
4.82,0.063,94.6248,76.5742,115.0964,75.5384,5.8168,3.7798,610.178,2.639,12.3135,0.979,36.9
4.86,0.0634,98.1534,72.2575,114.9209,74.5078,5.6396,3.9031,615.6168,2.4416,12.6977,0.9792,36.9
4.92,0.0654,95.851,72.1774,114.1231,73.5173,6.0028,4.2581,635.4176,2.4076,12.4747,0.979,36.9
4.96,0.0654,95.4188,74.8767,113.618,75.56,5.6053,4.0407,612.3624,2.4323,12.3045,0.979,36.9
5.02,0.0669,96.7439,71.4329,112.5136,75.0716,6.0807,3.5555,643.1482,2.4441,12.6256,0.9779,36.9
5.06,0.0664,94.3887,74.643,114.5747,72.9229,5.8361,3.8957,644.2851,2.7457,12.4941,0.9806,36.9
5.12,0.0659,96.2539,70.2669,119.9194,74.8687,6.0749,4.0973,613.6075,2.6171,12.4111,0.9798,36.9
5.16,0.0635,95.0575,67.8563,112.5599,72.9516,5.7488,4.2247,646.4826,2.6081,12.3054,0.9782,36.9
5.22,0.0638,95.0052,73.6588,111.1692,73.8481,5.814,3.9762,618.0131,2.5261,12.1788,0.9783,36.9
5.26,0.0654,95.4365,72.6708,111.6165,74.3651,5.5497,3.9181,654.276,2.3997,12.4,0.9798,36.9
5.32,0.0656,97.7126,68.1543,115.3612,75.1274,5.9212,3.971,590.6709,2.7292,12.5117,0.9797,36.9
5.36,0.0635,94.1189,71.6288,112.7611,74.0343,5.866,3.7737,605.3657,2.7589,12.1903,0.98,36.9
