Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0798,94.3852,73.5184,110.9957,78.0202,5.5377,3.9212,530.3602,2.6897,15.4441,0.9787,36.9
0.12,0.0653,95.8548,73.9333,117.5528,73.8957,5.6841,4.0541,468.0334,2.7227,16.3787,0.9773,36.9
0.16,0.0672,94.0527,66.9204,114.2475,75.8682,6.1731,3.82,555.6321,2.7914,15.7546,0.9785,36.9
0.22,0.0638,96.9271,78.3036,115.6152,74.0747,5.9613,3.8502,475.8761,2.9066,16.3226,0.9765,36.9
0.26,0.0769,94.322,73.0696,111.4843,75.2816,5.8414,4.0728,456.734,2.8125,16.0315,0.9785,36.9
0.32,0.0611,97.8482,76.1898,120.2173,75.2176,5.5822,3.8944,488.2427,2.9061,15.9782,0.9813,36.9
0.36,0.0611,95.7,72.1594,114.6046,73.9756,6.2335,4.3957,536.7149,2.6077,15.6186,0.979,36.9
0.42,0.0576,94.7107,72.6957,112.7875,76.1618,5.6103,4.0666,478.9706,2.9617,15.8157,0.9806,36.9
0.46,0.0662,96.029,71.7141,117.2229,78.2753,5.8847,4.0237,463.8554,2.9371,15.9561,0.981,36.9
0.52,0.0852,96.1455,76.1844,115.0578,75.3389,5.76,3.466,495.017,2.8686,15.761,0.9781,36.9
0.56,0.0702,94.5806,79.8512,115.3523,75.9523,5.4253,4.2923,540.4868,3.138,15.9596,0.9793,36.9
0.62,0.0646,98.6419,69.228,116.2037,74.4401,5.3053,3.7047,487.0266,3.1143,15.4418,0.9821,36.9
0.66,0.0688,96.1838,70.3293,117.834,77.5064,6.0624,3.494,604.5243,3.0197,15.6944,0.9814,36.9
0.72,0.0712,96.3,71.5611,113.3954,75.4819,5.507,4.1745,549.5696,2.9069,14.6206,0.9811,36.9
0.76,0.0668,93.5941,71.4261,114.9955,75.7604,5.9922,3.4297,504.8378,3.0366,16.6388,0.9773,36.9
0.82,0.071,94.3967,75.0747,115.1901,73.344,5.6627,4.0763,579.648,2.9118,15.7434,0.9827,36.9
0.86,0.0646,96.4049,75.7641,116.8043,74.1747,5.5014,3.9022,649.4105,2.5353,16.5662,0.9771,36.9
0.92,0.0651,97.2917,72.475,120.6023,76.2568,5.4566,4.1735,548.1979,3.0344,16.017,0.9777,36.9
0.96,0.0621,97.3954,71.9421,115.8102,76.4126,5.7973,3.5775,570.968,3.1097,15.4255,0.9804,36.9
1.02,0.0665,98.6316,72.2451,110.4535,77.1257,5.5284,4.5786,571.562,3.1904,16.4887,0.9764,36.9
1.06,0.0613,95.8052,77.2906,113.7726,77.5161,5.5611,4.0843,510.3789,3.3544,15.2754,0.9793,36.9
1.12,0.0706,94.5844,74.1554,112.8582,73.4998,5.8749,4.0545,502.1554,2.8316,15.1789,0.9776,36.9
1.16,0.0615,100.5223,69.3383,117.1873,74.7355,5.7126,3.9414,574.654,3.1939,15.7126,0.9792,36.9
1.22,0.0618,94.3499,69.0395,115.1473,76.1412,5.7257,3.496,514.4742,2.9232,15.9158,0.9786,36.9
1.26,0.0714,97.5272,70.7635,115.5902,75.505,5.6411,4.186,599.9204,3.2797,16.4885,0.9799,36.9
1.32,0.0651,97.0755,66.3638,112.7107,75.7676,5.8972,3.7788,424.2871,3.2519,15.6525,0.9801,36.9
1.36,0.0664,97.0787,69.3613,113.3235,76.3238,5.8302,3.7963,441.7209,2.6651,16.6484,0.9796,36.9
1.42,0.0678,95.4893,70.9449,113.8468,72.8907,5.9296,3.6966,483.8819,2.7802,15.9965,0.9789,36.9
1.46,0.0773,92.4061,77.7348,116.713,72.652,5.4087,3.8796,534.294,3.1048,14.7545,0.9802,36.9
1.52,0.0608,94.8334,72.8492,113.6117,77.0113,5.8816,3.6996,404.6256,2.8201,16.0965,0.9795,36.9
1.56,0.0703,98.3451,68.5794,117.6032,74.9271,5.8124,3.8407,513.8719,2.8596,14.9988,0.9797,36.9
1.62,0.0639,92.2713,76.055,112.3384,75.536,5.8933,4.2002,383.8019,2.6686,15.832,0.979,36.9
1.66,0.0684,94.0329,68.1979,113.3995,73.39,6.2848,3.716,410.2138,2.8734,15.8267,0.9795,36.9
1.72,0.081,93.907,73.2858,110.3091,72.0974,5.9559,3.9619,462.9853,2.7812,15.1728,0.978,36.9
1.76,0.0661,95.9132,74.7434,111.3757,75.9604,6.3353,4.1426,438.6857,2.7233,15.3559,0.98,36.9
1.82,0.0658,94.2325,72.5035,113.7385,73.0854,5.7915,3.7612,519.5985,2.3182,16.5506,0.9795,36.9
1.86,0.0614,92.8967,74.4581,118.2962,75.6737,5.3468,3.7099,527.0468,2.5443,15.005,0.9814,36.9
1.92,0.0667,93.2621,70.0492,116.0644,74.4234,5.993,3.7236,530.4469,2.7807,16.1344,0.9779,36.9
1.96,0.0636,96.6339,69.6797,116.0537,75.8616,5.7693,3.8292,577.7311,2.7441,16.407,0.983,36.9
2.02,0.0693,98.3678,70.6364,111.542,75.0258,5.9539,4.4712,507.8574,2.4722,15.8905,0.9802,36.9
2.06,0.0669,91.5054,72.1444,119.0957,75.0218,5.8053,4.0227,574.8881,2.6478,15.917,0.9793,36.9
2.12,0.0687,92.5094,78.4821,113.9999,71.5453,6.1662,4.2646,530.9544,2.4935,16.1705,0.9792,36.9
2.16,0.0671,94.2199,75.4318,110.5009,79.7065,5.5015,3.4944,484.8354,2.5174,15.8394,0.9803,36.9
2.22,0.064,94.6902,69.6556,117.9671,77.0261,5.5849,3.711,420.0745,2.6377,15.4187,0.9784,36.9
2.26,0.0656,93.8717,70.0286,115.0242,73.3049,5.9117,4.0187,598.0432,2.7457,16.3499,0.9772,36.9
2.32,0.0692,92.646,76.3174,114.9323,71.1076,5.3434,3.7878,481.445,2.6032,15.9272,0.9734,36.9
2.36,0.0529,92.1293,78.0691,117.2532,73.2008,5.5673,4.3967,474.5044,2.5658,16.0048,0.9804,36.9
