Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0418,94.9836,110.0899,115.3169,73.9774,8.8643,3.795,415.7057,3.0253,18.5403,0.9798,36.9
0.12,0.0411,95.3636,110.4995,117.9902,75.1746,8.6655,3.8262,450.2273,3.0106,19.1441,0.9785,36.9
0.16,0.0401,95.823,110.1354,115.2817,74.5788,8.5847,3.8672,456.3449,2.9569,19.1233,0.9795,36.9
0.22,0.0437,93.8719,105.8287,113.3183,74.2263,8.9414,3.9995,484.0191,3.0432,18.9828,0.9794,36.9
0.26,0.0403,95.7727,109.9736,115.8304,73.8525,8.8222,3.8739,454.3144,3.0861,19.1077,0.98,36.9
0.32,0.0378,94.935,108.1994,114.7298,73.2796,8.8299,3.9918,459.144,3.051,18.9962,0.9802,36.9
0.36,0.0414,95.6755,110.0717,113.4102,73.2024,8.6434,3.9849,382.1357,3.0526,19.0642,0.9811,36.9
0.42,0.0423,96.17,111.9073,114.1236,74.9898,8.6489,3.8571,438.2787,3.007,19.186,0.9792,36.9
0.46,0.0401,95.5331,107.1335,116.681,73.1777,8.6095,3.9506,412.2396,2.8408,19.1411,0.9789,36.9
0.52,0.0382,97.834,107.2453,115.4546,74.6145,8.694,3.8976,416.5634,2.8467,19.3776,0.9795,36.9
0.56,0.0398,94.3501,108.9232,114.5123,74.549,8.8772,3.7991,430.6897,2.7084,18.9949,0.9809,36.9
0.62,0.0396,95.3874,110.2028,114.2111,73.4197,8.6904,3.7948,433.9747,2.7727,19.0374,0.9802,36.9
0.66,0.0391,94.8291,109.5572,116.8583,74.0756,8.5497,3.7943,445.0102,2.7092,19.0835,0.9796,36.9
0.72,0.0404,96.6407,107.4778,112.758,74.5639,8.804,3.9248,416.3347,2.6839,19.5403,0.9799,36.9
0.76,0.04,96.4804,110.347,115.8105,73.6598,8.6761,3.9735,458.599,2.7991,19.0278,0.9804,36.9
0.82,0.0405,95.8929,110.0552,116.5144,73.3032,8.8353,3.9394,449.0449,2.7219,18.8608,0.9808,36.9
0.86,0.0407,94.1462,107.6567,113.6736,74.2514,8.8693,3.9277,423.011,2.6337,19.053,0.9794,36.9
0.92,0.0391,93.8034,108.9314,113.5633,74.4126,8.9429,3.7944,459.1107,2.6588,19.1955,0.9797,36.9
0.96,0.0398,96.182,109.9568,112.5016,73.9223,8.9096,3.7958,415.036,2.5823,19.2572,0.9798,36.9
1.02,0.042,95.6855,108.915,114.2122,74.4925,8.9648,3.9418,431.1821,2.6427,19.0685,0.9795,36.9
1.06,0.0386,96.9492,107.7937,116.9484,75.2871,8.491,3.8705,437.8735,2.7408,19.1983,0.9807,36.9
1.12,0.0414,94.9813,106.1029,115.1102,74.6982,8.7635,3.9628,458.3846,2.6427,19.2186,0.9795,36.9
