Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0697,94.6581,73.4059,112.6731,73.8157,5.7315,3.9182,415.6892,2.396,16.0754,0.9807,36.8
0.12,0.0715,94.0312,70.2595,111.8776,74.9853,5.713,3.7908,452.699,2.3862,16.063,0.9808,36.8
0.16,0.0691,94.57,70.1363,113.6887,73.9705,5.6168,3.9,420.2056,2.5016,16.1337,0.9808,36.8
0.22,0.071,96.3332,71.5197,112.119,72.6773,5.6283,3.8166,429.8847,2.6209,16.3096,0.9812,36.8
0.26,0.0718,94.7319,71.0628,113.3086,72.8998,5.6968,3.8503,423.6295,2.4635,16.1355,0.9815,36.8
0.32,0.0738,94.9075,71.2819,110.131,73.2729,5.684,3.8497,434.5914,2.5246,15.9845,0.9812,36.8
0.36,0.0688,94.8849,69.0105,111.5452,73.3183,5.6307,3.8042,445.3441,2.5454,16.0215,0.9802,36.8
0.42,0.0678,94.2678,70.6946,112.9986,73.5536,5.6153,3.8053,415.4495,2.5371,16.0963,0.9803,36.8
0.46,0.0687,95.0326,74.3923,112.0963,73.6743,5.5505,3.998,430.677,2.4815,16.2759,0.9807,36.8
0.52,0.0705,94.3462,71.1189,114.3624,74.1452,5.5691,3.8875,459.4189,2.5631,15.8281,0.981,36.8
0.56,0.0677,94.5512,73.6846,112.7062,73.8006,5.6332,3.8283,411.318,2.6464,16.2572,0.9807,36.8
0.62,0.07,97.042,73.7514,113.3449,74.342,5.7164,3.9562,436.1028,2.6779,16.2234,0.9806,36.8
0.66,0.0716,94.1915,72.6874,113.6226,74.6657,5.5794,4.0031,405.819,2.6222,16.0118,0.9809,36.8
0.72,0.0688,95.4487,72.5315,112.3756,73.0019,5.7435,3.9907,427.0698,2.6797,16.2395,0.9815,36.8
0.76,0.0679,95.5054,70.4768,112.5687,74.593,5.6263,4.1025,406.4618,2.7333,16.0888,0.9815,36.8
0.82,0.0708,94.3659,70.516,114.509,74.0262,5.6109,3.7503,439.162,2.5806,16.146,0.9807,36.8
0.86,0.07,93.0645,73.3413,112.4528,73.9601,5.8016,3.9456,446.2911,2.7252,16.607,0.9809,36.8
0.92,0.0699,94.4182,73.7437,114.0598,74.3055,5.7688,3.6715,413.5903,2.4856,16.2058,0.9804,36.8
0.96,0.0712,96.6672,69.8257,112.8542,73.2041,5.6311,3.9569,436.7254,2.4887,16.1296,0.981,36.8
1.02,0.068,93.3898,71.7405,115.6767,74.0781,5.7639,3.6189,430.9646,2.4751,16.0333,0.9818,36.8
1.06,0.0688,93.8543,71.0322,113.1147,73.3007,5.6283,3.7303,414.6661,2.3676,16.1147,0.9802,36.8
1.12,0.0716,94.2755,70.0008,113.7148,74.9816,5.6735,3.7885,427.2375,2.4127,16.3533,0.9806,36.8
1.16,0.0686,94.4398,71.9796,113.6791,74.5983,5.6672,3.766,410.3803,2.4571,16.2978,0.9801,36.8
1.22,0.0686,94.4315,73.1719,112.5416,73.6103,5.717,4.1005,423.9988,2.3701,16.1654,0.9806,36.8
1.26,0.0679,97.0973,72.8398,112.2414,74.3544,5.7343,4.0064,426.864,2.2833,16.3328,0.9814,36.8
1.32,0.0705,93.9119,74.0395,110.1203,74.3535,5.5467,4.0911,445.2064,2.3067,16.203,0.9816,36.8
1.36,0.0691,95.316,70.1981,111.6324,74.0039,5.7177,3.8942,455.7639,2.232,16.0445,0.9802,36.8
1.42,0.0703,94.511,71.4088,112.93,75.036,5.6356,3.8618,397.8021,2.2509,16.2068,0.9817,36.8
1.46,0.0689,95.3468,72.0651,114.3601,73.2441,5.7945,3.9526,438.2482,2.3131,16.0376,0.9817,36.8
1.52,0.0694,96.0368,73.573,112.8077,73.445,5.7331,4.121,408.415,2.2154,16.0377,0.9799,36.8
1.56,0.071,94.5623,72.7245,115.0132,73.2351,5.7397,3.9932,421.2599,2.2791,16.2823,0.9817,36.8
1.62,0.0694,94.6387,73.9975,116.9301,75.5062,5.6497,3.9627,409.3447,2.2476,15.9402,0.9814,36.8
1.66,0.0719,94.8895,72.7766,113.5759,73.407,5.6404,3.7685,436.8663,2.2162,16.4039,0.9808,36.8
1.72,0.0661,93.5459,72.9938,112.058,72.8788,5.8275,3.8998,445.903,2.2532,16.0591,0.9813,36.8
1.76,0.0718,95.0184,71.0755,114.7449,72.6716,5.6234,3.805,420.4844,2.272,16.0997,0.9814,36.8
1.82,0.069,95.9629,73.1195,112.3628,73.1747,5.6714,3.8059,431.9802,2.2252,16.1883,0.9817,36.8
1.86,0.0731,96.3558,71.8139,112.9502,73.104,5.8023,3.7777,435.4069,2.2984,16.3099,0.9801,36.8
1.92,0.068,94.0025,74.0814,112.3824,74.0601,5.6469,3.8175,414.4097,2.1659,16.1068,0.9814,36.8
1.96,0.071,94.7333,71.2976,114.2006,74.9079,5.6765,3.7793,441.9492,2.2369,15.9959,0.9813,36.8
2.02,0.0696,95.603,72.0948,114.3126,73.152,5.7592,3.8593,410.2354,2.1516,16.0348,0.9814,36.8
2.06,0.0699,94.4469,71.6344,112.5567,73.4385,5.9156,3.9652,423.3745,2.2575,15.966,0.9796,36.8
2.12,0.0669,94.4132,70.5379,113.6593,73.6206,5.6763,3.7955,446.2711,2.2138,15.8981,0.9811,36.8
2.16,0.0677,96.2695,70.9363,114.1362,73.9537,5.5635,3.8123,445.287,2.2908,16.0814,0.9803,36.8
2.22,0.069,95.0412,72.2196,112.7482,73.8626,5.7373,3.7441,446.7883,2.3035,16.0257,0.9805,36.8
2.26,0.0722,94.8562,73.4457,111.9905,74.1206,5.5921,3.9735,430.2531,2.2,16.2751,0.981,36.8
2.32,0.0679,93.3449,73.6952,113.2037,73.9459,5.6733,3.9434,452.476,2.2599,16.0914,0.9816,36.8
2.36,0.0732,95.5198,73.6416,115.8973,73.5084,5.5596,4.0279,411.5422,2.1814,16.111,0.9819,36.8
2.42,0.0701,94.1368,71.7044,113.1379,73.7153,5.6136,3.9822,401.0397,2.2738,16.1542,0.9819,36.8
2.46,0.0704,94.2399,73.3647,113.5978,74.7118,5.6535,3.8209,426.702,2.2733,15.9729,0.9813,36.8
2.52,0.0676,96.3129,73.5635,113.7074,74.5556,5.7734,3.9443,448.4527,2.2002,16.4164,0.9814,36.8
2.56,0.0685,95.0976,73.4028,112.5243,72.9138,5.7091,3.8999,431.1723,2.2213,16.1579,0.9811,36.8
2.62,0.0707,95.2497,72.3995,112.8725,74.6657,5.7935,3.7497,422.2259,2.2888,16.0285,0.981,36.8
2.66,0.0703,95.2431,72.7619,113.9459,74.1917,5.6998,3.8212,459.6438,2.2006,16.2983,0.9815,36.8
2.72,0.0699,95.1918,73.4118,110.3831,73.0069,5.5162,3.8975,436.6608,2.2901,16.0922,0.9807,36.8
2.76,0.0735,94.111,72.6652,110.8073,74.9223,5.8345,3.7655,458.997,2.1921,16.0976,0.9817,36.8
2.82,0.0715,95.0502,70.9637,112.1192,73.7227,5.6338,3.9703,425.0826,2.2519,16.137,0.9803,36.8
2.86,0.0675,94.5832,71.9631,112.4779,73.9199,5.725,4.0597,444.2973,2.2801,16.0825,0.9819,36.8
2.92,0.0692,95.037,72.5461,111.2698,74.683,5.5373,3.8352,416.7573,2.2079,16.1772,0.9818,36.8
2.96,0.0704,94.9884,71.4679,115.136,74.1492,5.5686,4.0055,435.0465,2.2452,16.0311,0.9796,36.8
3.02,0.0698,96.2008,72.3995,113.6589,73.1117,5.6156,3.7546,433.4027,2.1596,16.1909,0.9813,36.8
3.06,0.0693,95.3748,72.49,109.8288,74.5663,5.806,4.0245,439.2073,2.2006,16.1605,0.981,36.8
3.12,0.069,94.7585,71.7562,113.3954,74.695,5.6275,3.975,435.0731,2.1692,16.2972,0.9801,36.8
3.16,0.07,94.3569,70.4591,112.6307,72.8939,5.7642,3.8226,422.0396,2.1606,16.2048,0.9803,36.8
3.22,0.0701,94.9806,72.5555,113.6993,73.3235,5.8338,3.7943,430.2217,2.3525,16.1263,0.9814,36.8
3.26,0.0668,93.1721,69.9953,113.1504,73.4582,5.7236,3.9756,423.5433,2.249,15.9883,0.9817,36.8
3.32,0.0682,96.81,71.3123,111.7896,74.9725,5.6903,4.0339,420.8431,2.2152,16.0016,0.9803,36.8
