Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0636,96.465,71.0414,115.9185,73.3381,5.2521,4.1403,490.0369,2.6885,16.548,0.9788,36.9
0.12,0.0749,98.1141,72.0839,116.7783,74.6439,5.8279,4.1284,530.4574,2.5824,16.038,0.9779,36.9
0.16,0.0607,95.3792,73.1277,114.4575,74.3456,5.9232,3.9155,541.756,2.6908,15.9541,0.9807,36.9
0.22,0.0637,94.1131,69.2081,116.4039,75.3663,5.7633,3.9737,518.5415,2.7305,16.0383,0.9801,36.9
0.26,0.0681,93.5992,72.7084,115.2197,77.2036,5.6553,4.0098,549.7269,2.9421,16.0082,0.9794,36.9
0.32,0.0658,96.0146,70.0445,115.6135,74.666,5.7901,3.9552,496.8772,2.8385,16.0582,0.9803,36.9
0.36,0.0699,95.8635,70.9197,112.4911,73.2995,6.0422,3.9478,473.8922,2.7961,15.678,0.98,36.9
0.42,0.0656,93.5293,73.4865,113.3355,73.3115,5.6735,4.2539,505.3951,2.6298,15.8512,0.9814,36.9
0.46,0.0711,93.2551,70.8962,116.1666,75.8512,5.7917,3.7406,495.4312,2.7427,16.4873,0.9788,36.9
0.52,0.0638,95.1457,71.8995,116.4105,76.4435,5.8866,4.041,463.521,2.6392,16.3456,0.9781,36.9
0.56,0.071,94.6106,72.748,113.0404,73.5001,5.9582,3.9834,518.4996,2.7708,16.4307,0.9766,36.9
0.62,0.0717,96.4943,71.3117,116.11,76.1868,5.7109,3.9261,530.8339,2.8965,15.2919,0.9788,36.9
0.66,0.0778,95.7741,67.3653,114.9183,74.0399,5.8052,3.8417,527.3728,3.0761,15.8049,0.9778,36.9
0.72,0.0665,94.797,73.6118,117.8197,76.2836,5.7491,4.2281,511.1169,3.0385,16.2723,0.979,36.9
0.76,0.0696,96.1701,74.4245,117.888,74.1349,5.7065,3.9274,470.8249,2.9096,16.5458,0.9789,36.9
0.82,0.0624,96.1289,69.8178,119.0381,74.6658,5.6959,3.7087,483.8042,3.1001,16.0698,0.9794,36.9
0.86,0.0609,95.8557,74.4389,117.0947,76.332,5.7565,4.1399,501.7485,3.1915,16.1123,0.9784,36.9
0.92,0.0675,94.8632,70.2317,116.563,72.6479,5.4884,3.7984,504.2878,3.1263,15.7409,0.9806,36.9
0.96,0.0667,95.0165,71.6045,120.0269,74.6233,5.9001,3.9633,556.838,2.9424,16.2884,0.9791,36.9
1.02,0.0589,95.7037,75.1928,115.4738,72.8596,5.6893,3.9462,492.3167,3.0863,15.5386,0.9784,36.9
1.06,0.0591,95.3718,71.867,112.5063,74.3266,5.6309,4.5079,457.1057,3.2771,15.3575,0.9779,36.9
1.12,0.0684,97.9583,71.1578,115.8592,73.7076,5.8825,3.9409,522.6696,3.1509,15.623,0.9799,36.9
1.16,0.0626,98.923,67.5356,122.4735,73.0166,5.7338,3.7419,521.8088,3.2844,15.7962,0.9788,36.9
1.22,0.0737,96.9943,70.9351,120.0194,73.7457,5.7904,4.0024,470.6831,3.2146,16.4533,0.9789,36.9
1.26,0.0648,94.8721,71.2903,110.4213,72.0034,5.7186,4.1737,524.972,2.9753,16.5244,0.9796,36.9
1.32,0.0651,96.2368,72.1151,112.0474,74.1701,6.1622,3.4942,513.4462,2.9792,16.2284,0.978,36.9
1.36,0.0644,92.9497,71.0066,113.3947,75.2799,5.9702,3.8441,497.2543,3.0818,16.1304,0.9774,36.9
1.42,0.0622,95.2209,74.4481,112.2704,74.2281,5.6018,3.623,425.7413,3.0587,16.2453,0.9804,36.9
1.46,0.0753,94.4024,71.8507,115.8406,76.2365,5.848,3.783,598.4016,3.1967,16.2106,0.9792,36.9
1.52,0.0676,96.8712,74.7928,114.6474,73.8846,5.6416,3.8914,563.5124,2.8707,15.6793,0.9795,36.9
1.56,0.068,96.2697,74.3696,113.9827,75.3853,5.7366,3.9655,540.5379,2.6731,16.0661,0.9805,36.9
1.62,0.0658,96.9038,71.9219,121.3856,75.6985,5.7271,3.6961,506.4421,2.8142,16.1696,0.9772,36.9
1.66,0.0715,98.0929,75.3895,115.7072,75.5669,6.0084,4.032,551.8185,2.8563,15.4871,0.9795,36.9
1.72,0.0598,96.8187,71.6937,115.3444,75.3934,5.8159,3.8727,518.0025,2.6943,15.9334,0.9788,36.9
1.76,0.0658,97.5853,71.2974,115.0048,76.1487,5.9227,4.1841,520.7206,2.8799,16.13,0.9792,36.9
1.82,0.0643,95.7444,72.7747,112.7975,74.5889,5.6231,4.0445,490.4863,2.8088,16.1952,0.979,36.9
1.86,0.0712,97.6437,71.7492,116.6231,75.6255,5.8297,3.8846,577.6818,2.6085,15.8187,0.9804,36.9
1.92,0.0624,95.2706,74.3782,109.6212,74.0881,5.825,4.1111,583.9558,2.8416,16.3306,0.9765,36.9
1.96,0.0606,96.3353,72.9132,120.9612,76.4816,6.0474,3.9369,502.0338,2.7683,15.6581,0.9802,36.9
2.02,0.0599,97.4874,72.8302,118.9426,74.8581,5.8553,4.0871,510.1331,2.7201,16.0035,0.9779,36.9
2.06,0.0561,98.9509,74.9763,113.4613,74.991,5.871,3.9771,574.1976,2.6677,16.482,0.9794,36.9
2.12,0.0637,94.8492,74.7625,117.892,72.4003,6.0708,4.0285,554.5345,2.6967,15.4556,0.9792,36.9
2.16,0.064,93.5746,65.8896,116.2747,71.995,6.0173,3.8632,482.772,2.7878,16.0241,0.9797,36.9
2.22,0.0653,97.4506,71.2746,114.5708,71.542,5.647,3.8638,526.8989,2.4915,15.417,0.9792,36.9
2.26,0.0669,97.3031,70.1853,113.0547,73.5859,5.9507,3.9411,502.8973,2.723,16.291,0.9796,36.9
2.32,0.0587,95.5673,72.3349,113.367,74.8873,5.472,4.0365,474.7059,2.6053,15.8734,0.9777,36.9
2.36,0.0639,95.732,76.3963,118.2636,75.3699,5.7026,3.8045,501.8286,2.4746,16.6964,0.9781,36.9
2.42,0.0648,98.8656,73.6962,115.4407,72.5352,5.8085,4.083,462.199,2.567,16.4074,0.9798,36.9
2.46,0.0652,96.5883,70.305,116.3854,75.4765,5.8254,3.6695,448.7152,2.6582,16.2432,0.9802,36.9
2.52,0.0695,96.9557,70.3443,114.4492,75.9931,5.6826,3.977,537.0127,2.5435,15.9789,0.9769,36.9
2.56,0.0687,95.5566,71.0056,113.7771,75.5129,5.6949,3.9541,552.6102,2.5992,15.7728,0.9797,36.9
2.62,0.0699,96.4429,73.1768,109.2536,76.7713,6.3396,3.9093,450.3837,2.7502,16.0538,0.9783,36.9
2.66,0.0625,94.6032,74.543,112.0484,74.1673,5.9383,3.6706,483.0584,2.5005,16.1339,0.9803,36.9
2.72,0.0627,95.3813,74.8241,113.3997,73.5107,5.4581,4.0618,528.2055,2.5207,15.9579,0.977,36.9
2.76,0.0707,96.4633,72.3956,115.1347,75.2542,5.8914,3.832,479.7724,2.6194,15.8007,0.9779,36.9
2.82,0.0681,94.4983,72.4382,121.7348,73.1585,5.6577,4.0998,550.0061,2.7005,15.8623,0.9784,36.9
2.86,0.0638,97.4102,75.2237,115.4734,74.8103,5.9473,3.9163,523.0171,2.243,16.1212,0.9806,36.9
2.92,0.0596,98.9091,71.6832,116.101,74.9051,5.598,3.9379,508.4265,2.666,16.1055,0.9779,36.9
2.96,0.0694,94.3574,78.2036,113.7114,75.6171,6.0396,3.8475,613.4786,2.4717,15.5871,0.9777,36.9
3.02,0.0605,95.9807,73.2941,114.2064,76.0111,5.5236,3.8075,453.7904,2.5468,15.6338,0.9796,36.9
3.06,0.0614,96.2483,73.4493,115.0775,75.2321,5.5654,4.0112,511.1853,2.2533,15.8149,0.9782,36.9
3.12,0.0676,93.9809,67.7565,115.5087,74.4563,6.1156,3.919,555.3903,2.6091,15.735,0.9793,36.9
3.16,0.0716,97.9568,70.9881,114.852,76.1816,5.8815,4.0272,581.7736,2.7898,15.9013,0.9768,36.9
3.22,0.0639,97.8196,72.1074,114.0836,74.579,5.9309,4.0411,477.7538,2.7409,15.9289,0.9814,36.9
3.26,0.0658,97.637,68.8636,113.162,73.9885,5.6533,3.9201,548.948,2.6867,16.3661,0.9798,36.9
3.32,0.0677,95.7965,72.2289,114.569,75.6022,5.8637,3.8431,520.0187,2.7425,15.8209,0.9784,36.9
