Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0693,94.4276,71.6654,113.0,73.17,5.6583,3.8825,433.5346,2.28,16.2119,0.981,36.8
0.12,0.0692,94.3259,71.8131,113.0,73.2076,5.6837,3.8272,430.6365,2.1931,16.2154,0.981,36.8
0.16,0.0693,94.5072,72.1056,113.0,73.2795,5.6773,3.9755,433.067,2.0237,16.1959,0.981,36.8
0.22,0.0692,94.4653,72.0018,113.0,73.1983,5.6969,3.9484,430.7966,2.4299,16.2658,0.981,36.8
0.26,0.0693,94.4318,72.0507,113.0,73.2098,5.6882,3.9559,430.2528,2.3351,16.2264,0.981,36.8
0.32,0.0693,94.4087,72.1781,113.0,73.2128,5.7047,3.905,431.4669,2.1475,16.2047,0.981,36.8
0.36,0.0693,94.4196,72.3306,113.0,73.2139,5.6664,3.9507,429.7139,2.2012,16.2376,0.981,36.8
0.42,0.0693,94.378,71.7536,113.0,73.1511,5.6903,3.9196,426.683,2.594,16.2651,0.981,36.8
0.46,0.0691,94.4938,71.8488,113.0,73.1703,5.6733,3.9367,428.9772,2.2954,16.2351,0.981,36.8
0.52,0.0694,94.4435,71.974,113.0,73.1847,5.7215,3.9197,428.8075,2.3972,16.2214,0.981,36.8
0.56,0.0694,94.2386,72.5331,113.0,73.2028,5.6681,3.9067,429.333,2.4581,16.2455,0.981,36.8
0.62,0.069,94.4225,72.3217,113.0,73.1992,5.6788,3.8588,430.5507,2.1941,16.1951,0.981,36.8
0.66,0.0693,94.4445,72.0728,113.0,73.2628,5.6781,3.8184,431.7537,2.191,16.189,0.981,36.8
0.72,0.0694,94.4914,71.9696,113.0,73.1522,5.7095,3.8762,430.3923,2.1415,16.236,0.981,36.8
0.76,0.0692,94.4502,72.0919,113.0,73.2479,5.6727,3.8873,431.16,2.4081,16.2793,0.981,36.8
0.82,0.0691,94.5035,72.3241,113.0,73.2577,5.6722,3.9266,429.2071,2.0418,16.2463,0.981,36.8
0.86,0.0692,94.3342,72.1757,113.0,73.2098,5.7334,3.9288,430.1048,2.3185,16.2632,0.981,36.8
0.92,0.0694,94.1864,71.8796,113.0,73.1434,5.6812,3.8735,428.9576,2.3317,16.2399,0.981,36.8
0.96,0.0693,94.4012,71.7192,113.0,73.2265,5.68,3.8649,430.8206,1.6384,16.2789,0.981,36.8
1.02,0.0693,94.3343,72.1248,113.0,73.1617,5.6877,3.983,432.4785,2.4184,16.2042,0.981,36.8
1.06,0.0692,94.4969,71.7505,113.0,73.1816,5.6849,4.0009,429.056,2.1178,16.1629,0.981,36.8
1.12,0.0692,94.3305,72.3224,113.0,73.1911,5.7053,3.9719,430.5825,2.0246,16.2161,0.981,36.8
1.16,0.0692,94.4015,72.1363,113.0,73.303,5.6783,4.0308,431.1496,2.0468,16.2081,0.981,36.8
1.22,0.0694,94.4071,71.8959,113.0,73.1587,5.695,3.9412,428.092,1.9477,16.2166,0.981,36.8
1.26,0.0692,94.4133,71.7887,113.0,73.2291,5.6736,3.9761,433.0652,2.0094,16.2097,0.981,36.8
1.32,0.0693,94.5058,71.993,113.0,73.1757,5.7342,3.9741,430.6931,1.7302,16.1809,0.981,36.8
1.36,0.0693,94.2908,71.7807,113.0,73.1795,5.7047,3.907,430.2546,1.9639,16.2501,0.981,36.8
1.42,0.0696,94.3236,71.8602,113.0,73.1931,5.6976,3.9503,428.6694,1.8975,16.275,0.981,36.8
1.46,0.0692,94.3627,71.878,113.0,73.2157,5.6706,3.8613,427.2106,1.9409,16.1956,0.981,36.8
1.52,0.0693,94.3855,72.3875,113.0,73.1533,5.6651,3.7243,428.8147,2.1564,16.1562,0.981,36.8
1.56,0.0691,94.423,71.8328,113.0,73.2329,5.6939,3.847,431.2671,1.9684,16.1949,0.981,36.8
1.62,0.0692,94.3968,71.7606,113.0,73.1235,5.722,3.8293,431.4224,2.2893,16.2382,0.981,36.8
1.66,0.0692,94.4121,72.1999,113.0,73.2382,5.68,3.7822,430.4132,1.9765,16.2195,0.981,36.8
1.72,0.0692,94.4366,72.253,113.0,73.3324,5.7241,3.8904,433.2646,1.664,16.2511,0.981,36.8
1.76,0.0692,94.2704,72.4364,113.0,73.179,5.755,3.9013,430.7333,1.7753,16.2423,0.981,36.8
1.82,0.0694,94.338,72.4086,113.0,73.2937,5.7017,3.9201,428.313,2.0732,16.2094,0.981,36.8
1.86,0.0691,94.5217,73.0445,113.0,73.2917,5.7215,3.8467,428.8136,2.0625,16.2106,0.981,36.8
1.92,0.0692,94.3128,73.0443,113.0,73.3951,5.7224,3.9804,428.9333,2.2196,16.1866,0.981,36.8
1.96,0.069,94.5167,72.4749,113.0,73.307,5.7692,3.8763,429.331,2.0321,16.2224,0.981,36.8
2.02,0.0692,94.2594,72.5111,113.0,73.3283,5.7551,3.9792,431.0114,1.7977,16.191,0.981,36.8
2.06,0.0693,94.327,72.6312,113.0,73.2939,5.7129,4.0077,432.1452,1.9113,16.1783,0.981,36.8
2.12,0.0691,94.3519,72.4221,113.0,73.2579,5.707,3.9686,426.8197,2.0439,16.148,0.981,36.8
2.16,0.0692,94.3581,72.5884,113.0,73.3052,5.6869,3.9566,430.4128,2.0415,16.2095,0.981,36.8
2.22,0.0691,94.3503,72.8045,113.0,73.3038,5.6883,3.9182,431.1551,1.8968,16.2731,0.981,36.8
2.26,0.0693,94.3393,73.0877,113.0,73.2732,5.7069,3.9052,429.3693,1.9498,16.187,0.981,36.8
2.32,0.0694,94.3756,72.4258,113.0,73.2664,5.6722,3.8904,428.7077,1.783,16.2164,0.981,36.8
2.36,0.0692,94.3651,72.6103,113.0,73.2562,5.7261,3.7431,431.3007,2.0786,16.2345,0.981,36.8
2.42,0.0694,94.4011,72.5749,113.0,73.2733,5.7455,3.9184,428.5049,2.1857,16.1654,0.981,36.8
2.46,0.0692,94.322,72.5972,113.0,73.3025,5.6984,3.7834,429.9522,2.2004,16.2274,0.981,36.8
2.52,0.0692,94.3002,72.451,113.0,73.3,5.7173,3.8193,429.6624,1.9302,16.1861,0.981,36.8
2.56,0.0694,94.5088,72.7424,113.0,73.1785,5.7532,3.8482,428.7294,2.0495,16.1735,0.981,36.8
2.62,0.0693,94.3137,72.3827,113.0,73.1819,5.7431,3.9043,429.1228,2.025,16.2345,0.981,36.8
2.66,0.0692,94.3137,72.294,113.0,73.2066,5.7198,3.8333,433.0343,1.946,16.1894,0.981,36.8
2.72,0.0691,94.328,72.944,113.0,73.1891,5.7176,3.9345,428.5534,2.0373,16.2141,0.981,36.8
2.76,0.0692,94.5084,72.9226,113.0,73.1089,5.7372,3.8894,430.76,2.0648,16.2797,0.981,36.8
2.82,0.069,94.398,72.7191,113.0,73.1939,5.7027,4.1169,431.4577,1.9237,16.2139,0.981,36.8
2.86,0.0696,94.2623,72.5921,113.0,73.3189,5.7222,3.9053,431.3207,1.7538,16.2005,0.981,36.8
2.92,0.0692,94.4364,72.2975,113.0,73.2185,5.7406,3.9211,432.1182,1.8418,16.2173,0.981,36.8
2.96,0.0693,94.3129,72.8545,113.0,73.3182,5.7236,3.9732,432.2716,1.8412,16.2583,0.981,36.8
3.02,0.0693,94.3381,72.3303,113.0,73.1391,5.6975,3.8439,434.0909,1.9724,16.1556,0.981,36.8
3.06,0.0694,94.4948,72.5809,113.0,73.2186,5.7287,3.9042,432.9321,1.7367,16.1765,0.981,36.8
3.12,0.0693,94.3574,72.8108,113.0,73.2051,5.746,3.8957,430.8384,2.1364,16.2023,0.981,36.8
3.16,0.0693,94.3749,72.4978,113.0,73.2183,5.7455,3.8608,429.522,2.2122,16.0778,0.981,36.8
3.22,0.0695,94.3059,72.4503,113.0,73.097,5.7616,3.8736,431.3577,2.1609,16.1466,0.981,36.8
3.26,0.0692,94.3293,72.9379,113.0,73.1431,5.7151,3.8503,429.5184,2.089,16.1467,0.981,36.8
3.32,0.0693,94.2836,72.5665,113.0,73.157,5.707,3.8763,430.74,2.1191,16.0443,0.981,36.8
3.36,0.0693,94.4642,72.5824,113.0,73.1174,5.7471,3.8317,428.8795,2.0043,16.0644,0.981,36.8
3.42,0.0693,94.3814,72.49,113.0,73.2507,5.7188,3.8518,433.8167,2.1928,16.105,0.981,36.8
3.46,0.0693,94.3787,72.7245,113.0,73.1484,5.7468,3.9527,429.9076,2.0758,16.0954,0.981,36.8
3.52,0.0692,94.3997,72.9454,113.0,73.2229,5.7382,3.937,431.0679,1.8925,16.1336,0.981,36.8
3.56,0.0691,94.4548,72.4178,113.0,73.1795,5.7216,3.851,429.8307,1.946,16.1041,0.981,36.8
3.62,0.0693,94.4482,72.7153,113.0,73.1787,5.7496,4.0318,429.4612,2.4932,16.1722,0.981,36.8
3.66,0.0691,94.3112,72.6948,113.0,73.1983,5.7361,3.8727,430.0425,2.4334,16.1197,0.981,36.8
3.72,0.0693,94.3813,72.7427,113.0,73.1737,5.7179,3.9343,433.7619,2.0621,16.1403,0.981,36.8
3.76,0.0692,94.332,72.3652,113.0,73.2199,5.7398,3.9774,430.802,2.4644,16.2352,0.981,36.8
3.82,0.0694,94.3532,72.3466,113.0,73.2182,5.7193,4.0457,430.7974,2.246,16.1485,0.981,36.8
3.86,0.0693,94.3983,72.4399,113.0,73.1842,5.7213,4.0075,433.1166,2.2601,16.1103,0.981,36.8
3.92,0.0693,94.3767,72.0943,113.0,73.1708,5.7253,3.8838,431.2381,2.1786,16.1182,0.981,36.8
3.96,0.0692,94.2821,72.6136,113.0,73.1609,5.7242,3.9398,430.004,2.5259,16.1464,0.981,36.8
4.02,0.0694,94.5172,72.1447,113.0,73.1696,5.6966,3.9513,432.479,2.4445,16.0997,0.981,36.8
4.06,0.0694,94.4229,72.5092,113.0,73.2035,5.7409,3.8139,432.7172,2.6237,16.1303,0.981,36.8
4.12,0.0692,94.3242,72.3441,113.0,73.1705,5.7223,3.8653,428.2525,2.268,16.1225,0.981,36.8
4.16,0.0692,94.3292,72.3533,113.0,73.1776,5.7536,3.773,430.3647,2.2741,16.0928,0.981,36.8
4.22,0.0693,94.3402,72.3879,113.0,73.16,5.7149,3.8527,429.6676,2.1828,16.1407,0.981,36.8
4.26,0.0693,94.3943,72.8072,113.0,73.2338,5.7152,3.8696,430.8467,2.4909,16.1056,0.981,36.8
4.32,0.0695,94.3342,72.5676,113.0,73.2069,5.7307,3.856,429.4343,2.1584,16.1584,0.981,36.8
4.36,0.0691,94.4208,72.61,113.0,73.2391,5.7482,3.8919,431.8498,2.4919,16.1712,0.981,36.8
4.42,0.0693,94.3512,72.7275,113.0,73.1985,5.7193,3.9251,432.3655,2.1284,16.1771,0.981,36.8
4.46,0.0692,94.3224,72.3603,113.0,73.2842,5.7336,3.9423,429.7835,2.1441,16.1538,0.981,36.8
4.52,0.0692,94.4538,72.1196,113.0,73.1788,5.7318,3.9222,428.2179,1.828,16.1452,0.981,36.8
4.56,0.0692,94.2677,72.598,113.0,73.1384,5.7454,4.0691,431.6139,2.3516,16.1252,0.981,36.8
4.62,0.0692,94.3267,73.0697,113.0,73.1798,5.7232,4.0054,429.5073,1.836,16.1188,0.981,36.8
4.66,0.0692,94.3299,72.5538,113.0,73.1557,5.7099,4.017,431.4829,1.976,16.185,0.981,36.8
4.72,0.0691,94.348,72.5445,113.0,73.1499,5.7076,3.9687,428.4336,2.1001,16.1667,0.981,36.8
4.76,0.0692,94.4339,72.5873,113.0,73.1995,5.7503,3.8748,433.7397,1.9399,16.1516,0.981,36.8
4.82,0.0689,94.2701,72.7681,113.0,73.1309,5.7312,3.8129,433.7061,2.2104,16.1296,0.981,36.8
4.86,0.0692,94.4666,72.3036,113.0,73.1966,5.7163,3.9198,429.7315,1.9601,16.0453,0.981,36.8
4.92,0.0691,94.3361,72.2846,113.0,73.1596,5.7291,3.7837,432.1024,1.9806,16.1641,0.981,36.8
