Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0668,95.3883,71.8302,112.8042,74.6836,5.7592,3.9106,475.1289,2.5221,16.3181,0.979,36.9
0.12,0.0669,95.4288,71.962,113.2515,74.7121,5.7439,3.9028,475.1484,2.5724,16.2986,0.979,36.9
0.16,0.0669,95.4175,71.9893,113.0918,74.723,5.7505,3.8287,474.8229,2.693,16.3527,0.979,36.9
0.22,0.0667,95.4284,72.0476,112.7704,74.6631,5.7526,3.8508,475.6189,2.5228,16.3128,0.979,36.9
0.26,0.067,95.3767,71.9522,112.7985,74.7102,5.7479,3.9144,476.9681,2.5281,16.2618,0.979,36.9
0.32,0.0669,95.3884,71.9512,112.8966,74.7175,5.7419,3.8945,473.6185,2.429,16.2933,0.979,36.9
0.36,0.0669,95.3714,71.9415,113.0185,74.6877,5.761,3.9337,473.3223,2.6022,16.3095,0.979,36.9
0.42,0.0668,95.448,72.1025,112.8476,74.6746,5.7593,3.8849,474.9723,2.7016,16.3106,0.979,36.9
0.46,0.0669,95.3919,72.156,113.1135,74.7627,5.7528,3.9445,475.0128,2.6138,16.2688,0.979,36.9
0.52,0.0669,95.3845,72.0317,113.0034,74.7145,5.737,3.9892,474.1511,2.4581,16.2965,0.979,36.9
0.56,0.067,95.3925,71.9947,113.3394,74.7331,5.7584,3.9218,474.6328,2.681,16.2811,0.979,36.9
0.62,0.0669,95.4038,71.9955,112.9775,74.6742,5.7375,4.0371,472.4897,2.542,16.2914,0.979,36.9
0.66,0.0668,95.4006,72.2498,112.81,74.7328,5.7474,4.0139,474.9316,2.4686,16.3229,0.979,36.9
0.72,0.0668,95.4315,71.8476,112.8273,74.7105,5.7547,3.9926,476.4665,2.3952,16.3193,0.979,36.9
0.76,0.0668,95.4026,72.029,113.1934,74.6564,5.755,3.9841,477.0468,2.4939,16.3263,0.979,36.9
0.82,0.067,95.3546,72.0286,112.6931,74.6978,5.7429,3.9229,476.3733,2.4141,16.2982,0.979,36.9
0.86,0.0669,95.3997,71.8912,112.8238,74.7323,5.7432,3.9151,471.5028,2.2466,16.3234,0.979,36.9
0.92,0.0669,95.4045,71.9121,112.8373,74.7255,5.7643,3.9451,475.6627,2.2234,16.2911,0.979,36.9
0.96,0.0669,95.3846,71.8861,112.891,74.6792,5.7473,3.9129,474.8301,2.2368,16.2774,0.979,36.9
1.02,0.0669,95.4276,71.8998,112.8412,74.7356,5.7513,3.8577,475.3992,2.1799,16.3283,0.979,36.9
1.06,0.0669,95.4214,72.0261,113.0872,74.7069,5.7478,3.8929,475.1442,2.066,16.3281,0.979,36.9
1.12,0.0668,95.421,72.2819,113.8995,74.5458,5.7696,3.8876,474.3248,2.0898,16.3145,0.979,36.9
1.16,0.0669,95.439,72.4193,114.0249,74.5896,5.7714,3.8752,474.8204,2.2247,16.2855,0.979,36.9
1.22,0.067,95.4002,72.3758,114.1548,74.5757,5.7604,3.9218,477.1839,1.9187,16.341,0.979,36.9
1.26,0.067,95.3674,72.3669,114.3641,74.6126,5.7678,3.911,474.999,2.134,16.3046,0.979,36.9
1.32,0.0668,95.3579,72.4259,114.2194,74.5949,5.7642,3.9336,475.4017,1.8852,16.2789,0.979,36.9
1.36,0.0668,95.4692,72.3224,114.0287,74.6536,5.7735,3.9556,474.6216,2.0429,16.3258,0.979,36.9
1.42,0.0669,95.3817,72.386,114.5161,74.5796,5.7567,3.9736,476.7136,2.0841,16.3226,0.979,36.9
1.46,0.0669,95.4169,72.5326,113.796,74.6056,5.7761,3.9625,476.7398,2.2218,16.2778,0.979,36.9
1.52,0.0668,95.4536,72.3471,113.9612,74.5768,5.7767,4.0076,475.3623,2.141,16.2768,0.979,36.9
1.56,0.0669,95.3833,72.4291,114.0655,74.5911,5.7646,3.8853,474.2701,2.2084,16.3031,0.979,36.9
1.62,0.0669,95.4,72.3433,113.716,74.5969,5.7634,3.9242,476.1429,2.1476,16.3189,0.979,36.9
1.66,0.0669,95.3574,72.6257,114.0694,74.596,5.7494,3.9397,476.0169,2.1635,16.2951,0.979,36.9
1.72,0.0668,95.4103,72.4073,114.4484,74.5537,5.7608,3.9002,471.965,2.1258,16.2614,0.979,36.9
1.76,0.0669,95.4017,72.4999,113.7801,74.6321,5.7701,3.9391,474.9895,2.3494,16.2949,0.979,36.9
1.82,0.0669,95.392,72.4128,114.1377,74.5389,5.7734,3.8562,474.6718,2.0905,16.3106,0.979,36.9
