Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0696,94.5848,71.9361,113.0,73.3578,5.7039,4.0073,465.6237,2.1628,14.29,0.98,36.8
0.12,0.0693,94.651,71.7039,113.0,73.2249,5.6823,3.9684,464.8782,2.0272,14.29,0.98,36.8
0.16,0.0694,94.5384,72.0269,113.0,73.2497,5.6764,3.9429,464.3465,2.4942,14.29,0.98,36.8
0.22,0.0697,94.5101,72.2427,113.0,73.236,5.6785,3.8969,464.8451,2.0674,14.29,0.98,36.8
0.26,0.0695,94.5071,72.3583,113.0,73.2898,5.685,3.8452,465.151,2.1332,14.29,0.98,36.8
0.32,0.0694,94.5025,71.8977,113.0,73.2134,5.7137,3.9347,463.7462,2.0734,14.29,0.98,36.8
0.36,0.0695,94.5547,72.0233,113.0,73.2709,5.6932,3.7966,462.7165,2.4767,14.29,0.98,36.8
0.42,0.0693,94.4781,71.7706,113.0,73.3104,5.688,3.7285,462.2356,2.1636,14.29,0.98,36.8
0.46,0.0694,94.5603,72.2652,113.0,73.2937,5.6618,3.8098,463.6136,2.5128,14.29,0.98,36.8
0.52,0.0693,94.466,72.1818,113.0,73.2767,5.7118,3.8995,465.3307,2.1877,14.29,0.98,36.8
0.56,0.0693,94.5198,72.0956,113.0,73.2638,5.6837,3.8413,464.906,1.9824,14.29,0.98,36.8
0.62,0.0694,94.6716,72.2076,113.0,73.2983,5.6613,3.9458,464.7561,2.0406,14.29,0.98,36.8
0.66,0.0693,94.5675,71.7953,113.0,73.314,5.6804,3.854,460.8814,2.2472,14.29,0.98,36.8
0.72,0.0694,94.4994,71.5506,113.0,73.3451,5.6942,3.9908,466.7804,2.4388,14.29,0.98,36.8
0.76,0.0695,94.5426,71.5879,113.0,73.3414,5.6945,3.9152,465.4241,2.3868,14.29,0.98,36.8
