Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0701,95.0911,71.9971,113.0297,74.2711,5.6679,3.9084,387.9394,2.2679,18.0699,0.979,36.9
0.12,0.0701,95.1139,71.979,112.9959,74.3172,5.6696,3.9045,388.9426,2.281,18.0497,0.979,36.9
0.16,0.0701,95.1241,71.9952,112.7839,74.3028,5.6672,3.9117,389.3424,2.2096,18.057,0.979,36.9
0.22,0.0701,95.1057,72.0033,112.844,74.3063,5.6705,3.9145,386.9865,2.2519,18.0806,0.979,36.9
0.26,0.0701,95.1002,72.0082,112.5894,74.2781,5.6689,3.9609,388.3598,2.1858,18.0781,0.979,36.9
0.32,0.0701,95.1111,71.9843,113.0327,74.3147,5.6699,3.9752,388.8941,2.2574,18.0391,0.979,36.9
0.36,0.0701,95.108,71.9998,112.7629,74.2931,5.6734,3.9641,384.5244,2.2039,18.0603,0.979,36.9
0.42,0.0701,95.1051,72.0284,112.983,74.325,5.6682,3.9309,387.9706,2.2744,18.0571,0.979,36.9
0.46,0.0701,95.098,72.0112,112.9403,74.3062,5.6708,3.8893,387.2942,2.1784,18.0908,0.979,36.9
0.52,0.0701,95.1051,71.943,113.1056,74.3281,5.669,3.8824,385.9187,2.1467,18.0783,0.979,36.9
0.56,0.0701,95.092,71.9422,113.2028,74.3066,5.6745,3.863,386.9006,2.1888,18.0468,0.979,36.9
0.62,0.0701,95.0853,72.0422,113.2473,74.258,5.6706,3.8641,386.6847,2.3402,18.0469,0.979,36.9
0.66,0.0701,95.0977,71.9446,112.8921,74.3138,5.664,3.8316,387.8235,2.189,18.0712,0.979,36.9
0.72,0.0701,95.0778,71.9517,112.9419,74.3048,5.6752,3.797,387.0644,2.269,18.0674,0.979,36.9
0.76,0.0701,95.0766,72.036,113.12,74.2931,5.669,3.8006,387.2505,2.212,18.0792,0.979,36.9
0.82,0.0701,95.1039,72.0573,113.0208,74.3133,5.669,3.8541,384.3881,2.2759,18.0584,0.979,36.9
0.86,0.0701,95.1124,72.0134,113.0914,74.2763,5.6708,3.8597,386.5752,2.1574,18.0746,0.979,36.9
0.92,0.0701,95.1067,72.0031,112.6941,74.3359,5.6734,3.8773,387.114,2.2911,18.0548,0.979,36.9
0.96,0.0701,95.1049,71.9707,113.0317,74.264,5.6713,3.8922,389.7325,2.274,18.0811,0.979,36.9
1.02,0.0701,95.1001,72.0671,112.9934,74.2969,5.6682,3.9052,387.6165,2.4039,18.0775,0.979,36.9
1.06,0.0701,95.1037,72.0096,112.8937,74.2896,5.6674,3.9076,387.9914,2.2655,18.0816,0.979,36.9
1.12,0.0701,95.1105,71.9948,112.8832,74.3604,5.6657,3.9496,388.2615,2.2696,18.0564,0.979,36.9
1.16,0.0701,95.1224,72.0182,112.9533,74.2968,5.6693,3.9469,388.8222,2.4023,18.0792,0.979,36.9
1.22,0.0701,95.1097,72.0,112.6871,74.2999,5.6696,3.9305,387.4702,2.4541,18.0751,0.979,36.9
1.26,0.0701,95.0936,72.0185,112.9163,74.3282,5.6691,3.887,388.025,2.3597,18.0855,0.979,36.9
1.32,0.0701,95.1061,71.9764,113.0271,74.2976,5.671,3.884,387.6273,2.4868,18.0806,0.979,36.9
1.36,0.0701,95.0935,71.9362,112.9341,74.272,5.6705,3.831,389.6314,2.4398,18.0513,0.979,36.9
1.42,0.0701,95.0999,71.975,113.0579,74.2901,5.6713,3.8902,388.2266,2.5238,18.0807,0.979,36.9
1.46,0.0701,95.1054,72.0168,112.9712,74.3171,5.6748,3.8819,387.5129,2.5603,18.071,0.979,36.9
1.52,0.0701,95.0964,72.0748,112.8421,74.2948,5.6733,3.8808,386.9727,2.5312,18.0768,0.979,36.9
1.56,0.0701,95.1055,71.9605,113.1088,74.3087,5.6706,3.8145,388.0556,2.5512,18.0735,0.979,36.9
1.62,0.0701,95.0941,72.218,112.9368,74.2616,5.6842,3.8424,386.5957,2.587,18.0504,0.979,36.9
1.66,0.0701,95.0947,72.3184,113.0407,74.2676,5.6881,3.841,387.8372,2.4917,18.0709,0.979,36.9
1.72,0.0701,95.101,72.3307,113.3477,74.3534,5.6901,3.8889,385.9813,2.5516,18.0491,0.979,36.9
1.76,0.0701,95.1112,72.2723,113.0114,74.2733,5.6908,3.8772,388.646,2.565,18.0668,0.979,36.9
1.82,0.0701,95.085,72.3609,113.1413,74.2623,5.6893,3.8986,387.8561,2.6261,18.0755,0.979,36.9
1.86,0.0701,95.0739,72.3652,112.9702,74.3193,5.6893,3.9328,387.2466,2.6352,18.0876,0.979,36.9
1.92,0.0701,95.1085,72.3085,112.8453,74.2694,5.6912,3.9252,386.9193,2.6539,18.0855,0.979,36.9
1.96,0.0701,95.111,72.3264,112.5618,74.271,5.6879,3.9759,388.4437,2.6892,18.0883,0.979,36.9
2.02,0.0701,95.098,72.3562,112.8187,74.2875,5.6903,3.9999,386.9215,2.5458,18.0543,0.979,36.9
2.06,0.0701,95.1161,72.2591,112.9773,74.3082,5.6893,3.9433,385.8357,2.6307,18.0633,0.979,36.9
2.12,0.0701,95.0891,72.3393,113.0341,74.2796,5.6925,3.9031,387.3031,2.5049,18.0637,0.979,36.9
2.16,0.0701,95.0975,72.246,112.9767,74.2953,5.6904,3.8573,387.3956,2.5262,18.0672,0.979,36.9
2.22,0.0701,95.1069,72.3102,112.9647,74.3314,5.6937,3.8753,387.678,2.409,18.0651,0.979,36.9
2.26,0.0701,95.0947,72.3497,113.0015,74.2902,5.6929,3.8853,389.8473,2.429,18.0717,0.979,36.9
2.32,0.0701,95.1062,72.3186,112.98,74.293,5.6919,3.8336,386.8574,2.3198,18.0773,0.979,36.9
2.36,0.0701,95.0841,72.2561,113.0846,74.3225,5.6897,3.8126,387.015,2.3338,18.0809,0.979,36.9
2.42,0.0701,95.1296,72.3469,112.8645,74.3163,5.6959,3.8215,388.9359,2.2751,18.0566,0.979,36.9
2.46,0.0701,95.1044,72.3976,113.0564,74.2258,5.6922,3.8674,387.7066,2.2666,18.0458,0.979,36.9
2.52,0.0701,95.1011,72.3254,113.0598,74.1852,5.6956,3.8553,387.3816,2.3294,18.096,0.979,36.9
2.56,0.0701,95.1084,72.254,112.9075,74.1534,5.6902,3.8736,387.0673,2.3263,18.0861,0.979,36.9
2.62,0.0701,95.1054,72.2987,113.1244,74.1315,5.6868,3.8939,386.8066,2.3156,18.0548,0.979,36.9
2.66,0.0701,95.0965,72.3018,113.0909,74.1973,5.6898,3.9323,387.0954,2.3194,18.0483,0.979,36.9
2.72,0.0701,95.1062,72.2764,112.9935,74.1853,5.6877,3.9254,388.3092,2.2852,18.0645,0.979,36.9
2.76,0.0701,95.0952,72.3526,112.8418,74.1905,5.6905,3.9292,389.2164,2.1959,18.052,0.979,36.9
2.82,0.0701,95.1039,72.3139,112.9147,74.2128,5.6886,3.9551,387.5234,2.2076,18.0765,0.979,36.9
2.86,0.0701,95.0836,72.2999,113.0571,74.2098,5.6919,3.9427,388.7871,2.2283,18.0615,0.979,36.9
2.92,0.0701,95.1118,72.3318,112.9115,74.197,5.695,3.9191,385.5693,2.1842,18.058,0.979,36.9
2.96,0.0701,95.1029,72.2902,112.8896,74.2084,5.6908,3.9347,388.3773,2.1129,18.0703,0.979,36.9
3.02,0.0701,95.096,72.3252,113.0627,74.1714,5.685,3.8636,388.7014,2.2455,18.071,0.979,36.9
3.06,0.0701,95.0876,72.317,112.9251,74.1896,5.6896,3.8612,387.4478,2.2649,18.0585,0.979,36.9
3.12,0.0701,95.087,72.3233,113.07,74.134,5.6907,3.832,387.6687,2.258,18.0881,0.979,36.9
3.16,0.0701,95.0946,72.3781,112.6299,74.1843,5.6885,3.807,387.0672,2.1239,18.0544,0.979,36.9
3.22,0.0701,95.0992,72.2825,112.9836,74.2004,5.6923,3.8317,389.8739,2.2579,18.0956,0.979,36.9
3.26,0.0701,95.067,72.2852,113.0566,74.184,5.6894,3.7988,388.8933,2.2345,18.0676,0.979,36.9
3.32,0.0701,95.1137,72.3001,112.9113,74.2865,5.687,3.8601,387.1317,2.2173,18.0754,0.979,36.9
3.36,0.0701,95.1203,72.2647,113.0313,74.2589,5.6908,3.8441,386.7705,2.2013,18.0645,0.979,36.9
3.42,0.0701,95.1002,72.2527,112.9099,74.3301,5.6891,3.907,387.7057,2.2606,18.0707,0.979,36.9
3.46,0.0701,95.1067,72.2482,112.9934,74.2704,5.6939,3.8913,389.6083,2.2256,18.0646,0.979,36.9
3.52,0.0701,95.1165,72.3576,113.0471,74.3182,5.6904,3.8993,389.2309,2.2108,18.0558,0.979,36.9
3.56,0.0701,95.0958,72.3244,112.9804,74.3134,5.6877,3.9066,388.3284,2.2709,18.0682,0.979,36.9
3.62,0.0701,95.0956,72.227,113.2242,74.3116,5.695,3.9589,386.7722,2.1924,18.086,0.979,36.9
3.66,0.0701,95.0902,72.3144,113.0157,74.3232,5.6865,3.9667,388.2461,2.1326,18.0845,0.979,36.9
3.72,0.0701,95.1147,72.3255,112.8377,74.2778,5.6939,3.9182,388.4063,2.173,18.0543,0.979,36.9
3.76,0.0701,95.093,72.3255,113.135,74.2692,5.689,3.9275,387.5074,2.2258,18.049,0.979,36.9
3.82,0.0701,95.1224,72.2798,112.9189,74.3305,5.6894,3.8851,388.8265,2.208,18.1035,0.979,36.9
3.86,0.0701,95.1102,72.3268,112.8988,74.2979,5.6932,3.8787,387.5969,2.2473,18.0606,0.979,36.9
3.92,0.0701,95.0881,72.3379,113.0511,74.2924,5.6898,3.8526,389.3852,2.131,18.0578,0.979,36.9
3.96,0.0701,95.0996,72.246,112.9477,74.2992,5.6895,3.8307,386.7775,2.2389,18.0623,0.979,36.9
4.02,0.0701,95.0979,72.2369,113.015,74.323,5.6884,3.8262,388.08,2.1736,18.0767,0.979,36.9
4.06,0.0701,95.1,72.2351,113.0361,74.287,5.6891,3.8126,388.4231,2.16,18.0467,0.979,36.9
4.12,0.0701,95.1047,72.277,112.7895,74.2709,5.69,3.858,387.5504,2.2792,18.077,0.979,36.9
4.16,0.0701,95.1058,72.2848,112.838,74.2732,5.6906,3.8307,389.8486,2.283,18.0615,0.979,36.9
4.22,0.0701,95.1037,72.2915,112.8833,74.222,5.6863,3.8717,388.5828,2.1853,18.0813,0.979,36.9
4.26,0.07,95.1126,72.2883,113.0134,74.3137,5.6891,3.8392,386.0351,2.1918,18.0698,0.979,36.9
