Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0677,94.9514,72.0934,114.0,73.8114,5.8219,3.9695,440.1335,2.7571,17.5407,0.981,36.9
0.12,0.0676,94.8991,71.8959,114.0,73.7781,5.81,3.982,438.1124,2.5783,17.5817,0.981,36.9
0.16,0.0677,94.9699,72.0069,114.0,73.7892,5.8314,3.9307,438.6877,2.9494,17.547,0.981,36.9
0.22,0.0676,94.8878,72.0225,114.0,73.8031,5.8302,3.9615,440.2985,2.6045,17.5024,0.981,36.9
0.26,0.0676,94.9841,71.9473,114.0,73.7856,5.809,4.0053,441.4255,2.7271,17.5772,0.981,36.9
0.32,0.0675,94.8976,72.041,114.0,73.7859,5.82,3.9634,439.5411,3.0212,17.5851,0.981,36.9
0.36,0.0676,94.917,71.9374,114.0,73.7959,5.8127,4.069,441.4604,2.8118,17.5156,0.981,36.9
0.42,0.0676,94.9951,72.0991,114.0,73.7825,5.8336,4.0407,438.6106,2.8188,17.5677,0.981,36.9
0.46,0.0676,94.919,72.1042,114.0,73.8044,5.8177,4.059,438.7774,3.0178,17.5789,0.981,36.9
0.52,0.0675,94.9082,72.0104,114.0,73.8319,5.8247,4.0902,440.43,2.9913,17.5649,0.981,36.9
0.56,0.0677,94.8993,72.078,114.0,73.7036,5.8174,4.0265,438.5071,2.9484,17.5496,0.981,36.9
0.62,0.0676,94.9161,71.7865,114.0,73.8096,5.8053,3.94,439.1775,2.8681,17.5404,0.981,36.9
0.66,0.0677,94.8849,72.0464,114.0,73.8105,5.8134,3.9672,440.2991,2.6905,17.5476,0.981,36.9
0.72,0.0677,94.8783,72.1143,114.0,73.8361,5.825,3.9023,440.3137,2.7807,17.5447,0.981,36.9
0.76,0.0676,94.9089,71.8843,114.0,73.817,5.8158,3.924,438.3342,2.6553,17.5821,0.981,36.9
0.82,0.0676,94.9286,72.0303,114.0,73.7833,5.8179,3.9289,437.8076,2.3831,17.5254,0.981,36.9
0.86,0.0677,94.9865,72.0922,114.0,73.7793,5.8127,3.8914,440.1217,2.6559,17.4873,0.981,36.9
0.92,0.0677,94.9636,72.0702,114.0,73.7954,5.8214,3.9768,442.439,2.4438,17.4747,0.981,36.9
0.96,0.0676,94.9695,71.9735,114.0,73.8079,5.8215,3.8614,440.1214,2.6797,17.5472,0.981,36.9
1.02,0.0675,94.9036,72.2695,114.0,73.7667,5.8154,3.9405,440.9537,2.7109,17.587,0.981,36.9
