Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0669,95.419,72.2681,113.2623,74.6602,5.7565,3.8749,526.9534,2.3346,14.459,0.979,36.9
0.12,0.0671,95.3888,72.1821,112.6846,74.6917,5.7425,3.9266,527.8353,2.3368,14.5118,0.9792,36.9
0.16,0.0669,95.3602,72.1726,112.4318,74.7499,5.7422,3.8695,524.1147,2.287,14.489,0.9785,36.9
0.22,0.0666,95.428,71.9669,113.0114,74.6603,5.7383,3.8244,528.2685,2.6385,14.4744,0.9789,36.9
0.26,0.0668,95.4109,72.0704,112.8628,74.834,5.7715,3.806,526.9637,2.4816,14.4963,0.9791,36.9
0.32,0.0669,95.4299,71.8543,112.7601,74.6706,5.7566,3.8809,523.0641,2.7797,14.4662,0.9783,36.9
0.36,0.0668,95.4187,71.8515,112.3341,74.7293,5.7367,3.8868,523.1377,2.6169,14.4694,0.9796,36.9
0.42,0.067,95.3369,71.926,112.7485,74.7415,5.751,3.8927,522.8095,2.5702,14.4798,0.9783,36.9
0.46,0.067,95.3829,72.0975,112.9653,74.7237,5.7432,3.9318,524.5252,2.1792,14.5204,0.9788,36.9
0.52,0.0669,95.3751,72.1863,112.9327,74.683,5.7479,3.8665,527.192,2.2467,14.5146,0.9791,36.9
0.56,0.0669,95.4132,72.3244,112.8488,74.6815,5.7423,3.9856,524.3818,2.3582,14.4643,0.9792,36.9
0.62,0.0667,95.3792,72.1961,112.7728,74.7157,5.7359,3.9897,526.0229,2.3971,14.5334,0.9789,36.9
0.66,0.067,95.4765,71.9111,112.4184,74.6848,5.7548,4.0028,525.2321,2.673,14.5133,0.979,36.9
0.72,0.0668,95.3822,72.0088,113.7939,74.6602,5.7547,3.934,527.8582,2.3028,14.4887,0.9788,36.9
0.76,0.0668,95.4117,71.8243,113.2884,74.698,5.7701,3.9556,526.2672,2.6815,14.4729,0.9792,36.9
0.82,0.0669,95.4161,71.719,112.5772,74.6947,5.7498,3.8949,526.4642,2.4118,14.4894,0.9791,36.9
0.86,0.0668,95.4162,72.1836,112.924,74.6436,5.7511,3.9495,524.9236,2.3729,14.45,0.9792,36.9
0.92,0.0669,95.3353,72.0168,112.8918,74.6858,5.7497,3.8403,525.9069,3.0417,14.4979,0.9788,36.9
0.96,0.067,95.4525,71.7683,112.6269,74.715,5.7488,3.8444,526.1694,2.0282,14.5358,0.9788,36.9
1.02,0.067,95.3864,72.2501,113.2052,74.6804,5.7506,3.8937,523.251,2.479,14.4799,0.9791,36.9
1.06,0.0667,95.462,72.0297,112.578,74.629,5.7459,3.8464,524.129,2.4794,14.469,0.9792,36.9
1.12,0.0669,95.4239,72.4359,113.9855,74.6597,5.7972,3.7993,523.9665,2.3923,14.4724,0.9794,36.9
1.16,0.0668,95.3689,72.5011,113.8441,74.5333,5.7681,3.9417,524.1219,2.2348,14.427,0.9789,36.9
1.22,0.0669,95.3409,72.5025,113.4441,74.6404,5.7719,3.9308,526.7275,2.1227,14.4716,0.9787,36.9
1.26,0.0668,95.3594,72.7323,114.1656,74.5953,5.7725,3.9363,524.746,2.3107,14.5519,0.9801,36.9
1.32,0.0667,95.4307,72.4067,113.4899,74.604,5.7836,3.9484,523.3778,2.09,14.4952,0.9782,36.9
1.36,0.0671,95.4543,72.4006,114.0416,74.6053,5.7572,3.9219,525.7871,2.5044,14.4844,0.9787,36.9
1.42,0.0669,95.4583,72.2795,114.1521,74.5104,5.7926,4.0312,525.4022,2.4062,14.4617,0.9797,36.9
1.46,0.0669,95.3792,72.4379,114.7563,74.6337,5.7909,3.9804,528.4757,2.8584,14.4912,0.9793,36.9
1.52,0.0667,95.3983,72.7021,113.4706,74.6784,5.7789,3.9214,524.0333,2.4881,14.5094,0.9785,36.9
1.56,0.0667,95.4204,72.3192,114.3046,74.6236,5.7724,3.9412,524.6246,2.3737,14.4929,0.9795,36.9
1.62,0.0671,95.3782,72.2984,114.4591,74.581,5.7856,3.9558,527.1873,2.4788,14.5148,0.9791,36.9
1.66,0.0669,95.4317,72.6136,114.2135,74.6696,5.7725,3.9087,524.0484,2.3658,14.4817,0.9789,36.9
1.72,0.0671,95.3617,72.2836,113.8772,74.555,5.7656,3.9643,524.4579,2.3804,14.4735,0.9798,36.9
1.76,0.0669,95.4088,72.5096,114.3022,74.5778,5.7656,3.9168,524.7706,2.6524,14.4607,0.9792,36.9
