Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0669,95.2998,72.0035,112.9277,74.582,5.736,3.9447,483.535,2.3565,16.5593,0.978,36.9
0.12,0.0669,95.3013,71.9683,112.7844,74.6185,5.7499,3.9859,481.8524,2.409,16.5701,0.978,36.9
0.16,0.0669,95.3074,72.0437,113.0642,74.5899,5.7348,3.979,482.4753,2.3264,16.5551,0.978,36.9
0.22,0.0669,95.298,72.0949,113.0118,74.6078,5.7371,3.989,483.3116,2.5056,16.5742,0.978,36.9
0.26,0.0668,95.3079,71.9862,113.1332,74.6126,5.7386,3.9757,482.2649,2.3441,16.5799,0.978,36.9
0.32,0.0669,95.3149,71.9389,112.9611,74.5945,5.7404,3.9115,482.5018,2.3256,16.5568,0.978,36.9
0.36,0.0669,95.2957,72.0752,112.9751,74.6006,5.7438,3.9101,482.6311,2.44,16.5718,0.978,36.9
0.42,0.0669,95.2982,71.948,113.0605,74.589,5.7402,3.8986,483.6966,2.407,16.5468,0.978,36.9
0.46,0.0669,95.2644,71.9804,112.9116,74.6056,5.7487,3.8947,482.117,2.2922,16.5407,0.978,36.9
0.52,0.0668,95.3132,71.9718,112.9391,74.621,5.7424,3.8871,482.5955,2.3885,16.563,0.978,36.9
0.56,0.0669,95.2838,71.9922,113.0488,74.5872,5.742,3.8667,483.0447,2.3839,16.5569,0.978,36.9
0.62,0.0669,95.3074,71.9943,113.1334,74.6003,5.7444,3.8912,482.257,2.3495,16.5754,0.978,36.9
0.66,0.0668,95.282,72.0193,113.1462,74.612,5.7391,3.9067,482.6974,2.4895,16.594,0.978,36.9
0.72,0.0669,95.3042,72.0493,113.0035,74.5994,5.739,3.9095,483.5655,2.291,16.5791,0.978,36.9
0.76,0.0669,95.3131,71.9578,113.095,74.605,5.7415,3.9283,482.6345,2.4141,16.556,0.978,36.9
0.82,0.0668,95.3,71.971,113.2505,74.5867,5.747,3.9297,481.0358,2.4347,16.5919,0.978,36.9
0.86,0.0669,95.289,72.0286,113.0869,74.6049,5.7436,3.9232,482.5162,2.4157,16.5712,0.978,36.9
0.92,0.0668,95.3,72.0384,112.9092,74.6185,5.7448,3.9892,482.0179,2.3478,16.5654,0.978,36.9
0.96,0.0669,95.3004,72.0003,112.9864,74.6156,5.7436,4.0031,481.9216,2.3884,16.5672,0.978,36.9
1.02,0.0669,95.2947,72.0349,112.8795,74.6236,5.745,3.986,483.8595,2.3643,16.581,0.978,36.9
1.06,0.0668,95.2984,72.0242,113.0849,74.61,5.7382,3.9713,483.1731,2.3667,16.5516,0.978,36.9
1.12,0.0669,95.3158,71.9916,113.2258,74.6111,5.7399,3.9533,481.5517,2.3627,16.5805,0.978,36.9
1.16,0.0669,95.2988,71.9389,113.067,74.6038,5.7411,3.9587,483.9155,2.4786,16.5825,0.978,36.9
1.22,0.0668,95.3167,72.0265,113.0506,74.599,5.7336,3.9135,483.3214,2.557,16.5745,0.978,36.9
1.26,0.0669,95.2922,71.9448,112.8603,74.6072,5.7482,3.9181,483.6997,2.5191,16.5702,0.978,36.9
1.32,0.0669,95.2993,72.0425,112.7519,74.5999,5.7392,3.8742,481.8478,2.4094,16.5586,0.978,36.9
1.36,0.0669,95.3099,71.9891,113.0458,74.6101,5.7391,3.8733,482.1094,2.5105,16.5568,0.978,36.9
1.42,0.0668,95.2894,72.0488,112.9409,74.5862,5.745,3.8789,481.9149,2.6429,16.5578,0.978,36.9
1.46,0.0669,95.2829,72.0344,112.8446,74.6033,5.7401,3.8441,482.1394,2.5532,16.566,0.978,36.9
1.52,0.0669,95.288,72.3271,112.9555,74.4851,5.7705,3.8767,482.6645,2.6466,16.5805,0.978,36.9
