Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0663,95.696,72.0771,115.0,74.2,5.8254,3.9071,543.0454,2.6243,15.9318,0.978,37.0239
0.12,0.0662,95.7223,71.9395,115.0,74.2,5.8313,3.9117,543.4586,2.6686,15.9632,0.978,37.0687
0.16,0.0661,95.6688,71.7138,115.0,74.2,5.8525,3.9317,543.2919,2.5491,15.922,0.978,37.0336
0.22,0.0662,95.7346,71.9283,115.0,74.2,5.8251,3.9514,539.9417,2.6077,15.9409,0.978,36.9142
0.26,0.0662,95.6693,72.214,115.0,74.2,5.8376,3.9687,542.758,2.6654,15.9411,0.978,36.998
0.32,0.0662,95.6453,72.1755,115.0,74.2,5.8393,3.9541,543.6882,2.7199,15.9429,0.978,37.048
0.36,0.0662,95.6755,72.0277,115.0,74.2,5.8196,3.9883,539.6395,2.6996,15.9057,0.978,37.0609
0.42,0.0661,95.7173,71.9824,115.0,74.2,5.828,3.9651,542.6549,2.816,15.9701,0.978,37.0712
0.46,0.0662,95.7162,71.8991,115.0,74.2,5.8332,3.9716,545.6482,2.9008,16.0373,0.978,36.9619
0.52,0.0661,95.6788,72.0816,115.0,74.2,5.8411,4.0187,540.3717,2.6384,15.9666,0.978,36.974
0.56,0.0662,95.7298,71.7972,115.0,74.2,5.8274,4.0135,542.5542,2.2928,15.9132,0.978,36.9395
0.62,0.0662,95.6799,72.057,115.0,74.2,5.8141,3.9676,540.9778,2.6039,15.9508,0.978,37.0049
0.66,0.0662,95.6821,71.9593,115.0,74.2,5.8258,4.0034,543.4302,2.6211,16.021,0.978,37.0233
0.72,0.0662,95.7453,72.0328,115.0,74.2,5.8271,3.9224,544.0794,2.669,15.9399,0.978,36.9939
0.76,0.0662,95.6991,71.9787,115.0,74.2,5.838,3.9319,545.5122,2.8909,15.9351,0.978,37.0648
0.82,0.0663,95.6561,72.0431,115.0,74.2,5.8191,3.9231,543.3451,2.6899,15.9845,0.978,36.9935
0.86,0.0662,95.7365,71.8324,115.0,74.2,5.8184,3.886,539.5093,2.8169,15.9493,0.978,36.9823
0.92,0.0662,95.6776,71.7779,115.0,74.2,5.8141,3.9798,542.1644,2.5147,15.9986,0.978,37.0464
0.96,0.0662,95.6408,72.2437,115.0,74.2,5.8537,3.9246,544.0091,2.8613,15.9036,0.978,37.0689
1.02,0.0664,95.6682,72.2984,115.0,74.2,5.8525,3.8954,538.3559,2.6587,15.9493,0.978,37.0259
1.06,0.0662,95.7604,72.4582,115.0,74.2,5.8389,3.9269,541.9626,3.051,15.9088,0.978,36.9891
1.12,0.0662,95.6095,72.2822,115.0,74.2,5.8457,3.9906,542.8942,2.338,15.9231,0.978,36.9635
1.16,0.0662,95.6991,72.2636,115.0,74.2,5.858,3.9154,540.095,2.6873,15.9356,0.978,36.949
1.22,0.0662,95.7112,72.2366,115.0,74.2,5.8663,3.9341,541.5275,2.6547,15.9548,0.978,37.0368
1.26,0.0662,95.6545,72.2517,115.0,74.2,5.841,3.9473,542.3742,2.7703,15.9574,0.978,37.0956
1.32,0.0662,95.6885,72.4945,115.0,74.2,5.8424,3.9669,542.2512,2.818,15.9656,0.978,37.0213
1.36,0.0662,95.6316,72.3553,115.0,74.2,5.8375,3.9485,541.9615,2.5251,15.9621,0.978,36.9398
1.42,0.0663,95.6858,72.1847,115.0,74.2,5.8361,3.9731,541.5168,2.5746,15.9789,0.978,37.0219
1.46,0.0661,95.7567,72.3763,115.0,74.2,5.865,3.9315,544.15,2.6978,15.9673,0.978,37.0411
1.52,0.0662,95.7804,72.2342,115.0,74.2,5.864,3.9403,541.3986,3.0193,15.9843,0.978,37.0192
1.56,0.0662,95.7067,72.3299,115.0,74.2,5.862,3.9169,541.1807,2.9592,15.9329,0.978,37.023
1.62,0.0663,95.6378,72.2592,115.0,74.2,5.8491,3.9252,543.291,2.7371,15.9086,0.978,36.9361
1.66,0.0663,95.7431,72.5796,115.0,74.2,5.855,3.902,543.2993,2.7858,15.979,0.978,36.9841
1.72,0.0662,95.7671,72.341,115.0,74.2,5.8445,3.9323,545.0605,2.855,15.9742,0.978,37.0715
1.76,0.0662,95.6365,72.4733,115.0,74.2,5.8639,3.9052,542.4644,3.3281,15.9104,0.978,36.9481
1.82,0.0663,95.7326,72.2407,115.0,74.2,5.8439,3.8324,538.7591,3.061,15.9633,0.978,37.0177
1.86,0.0663,95.703,72.6035,115.0,74.2,5.8218,3.9697,541.8833,3.2406,15.9971,0.978,36.9608
1.92,0.0662,95.7334,72.2752,115.0,74.2,5.8492,3.9592,541.2899,2.7987,15.9831,0.978,36.9988
1.96,0.0662,95.7974,72.3388,115.0,74.2,5.8525,3.9745,540.0007,2.92,15.9568,0.978,37.0287
2.02,0.0662,95.704,72.2118,115.0,74.2,5.8529,3.85,538.8451,3.2793,15.982,0.978,36.9685
2.06,0.0663,95.6843,72.461,115.0,74.2,5.8317,3.9692,543.3743,2.9905,15.9495,0.978,36.9496
2.12,0.0664,95.7273,72.1935,115.0,74.2,5.8501,3.9627,541.4801,2.9434,15.9639,0.978,37.0423
2.16,0.0662,95.7072,72.253,115.0,74.2,5.8384,4.071,543.4792,3.4383,15.9836,0.978,37.0695
2.22,0.0663,95.7312,72.0521,115.0,74.2,5.8333,4.0082,542.8789,3.1908,15.9355,0.978,36.8643
2.26,0.0662,95.6387,72.1716,115.0,74.2,5.8515,3.9615,541.4138,2.9258,15.9148,0.978,37.0958
2.32,0.0663,95.6633,72.3586,115.0,74.2,5.8577,3.953,543.8685,3.0808,16.0159,0.978,36.9741
2.36,0.0662,95.6565,72.2121,115.0,74.2,5.8317,4.012,544.7907,3.2592,16.0127,0.978,36.9945
2.42,0.0662,95.6813,72.5276,115.0,74.2,5.8443,3.9029,540.6188,3.6519,15.9371,0.978,36.992
2.46,0.0662,95.7181,72.1742,115.0,74.2,5.8351,3.9003,542.9486,3.0527,15.982,0.978,37.0374
2.52,0.0662,95.6676,72.1207,115.0,74.2,5.8576,3.8939,541.5045,3.1419,16.0202,0.978,37.033
2.56,0.0664,95.6821,72.4286,115.0,74.2,5.8531,3.967,544.6739,3.1744,15.9444,0.978,37.0212
2.62,0.0662,95.607,72.3709,115.0,74.2,5.8335,3.8657,539.6629,2.7431,15.9459,0.978,37.0208
2.66,0.0663,95.7444,72.2047,115.0,74.2,5.8527,3.9443,539.194,2.8762,15.9555,0.978,37.0715
2.72,0.0663,95.7641,72.4367,115.0,74.2,5.8628,3.9312,542.4431,3.4119,15.9347,0.978,37.0662
2.76,0.0663,95.7043,72.2228,115.0,74.2,5.8427,3.9751,543.6137,3.2073,16.0,0.978,37.038
2.82,0.0662,95.6426,72.4431,115.0,74.2,5.8555,4.0139,544.3952,2.7273,15.9481,0.978,37.035
2.86,0.0663,95.724,72.4268,115.0,74.2,5.8493,3.9665,542.3516,2.8205,15.9553,0.978,37.0388
2.92,0.0662,95.7498,72.093,115.0,74.2,5.8517,3.9881,543.2155,3.0546,15.8837,0.978,37.0371
2.96,0.0661,95.679,72.2711,115.0,74.2,5.849,3.9631,543.4045,2.7152,15.9671,0.978,36.9992
3.02,0.0663,95.7571,72.3658,115.0,74.2,5.8355,4.0473,538.5662,2.1653,15.9654,0.978,37.0133
3.06,0.0663,95.7125,72.2563,115.0,74.2,5.8563,3.981,541.1095,2.7318,15.9017,0.978,36.9329
3.12,0.0663,95.7188,72.1348,115.0,74.2,5.8519,3.9899,541.0794,2.7287,15.9493,0.978,36.9236
3.16,0.0662,95.6614,72.3783,115.0,74.2,5.8559,3.9711,538.9174,2.5899,15.9422,0.978,36.9812
3.22,0.0664,95.7132,72.1262,115.0,74.2,5.8521,4.0855,542.4968,2.856,15.9666,0.978,36.9083
3.26,0.0662,95.6968,72.4043,115.0,74.2,5.8542,3.9707,541.8297,2.5893,15.9752,0.978,37.0431
3.32,0.0664,95.758,72.2413,115.0,74.2,5.8361,3.9322,539.5554,2.8107,16.0215,0.978,37.0359
3.36,0.0662,95.708,72.1897,115.0,74.2,5.8495,3.926,541.2079,2.4016,15.9135,0.978,37.0202
3.42,0.0663,95.6512,72.3233,115.0,74.2,5.8503,3.9915,538.6368,2.6138,15.9733,0.978,36.954
3.46,0.0662,95.6736,72.4179,115.0,74.2,5.8604,3.9151,540.6451,2.704,15.9669,0.978,36.9171
3.52,0.0662,95.7093,72.3187,115.0,74.2,5.8462,3.8981,541.5714,2.6043,15.9525,0.978,36.9465
3.56,0.0662,95.6786,71.9625,115.0,74.2,5.8587,3.9242,541.6647,2.5139,15.9729,0.978,36.9725
3.62,0.0662,95.7031,72.2103,115.0,74.2,5.8403,4.0005,541.9628,2.461,15.9713,0.978,36.9501
3.66,0.0661,95.6907,72.1489,115.0,74.2,5.8598,3.9271,542.73,2.692,16.0379,0.978,36.9735
3.72,0.0662,95.7676,72.4036,115.0,74.2,5.8546,3.9891,540.6465,2.7747,15.9835,0.978,36.9998
