Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0533,75.91,92.9445,90.0,59.8106,6.8124,3.1208,622.5536,2.9063,13.7891,0.98,36.9
0.12,0.0533,75.8546,92.8158,90.0,59.8075,6.8156,3.1396,622.5575,2.577,13.7852,0.98,36.9
0.16,0.0533,75.9278,93.1103,90.0,59.7305,6.8184,3.1632,624.5728,2.7288,13.7455,0.98,36.9
0.22,0.0533,75.8193,93.0041,90.0,59.7654,6.8196,3.1283,622.7105,2.5473,13.7608,0.98,36.9
0.26,0.0534,75.9046,93.1038,90.0,59.7335,6.8161,3.1002,617.8213,3.0478,13.7329,0.98,36.9
0.32,0.0534,75.9132,93.026,90.0,59.8332,6.8244,2.9988,620.0784,2.6407,13.7528,0.98,36.9
0.36,0.0533,75.833,93.0411,90.0,59.8694,6.8192,3.0438,620.3987,2.9462,13.7376,0.98,36.9
0.42,0.0533,75.9375,92.9758,90.0,59.7881,6.8176,3.105,621.0644,3.227,13.7289,0.98,36.9
0.46,0.0533,75.8762,92.9762,90.0,59.811,6.8324,3.007,624.512,2.5948,13.7517,0.98,36.9
0.52,0.0533,75.9146,93.0345,90.0,59.8119,6.8149,3.0984,622.9042,2.6627,13.7433,0.98,36.9
0.56,0.0532,75.8884,92.8175,90.0,59.8185,6.824,3.0758,623.4867,3.3275,13.7207,0.98,36.9
0.62,0.0533,75.8285,92.9938,90.0,59.8529,6.8103,3.0936,619.0322,2.8544,13.7703,0.98,36.9
0.66,0.0532,75.8941,92.9557,90.0,59.8438,6.8192,3.0947,623.0259,2.6308,13.7723,0.98,36.9
0.72,0.0533,75.8993,93.001,90.0,59.7514,6.8338,3.0471,619.5381,2.669,13.8069,0.98,36.9
0.76,0.0533,75.9258,92.8068,90.0,59.8075,6.8283,3.1483,625.9756,2.5757,13.7638,0.98,36.9
0.82,0.0533,75.9224,92.9809,90.0,59.7987,6.8135,3.1747,622.3383,2.9489,13.7811,0.98,36.9
