Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.1064,94.6113,50.0102,112.9861,73.3,4.0561,3.9958,620.2255,2.5933,12.3994,0.977,37.0
0.12,0.1064,94.5909,50.0254,112.7709,73.3,4.0514,4.0116,618.9934,2.6287,12.4303,0.977,37.0
0.16,0.1064,94.601,49.991,112.9054,73.3,4.0463,4.017,622.0805,2.5839,12.3893,0.977,37.0
0.22,0.1064,94.5855,50.0505,113.0517,73.3,4.0509,4.0243,621.416,2.6564,12.4361,0.977,37.0
0.26,0.1064,94.5961,50.0302,112.9602,73.3,4.053,4.0634,621.4992,2.6769,12.4419,0.977,37.0
0.32,0.1063,94.6002,49.9635,112.7966,73.3,4.0496,4.0668,621.1697,2.5995,12.3602,0.977,37.0
0.36,0.1064,94.5982,49.9811,112.9065,73.3,4.0501,4.0943,619.327,2.4866,12.4026,0.977,37.0
0.42,0.1064,94.5804,49.9698,113.0973,73.3,4.0492,4.0731,619.8934,2.6562,12.4181,0.977,37.0
0.46,0.1064,94.5988,50.014,113.1999,73.3,4.0479,4.0554,621.114,2.6113,12.4443,0.977,37.0
0.52,0.1064,94.6061,49.9792,113.1478,73.3,4.0505,4.0371,622.3309,2.6471,12.3814,0.977,37.0
0.56,0.1064,94.6075,50.0035,113.1564,73.3,4.0501,4.0001,619.2257,2.6367,12.3901,0.977,37.0
0.62,0.1063,94.6124,50.0028,112.9463,73.3,4.0559,4.0283,623.2001,2.605,12.4278,0.977,37.0
0.66,0.1064,94.5956,50.0034,113.1192,73.3,4.0527,3.9657,620.5534,2.5081,12.42,0.977,37.0
0.72,0.1064,94.591,49.9498,112.9906,73.3,4.053,3.9816,621.5356,2.4912,12.4197,0.977,37.0
