Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0665,95.9061,71.8719,115.0,74.5083,5.7761,4.0254,632.0961,2.548,12.35,0.979,36.9
0.12,0.0665,95.9026,72.0353,115.0,74.5193,5.7867,3.9787,632.0973,2.7096,12.35,0.979,36.9
0.16,0.0665,95.8942,72.0367,115.0,74.503,5.7733,3.9584,632.0904,2.4544,12.35,0.979,36.9
0.22,0.0665,95.9125,71.9594,115.0,74.4951,5.7846,3.9691,632.0943,2.6609,12.35,0.979,36.9
0.26,0.0665,95.8771,71.989,115.0,74.4861,5.7808,3.9523,632.0791,2.8557,12.35,0.979,36.9
0.32,0.0665,95.9118,72.0268,115.0,74.4904,5.7784,3.9221,632.0863,2.7298,12.35,0.979,36.9
0.36,0.0665,95.8907,72.0666,115.0,74.5015,5.7753,3.8917,632.075,2.6912,12.35,0.979,36.9
0.42,0.0666,95.8966,71.9875,115.0,74.511,5.78,3.8736,632.0795,2.6938,12.35,0.979,36.9
0.46,0.0665,95.908,72.0536,115.0,74.5043,5.7852,3.8742,632.0894,2.7301,12.35,0.979,36.9
0.52,0.0666,95.8927,71.8332,115.0,74.3786,5.7782,3.9031,632.0668,2.7819,12.35,0.979,36.9
0.56,0.0665,95.8944,72.1148,115.0,74.3899,5.7753,3.8778,632.0673,2.7425,12.35,0.979,36.9
0.62,0.0665,95.8904,71.8799,115.0,74.4278,5.7869,3.9366,632.0848,2.8183,12.35,0.979,36.9
0.66,0.0665,95.8974,72.0607,115.0,74.3892,5.7853,3.917,632.0708,2.9214,12.35,0.979,36.9
0.72,0.0665,95.9115,71.92,115.0,74.4099,5.7769,3.9518,632.0916,3.0013,12.35,0.979,36.9
0.76,0.0665,95.9146,71.9497,115.0,74.4057,5.7801,3.9423,632.0832,2.9633,12.35,0.979,36.9
0.82,0.0665,95.8959,72.0093,115.0,74.4094,5.773,3.9795,632.0776,2.8579,12.35,0.979,36.9
0.86,0.0665,95.8924,71.9156,115.0,74.3855,5.7902,4.0107,632.0882,3.0075,12.35,0.979,36.9
