Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0667,95.9195,71.943,115.0,74.5,5.7722,3.9714,514.4656,2.6019,15.9777,0.979,36.9
0.12,0.0666,95.8651,72.1535,115.0,74.5,5.7788,3.9767,517.8502,2.7361,15.9141,0.979,36.9
0.16,0.0665,95.9582,72.1164,115.0,74.5,5.7841,4.0307,513.5924,2.6079,15.9933,0.979,36.9
0.22,0.0664,95.8768,71.9201,115.0,74.5,5.7972,4.0528,516.2046,2.5357,15.9165,0.979,36.9
0.26,0.0664,95.9318,71.7706,115.0,74.5,5.7764,3.9782,515.2058,3.0788,15.9039,0.979,36.9
0.32,0.0666,95.9915,72.0888,115.0,74.5,5.76,3.9961,513.7801,2.7133,15.9312,0.979,36.9
0.36,0.0664,95.9026,71.914,115.0,74.5,5.7746,3.948,518.1398,2.7984,15.9994,0.979,36.9
0.42,0.0665,95.8686,71.9702,115.0,74.5,5.7558,3.9352,510.5178,2.8442,15.9466,0.979,36.9
0.46,0.0665,95.8825,71.7723,115.0,74.5,5.7715,3.9086,515.4402,2.6272,15.9401,0.979,36.9
0.52,0.0666,95.9124,72.0001,115.0,74.5,5.8173,3.794,514.584,2.875,15.9424,0.979,36.9
0.56,0.0663,95.9519,72.0011,115.0,74.5,5.771,3.9228,515.6138,2.8821,15.9729,0.979,36.9
0.62,0.0664,95.8805,72.0266,115.0,74.5,5.7794,3.8572,515.5761,2.7908,16.0777,0.979,36.9
0.66,0.0666,95.9528,71.8986,115.0,74.5,5.76,3.9919,517.6853,3.1203,15.9877,0.979,36.9
0.72,0.0665,95.924,72.1343,115.0,74.5,5.7779,3.8876,515.4774,2.7295,16.0031,0.979,36.9
0.76,0.0664,95.8602,72.1307,115.0,74.5,5.7857,3.9167,513.7486,2.8199,15.9575,0.979,36.9
0.82,0.0666,95.8694,72.1509,115.0,74.5,5.7598,3.9757,517.1149,2.9088,16.0173,0.979,36.9
0.86,0.0665,95.9417,71.8351,115.0,74.5,5.7939,4.0163,518.3752,2.813,15.89,0.979,36.9
0.92,0.0665,95.8785,72.1956,115.0,74.5,5.8005,3.9449,516.1736,2.9361,15.8939,0.979,36.9
0.96,0.0665,95.8717,72.0154,115.0,74.5,5.7871,4.0727,515.426,3.3495,15.9992,0.979,36.9
1.02,0.0665,95.8515,71.8691,115.0,74.5,5.7748,3.9744,512.3435,3.1308,15.9905,0.979,36.9
1.06,0.0667,95.9523,72.1052,115.0,74.5,5.7638,4.0074,514.8457,3.1475,16.0244,0.979,36.9
1.12,0.0666,95.9782,71.8548,115.0,74.5,5.7808,3.9749,516.1721,3.1602,15.8941,0.979,36.9
1.16,0.0666,95.9175,71.872,115.0,74.5,5.7653,4.0058,515.7819,3.2567,16.025,0.979,36.9
1.22,0.0665,96.0227,72.0079,115.0,74.5,5.7761,3.8911,515.9186,2.9185,15.9992,0.979,36.9
1.26,0.0663,95.9013,72.0113,115.0,74.5,5.8089,3.8844,514.9006,3.0675,16.0064,0.979,36.9
1.32,0.0666,95.9197,71.8018,115.0,74.5,5.7701,3.9011,515.906,2.798,15.9437,0.979,36.9
1.36,0.0665,95.8775,71.8361,115.0,74.5,5.7574,3.9091,514.895,3.0327,15.9211,0.979,36.9
1.42,0.0666,95.9631,71.867,115.0,74.5,5.7721,3.9321,514.3209,2.9942,16.0035,0.979,36.9
1.46,0.0666,95.9222,72.0424,115.0,74.5,5.8156,3.8616,514.4614,2.8122,15.984,0.979,36.9
1.52,0.0664,95.8317,72.5486,115.0,74.5,5.8201,3.9058,515.8835,3.0874,15.9415,0.979,36.9
1.56,0.0666,95.908,72.2171,115.0,74.5,5.813,3.9329,515.2303,2.7005,15.9343,0.979,36.9
1.62,0.0667,95.8736,72.344,115.0,74.5,5.7992,3.8636,515.3622,3.0592,15.9974,0.979,36.9
1.66,0.0665,95.89,72.5861,115.0,74.5,5.7987,3.886,516.7293,2.3906,15.9793,0.979,36.9
1.72,0.0668,95.9451,72.2793,115.0,74.5,5.8189,3.9205,513.3283,2.6294,15.991,0.979,36.9
1.76,0.0666,95.9711,72.3814,115.0,74.5,5.8235,4.0,515.7546,2.5371,15.9845,0.979,36.9
1.82,0.0666,95.8654,72.4383,115.0,74.5,5.8506,3.9994,517.3916,2.9624,15.9892,0.979,36.9
1.86,0.0665,95.9221,72.6884,115.0,74.5,5.7989,4.0111,514.1213,2.7352,15.9436,0.979,36.9
1.92,0.0668,95.896,72.4453,115.0,74.5,5.8242,4.0361,516.3196,2.6301,16.0278,0.979,36.9
1.96,0.0665,95.9352,72.2811,115.0,74.5,5.8098,3.9792,515.1001,2.8879,15.9486,0.979,36.9
2.02,0.0665,95.868,72.2734,115.0,74.5,5.7746,3.9683,513.3002,2.8151,15.9134,0.979,36.9
2.06,0.0665,95.8731,72.3443,115.0,74.5,5.8386,3.9341,515.0564,2.6392,15.9888,0.979,36.9
2.12,0.0666,95.8057,72.4428,115.0,74.5,5.8162,3.9347,515.7233,2.0214,15.9473,0.979,36.9
2.16,0.0664,95.8395,72.202,115.0,74.5,5.8154,3.8755,515.7328,2.3236,16.0043,0.979,36.9
2.22,0.0666,95.7766,72.1337,115.0,74.5,5.8264,3.9174,516.6345,2.5195,15.9511,0.979,36.9
2.26,0.0665,95.8762,72.3074,115.0,74.5,5.8134,3.9267,513.459,2.6118,15.9719,0.979,36.9
2.32,0.0666,95.9113,72.4804,115.0,74.5,5.8193,3.7903,517.9742,2.4504,15.9244,0.979,36.9
2.36,0.0666,95.9973,72.4915,115.0,74.5,5.8174,3.9063,514.0349,2.761,15.9474,0.979,36.9
2.42,0.0666,95.9296,72.4966,115.0,74.5,5.8231,3.9409,513.7782,2.8026,16.0001,0.979,36.9
2.46,0.0666,95.7861,72.0904,115.0,74.5,5.81,3.9462,512.3242,2.5581,15.9287,0.979,36.9
2.52,0.0665,95.8255,72.3958,115.0,74.5,5.828,3.9869,513.7097,2.4496,15.9326,0.979,36.9
2.56,0.0665,95.824,72.245,115.0,74.5,5.8116,3.9844,516.3668,2.9318,15.9128,0.979,36.9
2.62,0.0666,95.8108,72.5132,115.0,74.5,5.8189,3.9476,516.1671,2.4459,15.9575,0.979,36.9
2.66,0.0666,95.8593,72.4718,115.0,74.5,5.8185,3.9672,513.5857,2.8843,15.993,0.979,36.9
2.72,0.0666,95.8924,72.3895,115.0,74.5,5.8228,4.0165,517.0449,2.892,16.0613,0.979,36.9
2.76,0.0666,95.9013,72.185,115.0,74.5,5.8041,4.0116,516.6973,2.7302,15.9943,0.979,36.9
2.82,0.0664,95.8843,72.4926,115.0,74.5,5.7965,3.9487,515.4491,2.8087,15.9539,0.979,36.9
2.86,0.0666,95.9366,72.2673,115.0,74.5,5.8094,3.9316,513.4145,2.5011,15.8937,0.979,36.9
2.92,0.0664,95.9665,72.5207,115.0,74.5,5.7807,3.8805,516.834,2.4221,15.9578,0.979,36.9
2.96,0.0666,95.8473,72.3774,115.0,74.5,5.8103,3.9457,514.7863,2.7005,15.9073,0.979,36.9
3.02,0.0666,95.9212,72.6333,115.0,74.5,5.8009,3.8471,513.5418,2.2124,15.9769,0.979,36.9
3.06,0.0668,95.8773,72.5027,115.0,74.5,5.8105,3.8438,513.711,2.6676,16.0097,0.979,36.9
3.12,0.0664,95.9196,72.4445,115.0,74.5,5.7958,3.9194,514.7814,2.7647,15.969,0.979,36.9
3.16,0.0664,95.831,72.2887,115.0,74.5,5.8126,3.9007,514.0892,2.9356,15.9979,0.979,36.9
3.22,0.0665,95.923,72.5138,115.0,74.5,5.8123,3.8934,514.8641,2.5361,15.9126,0.979,36.9
3.26,0.0666,95.8683,72.344,115.0,74.5,5.8033,3.8765,516.2684,2.4112,15.9828,0.979,36.9
3.32,0.0667,95.8523,72.2806,115.0,74.5,5.8303,3.964,512.6472,2.3227,15.9593,0.979,36.9
3.36,0.0667,95.8952,72.3949,115.0,74.5,5.8221,3.8726,515.6398,2.1859,15.9223,0.979,36.9
3.42,0.0663,95.8663,72.543,115.0,74.5,5.8124,3.9867,518.4642,2.7674,15.9865,0.979,36.9
3.46,0.0663,95.9222,72.5992,115.0,74.5,5.815,3.9059,514.1096,2.3534,16.0246,0.979,36.9
3.52,0.0667,95.8569,72.6941,115.0,74.5,5.7884,4.0167,513.5068,2.4546,15.9896,0.979,36.9
3.56,0.0667,95.9477,72.3062,115.0,74.5,5.8203,3.9872,513.6465,2.1766,15.9838,0.979,36.9
3.62,0.0665,95.879,72.2266,115.0,74.5,5.7998,3.9485,514.199,2.8288,15.9825,0.979,36.9
3.66,0.0664,95.863,72.2703,115.0,74.5,5.8242,3.9237,515.9013,2.4792,15.9178,0.979,36.9
3.72,0.0666,95.8656,72.5531,115.0,74.5,5.8064,3.9904,514.5705,2.5788,15.9305,0.979,36.9
