Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0403,95.6,109.0534,115.0,74.2731,8.7734,3.8798,440.7185,2.9832,19.1396,0.98,36.9
0.12,0.0403,95.6,108.9633,115.0,74.3087,8.7667,3.9201,439.599,2.9603,19.1343,0.98,36.9
0.16,0.0403,95.6,109.1536,115.0,74.2779,8.7921,3.9278,439.8321,3.1384,19.0911,0.98,36.9
0.22,0.0403,95.6,109.1282,115.0,74.301,8.7966,4.009,438.0171,3.2316,19.0932,0.98,36.9
0.26,0.0403,95.6,108.9315,115.0,74.2648,8.7762,3.9697,442.4877,3.3183,19.121,0.98,36.9
0.32,0.0403,95.6,109.0763,115.0,74.2433,8.7914,3.9823,441.3571,3.0149,19.2296,0.98,36.9
0.36,0.0403,95.6,109.0272,115.0,74.3681,8.7641,3.9277,443.1382,2.68,19.1386,0.98,36.9
0.42,0.0403,95.6,108.7097,115.0,74.3288,8.8084,3.9622,442.3283,2.9706,19.2738,0.98,36.9
0.46,0.0403,95.6,108.946,115.0,74.3139,8.7775,3.9259,446.0308,2.7793,19.1805,0.98,36.9
0.52,0.0403,95.6,108.9069,115.0,74.2888,8.8083,3.9595,440.428,2.825,19.1845,0.98,36.9
0.56,0.0403,95.6,108.9961,115.0,74.2838,8.8071,3.9018,440.8003,2.9983,19.1014,0.98,36.9
0.62,0.0403,95.6,108.9926,115.0,74.2339,8.8127,3.8894,439.6169,2.4676,19.0485,0.98,36.9
0.66,0.0403,95.6,109.0472,115.0,74.3204,8.7679,3.9222,440.5679,2.5053,19.137,0.98,36.9
0.72,0.0403,95.6,109.2172,115.0,74.2912,8.8041,3.945,443.9014,2.5234,19.0641,0.98,36.9
0.76,0.0403,95.6,109.0723,115.0,74.2225,8.7854,3.9819,439.6653,2.5035,19.0712,0.98,36.9
0.82,0.0403,95.6,108.8692,115.0,74.3364,8.8071,3.9689,441.4553,2.8102,19.1266,0.98,36.9
0.86,0.0403,95.6,108.976,115.0,74.3303,8.7893,3.9753,442.6802,2.5403,19.1154,0.98,36.9
