Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0697,94.8451,71.9493,113.0,73.984,5.6603,3.7988,429.1465,2.3375,16.1388,0.9811,36.8
0.12,0.0697,94.7346,71.9957,113.0,73.9332,5.6613,3.9289,430.7839,2.5177,16.1286,0.9809,36.8
0.16,0.0698,94.8336,71.9634,113.0,73.9841,5.6724,3.8508,430.3383,2.1889,16.1635,0.981,36.8
0.22,0.0697,94.7941,72.0034,113.0,74.0326,5.6734,3.8201,425.9293,2.4638,16.1248,0.9807,36.8
0.26,0.0697,94.7559,71.8124,113.0,73.9149,5.6718,3.8661,427.123,2.4616,16.1284,0.9812,36.8
0.32,0.0697,94.8847,72.1428,113.0,73.9498,5.6841,3.7989,430.1615,2.5368,16.125,0.9811,36.8
0.36,0.0697,94.8673,71.8911,113.0,74.018,5.6662,3.8186,431.3826,2.4671,16.136,0.9807,36.8
0.42,0.0696,94.7628,72.2336,113.0,74.0114,5.6589,3.9011,429.1254,2.5673,16.1638,0.981,36.8
0.46,0.0697,94.8364,72.123,113.0,73.9536,5.6739,3.8437,431.3434,2.4357,16.1682,0.981,36.8
0.52,0.0698,94.8079,71.9882,113.0,74.0133,5.672,3.9251,430.1151,2.6467,16.1443,0.9809,36.8
0.56,0.0697,94.8136,72.0705,113.0,74.0609,5.6931,3.945,431.6703,2.5761,16.1305,0.9805,36.8
0.62,0.0697,94.7499,72.0367,113.0,74.0721,5.651,3.9206,429.7246,2.7037,16.1241,0.981,36.8
0.66,0.0696,94.7779,71.9588,113.0,73.9949,5.6774,3.9723,427.862,2.5494,16.1016,0.9809,36.8
0.72,0.0698,94.7516,71.7922,113.0,74.0235,5.6676,3.9815,430.1745,2.5144,16.1094,0.9814,36.8
0.76,0.0697,94.8438,72.0573,113.0,74.0074,5.6711,3.9381,429.687,2.7659,16.1482,0.9809,36.8
0.82,0.0697,94.7479,72.1689,113.0,74.0085,5.6675,3.8192,430.9314,2.5849,16.1658,0.9811,36.8
0.86,0.0696,94.9231,71.975,113.0,73.967,5.6692,3.8667,431.697,2.6905,16.1731,0.9812,36.8
0.92,0.0696,94.7861,71.8991,113.0,74.022,5.6729,3.8534,430.1438,2.4658,16.2019,0.9807,36.8
