Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0665,95.8711,71.9923,115.0,74.5,5.7664,3.8999,514.456,2.9418,15.9908,0.979,36.9
0.12,0.0666,95.884,72.0789,115.0,74.5,5.7751,3.925,512.5686,2.745,15.9927,0.979,36.9
0.16,0.0666,95.9685,71.9255,115.0,74.5,5.7946,3.9823,517.1757,2.8185,15.9716,0.979,36.9
0.22,0.0666,95.9146,71.9,115.0,74.5,5.7747,3.9753,516.0198,2.8679,15.9402,0.979,36.9
0.26,0.0666,95.8935,71.916,115.0,74.5,5.7914,3.9937,515.95,2.6955,15.9153,0.979,36.9
0.32,0.0667,95.9335,71.9107,115.0,74.5,5.7964,3.9781,514.7675,2.8336,15.99,0.979,36.9
0.36,0.0666,95.9002,71.8304,115.0,74.5,5.7781,3.985,516.8112,2.4563,15.964,0.979,36.9
0.42,0.0666,95.9073,72.075,115.0,74.5,5.7698,3.9456,513.6615,2.851,16.0078,0.979,36.9
0.46,0.0665,95.9061,72.0218,115.0,74.5,5.7759,3.8856,515.7589,3.0241,15.9822,0.979,36.9
0.52,0.0666,95.8827,71.842,115.0,74.5,5.7814,3.9524,517.0997,2.9691,15.9273,0.979,36.9
0.56,0.0666,95.908,71.9861,115.0,74.5,5.778,3.9221,517.8602,2.5681,16.0538,0.979,36.9
0.62,0.0666,95.8979,72.1846,115.0,74.5,5.7551,3.8822,516.4466,2.911,15.9403,0.979,36.9
0.66,0.0667,95.9119,72.0804,115.0,74.5,5.7919,3.8825,515.4813,3.1555,15.9633,0.979,36.9
0.72,0.0665,95.9149,72.2601,115.0,74.5,5.7836,3.9238,515.1998,3.1398,15.9255,0.979,36.9
0.76,0.0666,95.9128,71.7859,115.0,74.5,5.7825,3.8527,514.1299,3.4304,15.9686,0.979,36.9
0.82,0.0667,95.9549,71.8328,115.0,74.5,5.7751,3.9049,514.1754,2.9243,15.9579,0.979,36.9
0.86,0.0666,95.9672,71.9282,115.0,74.5,5.7693,3.9,515.4932,3.0181,15.9429,0.979,36.9
0.92,0.0665,95.8863,72.0655,115.0,74.5,5.7878,3.9554,514.5261,2.9397,15.9515,0.979,36.9
0.96,0.0667,95.875,72.2459,115.0,74.5,5.8076,4.0063,517.5332,3.0978,15.9461,0.979,36.9
1.02,0.0666,95.8895,71.9971,115.0,74.5,5.7589,4.0776,516.0425,3.0792,16.0102,0.979,36.9
1.06,0.0664,95.9181,71.9495,115.0,74.5,5.7675,3.965,517.3756,3.1955,15.9649,0.979,36.9
1.12,0.0667,95.8902,72.138,115.0,74.5,5.7659,4.0191,515.7917,2.9973,15.9784,0.979,36.9
1.16,0.0665,95.8484,72.0144,115.0,74.5,5.7852,3.9708,514.7887,3.0913,15.9705,0.979,36.9
1.22,0.0664,95.9144,72.0404,115.0,74.5,5.7891,3.908,513.8303,3.0563,15.9743,0.979,36.9
1.26,0.0665,95.8362,72.134,115.0,74.5,5.7567,4.0113,514.1068,3.5396,15.9619,0.979,36.9
1.32,0.0665,95.9005,72.033,115.0,74.5,5.7808,3.9097,515.9384,2.8842,15.9638,0.979,36.9
1.36,0.0665,95.9159,71.8884,115.0,74.5,5.7504,3.9154,515.9435,3.0302,15.9319,0.979,36.9
1.42,0.0666,95.8823,72.2086,115.0,74.5,5.8007,3.871,514.1274,2.8753,15.9965,0.979,36.9
1.46,0.0664,95.8975,71.9584,115.0,74.5,5.8037,3.9334,516.0329,2.8498,15.9537,0.979,36.9
1.52,0.0666,95.9579,72.0852,115.0,74.5,5.8075,3.8772,515.0832,2.7976,15.9412,0.979,36.9
1.56,0.0664,95.8639,72.4107,115.0,74.5,5.8324,3.876,518.0146,3.0638,15.8935,0.979,36.9
1.62,0.0666,95.9349,72.3817,115.0,74.5,5.7975,3.9018,515.3738,2.9753,15.9857,0.979,36.9
1.66,0.0666,95.8743,72.5623,115.0,74.5,5.8221,3.9086,517.1491,2.6686,15.9904,0.979,36.9
1.72,0.0665,95.9329,72.2832,115.0,74.5,5.7825,4.0323,513.376,2.2304,15.9247,0.979,36.9
1.76,0.0666,95.8968,72.6001,115.0,74.5,5.8079,3.9875,515.822,2.5822,15.9904,0.979,36.9
1.82,0.0666,95.8635,72.3552,115.0,74.5,5.8228,3.9783,512.3845,2.8902,15.9859,0.979,36.9
1.86,0.0666,95.8749,72.5056,115.0,74.5,5.8073,3.9512,515.5139,2.5834,15.9134,0.979,36.9
1.92,0.0665,95.9282,72.4813,115.0,74.5,5.8119,3.9944,518.3696,2.5732,16.0008,0.979,36.9
1.96,0.0665,95.9271,72.5925,115.0,74.5,5.8135,3.9177,515.2394,2.4926,15.9691,0.979,36.9
2.02,0.0666,95.9101,72.414,115.0,74.5,5.8109,3.891,518.4774,2.5888,16.0067,0.979,36.9
2.06,0.0664,95.8293,72.2242,115.0,74.5,5.8146,3.9938,518.3807,2.6594,15.9426,0.979,36.9
2.12,0.0667,95.8992,72.4097,115.0,74.5,5.8117,3.9184,515.7725,2.6613,16.0057,0.979,36.9
2.16,0.0664,95.8422,72.3091,115.0,74.5,5.7977,3.8744,514.1292,2.4286,15.9776,0.979,36.9
2.22,0.0666,95.9341,72.519,115.0,74.5,5.7855,3.908,513.3886,3.0361,15.9538,0.979,36.9
2.26,0.0665,95.8771,72.3546,115.0,74.5,5.8235,3.8926,516.0211,2.5779,15.9276,0.979,36.9
2.32,0.0665,95.9116,72.5529,115.0,74.5,5.8279,3.8746,517.4646,2.8248,15.9308,0.979,36.9
2.36,0.0664,95.9007,72.5779,115.0,74.5,5.835,3.8375,516.615,2.7948,15.9867,0.979,36.9
2.42,0.0665,95.9249,72.7033,115.0,74.5,5.8088,3.8834,517.1051,2.8041,15.9754,0.979,36.9
2.46,0.0665,95.8858,72.3099,115.0,74.5,5.8324,3.8834,513.7638,2.7874,15.9406,0.979,36.9
2.52,0.0666,95.8648,72.2041,115.0,74.5,5.8066,3.9928,514.9573,2.6814,15.9737,0.979,36.9
2.56,0.0665,95.8755,72.511,115.0,74.5,5.8213,3.9637,516.5195,2.552,15.9055,0.979,36.9
2.62,0.0666,95.9046,72.4743,115.0,74.5,5.7965,3.9821,514.9331,2.7838,15.9706,0.979,36.9
2.66,0.0667,95.9367,72.2929,115.0,74.5,5.7949,3.9965,514.0394,2.4683,15.98,0.979,36.9
2.72,0.0666,95.8527,72.3265,115.0,74.5,5.8256,4.0818,515.7807,2.7866,15.9395,0.979,36.9
2.76,0.0666,95.8493,72.4211,115.0,74.5,5.7812,3.9946,515.289,2.4978,16.0045,0.979,36.9
2.82,0.0667,95.8478,72.4732,115.0,74.5,5.8054,3.9546,514.7241,2.3452,15.9941,0.979,36.9
2.86,0.0666,95.8547,72.3793,115.0,74.5,5.8166,4.0003,513.2428,2.7359,15.9754,0.979,36.9
2.92,0.0665,95.8689,72.4347,115.0,74.5,5.8094,3.9555,517.5373,2.4268,15.9936,0.979,36.9
2.96,0.0668,95.8577,72.6767,115.0,74.5,5.7915,3.8859,515.6558,2.6977,15.9804,0.979,36.9
3.02,0.0666,95.8996,72.3846,115.0,74.5,5.8205,3.8369,515.7712,2.5052,16.0152,0.979,36.9
3.06,0.0665,95.8969,72.5788,115.0,74.5,5.8054,3.9072,515.3091,2.5992,15.9476,0.979,36.9
3.12,0.0666,95.9366,72.5682,115.0,74.5,5.8191,3.8989,514.3749,2.7636,15.9102,0.979,36.9
3.16,0.0666,95.9397,72.5594,115.0,74.5,5.8153,3.9069,514.1836,2.2699,15.9667,0.979,36.9
3.22,0.0666,95.9048,72.3179,115.0,74.5,5.8079,3.9082,514.9612,2.5829,15.9547,0.979,36.9
3.26,0.0666,95.9057,72.3571,115.0,74.5,5.8208,3.9571,514.0147,2.5272,15.9745,0.979,36.9
