Time(s),CTSresistance,MeanArterialPressure(mmHg),HeartRate(1/min),SystolicArterialPressure(mmHg),DiastolicArterialPressure(mmHg),CardiacOutput(L/min),CentralVenousPressure(mmHg),TidalVolume(mL),TotalLungVolume(L),RespirationRate(1/min),OxygenSaturation,CoreTemperature(degC)
0.06,0.0695,98.0199,79.6657,111.9935,70.3092,5.5675,3.5105,473.1139,2.0622,16.9897,0.9869,36.8
0.12,0.0797,94.1064,73.7603,114.6105,74.5609,5.8189,4.0253,325.3005,2.341,17.3424,0.9824,36.8
0.16,0.0632,92.1482,70.9685,117.7849,70.9214,5.8414,4.1888,370.5683,2.3953,16.0032,0.9871,36.8
0.22,0.0763,100.8756,82.7454,112.9459,73.0083,5.3517,3.8377,424.5099,2.2856,16.1165,0.9774,36.8
0.26,0.0737,96.4161,75.9052,114.1924,74.9628,5.9246,4.0794,465.9419,2.287,15.6726,0.9803,36.8
0.32,0.0802,93.9023,73.9892,112.0131,76.9096,5.625,4.1187,279.3103,2.2891,15.8368,0.9861,36.8
0.36,0.0767,91.8583,71.5262,110.1903,72.703,5.3624,3.8087,359.6737,2.4413,16.6109,0.9761,36.8
0.42,0.066,92.9321,77.8725,122.7616,74.8643,5.5847,4.2178,434.6028,2.333,15.2606,0.983,36.8
0.46,0.069,97.4872,76.1684,109.1607,70.6928,5.3185,4.2378,461.4582,2.3383,16.2124,0.9766,36.8
0.52,0.0785,89.0649,76.7566,111.5889,73.7681,6.2003,3.5799,359.2187,2.4429,15.8085,0.9804,36.8
0.56,0.0811,91.59,83.0041,114.6953,74.0418,5.6406,3.9482,274.3235,2.5142,15.1152,0.9861,36.8
0.62,0.0713,94.4055,71.6102,116.4478,71.6685,5.2938,3.9153,518.6144,2.2324,17.1197,0.9852,36.8
0.66,0.0701,92.4829,73.4908,114.66,73.9862,5.5092,4.2398,362.8243,2.1072,15.8403,0.9826,36.8
0.72,0.0634,95.5192,70.2389,113.3478,71.802,5.6962,4.2824,456.1472,2.3759,15.1326,0.9828,36.8
0.76,0.0798,94.1259,69.5096,112.4639,75.5122,5.7322,3.825,421.3345,2.2257,15.7538,0.9824,36.8
0.82,0.0668,94.4583,74.7283,115.8633,71.0016,6.3692,3.7089,341.6138,2.1809,16.1947,0.9842,36.8
0.86,0.0679,101.2128,75.8833,113.6815,72.4571,5.8641,3.6463,487.5152,2.0763,16.4922,0.9746,36.8
0.92,0.0679,97.512,74.056,110.7098,76.1634,5.3748,3.5672,453.4684,2.1066,16.559,0.9836,36.8
0.96,0.0644,90.38,78.0436,118.9109,73.8833,6.0181,3.9396,582.7157,1.9128,16.8102,0.9837,36.8
1.02,0.0621,94.7806,78.7456,108.1857,72.2134,5.9278,3.9053,369.6144,2.0644,16.9706,0.981,36.8
1.06,0.0589,95.4554,62.1787,107.041,70.4857,5.9171,3.878,480.3622,2.0036,16.6646,0.9783,36.8
1.12,0.0783,93.5605,69.9265,119.3173,73.5911,5.4545,3.8567,484.8202,1.976,15.8166,0.9806,36.8
1.16,0.0796,92.5026,74.2056,114.3415,74.5137,5.8,3.5267,441.6163,2.0593,14.8687,0.9828,36.8
1.22,0.0659,95.0573,68.0011,108.8737,73.1523,5.6397,4.2752,312.6036,2.1297,15.8963,0.987,36.8
1.26,0.0724,99.0811,70.7436,116.588,70.1159,5.2993,3.8409,522.259,1.9132,15.0223,0.9827,36.8
1.32,0.0633,94.1567,66.3719,109.8174,72.2158,6.0452,3.8834,456.7185,2.0469,16.5641,0.9844,36.8
1.36,0.0727,94.8149,70.8919,114.1712,73.2318,5.3549,4.7594,392.5153,2.0391,15.7232,0.9902,36.8
1.42,0.064,94.1722,71.9622,109.2347,73.8005,5.6237,3.4015,380.5385,2.0954,15.3478,0.9908,36.8
1.46,0.0689,94.4967,68.3606,109.2827,72.8085,5.4901,4.2529,461.6422,2.1431,17.5604,0.983,36.8
1.52,0.0705,96.8111,70.4362,119.1871,68.9912,5.8866,3.3209,426.8537,2.0859,16.2917,0.9767,36.8
1.56,0.0742,96.8488,70.3409,109.0419,70.9907,5.6374,4.098,351.5187,1.8967,15.4807,0.9876,36.8
1.62,0.0687,95.5871,69.8397,111.0142,75.6653,5.7643,3.7519,386.785,1.9189,16.09,0.9816,36.8
1.66,0.0645,96.8132,76.8495,110.5411,73.387,5.7893,3.1435,437.1825,2.1781,16.4917,0.9826,36.8
1.72,0.0642,94.0934,76.8923,113.6656,73.7489,5.8754,3.8502,474.4309,2.0615,17.2714,0.9824,36.8
1.76,0.0738,96.7125,74.0022,114.2494,72.8063,5.9635,3.4832,453.0382,2.014,16.5911,0.9787,36.8
1.82,0.0684,97.794,73.7991,114.2771,71.7086,5.7694,3.7034,484.2727,1.912,17.1709,0.9845,36.8
1.86,0.0664,93.7562,72.0561,114.1783,75.1507,5.5265,4.2408,345.8221,2.0839,16.2129,0.9754,36.8
1.92,0.0699,90.5052,79.8251,109.242,76.7247,5.5344,3.309,532.5783,1.9191,16.5017,0.9758,36.8
1.96,0.0844,96.0628,71.8671,113.3942,68.0708,6.1887,4.149,344.4371,1.9376,15.6911,0.9845,36.8
2.02,0.0729,93.3561,78.401,110.3496,73.4992,5.4112,4.0386,462.7775,2.0508,15.7885,0.9821,36.8
2.06,0.069,91.6087,67.6577,113.5841,73.2914,5.5608,4.2415,447.8618,1.9575,15.7415,0.9778,36.8
2.12,0.0762,95.1048,62.7508,111.1849,71.7241,5.6776,4.1696,528.9489,2.0916,16.2381,0.985,36.8
2.16,0.0694,93.2162,75.4345,112.7375,72.6356,5.3669,3.8419,365.3242,1.8299,15.5559,0.98,36.8
2.22,0.0661,93.7382,69.7179,112.2991,74.3729,5.7665,3.8222,657.7724,1.8844,16.8851,0.9749,36.8
2.26,0.064,96.5612,74.3845,114.9443,76.5873,5.8623,4.0888,371.4752,2.0612,16.2053,0.9812,36.8
2.32,0.0748,95.7371,66.6822,109.9206,72.7277,5.3452,3.8952,429.3267,1.9666,15.4531,0.9816,36.8
2.36,0.0681,96.8425,76.9765,113.3298,73.9565,5.5843,4.034,414.5691,1.845,15.7864,0.9838,36.8
2.42,0.0594,95.6803,67.2722,115.8635,74.4138,5.7789,4.1129,526.1941,1.9615,16.8331,0.9797,36.8
2.46,0.0736,94.5719,77.2456,111.8521,74.7417,5.833,4.146,511.9623,2.2629,15.3876,0.9824,36.8
2.52,0.0665,93.408,74.2928,108.0887,74.1778,5.7722,3.6925,365.861,2.1086,15.7825,0.987,36.8
2.56,0.0649,101.9272,70.8286,111.991,72.6601,5.5329,3.7004,318.7183,2.1911,17.1382,0.9824,36.8
2.62,0.0689,93.2129,63.3298,111.2989,73.6611,5.7914,3.7492,431.6492,1.9672,16.0249,0.983,36.8
2.66,0.0602,93.5132,63.7633,111.0295,70.8995,5.5659,4.5133,433.4509,1.8595,17.5624,0.9827,36.8
2.72,0.0826,93.7301,75.938,113.1111,72.9179,5.9471,4.19,399.8406,1.9939,16.0446,0.9787,36.8
2.76,0.068,96.5173,68.6644,115.389,74.8182,5.2439,4.0313,455.3621,1.8439,17.0451,0.9858,36.8
2.82,0.0679,97.7458,75.4302,114.07,72.6197,6.0533,4.0792,382.4628,1.9149,15.5371,0.9822,36.8
